,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.00226370290782324,3.877641747005095e-23,2.768636207361638e-20,1
1,2,15,2020-02-03,0.0022473261196188647,3.873227221029793e-25,2.9823849601929408e-22,1
2,3,16,2020-02-04,0.002237025469977851,5.2829127627634706e-27,4.289725163363938e-24,1
3,4,17,2020-02-05,0.002229749366308712,1.5269011451007778e-29,1.2825969618846534e-26,1
4,5,18,2020-02-06,0.0022249319392839083,7.312468800101762e-33,6.259473292887108e-30,1
5,6,19,2020-02-07,0.0022215991040321773,3.4445497762483536e-35,2.958868257797336e-32,1
6,7,20,2020-02-08,0.0022184188501127838,1.1477982597449653e-32,9.813675120819453e-30,1
7,8,21,2020-02-09,0.0022140251269054706,1.4576224044413125e-29,1.2258604421351439e-26,1
8,9,22,2020-02-10,0.0022073246864406973,3.853222579152076e-27,3.13652317942979e-24,1
9,10,23,2020-02-11,0.0021977411106665645,2.340453898344289e-25,1.820873132911857e-22,1
10,11,24,2020-02-12,0.002185328678076357,4.107444378377836e-24,3.0887981725401324e-21,1
11,12,25,2020-02-13,0.0021706944807451094,2.5037270377192848e-23,1.8051871941956043e-20,1
12,13,26,2020-02-14,0.002154826234041329,5.894231228836098e-23,4.137750322642941e-20,1
13,14,27,2020-02-15,0.002138878993068592,5.589298298084195e-23,3.934866001851273e-20,1
14,15,28,2020-02-16,0.002123976645257259,2.087424753007396e-23,1.5196452201893842e-20,1
15,16,29,2020-02-17,0.0021111364502700283,2.7383799081390225e-24,2.070215210553101e-21,1
16,17,30,2020-02-18,0.0021012683543425634,1.0398890606211247e-25,8.152730235269618e-23,1
17,18,31,2020-02-19,0.002095320744478999,1.4257037255647949e-27,1.1733541661398262e-24,1
18,19,32,2020-02-20,0.0020943588520060566,4.210799480336435e-28,3.499174368159578e-25,1
19,20,33,2020-02-21,0.0020993755877196257,5.229416616780246e-26,4.1364685438731745e-23,1
20,21,34,2020-02-22,0.002111086044756228,8.614879340877478e-24,6.383625591590211e-21,1
21,22,35,2020-02-23,0.0021298468771174424,4.724747042526338e-22,3.217552735960436e-19,1
22,23,36,2020-02-24,0.0021557191428877385,1.073731302430672e-20,6.785981831361847e-18,1
23,24,37,2020-02-25,0.0021887015414306953,1.3128287664444414e-19,7.312456229095538e-17,1
24,25,38,2020-02-26,0.0022286455186808812,9.793702414473026e-19,4.965407124137824e-16,1
