,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0010135608383014536,3.143734766749878e-05,0.0044326660211173275,1
1,2,15,2020-02-03,0.0006395491450021397,0.0012811861551776087,0.11786912627634,0
2,3,16,2020-02-04,0.00028471427566587574,0.149330217907152,1.0,0
3,4,17,2020-02-05,-0.00012503871820864656,0.5878435129576781,1.0,0
4,5,18,2020-02-06,-0.0005937796472012455,0.04536919702064149,1.0,0
5,6,19,2020-02-07,-0.0011165730516142739,0.0030601054324769835,0.24786854003063566,0
6,7,20,2020-02-08,-0.001678083703868678,0.00024962686373237466,0.02770858187429359,-1
7,8,21,2020-02-09,-0.002256514012196579,2.1860396359167978e-05,0.0032790594538751965,-1
8,9,22,2020-02-10,-0.0028267540260523308,1.7253373245669694e-06,0.0003347154409659921,-1
9,10,23,2020-02-11,-0.0033624463991925426,1.0470006523585754e-07,2.512801565660581e-05,-1
10,11,24,2020-02-12,-0.0038384777636195373,4.130216396306998e-09,1.2473253516847135e-06,-1
11,12,25,2020-02-13,-0.0042305985671623175,8.570156542488129e-11,3.3766416777403226e-08,-1
12,13,26,2020-02-14,-0.004517051845576448,6.967551311201043e-13,3.5534511687125323e-10,-1
13,14,27,2020-02-15,-0.004681991389654743,2.529673325195768e-15,1.6063425614993129e-12,-1
14,15,28,2020-02-16,-0.004718248173239501,2.892826650303748e-16,1.9642292955562448e-13,-1
15,16,29,2020-02-17,-0.004628984111885081,1.8701105525354685e-14,1.1239364420738166e-11,-1
16,17,30,2020-02-18,-0.004423514509327021,1.9148264855343937e-12,9.363501514263185e-10,-1
17,18,31,2020-02-19,-0.004113761893080236,9.005798492511061e-11,3.530273009064336e-08,-1
18,19,32,2020-02-20,-0.0037138930390483074,2.5786565897981987e-09,8.04540856017038e-07,-1
19,20,33,2020-02-21,-0.003239861622740181,5.7583224772491876e-08,1.445338941789546e-05,-1
20,21,34,2020-02-22,-0.0027072934487202822,1.1832393608888734e-06,0.00023428139345599692,-1
21,22,35,2020-02-23,-0.0021335381422674235,2.4688154229663225e-05,0.0036538468259901574,-1
22,23,36,2020-02-24,-0.0015384393996022675,0.0005521854723732659,0.05687510365444639,0
23,24,37,2020-02-25,-0.0009433130102954403,0.013281478225438587,0.8500146064280696,0
24,25,38,2020-02-26,-0.0003705471898991581,0.2511830942068731,1.0,0
25,26,39,2020-02-27,0.00015701054351108427,0.5830826024520511,1.0,0
26,27,40,2020-02-28,0.0006189360986659085,0.02395269268763957,1.0,0
27,28,41,2020-02-29,0.0010004508518822502,0.0002340346271352101,0.02644591286627874,1
28,29,42,2020-03-01,0.0012950205530593733,1.1607178549850802e-06,0.00023098285314203094,1
29,30,43,2020-03-02,0.0015044557857945373,3.080835138379091e-09,9.4889722262076e-07,1
30,31,44,2020-03-03,0.0016408422964822565,3.9155395657284805e-12,1.8363880563266573e-09,1
31,32,45,2020-03-04,0.0017281365838606342,3.617991998475503e-15,2.2793349590395672e-12,1
32,33,46,2020-03-05,0.0017970342275678757,1.6093287015123465e-16,1.110436804043519e-13,1
33,34,47,2020-03-06,0.0018796497285927998,3.5033175592042255e-14,2.0529440896936762e-11,1
34,35,48,2020-03-07,0.00200549834479607,1.5164895907374362e-11,6.687719095152094e-09,1
35,36,49,2020-03-08,0.0021950943395338375,9.676089261044482e-10,3.3285747057993017e-07,1
36,37,50,2020-03-09,0.0024567813380926276,1.0979761980461686e-08,3.0962928784901954e-06,1
37,38,51,2020-03-10,0.0027899967022331175,3.37957257551565e-08,8.786888696340691e-06,1
38,39,52,2020-03-11,0.003187035233511302,3.846090531451734e-08,9.845991760516439e-06,1
39,40,53,2020-03-12,0.003633434292446266,1.9995770126544196e-08,5.418853704293477e-06,1
40,41,54,2020-03-13,0.0041067992560643845,5.40223866513129e-09,1.582855928883468e-06,1
41,42,55,2020-03-14,0.004577730294122575,7.957348592849722e-10,2.7930293560902524e-07,1
42,43,56,2020-03-15,0.005012935424748083,6.06131369517812e-11,2.4427094191567825e-08,1
43,44,57,2020-03-16,0.0053794738156988774,2.061909864122904e-12,1.0041501038278543e-09,1
44,45,58,2020-03-17,0.0056482600028590225,2.5340432385210234e-14,1.5077557269200088e-11,1
45,46,59,2020-03-18,0.005799542605260324,1.4949985752810274e-16,1.034539014094471e-13,1
46,47,60,2020-03-19,0.0058218549463268385,4.056296980670611e-17,2.908364935140828e-14,1
