,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0047502004495074,6.0311672023806654e-12,2.7037267297834055e-09,-1
1,2,15,2020-02-03,-0.004444984208131661,1.6855416873611532e-13,8.680539689909939e-11,-1
2,3,16,2020-02-04,-0.004274665229815845,6.957277672830062e-15,3.9726055511859656e-12,-1
3,4,17,2020-02-05,-0.004187533895901131,1.4692346739693399e-16,9.608794767759483e-14,-1
4,5,18,2020-02-06,-0.004192577605499073,2.0849374691090767e-16,1.3468696050444635e-13,-1
5,6,19,2020-02-07,-0.004296631990195423,2.175901078237506e-14,1.2054491973435783e-11,-1
6,7,20,2020-02-08,-0.004503782529965008,1.1624775012505386e-12,5.59151678101509e-10,-1
7,8,21,2020-02-09,-0.004815120060852801,1.710736701223407e-11,7.202201512150544e-09,-1
8,9,22,2020-02-10,-0.005229575370026507,9.470267267972175e-11,3.683933967241176e-08,-1
9,10,23,2020-02-11,-0.005743502928912487,2.5608539442798217e-10,9.500768133278138e-08,-1
10,11,24,2020-02-12,-0.006349333859743657,4.038027794638766e-10,1.4617660616592332e-07,-1
11,12,25,2020-02-13,-0.007035092645712204,4.1769005047483005e-10,1.5036841817093881e-07,-1
12,13,26,2020-02-14,-0.0077852730241213105,3.076942144509254e-10,1.1311463771764513e-07,-1
13,14,27,2020-02-15,-0.00858035033304976,1.7088027757654582e-10,6.442186464635778e-08,-1
14,15,28,2020-02-16,-0.009398213732292332,7.355001974322398e-11,2.9125807818316694e-08,-1
15,16,29,2020-02-17,-0.010215350247575281,2.451068963207013e-11,1.0073893438780823e-08,-1
16,17,30,2020-02-18,-0.011006953964288125,6.15711030849564e-12,2.7522283078975507e-09,-1
17,18,31,2020-02-19,-0.011749652883293047,1.1261944992589052e-12,5.428257486427923e-10,-1
18,19,32,2020-02-20,-0.01242442373498894,1.4554103193235291e-13,7.568133660482352e-11,-1
19,20,33,2020-02-21,-0.013018284510444608,1.298425319424174e-14,7.3101345483581e-12,-1
20,21,34,2020-02-22,-0.013523692255686113,7.770329135759459e-16,4.817604064170864e-13,-1
21,22,35,2020-02-23,-0.013937458529395838,2.9620606356125183e-17,2.017163292852125e-14,-1
22,23,36,2020-02-24,-0.014261853904864537,6.658755345682037e-19,5.000725264607209e-16,-1
23,24,37,2020-02-25,-0.014503373993124754,7.834131574062365e-21,6.314310048694266e-18,-1
24,25,38,2020-02-26,-0.014670145995550714,3.8392761407345496e-23,3.24034906277996e-20,-1
25,26,39,2020-02-27,-0.01477059496226701,5.552759815277715e-26,4.780926200954112e-23,-1
26,27,40,2020-02-28,-0.014813419743541723,6.099866710104533e-29,5.276384704240421e-26,-1
27,28,41,2020-02-29,-0.014804294927110984,4.939685131302639e-28,4.262948268314177e-25,-1
28,29,42,2020-03-01,-0.014744049800231364,5.165199872626581e-25,4.421411090968353e-22,-1
29,30,43,2020-03-02,-0.01462667167520856,2.2050838169443735e-22,1.8434500709654963e-19,-1
30,31,44,2020-03-03,-0.014438636492287611,4.0510255768623905e-20,3.204361231298151e-17,-1
31,32,45,2020-03-04,-0.0141636856482026,3.755740907570023e-18,2.6740875261898563e-15,-1
32,33,46,2020-03-05,-0.013787720305695467,1.9283669723355678e-16,1.2476534311011124e-13,-1
33,34,47,2020-03-06,-0.013302844958975673,5.899113616824891e-15,3.409687670524787e-12,-1
34,35,48,2020-03-07,-0.012706696272765008,1.163969463388119e-13,6.110839682787625e-11,-1
35,36,49,2020-03-08,-0.012000688293945896,1.593419684031925e-12,7.489072514950048e-10,-1
36,37,50,2020-03-09,-0.011190020344792124,1.6428203952362732e-11,6.944547442442227e-09,-1
37,38,51,2020-03-10,-0.01027944213979404,1.4348029514181745e-10,5.4522512153890635e-08,-1
38,39,52,2020-03-11,-0.009273426879384882,1.1879272631094013e-09,4.0508319672030583e-07,-1
39,40,53,2020-03-12,-0.008179287199757804,1.0254872768440137e-08,3.1174813216058015e-06,-1
40,41,54,2020-03-13,-0.007006401977669683,1.033401502952026e-07,2.624839817498146e-05,-1
41,42,55,2020-03-14,-0.0057624687657150155,1.399952016670433e-06,0.00030238963560081354,-1
42,43,56,2020-03-15,-0.004454539539759701,2.934647875982042e-05,0.00487151547413019,-1
43,44,57,2020-03-16,-0.003089330078467427,0.0010184683224782577,0.1059207055377388,0
44,45,58,2020-03-17,-0.0016731536062152756,0.045277110143684414,1.0,0
45,46,59,2020-03-18,-0.00021563533974583204,0.7858940208825215,1.0,0
46,47,60,2020-03-19,0.0012680874586427845,0.13601097390385114,1.0,0
47,48,61,2020-03-20,0.002755759235924507,0.004681951469181836,0.4354214866339107,0
48,49,62,2020-03-21,0.004219667276142014,0.0001553108587379767,0.02205414194079269,1
49,50,63,2020-03-22,0.005627677572889949,6.448290336487815e-06,0.001225175163932685,1
50,51,64,2020-03-23,0.00694542871522652,3.1363820134194025e-07,7.527316832206566e-05,1
51,52,65,2020-03-24,0.008142957120711536,1.565604878602544e-08,4.665502538235581e-06,1
52,53,66,2020-03-25,0.009193208825240716,6.846683373590217e-10,2.423725914250937e-07,1
53,54,67,2020-03-26,0.01006919581278681,2.193170732888882e-11,9.035863419502194e-09,1
54,55,68,2020-03-27,0.010748247778631502,4.1223486570589617e-13,2.048807282558304e-10,1
55,56,69,2020-03-28,0.011218514569487413,3.4677349828569895e-15,2.0390281699199097e-12,1
56,57,70,2020-03-29,0.011480950010224134,1.609400302225568e-17,1.1088768082334165e-14,1
57,58,71,2020-03-30,0.011548648101748906,1.4574178268182383e-18,1.0653724314041321e-15,1
58,59,72,2020-03-31,0.011445209794679126,3.087277325242076e-17,2.099348581164612e-14,1
59,60,73,2020-04-01,0.011200239053597214,1.1123221175734322e-15,6.807411359549406e-13,1
60,61,74,2020-04-02,0.010847704320044107,1.4220322580096087e-14,7.963380644853808e-12,1
61,62,75,2020-04-03,0.010424325529324523,6.730996368892751e-14,3.580890068250943e-11,1
62,63,76,2020-04-04,0.009966903807287302,1.3381377926457107e-13,6.971697899684153e-11,1
63,64,77,2020-04-05,0.00950923820771663,1.1750686381865977e-13,6.157359664097772e-11,1
64,65,78,2020-04-06,0.009080255103115624,4.458419194855223e-14,2.4075463652218204e-11,1
65,66,79,2020-04-07,0.008702949678060644,7.033028291538881e-15,4.008826126177162e-12,1
66,67,80,2020-04-08,0.008391335853476518,4.504587612398888e-16,2.846899371036097e-13,1
67,68,81,2020-04-09,0.008146833449453803,1.2188630179944298e-17,8.483286605241232e-15,1
68,69,82,2020-04-10,0.007960231866651039,1.7178882772972097e-19,1.3227739735188515e-16,1
69,70,83,2020-04-11,0.007815048973983354,3.213575215710377e-21,2.6222773760196674e-18,1
70,71,84,2020-04-12,0.00769042301965325,1.2308552896638472e-21,1.015455613972674e-18,1
71,72,85,2020-04-13,0.007565267761612692,2.4645727381887506e-20,1.9642644723364343e-17,1
72,73,86,2020-04-14,0.007422286050086289,1.3965822452068014e-18,1.0236947857365855e-15,1
73,74,87,2020-04-15,0.007249305137426934,4.932802940038651e-17,3.314843575705973e-14,1
74,75,88,2020-04-16,0.007041248095484407,8.301035750266719e-16,5.130040093664833e-13,1
75,76,89,2020-04-17,0.006801068428156376,6.7201585035465934e-15,3.850650822532198e-12,1
76,77,90,2020-04-18,0.006537385866444195,2.7370395978631998e-14,1.50537177882476e-11,1
77,78,91,2020-04-19,0.006262242506479457,5.723249203073838e-14,3.0619383236445034e-11,1
78,79,92,2020-04-20,0.005990160393932598,5.983332512315954e-14,3.195099561576719e-11,1
79,80,93,2020-04-21,0.00573761067897245,2.79593010559644e-14,1.5349656279724455e-11,1
80,81,94,2020-04-22,0.005519816683420376,5.0433379399544275e-15,2.9301793431135222e-12,1
81,82,95,2020-04-23,0.005347075647948438,2.8230324373567974e-16,1.809563792345707e-13,1
82,83,96,2020-04-24,0.005225833689314091,3.786573940706217e-18,2.69225407184212e-15,1
83,84,97,2020-04-25,0.005159101017854723,1.9791169596085987e-20,1.5852726846464877e-17,1
84,85,98,2020-04-26,0.005143253255642383,2.5811233042518318e-21,2.119102232790754e-18,1
85,86,99,2020-04-27,0.005167373125864761,2.335803578163885e-20,1.8663070589529442e-17,1
86,87,100,2020-04-28,0.005215789895706928,1.1880706361508762e-19,9.231308842892309e-17,1
87,88,101,2020-04-29,0.005270905253332223,1.0602801688566747e-19,8.259582515393497e-17,1
88,89,102,2020-04-30,0.0053150203147645115,1.943216262353811e-20,1.5584594424077564e-17,1
89,90,103,2020-05-01,0.005331076669445433,4.247735499335909e-21,3.449161225460758e-18,1
90,91,104,2020-05-02,0.005302350504488435,1.207885064004802e-19,9.373188096677263e-17,1
91,92,105,2020-05-03,0.005213057020937622,5.0856690221397684e-17,3.4073982448336445e-14,1
92,93,106,2020-05-04,0.0050499437583989655,1.1061108981675039e-14,6.260587683628072e-12,1
93,94,107,2020-05-05,0.004806381255769077,9.412120274854117e-13,4.583702573853955e-10,1
94,95,108,2020-05-06,0.004481570154173388,3.988535785062611e-11,1.6233340645204825e-08,1
95,96,109,2020-05-07,0.004080485953979075,1.0034207692484394e-09,3.461801653907116e-07,1
