date,Durchfall,Angst,Rachenschmerzen,Fieber,Entzündung,Muskelschmerzen,Schock,trockener Husten,Sputum,Husten,Kopfschmerzen,Erbrechen,Übelkeit,Lymphopenie,Pneumonie,respiratorische Insuffizienz,Dyspnoe,Hypoxämie,Müdigkeit,Ausfluss,ensemble_trend,harmonic_p,Holm_pval(alpha=0.05),up/down trend
2020-02-02,-1,-1,0,0,0,-1,1,1,-1,1,0,-1,1,1,1,-1,1,1,1,-1,1,4.582472985688845e-24,3.542251617937478e-21,1
2020-02-03,-1,-1,0,0,0,-1,1,1,-1,1,0,-1,1,1,1,-1,1,1,1,-1,1,2.376751697368956e-22,1.7041309670135416e-19,1
2020-02-04,0,0,1,0,-1,-1,0,1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,1,8.555943095319415e-21,5.40735603624187e-18,1
2020-02-05,0,0,1,-1,-1,-1,0,1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,1,1.5738476671632052e-19,8.420085019323148e-17,1
2020-02-06,0,0,1,-1,-1,-1,0,1,-1,1,0,-1,1,1,1,-1,1,1,1,-1,1,1.3301483282631262e-18,5.879255610923018e-16,1
2020-02-07,0,0,1,-1,-1,-1,0,1,-1,1,0,-1,1,1,1,-1,1,1,1,-1,1,5.533334291639932e-18,2.1801337109061333e-15,1
2020-02-08,1,0,1,-1,-1,-1,-1,1,-1,1,0,-1,1,1,1,-1,1,1,0,-1,1,2.0299389452167453e-17,6.881493024284767e-15,1
2020-02-09,1,0,1,-1,-1,-1,-1,1,-1,1,0,-1,1,1,1,-1,1,1,0,-1,1,3.234080211372068e-17,1.0413738280618057e-14,1
2020-02-10,1,1,0,-1,-1,-1,-1,1,-1,1,0,-1,1,1,1,-1,1,1,0,-1,1,1.9202550162137148e-17,6.590388937627264e-15,1
2020-02-11,1,1,0,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,0,-1,0,100.0,1.0,0
2020-02-12,1,1,0,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,0,-1,0,100.0,1.0,0
2020-02-13,1,1,0,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,0,-1,0,100.0,1.0,0
2020-02-14,1,1,0,-1,-1,-1,-1,1,-1,1,-1,-1,0,1,1,-1,1,1,-1,-1,-1,2.3926984044784503e-16,6.340650771867894e-14,-1
2020-02-15,1,1,0,-1,-1,-1,-1,1,0,1,-1,-1,0,1,1,-1,1,1,-1,-1,-1,4.506401383068259e-14,7.075050171417167e-12,-1
2020-02-16,1,1,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,1,1,-1,1,1,-1,-1,-1,1.8518155704643716e-13,2.481432864422258e-11,-1
2020-02-17,1,1,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,1,1,-1,1,1,-1,-1,-1,3.362707286646627e-14,5.481212877234002e-12,-1
2020-02-18,1,1,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,1,1,-1,1,1,-1,-1,-1,7.316615874415453e-15,1.4194234796365978e-12,-1
2020-02-19,1,1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,3.8027833274638414e-15,8.023872820948705e-13,-1
2020-02-20,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,4.837406167351135e-15,9.916682643069827e-13,-1
2020-02-21,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1.2289363349444262e-14,2.2489534929483e-12,-1
2020-02-22,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1.2913514860134668e-14,2.3502597045445096e-12,-1
2020-02-23,1,1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,4.4266614217502846e-16,1.1155186782810718e-13,-1
2020-02-24,1,1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1.6169984502767475e-15,3.638246513122682e-13,-1
