,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.05649648439914129,1.1448432694925952e-12,7.315548492057683e-10,-1
1,2,15,2020-02-03,-0.054956476630145946,2.4482386797642022e-11,1.4689432078585213e-08,-1
2,3,16,2020-02-04,-0.051711433727450615,7.602204493465432e-10,4.2192234938733144e-07,-1
3,4,17,2020-02-05,-0.04745111557017444,7.566640458466445e-09,3.942219678861018e-06,-1
4,5,18,2020-02-06,-0.043069247571382537,1.8951152493811752e-08,9.646136619350182e-06,-1
5,6,19,2020-02-07,-0.03962866766561581,9.731524947431295e-09,5.021466872874548e-06,-1
6,7,20,2020-02-08,-0.03833573249989532,2.949471757135871e-09,1.5927147488533704e-06,-1
7,8,21,2020-02-09,-0.04054721474575102,4.53847869152517e-08,2.2783163031456355e-05,-1
8,9,22,2020-02-10,-0.047883001604424054,2.910449507869862e-06,0.0013388067736201366,-1
9,10,23,2020-02-11,-0.06262247880215681,3.3832565676687516e-05,0.015190821988832695,-1
10,11,24,2020-02-12,-0.08927617255975628,0.00012853171526538813,0.055911296140443836,0
11,12,25,2020-02-13,-0.14574690951103672,0.0006187064925658239,0.25490707493711945,0
12,13,26,2020-02-14,0.5798723781610311,0.20192155103494305,1.0,0
13,14,27,2020-02-15,1.1978169415884599,0.040368353885696,1.0,0
14,15,28,2020-02-16,1.7082637936842904,0.008533864491815977,1.0,0
15,16,29,2020-02-17,2.111279421613086,0.0018995318856960298,0.7370183716500596,0
16,17,30,2020-02-18,2.4067492765166607,0.0004888978555981278,0.20338150792882115,0
17,18,31,2020-02-19,2.5943343513950654,0.0001738577713381243,0.07475884167539346,0
18,19,32,2020-02-20,2.6734233546324244,0.00010645237484957157,0.046732592558961915,1
19,20,33,2020-02-21,2.643063941206098,0.00012902973192629384,0.055998903656011526,0
20,21,34,2020-02-22,2.501879965660549,0.00029376900509832393,0.12367675114639437,0
21,22,35,2020-02-23,2.247926115306636,0.0010288618206249107,0.41360245189121414,0
22,23,36,2020-02-24,1.878390853937704,0.004501485261947508,1.0,0
23,24,37,2020-02-25,1.3888947205474746,0.021537500834999217,1.0,0
24,25,38,2020-02-26,0.017105584862032074,0.9800217905043249,1.0,0
25,26,39,2020-02-27,-1.3713462837323964,0.0213784988942861,1.0,0
26,27,40,2020-02-28,-1.8660522886298652,0.0043939714174786836,1.0,0
27,28,41,2020-02-29,-2.244766156188341,0.0009709129894197949,0.39224884772559715,0
28,29,42,2020-03-01,-2.5118880789823077,0.0002601143140533863,0.1102884691586358,0
29,30,43,2020-03-02,-2.6717521578947507,0.00010215993737869917,0.04495037244662763,-1
30,31,44,2020-03-03,-2.7312792820261174,6.982251819327544e-05,0.031071020596007567,-1
31,32,45,2020-03-04,-2.7216954378940557,7.407609649198298e-05,0.03288978684244044,-1
32,33,46,2020-03-05,-1.817794086505215,0.03124610445761051,1.0,0
33,34,47,2020-03-06,-0.9138927351163746,0.3156069239996072,1.0,0
34,35,48,2020-03-07,-0.00999138372753422,0.9914356023097193,1.0,0
35,36,49,2020-03-08,0.8939099676613063,0.32677875670107415,1.0,0
36,37,50,2020-03-09,1.7978113190501472,0.033598935518301946,1.0,0
37,38,51,2020-03-10,2.7017126704389867,9.552850509695238e-05,0.042223599252852954,1
38,39,52,2020-03-11,2.735382036030366,7.757982546841165e-05,0.03436786268250636,1
39,40,53,2020-03-12,2.6772799627323245,0.00011175721660827557,0.0489496608744247,1
40,41,54,2020-03-13,2.517507970898434,0.00028011886726827655,0.11821016198721271,0
41,42,55,2020-03-14,2.2518223916679645,0.0010230201031996315,0.41227710158945147,0
42,43,56,2020-03-15,1.8766966259076552,0.0045288799071811535,1.0,0
43,44,57,2020-03-16,1.3874608277117015,0.02164321795223278,1.0,0
44,45,58,2020-03-17,0.7750751729558747,0.10886430106296381,1.0,0
45,46,59,2020-03-18,0.0,1.0,1.0,0
46,47,60,2020-03-19,0.0,1.0,1.0,0
47,48,61,2020-03-20,0.0,1.0,1.0,0
48,49,62,2020-03-21,0.0,1.0,1.0,0
49,50,63,2020-03-22,0.0,1.0,1.0,0
50,51,64,2020-03-23,0.0,1.0,1.0,0
51,52,65,2020-03-24,0.0,1.0,1.0,0
52,53,66,2020-03-25,0.0,1.0,1.0,0
53,54,67,2020-03-26,0.0,1.0,1.0,0
54,55,68,2020-03-27,0.0,1.0,1.0,0
55,56,69,2020-03-28,0.0,1.0,1.0,0
56,57,70,2020-03-29,0.0,1.0,1.0,0
57,58,71,2020-03-30,0.0,1.0,1.0,0
58,59,72,2020-03-31,0.0,1.0,1.0,0
59,60,73,2020-04-01,0.0,1.0,1.0,0
60,61,74,2020-04-02,0.0,1.0,1.0,0
61,62,75,2020-04-03,0.0,1.0,1.0,0
62,63,76,2020-04-04,0.0,1.0,1.0,0
63,64,77,2020-04-05,0.0,1.0,1.0,0
64,65,78,2020-04-06,0.0,1.0,1.0,0
65,66,79,2020-04-07,0.0,1.0,1.0,0
66,67,80,2020-04-08,0.0,1.0,1.0,0
67,68,81,2020-04-09,0.0,1.0,1.0,0
68,69,82,2020-04-10,0.0,1.0,1.0,0
69,70,83,2020-04-11,0.0,1.0,1.0,0
70,71,84,2020-04-12,0.0,1.0,1.0,0
71,72,85,2020-04-13,0.0,1.0,1.0,0
72,73,86,2020-04-14,0.0,1.0,1.0,0
73,74,87,2020-04-15,0.0,1.0,1.0,0
74,75,88,2020-04-16,0.0,1.0,1.0,0
75,76,89,2020-04-17,0.0,1.0,1.0,0
76,77,90,2020-04-18,0.0,1.0,1.0,0
77,78,91,2020-04-19,0.0,1.0,1.0,0
78,79,92,2020-04-20,0.0,1.0,1.0,0
79,80,93,2020-04-21,0.0,1.0,1.0,0
80,81,94,2020-04-22,0.0,1.0,1.0,0
81,82,95,2020-04-23,0.0,1.0,1.0,0
82,83,96,2020-04-24,0.0,1.0,1.0,0
83,84,97,2020-04-25,0.0,1.0,1.0,0
84,85,98,2020-04-26,0.0,1.0,1.0,0
85,86,99,2020-04-27,0.0,1.0,1.0,0
86,87,100,2020-04-28,0.0,1.0,1.0,0
87,88,101,2020-04-29,0.0,1.0,1.0,0
88,89,102,2020-04-30,0.0,1.0,1.0,0
89,90,103,2020-05-01,0.0,1.0,1.0,0
90,91,104,2020-05-02,0.0,1.0,1.0,0
91,92,105,2020-05-03,0.0,1.0,1.0,0
92,93,106,2020-05-04,0.0,1.0,1.0,0
93,94,107,2020-05-05,0.0,1.0,1.0,0
94,95,108,2020-05-06,0.0,1.0,1.0,0
95,96,109,2020-05-07,0.0,1.0,1.0,0
