,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.006928295805755669,1.663852653302541e-14,1.0448994662739956e-11,-1
1,2,15,2020-02-03,-0.007232350868207002,4.224034006904565e-15,2.7456221044879675e-12,-1
2,3,16,2020-02-04,-0.007502517544810768,1.2023952642662253e-15,8.152239891725007e-13,-1
3,4,17,2020-02-05,-0.007745676974461082,2.9247517151425076e-16,2.0473262005997553e-13,-1
4,5,18,2020-02-06,-0.007965229163474839,5.096171412284842e-17,3.70491661673108e-14,-1
5,6,19,2020-02-07,-0.008164871363808486,6.70249149364049e-18,5.006761145749446e-15,-1
6,7,20,2020-02-08,-0.008354896473054246,1.017535212061255e-18,7.784144372268601e-16,-1
7,8,21,2020-02-09,-0.008547481450352357,4.524554602746296e-19,3.4884315987173944e-16,-1
8,9,22,2020-02-10,-0.008751900355008058,1.1846043347021648e-18,9.05037711712454e-16,-1
9,10,23,2020-02-11,-0.008976966132167077,1.0043863921689188e-17,7.462590893815067e-15,-1
10,11,24,2020-02-12,-0.009231454066676656,9.782337811332884e-17,7.004153872914345e-14,-1
11,12,25,2020-02-13,-0.009520115963407844,6.057900557401477e-16,4.179951384607019e-13,-1
12,13,26,2020-02-14,-0.009838426770289895,1.930822495014978e-15,1.2955818941550504e-12,-1
13,14,27,2020-02-15,-0.010174154145798454,2.9582729605961044e-15,1.955418426954025e-12,-1
14,15,28,2020-02-16,-0.010515446021159804,2.151604141811869e-15,1.4372715667303284e-12,-1
15,16,29,2020-02-17,-0.01084869294240101,7.408805594259338e-16,5.075031832067646e-13,-1
16,17,30,2020-02-18,-0.011157600607040035,1.1486506449635297e-16,8.189879098589967e-14,-1
17,18,31,2020-02-19,-0.011428108268440207,7.123879363077893e-18,5.314414004856108e-15,-1
18,19,32,2020-02-20,-0.011645616572094834,1.4905547384765265e-19,1.1671043602271201e-16,-1
19,20,33,2020-02-21,-0.011800789516281057,8.819440530631115e-22,7.311316199893195e-19,-1
20,21,34,2020-02-22,-0.011897909104770708,1.1287100304050529e-24,9.661757860267253e-22,-1
21,22,35,2020-02-23,-0.01194993667746292,3.8751578628705178e-28,3.3403860777943865e-25,-1
