,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.018599052508351765,6.962608317392858e-13,3.035697226383286e-10,1
1,2,15,2020-02-03,0.01973990068015785,1.1824471685941982e-13,5.7230442959959194e-11,1
2,3,16,2020-02-04,0.020822795686164946,3.0825871795750196e-14,1.6368537923543354e-11,1
3,4,17,2020-02-05,0.02187606931116846,1.4049063786637214e-14,7.684837891290556e-12,1
4,5,18,2020-02-06,0.02292884165969752,1.1410533194255367e-14,6.332845922811729e-12,1
5,6,19,2020-02-07,0.024010084601262704,1.458553977791974e-14,7.93453363918834e-12,1
6,7,20,2020-02-08,0.02515194686159363,2.4338395755997978e-14,1.3045380125214916e-11,1
7,8,21,2020-02-09,0.026384955992327982,4.382521350792902e-14,2.2701460597107233e-11,1
8,9,22,2020-02-10,0.027731959496392913,7.493753332892377e-14,3.7543704197790813e-11,1
9,10,23,2020-02-11,0.02920754592449636,1.1659729573407412e-13,5.665885284229205e-11,1
10,11,24,2020-02-12,0.030818566878320092,1.6323942687277787e-13,7.770196719144226e-11,1
11,12,25,2020-02-13,0.032560854699424116,2.0209312333869424e-13,9.498376796918629e-11,1
12,13,26,2020-02-14,0.03441409044924301,2.161822226183341e-13,1.007409157401437e-10,1
13,14,27,2020-02-15,0.03634154988875213,1.9049794144467699e-13,9.010552630333221e-11,1
14,15,28,2020-02-16,0.03829274361480044,1.276859532340634e-13,6.167231541205263e-11,1
15,16,29,2020-02-17,0.04020339965540087,5.867698443183989e-14,2.9983939044670185e-11,1
16,17,30,2020-02-18,0.041996587347772174,1.6742908506972846e-14,9.091399319286255e-12,1
17,18,31,2020-02-19,0.043593500259503135,2.644182515723132e-15,1.562711866792371e-12,1
18,19,32,2020-02-20,0.04492009521836001,1.972245767849413e-16,1.2582927998879255e-13,1
19,20,33,2020-02-21,0.045908693614658415,5.720716738848991e-18,4.0731503180604816e-15,1
20,21,34,2020-02-22,0.04650310274904447,7.55631002841703e-20,5.878809202108449e-17,1
21,22,35,2020-02-23,0.046656440353699646,1.0299561428579538e-20,8.26024826572079e-18,1
22,23,36,2020-02-24,0.046335580565359656,3.9977499588261895e-19,3.0222989688725994e-16,1
23,24,37,2020-02-25,0.04553647390721168,3.845094600104615e-17,2.587748665870406e-14,1
24,25,38,2020-02-26,0.044289316105636176,1.3954546497728453e-15,8.372727898637072e-13,1
25,26,39,2020-02-27,0.04265214890791827,2.107431118406546e-14,1.1337979417027217e-11,1
26,27,40,2020-02-28,0.040705842731367195,1.648023662600008e-13,7.828112397350038e-11,1
27,28,41,2020-02-29,0.038542919673029724,7.738018380255884e-13,3.3582999770310537e-10,1
28,29,42,2020-03-01,0.036251379824557936,2.4224623297939477e-12,9.687222206484677e-10,1
29,30,43,2020-03-02,0.03390233635712577,5.468036656989436e-12,2.066917856342007e-09,1
30,31,44,2020-03-03,0.03154868225339823,9.504854485720167e-12,3.4312524693449802e-09,1
31,32,45,2020-03-04,0.029229511177990435,1.3634109717923579e-11,4.7719384012732525e-09,1
32,33,46,2020-03-05,0.026975492685470996,1.7590798585064717e-11,6.051234713262263e-09,1
33,34,47,2020-03-06,0.024812334083890285,2.2495502649394824e-11,7.580984392846056e-09,1
34,35,48,2020-03-07,0.022763782131359808,3.081629492033535e-11,1.013856102879033e-08,1
35,36,49,2020-03-08,0.02084661728128146,4.593073899109312e-11,1.4743767216140893e-08,1
36,37,50,2020-03-09,0.019065825837624124,7.018682324287322e-11,2.183434954984492e-08,1
37,38,51,2020-03-10,0.01742158426329072,9.947289490385043e-11,2.984186847115513e-08,1
38,39,52,2020-03-11,0.01591542495178998,1.169742881512675e-10,3.4507415004623916e-08,1
39,40,53,2020-03-12,0.014548570481617683,1.0165632713118576e-10,3.039524181222454e-08,1
40,41,54,2020-03-13,0.013322208830840251,5.962843901245535e-11,1.8782958288923435e-08,1
41,42,55,2020-03-14,0.01223452534684674,2.341399794283794e-11,7.84368931085071e-09,1
42,43,56,2020-03-15,0.011273992788713237,7.133164242077123e-12,2.6321376053264584e-09,1
43,44,57,2020-03-16,0.010416225356453966,2.5818255916996666e-12,1.027498225393517e-09,1
44,45,58,2020-03-17,0.009623508047246692,2.374331880763194e-12,9.521070841860407e-10,1
45,46,59,2020-03-18,0.008846116957457083,1.0269482469998837e-11,3.655935759319586e-09,1
46,47,60,2020-03-19,0.008027631143315415,1.6906436273704365e-10,4.91977295564797e-08,1
47,48,61,2020-03-20,0.007115158117011929,5.553466858274604e-09,1.3031458004884991e-06,1
48,49,62,2020-03-21,0.0060700586097564594,2.4107832020661953e-07,4.2670862676571654e-05,1
49,50,63,2020-03-22,0.004872676058072675,1.2068093309862758e-05,0.001448171197183531,1
50,51,64,2020-03-23,0.003523608562247091,0.0006619664294689011,0.05097141506910539,0
51,52,65,2020-03-24,0.002045161813585816,0.031942622456687476,1.0,0
52,53,66,2020-03-25,0.00048090429004337955,0.5952862734785102,1.0,0
53,54,67,2020-03-26,-0.0011083951736310205,0.23303798743447293,1.0,0
54,55,68,2020-03-27,-0.00265325264154271,0.008501342801905254,0.4505711685009785,0
55,56,69,2020-03-28,-0.004086877368695504,0.0001849883994920278,0.016278979155298447,-1
56,57,70,2020-03-29,-0.005354743752869002,3.4749274807873943e-06,0.00047260655517220734,-1
57,58,71,2020-03-30,-0.006417455855941854,5.239504653619522e-08,1.0407390707439797e-05,-1
58,59,72,2020-03-31,-0.00724996046118394,5.068768025531074e-10,1.3685673668933898e-07,-1
59,60,73,2020-04-01,-0.007842597811045642,2.297659285535063e-12,9.236590327850953e-10,-1
60,61,74,2020-04-02,-0.008201796289958095,4.018831108683649e-15,2.3349408741452e-12,-1
61,62,75,2020-04-03,-0.008347064441300905,2.5335658170149293e-17,1.7354925846552266e-14,-1
62,63,76,2020-04-04,-0.00830846598955199,1.0295541113568444e-16,6.692101723819489e-14,-1
63,64,77,2020-04-05,-0.008124782367977708,2.7275702322101203e-15,1.606538866771761e-12,-1
