,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.026766729101838707,1.3521513421694943e-08,3.123469600411532e-06,1
1,2,15,2020-02-03,0.03041346475383786,1.6603959622034174e-09,4.483069097949227e-07,1
2,3,16,2020-02-04,0.03386385994095915,2.02490843510588e-10,6.378461570583522e-08,1
3,4,17,2020-02-05,0.037082650947543205,2.5208578441447177e-11,9.280182999197386e-09,1
4,5,18,2020-02-06,0.04004626243189991,3.2750074025986666e-12,1.3591280720784467e-09,1
5,6,19,2020-02-07,0.042738334778165875,4.43966229095021e-13,2.0822016144556486e-10,1
6,7,20,2020-02-08,0.04515258736364841,6.122546548839606e-14,3.098008553712841e-11,1
7,8,21,2020-02-09,0.04729145567100909,8.260169997982509e-15,4.518312988896433e-12,1
8,9,22,2020-02-10,0.04916580284542305,1.0869717489571086e-15,6.445742471315654e-13,1
9,10,23,2020-02-11,0.050802028725481126,1.425867134070938e-16,9.068514972691166e-14,1
10,11,24,2020-02-12,0.052232147487465075,1.8683142556990098e-17,1.2704536938753266e-14,1
11,12,25,2020-02-13,0.053474581107523136,2.2646906177068613e-18,1.6554888415437156e-15,1
12,13,26,2020-02-14,0.0545289325768736,2.1493080949681584e-19,1.6626594972681981e-16,1
13,14,27,2020-02-15,0.05537575147854216,1.221443942097973e-20,9.869267052151622e-18,1
14,15,28,2020-02-16,0.055982469267329124,3.0019491910216087e-22,2.491617828547935e-19,1
15,16,29,2020-02-17,0.056308198160967424,4.061246421121143e-24,3.4155082401628814e-21,1
16,17,30,2020-02-18,0.05631747420618766,3.2746246042632363e-24,2.760508541393908e-21,1
17,18,31,2020-02-19,0.05597475354658774,1.1567520001338119e-21,9.508501441099934e-19,1
18,19,32,2020-02-20,0.055243123400459365,3.9487155285366992e-19,3.020767379330575e-16,1
19,20,33,2020-02-21,0.054091111458331495,4.1511487424483177e-17,2.7563627649856828e-14,1
20,21,34,2020-02-22,0.05249981780461863,1.7012748207862114e-15,9.952457701599336e-13,1
21,22,35,2020-02-23,0.05046969926676707,3.3908318642446407e-14,1.756450905678724e-11,1
22,23,36,2020-02-24,0.04803257558463817,3.784036600061468e-13,1.7974173850291974e-10,1
23,24,37,2020-02-25,0.04526303085214204,2.5723167603044686e-12,1.0880899896087902e-09,1
24,25,38,2020-02-26,0.042263946612773516,1.1385793577545973e-11,4.440459495242929e-09,1
25,26,39,2020-02-27,0.03914341351195454,3.43952875513493e-11,1.2347908230934399e-08,1
26,27,40,2020-02-28,0.036006437655254186,7.306866862094111e-11,2.4608081704456378e-08,1
27,28,41,2020-02-29,0.03295102951741663,1.1031745657584072e-10,3.618412575687576e-08,1
28,29,42,2020-03-01,0.030064775288852374,1.189737350242597e-10,3.8904411352932924e-08,1
29,30,43,2020-03-02,0.027416111735609656,9.147973656137375e-11,3.046275227493746e-08,1
