,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.061799309450394024,0.005437294440220251,1.0,0
1,2,15,2020-02-03,-0.10524094546950788,0.0005832935648882124,0.20065298632154507,0
2,3,16,2020-02-04,-0.16886437367766638,0.0002720578234790068,0.09685258515852642,0
3,4,17,2020-02-05,0.5867706663670643,0.21741840628036496,1.0,0
4,5,18,2020-02-06,1.232758160112083,0.04393995667862206,1.0,0
5,6,19,2020-02-07,1.7686246791321583,0.009337678916575727,1.0,0
6,7,20,2020-02-08,2.1937532432418303,0.0020739635389674673,0.6512245512357847,0
7,8,21,2020-02-09,1.7046156035198563,0.03144753137477351,1.0,0
8,9,22,2020-02-10,1.2594991589358318,0.13237645619544525,1.0,0
9,10,23,2020-02-11,0.8370817253978562,0.3324137061631147,1.0,0
10,11,24,2020-02-12,0.42746789433488097,0.6263128709091275,1.0,0
11,12,25,2020-02-13,0.023471394749939752,0.9787724162569448,1.0,0
12,13,26,2020-02-14,-0.3811444130292959,0.6638322942979623,1.0,0
13,14,27,2020-02-15,-0.7924834684164164,0.3577429363908524,1.0,0
14,15,28,2020-02-16,-1.217485813238201,0.14436528515860053,1.0,0
15,16,29,2020-02-17,-1.6657953144752955,0.034590933449897936,1.0,0
16,17,30,2020-02-18,-2.1576787285851773,0.00228529215711779,0.7152964451778683,0
17,18,31,2020-02-19,-1.735553903824953,0.01016561895634872,1.0,0
18,19,32,2020-02-20,-1.205340444880207,0.047089457309714935,1.0,0
19,20,33,2020-02-21,-0.5681139661867659,0.22872196956456345,1.0,0
20,21,34,2020-02-22,0.17514106376686953,0.0007750587161763091,0.2604197286352399,0
21,22,35,2020-02-23,0.09726545912209227,0.006209491279247804,1.0,0
22,23,36,2020-02-24,0.03813681600074368,0.1697630481359247,1.0,0
23,24,37,2020-02-25,-0.01567011795073557,0.5485070585217149,1.0,0
24,25,38,2020-02-26,-0.06947210176198836,0.022406829950278716,1.0,0
25,26,39,2020-02-27,-0.12756981406726697,0.0010049670678652625,0.3306494095783723,0
26,27,40,2020-02-28,-0.1929077634798487,0.0001104656331498424,0.041535078064340744,-1
27,28,41,2020-02-29,-0.25177103766666564,1.0370684412201404e-05,0.004231239240178173,-1
