,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.013734391605433709,3.6235561371770745e-20,2.9387040272506075e-17,1
1,2,15,2020-02-03,0.013572733125398733,1.2561820094821927e-18,9.78565785386628e-16,1
2,3,16,2020-02-04,0.013340842267612889,1.538631242973111e-17,1.1601279572017257e-14,1
3,4,17,2020-02-05,0.013054091015414217,7.202186116679441e-17,5.28640460964271e-14,1
4,5,18,2020-02-06,0.012726654532055992,1.5551002026577634e-16,1.1212272461162474e-13,1
5,6,19,2020-02-07,0.012371813773492925,1.8439772101998908e-16,1.3239756369235215e-13,1
6,7,20,2020-02-08,0.012002600538656162,1.5342447251752962e-16,1.1092589363017391e-13,1
7,8,21,2020-02-09,0.011627099800506649,1.31381713028947e-16,9.564588708507341e-14,1
8,9,22,2020-02-10,0.011246162612803154,1.7692340352206254e-16,1.2720792713236295e-13,1
9,10,23,2020-02-11,0.010854029261779165,4.990586164063863e-16,3.508382073336895e-13,1
10,11,24,2020-02-12,0.010439494486024051,2.898571563433687e-15,1.96523152000804e-12,1
11,12,25,2020-02-13,0.009990507667604287,2.4753370911436026e-14,1.5866910754230494e-11,1
12,13,26,2020-02-14,0.009499231043588937,2.1145578566409185e-13,1.2687347139845512e-10,1
13,14,27,2020-02-15,0.00896386519732352,1.421873694936246e-12,8.062023850288515e-10,1
14,15,28,2020-02-16,0.008389750844890131,6.8848607030514485e-12,3.655861033320319e-09,1
15,16,29,2020-02-17,0.0077914404371631244,2.331691829879462e-11,1.165845914939731e-08,1
16,17,30,2020-02-18,0.007188827396909444,5.42498342748167e-11,2.5985670617637197e-08,1
17,18,31,2020-02-19,0.006600586007386983,8.664844317825069e-11,4.046482296424307e-08,1
18,19,32,2020-02-20,0.006040531772172961,9.730967987655058e-11,4.505438178284292e-08,1
19,20,33,2020-02-21,0.005516570437757446,8.143682333014209e-11,3.819387014183664e-08,1
20,21,34,2020-02-22,0.0050296945242399435,5.950130993821666e-11,2.8382124840529348e-08,1
21,22,35,2020-02-23,0.00457562998801057,4.9729747545171524e-11,2.3969738316772675e-08,1
22,23,36,2020-02-24,0.004147694053288887,6.878590075798173e-11,3.253573105852536e-08,1
23,24,37,2020-02-25,0.0037376643197349294,2.0361181690781081e-10,8.979281125634457e-08,1
24,25,38,2020-02-26,0.0033351037528575995,1.1681035760481632e-09,4.660733268432171e-07,1
25,26,39,2020-02-27,0.0029309200546414928,9.771336924106758e-09,3.4981386188302195e-06,1
26,27,40,2020-02-28,0.002521773013859548,9.368869107158722e-08,2.7710909224394966e-05,1
27,28,41,2020-02-29,0.0021095454765971645,8.99778157532452e-07,0.00022674409569817792,1
28,29,42,2020-03-01,0.0016992540356856765,8.093213013290069e-06,0.0016914815197776243,1
29,30,43,2020-03-02,0.0012981057717383817,7.060330299085761e-05,0.011861354902464078,1
30,31,44,2020-03-03,0.0009128042726019812,0.0007139533328847662,0.08924416661059578,0
31,32,45,2020-03-04,0.0005461753040473749,0.011127629493144433,0.9347208774241323,0
32,33,46,2020-03-05,0.00019687008620352712,0.2535478920583533,1.0,0
33,34,47,2020-03-06,-0.00013731618436981896,0.3868555447810149,1.0,0
34,35,48,2020-03-07,-0.0004593479649362673,0.009846366459606012,0.856633881985723,0
35,36,49,2020-03-08,-0.0007723103425765161,0.0002924407253382566,0.04202938291004105,-1
36,37,50,2020-03-09,-0.001078594231317784,2.019835359265086e-05,0.0038578855361963145,-1
37,38,51,2020-03-10,-0.0013788683033696865,2.3605592030555885e-06,0.0005405680574997298,-1
38,39,52,2020-03-11,-0.0016719235864513554,3.303651544308158e-07,9.018968715961271e-05,-1
39,40,53,2020-03-12,-0.001957585803640375,4.3962632079040426e-08,1.3980117001134855e-05,-1
40,41,54,2020-03-13,-0.002236761720635208,4.946857805592918e-09,1.8451779614861583e-06,-1
41,42,55,2020-03-14,-0.0025116209971548296,4.737294935355934e-10,1.9801892829787803e-07,-1
42,43,56,2020-03-15,-0.0027841163901919153,4.976014384448113e-11,2.3969738316772675e-08,-1
43,44,57,2020-03-16,-0.003056709694869142,1.0165792502772456e-11,5.265880516436132e-09,-1
44,45,58,2020-03-17,-0.003334722113836914,6.6081072701539735e-12,3.522121174992068e-09,-1
45,46,59,2020-03-18,-0.0036278077590610244,1.143056066501871e-11,5.886738742484635e-09,-1
46,47,60,2020-03-19,-0.003951058598685447,3.0274570345416624e-11,1.489508860994498e-08,-1
47,48,61,2020-03-20,-0.004321506707382341,8.291726339879542e-11,3.8805279270636253e-08,-1
48,49,62,2020-03-21,-0.004751715565534471,1.886337302101757e-10,8.356474248310783e-08,-1
49,50,63,2020-03-22,-0.00524540132737874,3.066400745648382e-10,1.324685122120101e-07,-1
50,51,64,2020-03-23,-0.005795701375077186,3.2546756633651157e-10,1.3995105352469997e-07,-1
51,52,65,2020-03-24,-0.006388481642713217,2.2411912364799426e-10,9.816417615782149e-08,-1
52,53,66,2020-03-25,-0.00700585246278673,1.0625236657972174e-10,4.8557331526932836e-08,-1
53,54,67,2020-03-26,-0.007628382644384213,3.6623774728033574e-11,1.7799154517824317e-08,-1
54,55,68,2020-03-27,-0.008236349547855775,9.417012958966673e-12,4.89684673866267e-09,-1
55,56,69,2020-03-28,-0.008812457371626054,1.7971325922017668e-12,1.0135827820017964e-09,-1
56,57,70,2020-03-29,-0.009343094330820433,2.473875987758257e-13,1.4694823367284047e-10,-1
57,58,71,2020-03-30,-0.009818061113948052,2.3545714389567712e-14,1.511634863810247e-11,-1
58,59,72,2020-03-31,-0.010228743881252392,1.4859240912322086e-15,1.0208298506765272e-12,-1
59,60,73,2020-04-01,-0.010566727465197118,6.133172276074594e-17,4.52628113974305e-14,-1
60,61,74,2020-04-02,-0.010826440191217491,1.6291916889064638e-18,1.2626235589025094e-15,-1
61,62,75,2020-04-03,-0.011008595401872252,2.4671771047010947e-20,2.0132165174360932e-17,-1
62,63,76,2020-04-04,-0.011118885242976594,1.793049526976579e-22,1.516919899822186e-19,-1
63,64,77,2020-04-05,-0.011164584305484875,2.656232839667619e-24,2.279047776434817e-21,-1
64,65,78,2020-04-06,-0.011150934679036963,1.2237603106447556e-23,1.0450913052906213e-20,-1
65,66,79,2020-04-07,-0.011083726904562394,8.100617601642065e-22,6.804518785379335e-19,-1
66,67,80,2020-04-08,-0.010971952975854203,2.1342695250292404e-20,1.7458324714739186e-17,-1
67,68,81,2020-04-09,-0.010826443055824319,1.8768805092386113e-19,1.4996275268816504e-16,-1
68,69,82,2020-04-10,-0.010659851893544816,6.187034399161805e-19,4.875383106539502e-16,-1
69,70,83,2020-04-11,-0.010484848967366598,8.110739007239148e-19,6.366930120682731e-16,-1
70,71,84,2020-04-12,-0.01031449669446738,4.0929340999959855e-19,3.2334179389968287e-16,-1
71,72,85,2020-04-13,-0.010163337085139777,6.967286998445291e-20,5.62260060774535e-17,-1
72,73,86,2020-04-14,-0.010046856063017303,3.251359202839264e-21,2.7051308567622674e-18,-1
73,74,87,2020-04-15,-0.009976555583455598,5.226911318172581e-23,4.442874620446694e-20,-1
74,75,88,2020-04-16,-0.009955938258353706,5.710228628555185e-24,4.8936659346717934e-21,-1
75,76,89,2020-04-17,-0.009981681194734101,6.852223693189008e-23,5.810685691824279e-20,-1
76,77,90,2020-04-18,-0.010044058692625025,1.2897094108002174e-21,1.0807764862505821e-18,-1
77,78,91,2020-04-19,-0.01012735340337056,5.275603329206589e-21,4.368199556583056e-18,-1
78,79,92,2020-04-20,-0.010212003496662578,4.206024965559519e-21,3.486794696448841e-18,-1
79,80,93,2020-04-21,-0.010276475260036989,7.993634088834443e-22,6.722646268709766e-19,-1
80,81,94,2020-04-22,-0.010295989320323131,2.348158433675247e-22,1.9841938764555836e-19,-1
81,82,95,2020-04-23,-0.010244404907693844,1.0624379267048797e-20,8.775737274582306e-18,-1
82,83,96,2020-04-24,-0.010098220187432422,4.982103179940684e-18,3.816291035834564e-15,-1
83,84,97,2020-04-25,-0.009838977326283634,1.0266287698401167e-15,7.094004799595207e-13,-1
84,85,98,2020-04-26,-0.009454402915767423,7.66068258984792e-14,4.7343018405260144e-11,-1
85,86,99,2020-04-27,-0.008938703682305708,2.7336393333132266e-12,1.5171698299888408e-09,-1
