,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0008287620111499525,0.02281225267098617,1.0,0
1,2,15,2020-02-03,0.001449028626700112,0.0013090756452391033,0.1165077324262802,0
2,3,16,2020-02-04,0.002122418474178912,9.47872986927776e-05,0.011564050440518867,1
3,4,17,2020-02-05,0.0028347469553674167,8.960338420502707e-06,0.0013171697478138978,1
4,5,18,2020-02-06,0.0035733022567785147,1.0591736003073261e-06,0.00019806546325747,1
5,6,19,2020-02-07,0.004327087519181242,1.4883065289643053e-07,3.199859037273257e-05,1
6,7,20,2020-02-08,0.005086461856637948,2.3891002582837395e-08,5.924968640543674e-06,1
7,8,21,2020-02-09,0.005843179378604663,4.266170567393945e-09,1.1817292471681229e-06,1
8,9,22,2020-02-10,0.006589833743087522,8.305221356718181e-10,2.7111294169923933e-07,1
9,10,23,2020-02-11,0.007316947597266937,1.7116332440844792e-10,6.315926670671728e-08,1
10,11,24,2020-02-12,0.008011754619499155,3.523652893364307e-11,1.4024138515589942e-08,1
11,12,25,2020-02-13,0.008657419450239548,6.484675051678041e-12,2.9764658487202206e-09,1
12,13,26,2020-02-14,0.009231572701197725,8.853008695882361e-13,4.506181426204122e-10,1
13,14,27,2020-02-15,0.009706001313116377,6.817480558487385e-14,3.940503762805708e-11,1
14,15,28,2020-02-16,0.010050386687199285,2.2727366793811443e-15,1.479551578277125e-12,1
15,16,29,2020-02-17,0.010239057796792354,5.155609724584975e-17,3.732661440599522e-14,1
16,17,30,2020-02-18,0.010256228539532402,2.9639476786919244e-17,2.1725736484811806e-14,1
17,18,31,2020-02-19,0.010094332077906467,1.845244359068635e-15,1.2104802995490245e-12,1
18,19,32,2020-02-20,0.009749769439892749,1.8522334050037563e-13,1.0187283727520659e-10,1
19,20,33,2020-02-21,0.009223059691518983,9.016802293366843e-12,4.0395274274283455e-09,1
20,21,34,2020-02-22,0.008523533119141584,2.3383607707871665e-10,8.418098774833799e-08,1
21,22,35,2020-02-23,0.007668733930636601,4.010933531906287e-09,1.119050455401854e-06,1
22,23,36,2020-02-24,0.006683371643337245,5.556038865715788e-08,1.2778889391146312e-05,1
23,24,37,2020-02-25,0.005598207037080026,7.373595858336805e-07,0.00014157304048006665,1
24,25,38,2020-02-26,0.004451417261894621,1.0709369655201323e-05,0.0015635679696593932,1
25,26,39,2020-02-27,0.003284101447703392,0.00019046247955110645,0.020760410271070603,1
26,27,40,2020-02-28,0.002132121965029976,0.004408711966761327,0.3350621094738609,0
27,28,41,2020-02-29,0.0010191206016797257,0.10810192033450376,1.0,0
28,29,42,2020-03-01,-4.273274937846102e-05,0.9397557868050418,1.0,0
