,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.023480296442221164,8.946120853614176e-17,6.709590640210633e-14,-1
1,2,15,2020-02-03,-0.022633614801073565,4.513224390346797e-15,3.0960719317779026e-12,-1
2,3,16,2020-02-04,-0.02156064786368583,1.862693761475226e-13,1.1343805007384126e-10,-1
3,4,17,2020-02-05,-0.020240937448253022,5.521856213276513e-12,2.7885373877046393e-09,-1
4,5,18,2020-02-06,-0.018673117336741585,1.1686350699944446e-10,4.6862266306777227e-08,-1
5,6,19,2020-02-07,-0.016856950349176485,1.9460120667293914e-09,6.577520785545344e-07,-1
6,7,20,2020-02-08,-0.014796328019207558,2.9021162744801964e-08,8.12592556854455e-06,-1
7,8,21,2020-02-09,-0.012506359567461083,4.5414779136377324e-07,0.00010627058317912294,-1
8,9,22,2020-02-10,-0.010006485094853405,8.998434996595149e-06,0.0016467136043769122,-1
9,10,23,2020-02-11,-0.007313808288421349,0.00026931713092759205,0.03614968297909905,-1
10,11,24,2020-02-12,-0.004448440802314527,0.012219841688635621,0.9653674934022141,0
11,12,25,2020-02-13,-0.0014419970352324118,0.3784312103431662,1.0,0
12,13,26,2020-02-14,0.0016570645061395515,0.33012950463107926,1.0,0
13,14,27,2020-02-15,0.004786392679425512,0.013984333085990102,1.0,0
14,15,28,2020-02-16,0.007878821329419094,0.00048360214774613707,0.05948306417277486,0
15,16,29,2020-02-17,0.010877410549912063,2.1397537082043944e-05,0.0034877985443731627,1
16,17,30,2020-02-18,0.01373899801849669,1.1232106726289887e-06,0.00024261350528786158,1
17,18,31,2020-02-19,0.01642010019580546,6.124980589979383e-08,1.598619933984619e-05,1
18,19,32,2020-02-20,0.01887503826282086,3.1962135827679344e-09,1.0419656279823465e-06,1
19,20,33,2020-02-21,0.02106755827109001,1.5158056217017236e-10,5.8813258122026877e-08,1
20,21,34,2020-02-22,0.022972655998007706,6.426647067132957e-12,3.187616945297947e-09,1
21,22,35,2020-02-23,0.024584591535490665,2.6079071239685723e-13,1.5699600886290807e-10,1
22,23,36,2020-02-24,0.025932443491554567,1.279437762017396e-14,8.521055495035857e-12,1
23,24,37,2020-02-25,0.0270735731448826,1.1231211345054591e-15,7.951697632298651e-13,1
24,25,38,2020-02-26,0.02806889770203448,2.1930707344101503e-16,1.6272584849323314e-13,1
25,26,39,2020-02-27,0.028961922316701652,7.473577381950263e-17,5.620130191226598e-14,1
26,27,40,2020-02-28,0.02975792721616314,2.5200465027792668e-17,1.945475900145594e-14,1
27,28,41,2020-02-29,0.03042472645064912,4.696581322547398e-18,3.7056026634898966e-15,1
28,29,42,2020-03-01,0.030909965484901863,3.441759616148517e-19,2.7912670486964474e-16,1
29,30,43,2020-03-02,0.031172147302416835,1.7213276593738204e-20,1.4493578891927567e-17,1
30,31,44,2020-03-03,0.031192134270293177,1.1917841524156889e-20,1.0058658246388414e-17,1
31,32,45,2020-03-04,0.030958778183702133,4.591989623650033e-19,3.7103276159092264e-16,1
32,33,46,2020-03-05,0.03046748800264868,3.369384122567761e-17,2.580948237886905e-14,1
33,34,47,2020-03-06,0.029716737123231,1.2228959117926223e-15,8.621416178137987e-13,1
34,35,48,2020-03-07,0.028707892677528078,2.0701844122003188e-14,1.3559707899912088e-11,1
35,36,49,2020-03-08,0.027456499256203862,1.7670242557912902e-13,1.077884796032687e-10,1
36,37,50,2020-03-09,0.026013926286220096,8.067143400986798e-13,4.55830165324418e-10,1
