,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.10878054165341344,1.7623541863918783e-05,0.011349560960363696,-1
1,2,15,2020-02-03,-0.14175525216450735,3.3160923444764993e-06,0.002185304855010013,-1
2,3,16,2020-02-04,-0.17610730303724761,7.159750574987446e-07,0.0004797032885241589,-1
3,4,17,2020-02-05,-0.20639010940089186,8.645934475880034e-08,5.939756984929584e-05,-1
4,5,18,2020-02-06,-0.22263872417820968,5.720564045545007e-09,4.073041600428045e-06,-1
5,6,19,2020-02-07,-0.21829409292916657,2.0696841305163775e-08,1.4405001548393987e-05,-1
6,7,20,2020-02-08,-0.19383624079663173,5.658089918313013e-06,0.0037117069864133364,-1
7,8,21,2020-02-09,-0.15311823266435082,0.000899739550449536,0.5317460743156758,0
8,9,22,2020-02-10,-0.10072273842555528,0.03676040794199157,1.0,0
9,10,23,2020-02-11,-0.0411654270456904,0.4037495848339586,1.0,0
10,11,24,2020-02-12,0.02121151685192197,0.6695774385807892,1.0,0
11,12,25,2020-02-13,0.08215822866218866,0.09659025447328906,1.0,0
12,13,26,2020-02-14,0.13739814274031076,0.004313743771679967,1.0,0
13,14,27,2020-02-15,0.18252808793656733,5.8707060661554134e-05,0.03733769058074843,1
14,15,28,2020-02-16,0.213022552511632,3.3030495937782855e-07,0.00022361645749878993,1
15,16,29,2020-02-17,0.22457972551720295,1.5754750885442223e-08,1.1044080370694998e-05,1
16,17,30,2020-02-18,0.2144962701009678,1.2843297447449278e-07,8.771972156607857e-05,1
17,18,31,2020-02-19,0.18522320500615752,2.266543460866819e-06,0.0015004517710938343,1
18,19,32,2020-02-20,0.14607382820776604,2.1407417107481618e-05,0.013722154365895717,1
19,20,33,2020-02-21,0.10586478747110606,0.00020348924277574474,0.12677379824928897,0
20,21,34,2020-02-22,0.06815276353050699,0.0030301431273331287,1.0,0
21,22,35,2020-02-23,0.033614967588199214,0.0690207448408301,1.0,0
22,23,36,2020-02-24,0.0022062478556259396,0.888423951311236,1.0,0
23,24,37,2020-02-25,-0.026041383607991686,0.08712009705807182,1.0,0
24,25,38,2020-02-26,-0.05074091260430355,0.001502068755158228,0.8681957404814558,0
25,26,39,2020-02-27,-0.07104501557952524,2.0048471392648737e-05,0.012891167105473137,-1
26,27,40,2020-02-28,-0.08569834336707388,2.2791290950957457e-07,0.00015520869137602029,-1
27,28,41,2020-02-29,-0.09332213424892881,3.4442730305278845e-09,2.4660994898579653e-06,-1
28,29,42,2020-03-01,-0.0928637673682315,5.03883447756989e-09,3.5926889825073316e-06,-1
29,30,43,2020-03-02,-0.0839621470681654,1.1727458084449275e-06,0.0007810487084243217,-1
30,31,44,2020-03-03,-0.06711864506407654,0.0002899352473685917,0.17834224360272985,0
31,32,45,2020-03-04,-0.043605606940633916,0.023714377063069617,1.0,0
32,33,46,2020-03-05,-0.015217697732939925,0.44540561999674666,1.0,0
33,34,47,2020-03-06,0.0159569314131676,0.4469197901431379,1.0,0
34,35,48,2020-03-07,0.04770714288001292,0.03252174584299601,1.0,0
35,36,49,2020-03-08,0.0778335247065658,0.0008790008543972842,0.5212475066575895,0
36,37,50,2020-03-09,0.10428228009038597,1.1283416914845578e-05,0.00732293757773478,1
37,38,51,2020-03-10,0.125311902743021,6.200604943675462e-08,4.272216806192393e-05,1
38,39,52,2020-03-11,0.13971008175971264,1.1196763275028928e-10,8.285604823521407e-08,1
39,40,53,2020-03-12,0.14702978090867355,1.6716993535226242e-13,1.317299090575828e-10,1
40,41,54,2020-03-13,0.14772735488984698,7.168176038015202e-14,5.670027246070025e-11,1
41,42,55,2020-03-14,0.14304015015194746,1.9234135457412023e-12,1.4848752573122082e-09,1
42,43,56,2020-03-15,0.13457988981371916,2.8501764874524394e-11,2.1433327185642344e-08,1
43,44,57,2020-03-16,0.12386876200124805,1.8583666056509718e-10,1.3733329215760682e-07,1
44,45,58,2020-03-17,0.11207605484202063,7.521522616728094e-10,5.475668464978053e-07,1
