,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.005886413469601855,3.174567356050257e-15,1.987279164887461e-12,-1
1,2,15,2020-02-03,-0.006038065621109046,6.650368650694564e-17,4.555502525725776e-14,-1
2,3,16,2020-02-04,-0.006104903561700958,2.042539503513575e-18,1.4849262190543691e-15,-1
3,4,17,2020-02-05,-0.006076887245634215,1.3454912270642457e-17,9.44904347118462e-15,-1
4,5,18,2020-02-06,-0.0059457128410321395,2.727934607762614e-15,1.7185988028904468e-12,-1
5,6,19,2020-02-07,-0.005707318866124084,3.254082805357134e-13,1.7344261352553522e-10,-1
6,7,20,2020-02-08,-0.005364259786346329,1.6042608202690702e-11,6.769980661535476e-09,-1
7,8,21,2020-02-09,-0.00492637061690096,4.0784599333298957e-10,1.3825979173988347e-07,-1
8,9,22,2020-02-10,-0.004409806782838599,6.519112332404904e-09,1.760160329749324e-06,-1
9,10,23,2020-02-11,-0.0038337678447256706,7.77115067421981e-08,1.6086281895635007e-05,-1
10,11,24,2020-02-12,-0.0032176981125015113,8.000463841089529e-07,0.00011612542768602953,-1
11,12,25,2020-02-13,-0.002582921244629478,7.952995005766424e-06,0.0008748294506343066,-1
12,13,26,2020-02-14,-0.0019522191507614392,8.497588722819016e-05,0.006883046865483403,-1
13,14,27,2020-02-15,-0.0013464647226428855,0.0010984188948137876,0.06590513368882725,0
14,15,28,2020-02-16,-0.0007824983937739453,0.018411089096072027,0.681210296554665,0
15,16,29,2020-02-17,-0.0002730263571476194,0.30229142839320977,1.0,0
16,17,30,2020-02-18,0.00017442444353546742,0.43780689333189504,1.0,0
17,18,31,2020-02-19,0.0005570626595286564,0.009865465138666575,0.42421500096266274,0
18,19,32,2020-02-20,0.0008759846197163402,7.487638205342846e-05,0.006214739710434562,1
19,20,33,2020-02-21,0.001135842185050896,5.985989817230014e-07,9.218424318534221e-05,1
20,21,34,2020-02-22,0.0013445907102416544,5.767220180076292e-09,1.5859855495209805e-06,1
21,22,35,2020-02-23,0.0015119385553156635,6.621294841303102e-11,2.5160920396951787e-08,1
22,23,36,2020-02-24,0.0016491555291608066,1.3764062146027776e-12,6.826974824429777e-10,1
23,24,37,2020-02-25,0.0017704872527711003,1.55525512289719e-13,8.631665932079404e-11,1
24,25,38,2020-02-26,0.0018924794111016482,2.0058704957115648e-13,1.0972111611542259e-10,1
25,26,39,2020-02-27,0.002028723032847849,1.1916673314690324e-12,5.934503310715781e-10,1
26,27,40,2020-02-28,0.002188795394215842,9.065590942613492e-12,3.988860014749937e-09,1
27,28,41,2020-02-29,0.002380697067550661,5.088093788863833e-11,1.9741803900791672e-08,1
28,29,42,2020-03-01,0.002609384675311429,1.764028507806716e-10,6.244660917635774e-08,1
29,30,43,2020-03-02,0.0028758355149574827,3.686709158812317e-10,1.2645412414726248e-07,1
30,31,44,2020-03-03,0.0031773168541234438,4.6363789281648735e-10,1.5531869409352325e-07,1
31,32,45,2020-03-04,0.0035064938585122104,3.4830376451547275e-10,1.201647987578381e-07,1
32,33,46,2020-03-05,0.00385060829665567,1.5680974066566864e-10,5.6294696898975044e-08,1
33,34,47,2020-03-06,0.004193837479639558,4.3553546116333815e-11,1.7160097169835523e-08,1
34,35,48,2020-03-07,0.00451995141887409,7.534073882506038e-12,3.367731025480199e-09,1
35,36,49,2020-03-08,0.004815145592513516,8.097456059666573e-13,4.105410222250952e-10,1
36,37,50,2020-03-09,0.005071693533335178,5.459206568969299e-14,3.128125364019408e-11,1
37,38,51,2020-03-10,0.0052887085875056635,2.3415004473791893e-15,1.4845112836384061e-12,1
38,39,52,2020-03-11,0.0054707360517502555,6.592908594071881e-17,4.525381416835745e-14,1
39,40,53,2020-03-12,0.005624320467415226,1.6557601369871015e-18,1.2120164202745583e-15,1
40,41,54,2020-03-13,0.0057583627641109554,1.352090201185053e-19,1.0384052745101206e-16,1
41,42,55,2020-03-14,0.005888060642077124,2.425060511226062e-19,1.8406209280205811e-16,1
42,43,56,2020-03-15,0.006033257900804032,5.7009518569424386e-18,4.070479625856901e-15,1
43,44,57,2020-03-16,0.0062153808482373046,2.3857728133955393e-16,1.5769958296544515e-13,1
44,45,58,2020-03-17,0.006454917666964129,6.953610925385369e-15,4.283424330037387e-12,1
45,46,59,2020-03-18,0.006768790368000206,1.099555030572152e-13,6.135517070592608e-11,1
46,47,60,2020-03-19,0.00716815002148978,9.18680747680759e-13,4.630150968311025e-10,1
47,48,61,2020-03-20,0.007658372012102824,4.218632030811404e-12,1.9573983624826693e-09,1
48,49,62,2020-03-21,0.00823903732118236,1.1584124662378811e-11,4.9927577294852675e-09,1
49,50,63,2020-03-22,0.00890268279737329,2.0418969520178763e-11,8.453453381354008e-09,1
50,51,64,2020-03-23,0.00963461377350514,2.3681719715095826e-11,9.685823363474194e-09,1
51,52,65,2020-03-24,0.010412453886056975,1.7905300235150698e-11,7.46651019805784e-09,1
52,53,66,2020-03-25,0.011205658747210776,8.536040704674523e-12,3.772929991466139e-09,1
53,54,67,2020-03-26,0.011975694498793247,2.4461403017096467e-12,1.17659348512234e-09,1
54,55,68,2020-03-27,0.012680614397327537,3.9569497967009775e-13,2.085312542861415e-10,1
55,56,69,2020-03-28,0.013282043822365103,3.243246101012151e-14,1.8810827385870476e-11,1
56,57,70,2020-03-29,0.01374862573269767,1.132474475567191e-15,7.29313562265271e-13,1
57,58,71,2020-03-30,0.01405678316154372,1.596328147362274e-17,1.1158333750062295e-14,1
58,59,72,2020-03-31,0.014194500213711317,4.0545949406987547e-19,3.0531099903461623e-16,1
59,60,73,2020-04-01,0.014162643948286781,1.1247366534682844e-18,8.311803869130622e-16,1
60,61,74,2020-04-02,0.013973653982487134,4.295711491851224e-17,2.9726323523610474e-14,1
61,62,75,2020-04-03,0.01364955898543685,8.781453497888619e-16,5.690381866631825e-13,1
62,63,76,2020-04-04,0.013220517902610031,6.545664100336531e-15,4.051766078108313e-12,1
63,64,77,2020-04-05,0.012718838616146243,2.1814302960067702e-14,1.2870438746439945e-11,1
64,65,78,2020-04-06,0.01217284492865251,4.1184611147030184e-14,2.3763520631836415e-11,1
65,66,79,2020-04-07,0.011602338854661864,5.718214773506736e-14,3.265100635672346e-11,1
66,67,80,2020-04-08,0.011016381866837606,8.021516249251118e-14,4.509239805163939e-11,1
67,68,81,2020-04-09,0.01041375107047636,1.5933415618052727e-13,8.82711225240121e-11,1
68,69,82,2020-04-10,0.009787055589467575,5.607416505761258e-13,2.8822120839612867e-10,1
69,70,83,2020-04-11,0.009126089488865053,3.5057762250435787e-12,1.6475552022595795e-09,1
70,71,84,2020-04-12,0.008419871477152119,3.2443208505663816e-11,1.3042169819276853e-08,1
71,72,85,2020-04-13,0.007660917460051901,3.4565370369717467e-10,1.1959618147922244e-07,1
72,73,86,2020-04-14,0.006850672555732716,3.4903869416082835e-09,9.912698914167526e-07,1
73,74,87,2020-04-15,0.00600060196628222,3.0022851579308027e-08,7.055370121137386e-06,1
74,75,88,2020-04-16,0.005129607978129434,2.1245211545116865e-07,3.824138078121036e-05,1
75,76,89,2020-04-17,0.004261292009348526,1.253586974601778e-06,0.00017585197562690187,1
76,77,90,2020-04-18,0.0034205068216924066,6.528028053984822e-06,0.0007376671701002849,1
77,78,91,2020-04-19,0.0026280567041155004,3.3488167619858926e-05,0.0030809114210270214,1
78,79,92,2020-04-20,0.0018957784125361312,0.000208379769980263,0.014169824358657884,1
79,80,93,2020-04-21,0.0012242831702512606,0.0022094826710730574,0.11710258156687205,0
