,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.016649366934425452,2.1879274581962024e-10,4.988474604687341e-08,1
1,2,15,2020-02-03,0.01817586363213939,3.575399854370649e-11,9.832349599519285e-09,1
2,3,16,2020-02-04,0.019509858607103688,4.413669417985061e-12,1.4212015525911897e-09,1
3,4,17,2020-02-05,0.020620374208177493,3.233844365289067e-13,1.2159254813486892e-10,1
4,5,18,2020-02-06,0.02148192671177199,1.0828429517718619e-14,5.1110187323631884e-12,1
5,6,19,2020-02-07,0.022071917525345763,1.3634334048414874e-16,7.825434890109853e-14,1
6,7,20,2020-02-08,0.022367779365895242,1.9412256536308843e-18,1.3472106036198338e-15,1
7,8,21,2020-02-09,0.022363162142801457,2.1149497509945527e-18,1.4593153281862414e-15,1
8,9,22,2020-02-10,0.02208606343285413,5.2822276885207876e-17,3.142925474669869e-14,1
9,10,23,2020-02-11,0.02159321474161379,7.331454599218728e-16,3.914996755982801e-13,1
10,11,24,2020-02-12,0.020954697228068305,3.2784005879757664e-15,1.6359218933999074e-12,1
11,12,25,2020-02-13,0.02024475564976158,5.446174177743934e-15,2.646840650383552e-12,1
12,13,26,2020-02-14,0.019529649203396136,3.6086099203536125e-15,1.7862619105750382e-12,1
13,14,27,2020-02-15,0.018863972669237915,1.0025726308424145e-15,5.253480585614252e-13,1
14,15,28,2020-02-16,0.018282049148432466,1.3633161829459673e-16,7.825434890109853e-14,1
15,16,29,2020-02-17,0.01778671433782889,1.1362976587262125e-17,7.340482875371333e-15,1
16,17,30,2020-02-18,0.01736040402448836,8.968375179581112e-19,6.331672876784265e-16,1
17,18,31,2020-02-19,0.016978868389406626,1.6000652760016205e-19,1.1792481084131944e-16,1
18,19,32,2020-02-20,0.01662501292102047,1.6274661512727902e-19,1.1978150873367735e-16,1
19,20,33,2020-02-21,0.016282959778988033,7.75257639915e-19,5.49657666699735e-16,1
20,21,34,2020-02-22,0.01593523464609746,6.288140162246198e-18,4.1690369275692294e-15,1
21,22,35,2020-02-23,0.015563414376095744,4.25304383400384e-17,2.5645854319043154e-14,1
22,23,36,2020-02-24,0.015156828850560232,1.9532603099648822e-16,1.1016388148201935e-13,1
23,24,37,2020-02-25,0.014707965918857167,6.751147326891707e-16,3.6186149672139547e-13,1
24,25,38,2020-02-26,0.014207215418721593,2.022588980081302e-15,1.0214074349410575e-12,1
25,26,39,2020-02-27,0.013649081905455312,5.992331944173306e-15,2.8883039970915336e-12,1
26,27,40,2020-02-28,0.013045260308285789,1.8357043611025233e-14,8.334097799405456e-12,1
27,28,41,2020-02-29,0.012424192804135132,5.171076559230945e-14,2.2028786142323825e-11,1
28,29,42,2020-03-01,0.011821968557557417,1.0552594474104295e-13,4.326563734382761e-11,1
29,30,43,2020-03-02,0.011266665999354681,1.300245758748635e-13,5.239990407756999e-11,1
30,31,44,2020-03-03,0.010777658776494121,8.163029838928816e-14,3.395820412994388e-11,1
31,32,45,2020-03-04,0.010377113035484744,1.9968768446119096e-14,8.985945800753594e-12,1
32,33,46,2020-03-05,0.010090653855092481,1.67128040818053e-15,8.506817277638898e-13,1
33,34,47,2020-03-06,0.009935957954175791,9.5709056472971e-17,5.5319834641377234e-14,1
