,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,1.0428385854443934e-05,1.5444121295471215e-06,0.000750584294959901,1
1,2,15,2020-02-03,1.2290049541998612e-05,1.8051224890266772e-08,1.0108685938549393e-05,1
2,3,16,2020-02-04,1.3717862778598894e-05,1.165988414944831e-10,7.240788056807401e-08,1
3,4,17,2020-02-05,1.4736855966195168e-05,3.322731972867584e-13,2.3292351129801764e-10,1
4,5,18,2020-02-06,1.5422221539185023e-05,3.218194391778473e-16,2.6003010685570065e-13,1
5,6,19,2020-02-07,1.5885484096582578e-05,2.0740197988610632e-19,1.7546207498364594e-16,1
6,7,20,2020-02-08,1.625317350295561e-05,1.3411564950135883e-19,1.1359595512765093e-16,1
7,8,21,2020-02-09,1.666042885337256e-05,5.421442963661607e-17,4.4564261161298406e-14,1
8,9,22,2020-02-10,1.7237524373744775e-05,1.2910532810198517e-14,9.592525877977499e-12,1
9,10,23,2020-02-11,1.8083420901407982e-05,7.465861366880795e-13,5.136512620413986e-10,1
10,11,24,2020-02-12,1.9252664945912136e-05,1.169363390848621e-11,7.58916840660755e-09,1
11,12,25,2020-02-13,2.076514019087698e-05,6.127002052587905e-11,3.853884291077792e-08,1
12,13,26,2020-02-14,2.260307443312283e-05,1.3034310691187686e-10,8.068238317845177e-08,1
13,14,27,2020-02-15,2.4705013949883696e-05,1.3595058353955315e-10,8.401746062744384e-08,1
14,15,28,2020-02-16,2.6971834454762975e-05,8.220465571531774e-11,5.14601144777889e-08,1
15,16,29,2020-02-17,2.9293797738061887e-05,3.094299521047241e-11,1.9710687949070927e-08,1
16,17,30,2020-02-18,3.156200560072439e-05,7.406587440056028e-12,4.851314773236699e-09,1
17,18,31,2020-02-19,3.3674080704212196e-05,1.1103680051311113e-12,7.561606114942868e-10,1
18,19,32,2020-02-20,3.55523835129735e-05,1.0384234068912706e-13,7.44549582741041e-11,1
19,20,33,2020-02-21,3.716898672470023e-05,6.2814699209498555e-15,4.729946850475241e-12,1
20,21,34,2020-02-22,3.8549175555836097e-05,2.82265913520215e-16,2.291999217784146e-13,1
21,22,35,2020-02-23,3.976605065599569e-05,1.5074374016941994e-17,1.248158168602797e-14,1
22,23,36,2020-02-24,4.0918821566230225e-05,3.0949533658031167e-18,2.5873810138114056e-15,1
23,24,37,2020-02-25,4.211566502474426e-05,7.9582678279564e-18,6.613320565031768e-15,1
24,25,38,2020-02-26,4.3460705103316196e-05,1.1226143833175072e-16,9.194211799370384e-14,1
25,26,39,2020-02-27,4.5057348253387654e-05,2.0759865774497183e-15,1.598509664636283e-12,1
26,27,40,2020-02-28,4.7000501862456815e-05,2.659359608774033e-14,1.943991874013818e-11,1
27,28,41,2020-02-29,4.936030462266726e-05,1.9212821661667729e-13,1.3641103379784087e-10,1
28,29,42,2020-03-01,5.216614152413979e-05,7.427239409228839e-13,5.11736795295867e-10,1
29,30,43,2020-03-02,5.540480660306082e-05,1.6033483890843014e-12,1.0838635110209877e-09,1
30,31,44,2020-03-03,5.904058694462667e-05,2.1315961583427358e-12,1.4281694260896329e-09,1
31,32,45,2020-03-04,6.302571956460881e-05,2.012168307834971e-12,1.3501649345572654e-09,1
32,33,46,2020-03-05,6.729257864807255e-05,1.528374766779143e-12,1.0347097171094798e-09,1
33,34,47,2020-03-06,7.17598132757207e-05,1.0101506720072901e-12,6.899329089809791e-10,1
34,35,48,2020-03-07,7.633148539612578e-05,5.925311386170473e-13,4.112166102002308e-10,1
35,36,49,2020-03-08,8.091703981344681e-05,3.0375994493743244e-13,2.13543241291015e-10,1
36,37,50,2020-03-09,8.54194603905955e-05,1.3107906124548793e-13,9.359044972927838e-11,1
37,38,51,2020-03-10,8.973450528082467e-05,4.510924036552393e-14,3.270419926500485e-11,1
38,39,52,2020-03-11,9.37570497134671e-05,1.1750967556772625e-14,8.754470829795606e-12,1
39,40,53,2020-03-12,9.740089496816976e-05,2.177919561362297e-15,1.6748201426876065e-12,1
40,41,54,2020-03-13,0.00010062105165641138,2.678237606135763e-16,2.1774071737883754e-13,1
41,42,55,2020-03-14,0.00010342762747381894,2.1133504075857133e-17,1.747740787073385e-14,1
42,43,56,2020-03-15,0.0001058712472597255,1.1777521606521689e-18,9.893118149478217e-16,1
43,44,57,2020-03-16,0.00010804517664481228,7.784960956539072e-20,6.617216813058212e-17,1
44,45,58,2020-03-17,0.00011007141903317078,2.0411248179261015e-20,1.7472028441447428e-17,1
45,46,59,2020-03-18,0.00011210631877263877,4.928682182589353e-20,4.199237219566129e-17,1
46,47,60,2020-03-19,0.00011431819927678366,4.870552583323962e-19,4.1010052751587755e-16,1
47,48,61,2020-03-20,0.00011688972555183154,6.787616547688746e-18,5.654084584224725e-15,1
48,49,62,2020-03-21,0.00012002503352788892,8.875690953855524e-17,7.278066582161529e-14,1
49,50,63,2020-03-22,0.00012395428875353268,9.660814413020276e-16,7.564417685394877e-13,1
50,51,64,2020-03-23,0.00012889312008323384,8.158896849999815e-15,6.119172637499862e-12,1
51,52,65,2020-03-24,0.00013502876727327425,5.210878077128203e-14,3.76746484976369e-11,1
52,53,66,2020-03-25,0.00014252790208816592,2.566538678513224e-13,1.8068432296733098e-10,1
53,54,67,2020-03-26,0.0001515197189344898,9.968913297148265e-13,6.818736695249413e-10,1
54,55,68,2020-03-27,0.00016207971437903743,3.0517054722250404e-12,2.029384139029652e-09,1
55,56,69,2020-03-28,0.00017424677776449224,7.255279479669001e-12,4.759463338662865e-09,1
