,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0005255610085031304,0.0007191725494177419,0.07119808239235645,0
1,2,15,2020-02-03,0.0006839152858501463,2.3785491911025435e-06,0.0004210032068251502,1
2,3,16,2020-02-04,0.0007675845653180383,7.632144903195088e-09,2.20568987702338e-06,1
3,4,17,2020-02-05,0.0007760874306658627,3.2169606483725766e-09,9.87606919050381e-07,1
4,5,18,2020-02-06,0.0007142072076447434,2.8331952210661814e-07,6.0630377730816285e-05,1
5,6,19,2020-02-07,0.0005882930289835391,4.3237854082759526e-05,0.005880348155255295,1
6,7,20,2020-02-08,0.0004041378666686578,0.005125977324134154,0.3892735174835661,0
7,8,21,2020-02-09,0.0001660352372573554,0.2627331225267566,1.0,0
8,9,22,2020-02-10,-0.00012150391462959754,0.46993961745157276,1.0,0
9,10,23,2020-02-11,-0.0004538300188723038,0.028980161973938434,1.0,0
10,11,24,2020-02-12,-0.0008268144239044218,0.0015255007690720647,0.141871571523702,0
11,12,25,2020-02-13,-0.0012384483824743814,0.00012266520813431013,0.014842490184251525,-1
12,13,26,2020-02-14,-0.0016886961773747062,1.546842412432658e-05,0.002310174791158821,-1
13,14,27,2020-02-15,-0.00217669657255469,2.7463223599055953e-06,0.0004806064129834792,-1
14,15,28,2020-02-16,-0.0026996657910876385,6.094281567101617e-07,0.00012005734687190187,-1
15,16,29,2020-02-17,-0.0032547156373208784,1.5201953875790308e-07,3.4508435298044e-05,-1
16,17,30,2020-02-18,-0.0038380646164701436,3.9424882309700993e-08,9.97449522435435e-06,-1
17,18,31,2020-02-19,-0.004442761834918041,1.0336994689894439e-08,2.8633475291007598e-06,-1
18,19,32,2020-02-20,-0.005059735839689021,2.7417490254592962e-09,8.581674449687597e-07,-1
19,20,33,2020-02-21,-0.005679970130363066,7.290295894435119e-10,2.4932811958968107e-07,-1
20,21,34,2020-02-22,-0.006295597368346904,1.8899947869127142e-10,7.14418029453006e-08,-1
21,22,35,2020-02-23,-0.00689951322324626,4.6177197669517383e-11,1.8517056265476472e-08,-1
22,23,36,2020-02-24,-0.007483300430865459,1.0474899028250263e-11,4.671804966599618e-09,-1
23,24,37,2020-02-25,-0.008038495959333085,2.216979980917277e-12,1.064150390840293e-09,-1
24,25,38,2020-02-26,-0.008559872000650387,4.499909138014684e-13,2.3579523883196943e-10,-1
25,26,39,2020-02-27,-0.00904607028973243,9.124827867142187e-14,5.082529121998198e-11,-1
26,27,40,2020-02-28,-0.009498372158581516,1.886540370526595e-14,1.113058818610691e-11,-1
27,28,41,2020-02-29,-0.00991727124480979,3.993007213016133e-15,2.459692443217938e-12,-1
28,29,42,2020-03-01,-0.010303838423883745,9.00107262815691e-16,5.724682191507795e-13,-1
29,30,43,2020-03-02,-0.010660663593059077,2.2848587199040546e-16,1.5148613312963883e-13,-1
30,31,44,2020-03-03,-0.010991601178236752,6.846326983989305e-17,4.6349633681607593e-14,-1
31,32,45,2020-03-04,-0.011300023787159972,2.405848802868381e-17,1.6720649179935247e-14,-1
32,33,46,2020-03-05,-0.011588331696835583,9.279793784528465e-18,6.5422546180925676e-15,-1
33,34,47,2020-03-06,-0.011857571925540671,3.579442380791895e-18,2.5664601870277885e-15,-1
34,35,48,2020-03-07,-0.012105038546089011,1.1678595743493606e-18,8.642160850185269e-16,-1
35,36,49,2020-03-08,-0.012323180541433873,2.448674368086711e-19,1.8732358915863338e-16,-1
36,37,50,2020-03-09,-0.01250062655849033,2.3967088859280175e-20,1.8790197665675656e-17,-1
37,38,51,2020-03-10,-0.012624221619292251,8.886289796165127e-22,7.224553604282248e-19,-1
38,39,52,2020-03-11,-0.012683045346589414,3.2289332263888373e-23,2.696159244034679e-20,-1
39,40,53,2020-03-12,-0.012668307116327819,1.0540078750513009e-22,8.727185205424772e-20,-1
40,41,54,2020-03-13,-0.0125717891091378,1.7884406871754338e-20,1.405714380119891e-17,-1
41,42,55,2020-03-14,-0.012385101438231126,2.3146343384140348e-18,1.671165992334933e-15,-1
42,43,56,2020-03-15,-0.01210400405662281,1.1337338742278175e-16,7.618691634810934e-14,-1
43,44,57,2020-03-16,-0.011731577806948917,2.40520629470998e-15,1.5080643467831576e-12,-1
44,45,58,2020-03-17,-0.011277111910633757,2.6482189462117257e-14,1.5439116456414362e-11,-1
45,46,59,2020-03-18,-0.010754083371817987,1.7214208983626408e-13,9.433386523027271e-11,-1
46,47,60,2020-03-19,-0.010179756648244064,7.189344339741848e-13,3.7168910236465357e-10,-1
47,48,61,2020-03-20,-0.009574273080386324,2.0838034806739514e-12,1.0023094742041706e-09,-1
48,49,62,2020-03-21,-0.008956566817557758,4.504698957901413e-12,2.0901803164662556e-09,-1
49,50,63,2020-03-22,-0.008341208207990218,7.701759344266712e-12,3.5120022609856204e-09,-1
50,51,64,2020-03-23,-0.007738180550493351,1.1022999407107266e-11,4.905234736162734e-09,-1
51,52,65,2020-03-24,-0.007155012941715031,1.3888655294517879e-11,6.064194472559663e-09,-1
52,53,66,2020-03-25,-0.006598449601938704,1.6548571986036167e-11,7.148983097967624e-09,-1
53,54,67,2020-03-26,-0.006073394915831804,2.025658570987606e-11,8.609048926697326e-09,-1
54,55,68,2020-03-27,-0.005581655751978697,2.6996666823509855e-11,1.125761006540361e-08,-1
55,56,69,2020-03-28,-0.0051245340188522375,3.7296433946588314e-11,1.5179648616261443e-08,-1
56,57,70,2020-03-29,-0.004705033493866744,4.542254154572179e-11,1.8259861701380157e-08,-1
57,58,71,2020-03-30,-0.004328928051444227,4.047050880842064e-11,1.6390556067410358e-08,-1
58,59,72,2020-03-31,-0.00400175208963149,2.200499807692086e-11,9.296284573056098e-09,-1
59,60,73,2020-04-01,-0.0037267981724110667,6.116626392159113e-12,2.807531514001033e-09,-1
