,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0020156012400825356,3.735800389703034e-08,9.077994946978372e-06,-1
1,2,15,2020-02-03,-0.0022669561860472367,1.225322677232551e-09,3.933285793916489e-07,-1
2,3,16,2020-02-04,-0.002474540982776172,1.6555855673133546e-11,6.9369035270429556e-09,-1
3,4,17,2020-02-05,-0.0026229634455968123,6.706202147093732e-14,3.601230552989334e-11,-1
4,5,18,2020-02-06,-0.002701364416430658,1.0673054907235599e-16,7.289696501641914e-14,-1
5,6,19,2020-02-07,-0.0027046743387267526,6.821827701689563e-17,4.720704769569178e-14,-1
6,7,20,2020-02-08,-0.0026314139071784482,2.6691507356002142e-14,1.49472441193612e-11,-1
7,8,21,2020-02-09,-0.0024806151160539614,7.372905494815203e-12,3.199840984749798e-09,-1
8,9,22,2020-02-10,-0.002248986347381608,1.2424768562670372e-09,3.975925940054519e-07,-1
9,10,23,2020-02-11,-0.0019322644928345789,1.8859300030364842e-07,3.922734406315887e-05,-1
10,11,24,2020-02-12,-0.0015265867508392976,2.946211744725236e-05,0.003682764680906545,-1
11,12,25,2020-02-13,-0.001027220808638909,0.00418030375942769,0.2842606556410829,0
12,13,26,2020-02-14,-0.00043220062505516885,0.2366861217738533,1.0,0
13,14,27,2020-02-15,0.00025327577745997505,0.5349713049834164,1.0,0
14,15,28,2020-02-16,0.0010143492241031838,0.03786792337069084,1.0,0
15,16,29,2020-02-17,0.0018269064857795454,0.001798149253130906,0.14205379099734158,0
16,17,30,2020-02-18,0.002658959198976567,9.333561903005158e-05,0.009893575617185468,1
17,18,31,2020-02-19,0.0034753619054485826,5.214460716673064e-06,0.0007717401860676135,1
18,19,32,2020-02-20,0.004241094200936067,2.697259237543593e-07,5.313600697960878e-05,1
19,20,33,2020-02-21,0.004921983337839025,1.092734834304972e-08,2.928529355937325e-06,1
20,21,34,2020-02-22,0.005491030660764526,2.939378838596919e-10,1.0346613511861154e-07,1
21,22,35,2020-02-23,0.00593490091037871,4.388500778030845e-12,1.9397173438896333e-09,1
22,23,36,2020-02-24,0.006252834985376072,2.8836155434254e-14,1.6119410887747986e-11,1
23,24,37,2020-02-25,0.006453928714503036,7.1682295105082e-17,4.9460783622506576e-14,1
24,25,38,2020-02-26,0.006554377767060929,2.3591051906386875e-19,1.835383838316899e-16,1
