,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.010535505276919361,7.499756578783827e-16,3.6748807236040753e-13,-1
1,2,15,2020-02-03,-0.010225646456528603,2.838233904674088e-16,1.489529293830376e-13,-1
2,3,16,2020-02-04,-0.009958099658284772,4.8272025057841635e-17,2.7032334032391316e-14,-1
3,4,17,2020-02-05,-0.009742880753979248,2.9599415733596712e-18,1.817406969381714e-15,-1
4,5,18,2020-02-06,-0.009587666298384128,4.810591408197371e-20,3.309686888839791e-17,-1
5,6,19,2020-02-07,-0.00949653630942987,2.2428628707591508e-22,1.7785902565120066e-19,-1
6,7,20,2020-02-08,-0.009466978259784141,8.523170136535845e-24,7.05718487305168e-21,-1
7,8,21,2020-02-09,-0.009489416713765991,6.890771707526049e-23,5.595306626511152e-20,-1
8,9,22,2020-02-10,-0.00954754336682426,5.804135812857319e-22,4.451772168461564e-19,-1
9,10,23,2020-02-11,-0.009619001775226834,7.617545673685862e-22,5.774099620653884e-19,-1
10,11,24,2020-02-12,-0.00967906927761775,1.7746697273940623e-22,1.4197357819152498e-19,-1
11,12,25,2020-02-13,-0.00970608263916584,2.9038441203395196e-23,2.381152178678406e-20,-1
12,13,26,2020-02-14,-0.009684210176176723,2.4015856089367163e-22,1.8996542166689425e-19,-1
13,14,27,2020-02-15,-0.009602973187175349,4.4973949399776824e-20,3.103202508584601e-17,-1
14,15,28,2020-02-16,-0.009456744759907197,4.938807448237437e-18,2.9781008912871743e-15,-1
15,16,29,2020-02-17,-0.009246025796234085,1.72877454155891e-16,9.23165605192458e-14,-1
16,17,30,2020-02-18,-0.008978165482605991,2.2122027714683094e-15,1.0131888693324856e-12,-1
17,18,31,2020-02-19,-0.00866663033207705,1.1878674521548036e-14,4.9415286009639835e-12,-1
18,19,32,2020-02-20,-0.00832878783395979,2.934422543833349e-14,1.1502936371826729e-11,-1
19,20,33,2020-02-21,-0.007984638894471778,3.456042455420152e-14,1.3444005151584391e-11,-1
20,21,34,2020-02-22,-0.00765480683788296,1.9118319466520034e-14,7.647327786608013e-12,-1
21,22,35,2020-02-23,-0.007357350235403199,4.749677093319976e-15,2.0708592126875098e-12,-1
22,23,36,2020-02-24,-0.0071058675996087985,4.908178711048381e-16,2.503171142634674e-13,-1
23,24,37,2020-02-25,-0.006909303153167813,1.8133339480952017e-17,1.051733689895217e-14,-1
24,25,38,2020-02-26,-0.00677233987213068,1.8057580595226068e-19,1.1899945612253978e-16,-1
25,26,39,2020-02-27,-0.006695567760827623,4.515309715779466e-22,3.5129109588764244e-19,-1
26,27,40,2020-02-28,-0.006676470943679587,2.216006880216334e-23,1.8237736624180428e-20,-1
27,28,41,2020-02-29,-0.006710980157513072,1.678019893088041e-21,1.2367006612058862e-18,-1
28,29,42,2020-03-01,-0.006793441393545681,1.3731565541860165e-19,9.200148913046311e-17,-1
29,30,43,2020-03-02,-0.006917327720721256,3.0724736529174196e-18,1.8834263492383782e-15,-1
30,31,44,2020-03-03,-0.007076487252797414,2.6696807859223153e-17,1.5217180479757198e-14,-1
31,32,45,2020-03-04,-0.007266088687712179,1.1648140733015545e-16,6.359884840226487e-14,-1
32,33,46,2020-03-05,-0.007480230365247844,2.8868355168536167e-16,1.5098149753144416e-13,-1
33,34,47,2020-03-06,-0.007710150434486172,4.0829843775961633e-16,2.1109029232172165e-13,-1
34,35,48,2020-03-07,-0.007944638854775345,3.108573114519585e-16,1.6226751657792232e-13,-1
35,36,49,2020-03-08,-0.00817001647165759,1.1781964799678094e-16,6.397606886225205e-14,-1
36,37,50,2020-03-09,-0.008371688617999794,2.0497512361404292e-17,1.1786069607807469e-14,-1
37,38,51,2020-03-10,-0.008535868653837842,1.4399866507301186e-18,9.08631576610705e-16,-1
38,39,52,2020-03-11,-0.008652259967674884,3.677168131915044e-20,2.5446003472852103e-17,-1
39,40,53,2020-03-12,-0.00871401200830549,7.13086945958537e-22,5.433722528204052e-19,-1
40,41,54,2020-03-13,-0.008717127419409571,5.311308425871327e-22,4.0897074879209216e-19,-1
41,42,55,2020-03-14,-0.008660431696362709,2.5137660048933826e-20,1.7503994200851402e-17,-1
42,43,56,2020-03-15,-0.00854494626227026,1.2840211394218445e-18,8.140694023934494e-16,-1
43,44,57,2020-03-16,-0.008372676823611813,2.865841450874645e-17,1.6277979440967985e-14,-1
44,45,58,2020-03-17,-0.008146069692136408,3.3624725920439053e-16,1.7484857478628308e-13,-1
45,46,59,2020-03-18,-0.00786867255896382,2.7146510525273686e-15,1.2324515778474254e-12,-1
46,47,60,2020-03-19,-0.00754485467922346,1.873632256860623e-14,7.532001672579705e-12,-1
47,48,61,2020-03-20,-0.007177734977800422,1.2655275227322505e-13,4.543243806608779e-11,-1
48,49,62,2020-03-21,-0.006769927934467384,8.694496889580295e-13,2.695294035769892e-10,-1
49,50,63,2020-03-22,-0.006325767414079025,5.754309993707423e-12,1.4731033583891004e-09,-1
50,51,64,2020-03-23,-0.005851635985628985,3.4345187008082314e-11,7.41856039374578e-09,-1
51,52,65,2020-03-24,-0.0053555950902612484,1.7351951270176797e-10,3.2795187900634145e-08,-1
52,53,66,2020-03-25,-0.004848679614670943,7.037547214987247e-10,1.2104581209778065e-07,-1
53,54,67,2020-03-26,-0.004343004480081004,2.2266870266576904e-09,3.45136489131942e-07,-1
54,55,68,2020-03-27,-0.003849802395894708,5.4735642737483645e-09,7.608254340510226e-07,-1
55,56,69,2020-03-28,-0.003378463366987164,1.0636379997915055e-08,1.4040021597247874e-06,-1
56,57,70,2020-03-29,-0.0029356337250913823,1.7298187099670377e-08,2.1449752003591268e-06,-1
57,58,71,2020-03-30,-0.0025210746679081306,2.8467247170835556e-08,3.44570165626457e-06,-1
58,59,72,2020-03-31,-0.002125023297542946,7.371231431163349e-08,8.624340774461118e-06,-1
59,60,73,2020-04-01,-0.001728623502383517,6.106754853673696e-07,6.106754853673695e-05,-1
60,61,74,2020-04-02,-0.0013075287109341077,2.7510696592105947e-05,0.00217334503077637,-1
61,62,75,2020-04-03,-0.000834693887853921,0.0044523683177923575,0.1780947327116943,0
62,63,76,2020-04-04,-0.0002843094114874274,0.35456361282396054,1.0,0
63,64,77,2020-04-05,0.00035956153635481494,0.33846271705921327,1.0,0
64,65,78,2020-04-06,0.0010994511786760568,0.023977013877221304,0.6412676526950243,0
65,66,79,2020-04-07,0.0019245025152020674,0.0017479475810418194,0.07690969356584006,0
66,67,80,2020-04-08,0.0028120722619719885,0.0001512237697266355,0.010585663880864486,1
67,68,81,2020-04-09,0.0037315944933763077,1.369639494809171e-05,0.001136800780691612,1
68,69,82,2020-04-10,0.004647630083388409,1.129282884219033e-06,0.0001095404397692462,1
69,70,83,2020-04-11,0.005521169974136578,7.445562489538494e-08,8.636852487864652e-06,1
70,71,84,2020-04-12,0.006312801320169799,3.4916785117187736e-09,5.216367002713637e-07,1
71,72,85,2020-04-13,0.00698920982941365,1.0244346955116695e-10,2.0283806971131055e-08,1
72,73,86,2020-04-14,0.0075274983472234545,1.5729375195844683e-12,4.6244363075783366e-10,1
73,74,87,2020-04-15,0.007917075529563694,9.58910479474113e-15,4.0178349089965335e-12,1
74,75,88,2020-04-16,0.008159049680195036,1.7981753673492683e-17,1.0447398884299248e-14,1
75,76,89,2020-04-17,0.008264800096800803,5.209127931587078e-20,3.5682526331371486e-17,1
76,77,90,2020-04-18,0.008254377757452715,1.0594230036699812e-19,7.151105274772373e-17,1
77,78,91,2020-04-19,0.00815033957880654,4.6799801063247485e-18,2.831387964326473e-15,1
78,79,92,2020-04-20,0.007973214713253272,9.500044819651581e-17,5.225024650808369e-14,1
79,80,93,2020-04-21,0.007739993949826302,8.535039627605719e-16,4.1480292590163796e-13,1
80,81,94,2020-04-22,0.007464573185124711,4.543630467577385e-15,1.994653775266472e-12,1
81,82,95,2020-04-23,0.007158488551115488,1.7662261647062338e-14,7.117891443766122e-12,1
82,83,96,2020-04-24,0.006831031853622804,5.751722463273773e-14,2.1511442012643912e-11,1
83,84,97,2020-04-25,0.006488804786520214,1.6574469182012578e-13,5.8176386828864146e-11,1
84,85,98,2020-04-26,0.006136873416095328,4.2398377241806607e-13,1.3821870980828953e-10,1
85,86,99,2020-04-27,0.005779632060422849,9.651205966988575e-13,2.9629202318654924e-10,1
86,87,100,2020-04-28,0.00542101286299827,1.968856669425357e-12,5.709684341333536e-10,1
87,88,101,2020-04-29,0.005065004155829775,3.6042350947966644e-12,9.731434755950995e-10,1
88,89,102,2020-04-30,0.004716043505509577,5.92692099527002e-12,1.505437932798585e-09,1
89,90,103,2020-05-01,0.00437813532093056,8.826455239212548e-12,2.1624815336070742e-09,1
90,91,104,2020-05-02,0.004054220772747717,1.2158771946432286e-11,2.8573114074115875e-09,1
91,92,105,2020-05-03,0.003745959947023459,1.5867119954749948e-11,3.6494375895924882e-09,1
92,93,106,2020-05-04,0.0034539036035588252,2.0209359522488387e-11,4.5875246116048635e-09,1
93,94,107,2020-05-05,0.003177618908611032,2.6133505555483335e-11,5.81372256261743e-09,1
94,95,108,2020-05-06,0.0029163836720367676,3.5637838414871504e-11,7.626497420782502e-09,1
95,96,109,2020-05-07,0.002669108491961254,5.2846274165083806e-11,1.1150563848832684e-08,1
96,97,110,2020-05-08,0.0024341241319684546,8.69999515719042e-11,1.7486990265952745e-08,1
97,98,111,2020-05-09,0.0022100212782492595,1.6052668492294986e-10,3.0500070135360475e-08,1
98,99,112,2020-05-10,0.001996294632514067,3.305808557835778e-10,6.016571575261116e-08,1
99,100,113,2020-05-11,0.0017931363192756238,7.234491262195119e-10,1.2370980058353654e-07,1
100,101,114,2020-05-12,0.0016013071030012256,1.530092691572325e-09,2.44814830651572e-07,1
101,102,115,2020-05-13,0.001422408359548311,2.798198653665132e-09,4.2532619535710006e-07,1
102,103,116,2020-05-14,0.0012588914006520496,3.9784217135996985e-09,5.768711484719563e-07,1
103,104,117,2020-05-15,0.0011134783082553297,3.924273948569351e-09,5.729439964911253e-07,1
104,105,118,2020-05-16,0.0009886635375226137,2.302846302919536e-09,3.546383306496085e-07,1
105,106,119,2020-05-17,0.0008865575660579479,6.497958453946235e-10,1.1371427294405912e-07,1
106,107,120,2020-05-18,0.0008088481663277106,6.436126619506791e-11,1.3387143368574125e-08,1
107,108,121,2020-05-19,0.0007567647380579235,1.4660233005805026e-12,4.3247687367124827e-10,1
108,109,122,2020-05-20,0.0007313141582074894,1.488524560629727e-14,6.058294961762989e-12,1
109,110,123,2020-05-21,0.0007331716954437316,2.4595520851281625e-14,9.666039694553679e-12,1
110,111,124,2020-05-22,0.000762282141536356,2.13942718175501e-12,6.140156011636879e-10,1
111,112,125,2020-05-23,0.0008181814820293043,6.509083931527589e-11,1.3473803738262108e-08,1
112,113,126,2020-05-24,0.0009004523374902188,5.728314767384259e-10,1.0081833990596296e-07,1
113,114,127,2020-05-25,0.0010089435297794514,2.186665586566075e-09,3.411198315043077e-07,1
114,115,128,2020-05-26,0.0011432777768802642,4.6582686783907435e-09,6.614741523314856e-07,1
115,116,129,2020-05-27,0.0013030627615007694,6.517544673030979e-09,8.929036202052442e-07,1
116,117,130,2020-05-28,0.0014879271973505619,6.715177606740911e-09,9.132641545167639e-07,1
117,118,131,2020-05-29,0.0016970286955723182,5.477662720208897e-09,7.608254340510226e-07,1
118,119,132,2020-05-30,0.0019284092232217157,3.661798598123104e-09,5.419461925222193e-07,1
119,120,133,2020-05-31,0.002179230493676611,2.068120333092684e-09,3.246948922955514e-07,1
120,121,134,2020-06-01,0.002446086799818216,1.0151379263643695e-09,1.702045490593709e-07,1
121,122,135,2020-06-02,0.0027253256154184447,4.4228435716869144e-10,7.872661557602708e-08,1
122,123,136,2020-06-03,0.0030139194387035894,1.7728140015505132e-10,3.332890322914965e-08,1
123,124,137,2020-06-04,0.0033094488927829643,6.816059324106601e-11,1.4041082207659598e-08,1
124,125,138,2020-06-05,0.0036100083739613992,2.633699686148339e-11,5.820476306387829e-09,1
125,126,139,2020-06-06,0.003913986238782038,1.0618346035896392e-11,2.537784702579238e-09,1
126,127,140,2020-06-07,0.004220073792277004,4.533887285963928e-12,1.192412356208513e-09,1
127,128,141,2020-06-08,0.004527130127622198,2.034307401575485e-12,5.858805316537397e-10,1
128,129,142,2020-06-09,0.004833629580955971,9.494602515610106e-13,2.9243375748079124e-10,1
129,130,143,2020-06-10,0.005137777887772608,4.5044549300564795e-13,1.4639478522683558e-10,1
130,131,144,2020-06-11,0.005438284806856873,2.1015944016473956e-13,7.208468797650567e-11,1
131,132,145,2020-06-12,0.005734942024947735,9.457446528598201e-14,3.414138196823951e-11,1
132,133,146,2020-06-13,0.0060271753211684305,4.0781610203780384e-14,1.566013831825167e-11,1
133,134,147,2020-06-14,0.00631346389933988,1.662394309610502e-14,6.732696953922533e-12,1
134,135,148,2020-06-15,0.006590843410573984,6.2332450234016094e-15,2.680295360062692e-12,1
135,136,149,2020-06-16,0.006855091555910306,2.1014507553378905e-15,9.678481614012326e-13,1
136,137,150,2020-06-17,0.007102094576340434,6.16083713979598e-16,3.061936058478602e-13,1
137,138,151,2020-06-18,0.007327860253956543,1.4889377181620072e-16,7.99559554652998e-14,1
138,139,152,2020-06-19,0.007528612723934181,2.712897609655877e-17,1.543638739894194e-14,1
139,140,153,2020-06-20,0.007700989720694331,3.2981242089236744e-18,2.018452015861289e-15,1
140,141,154,2020-06-21,0.00784274292807396,2.3058526354981443e-19,1.5080276236157863e-16,1
141,142,155,2020-06-22,0.007952883803662056,7.574658054308598e-21,5.3855818766134134e-18,1
142,143,156,2020-06-23,0.008031934258500881,8.785310128675371e-23,7.0985305839697e-20,1
143,144,157,2020-06-24,0.008081696090956365,3.0155239297232945e-25,2.5330401009675675e-22,1
144,145,158,2020-06-25,0.008105445704646205,1.381871274882331e-27,1.1939367814983339e-24,1
145,146,159,2020-06-26,0.008107621573842563,7.686744690433451e-28,6.649034157224935e-25,1
146,147,160,2020-06-27,0.008092183597938509,7.606417188656125e-27,6.518699530678299e-24,1
147,148,161,2020-06-28,0.008061772624975053,6.158275714826555e-26,5.2222178061729186e-23,1
148,149,162,2020-06-29,0.0080178710402917,4.043025057479431e-25,3.388054998167763e-22,1
149,150,163,2020-06-30,0.007960373969411861,3.845124178635379e-24,3.1991433166246357e-21,1
150,151,164,2020-07-01,0.007887859488912309,6.986374237533401e-23,5.665949506639588e-20,1
151,152,165,2020-07-02,0.007798142624591046,1.8151227252946823e-21,1.3341152030915915e-18,1
152,153,166,2020-07-03,0.00768803133449789,4.585161357703134e-20,3.159176175457459e-17,1
153,154,167,2020-07-04,0.0075533895140531705,9.203185174122437e-19,5.917648066960727e-16,1
154,155,168,2020-07-05,0.007389901966630295,1.3971408821632565e-17,8.215188387119948e-15,1
155,156,169,2020-07-06,0.007193756454251035,1.6036149135384097e-16,8.579339787430492e-14,1
