,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.009231429799707438,3.790366098044634e-10,1.212917151374283e-07,-1
1,2,15,2020-02-03,-0.008266446783657271,2.0514630435538667e-09,5.579979478466517e-07,-1
2,3,16,2020-02-04,-0.007262134543380717,1.1829012936781478e-08,2.8153050789539916e-06,-1
3,4,17,2020-02-05,-0.006224926119523058,8.274143404346085e-08,1.6961993978909474e-05,-1
4,5,18,2020-02-06,-0.005157989923330686,7.842309545644372e-07,0.00013410349323051876,-1
5,6,19,2020-02-07,-0.004063451193241665,1.1140136460455066e-05,0.001537338831542799,-1
6,7,20,2020-02-08,-0.002948736034305108,0.00025346506214178654,0.02559997127632044,-1
7,8,21,2020-02-09,-0.0018269836911629935,0.008631724533283803,0.5783255437300148,0
8,9,22,2020-02-10,-0.0007173757224025949,0.24281300045015897,1.0,0
9,10,23,2020-02-11,0.0003607874187142441,0.5420346320334366,1.0,0
10,11,24,2020-02-12,0.0013934104484661326,0.026756043881125322,1.0,0
11,12,25,2020-02-13,0.0023625700018928037,0.0006143103649852486,0.055902243213657624,0
12,13,26,2020-02-14,0.003245010287447672,1.3118051960442736e-05,0.001744700910738884,1
13,14,27,2020-02-15,0.004017147827239426,2.664158621373946e-07,5.035259794396758e-05,1
14,15,28,2020-02-16,0.004659659432083069,4.429749838009915e-09,1.1030077096644687e-06,1
15,16,29,2020-02-17,0.00516309661786662,4.925474742287147e-11,1.8224256546462443e-08,1
16,17,30,2020-02-18,0.005531403225233206,2.839187364964432e-13,1.4366288066720027e-10,1
17,18,31,2020-02-19,0.00577853605450699,6.248033194611534e-16,4.223670439557397e-13,1
18,19,32,2020-02-20,0.005925549918158657,4.464831129731747e-19,3.437919969893445e-16,1
19,20,33,2020-02-21,0.005997269849865003,3.7250297181733e-22,3.069424487774799e-19,1
20,21,34,2020-02-22,0.006016242614272699,4.138979390316632e-23,3.4684647290853375e-20,1
