,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.029264382654414754,3.7558322428428204e-12,1.4685304069515428e-09,1
1,2,15,2020-02-03,0.028000276343000126,3.267305100908578e-13,1.4506834648034085e-10,1
2,3,16,2020-02-04,0.02743332415716886,2.651309680936673e-14,1.2972470735022203e-11,1
3,4,17,2020-02-05,0.027608348748610755,7.324538295035464e-14,3.420559383781562e-11,1
4,5,18,2020-02-06,0.028505017037906366,1.8702249508668406e-12,7.593113300519373e-10,1
5,6,19,2020-02-07,0.030024665544372078,1.9608833033516055e-11,7.098397558132812e-09,1
6,7,20,2020-02-08,0.03199391509454284,5.138110985777346e-11,1.793200734036294e-08,1
7,8,21,2020-02-09,0.0341959024742207,3.940700568520332e-11,1.3989487018247178e-08,1
8,9,22,2020-02-10,0.036395321781767714,9.884207366491976e-12,3.676925140335015e-09,1
9,10,23,2020-02-11,0.03833191649539864,7.735481772336765e-13,3.241166862609104e-10,1
10,11,24,2020-02-12,0.039707668493612853,1.8821018253740088e-14,9.448151163377524e-12,1
11,12,25,2020-02-13,0.04022175577503284,1.2105868053291327e-15,7.372473644454418e-13,1
12,13,26,2020-02-14,0.03966532759157233,2.892918742108525e-14,1.3943868336963092e-11,1
13,14,27,2020-02-15,0.03800780445021439,4.626048745889669e-12,1.804159010896971e-09,1
14,15,28,2020-02-16,0.03539994412164361,2.5857443173708053e-10,7.912377611154664e-08,1
15,16,29,2020-02-17,0.03210343342339908,5.031522729314795e-09,1.35347961418568e-06,1
16,17,30,2020-02-18,0.028411988878565428,4.362955757388063e-08,1.0645612048026875e-05,1
17,18,31,2020-02-19,0.024610006954965496,1.9534406287678246e-07,4.4343102273029616e-05,1
18,19,32,2020-02-20,0.02095850140586797,4.768272483693218e-07,9.870324041244961e-05,1
19,20,33,2020-02-21,0.017665920228000426,6.02647549659363e-07,0.00012294010013051004,1
20,21,34,2020-02-22,0.014875371546886593,3.1837887326534356e-07,6.845145775204887e-05,1
21,22,35,2020-02-23,0.012680547539258196,4.371072657117501e-08,1.0645612048026875e-05,1
22,23,36,2020-02-24,0.011139765262484119,6.792016421387769e-10,1.9764767786238406e-07,1
23,24,37,2020-02-25,0.010258588594615006,6.055596638485602e-13,2.579684167994866e-10,1
24,25,38,2020-02-26,0.009953321400358131,3.671372983544204e-15,2.1036967195708293e-12,1
25,26,39,2020-02-27,0.01004722134643167,8.537413207119788e-15,4.5675160658090864e-12,1
26,27,40,2020-02-28,0.010329155013539433,4.122046842305252e-15,2.328956465902467e-12,1
