,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.006192201669600933,6.337614150422168e-11,1.818895261171162e-08,-1
1,2,15,2020-02-03,-0.006654151509310162,1.1152040310392002e-11,3.7136294233605367e-09,-1
2,3,16,2020-02-04,-0.007045070880643256,7.570673145539741e-13,2.8844264684506413e-10,-1
3,4,17,2020-02-05,-0.007313349000243004,1.9328281274726337e-14,9.45152954334118e-12,-1
4,5,18,2020-02-06,-0.007410728792770891,1.3314915970280628e-15,7.2166844558921e-13,-1
5,6,19,2020-02-07,-0.0072975259410427255,4.394334953876854e-14,2.043365753552737e-11,-1
6,7,20,2020-02-08,-0.006944933965325785,1.8181580459246472e-11,5.8440918881460316e-09,-1
7,8,21,2020-02-09,-0.006335864578443427,3.920854864381945e-09,8.508255055708822e-07,-1
8,9,22,2020-02-10,-0.005469445262584896,4.364663884491332e-07,6.328762632512431e-05,-1
9,10,23,2020-02-11,-0.004361794787606687,3.4172208177991275e-05,0.003451393025977119,-1
10,11,24,2020-02-12,-0.0030473728814844297,0.0021853754104280937,0.1464201524986823,0
11,12,25,2020-02-13,-0.0015798375986941077,0.0900609341815313,1.0,0
12,13,26,2020-02-14,-2.588263233977007e-05,0.9772586223931378,1.0,0
13,14,27,2020-02-15,0.0015411202134957662,0.10468165419443493,1.0,0
14,15,28,2020-02-16,0.0030431112294969317,0.0030265731833566917,0.1941929708745198,0
15,16,29,2020-02-17,0.00439685902708117,5.605779074439236e-05,0.005605779074439236,1
16,17,30,2020-02-18,0.005524993960980391,7.800523956277323e-07,0.00010920733538788252,1
17,18,31,2020-02-19,0.006370490231896469,6.7982948693892786e-09,1.4072470379635808e-06,1
18,19,32,2020-02-20,0.0069052786195692075,3.5358262787355834e-11,1.0748911887356173e-08,1
19,20,33,2020-02-21,0.0071321783280049135,6.473839218653341e-13,2.4794804207442294e-10,1
