,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.011798229720118299,2.6510612519835143e-21,2.2003808391463167e-18,-1
1,2,15,2020-02-03,-0.011758556246061126,2.0452145845742163e-20,1.6791211739354315e-17,-1
2,3,16,2020-02-04,-0.011629251045822483,5.72799273303606e-19,4.462106339035091e-16,-1
3,4,17,2020-02-05,-0.011428014183741645,6.195271005157613e-18,4.603086356832106e-15,-1
4,5,18,2020-02-06,-0.011174209797659575,2.788564339569283e-17,2.0049777601503142e-14,-1
5,6,19,2020-02-07,-0.01088645180582317,6.945535287170391e-17,4.903547912742296e-14,-1
6,7,20,2020-02-08,-0.01058055143849611,1.2096699023636193e-16,8.431399219474426e-14,-1
7,8,21,2020-02-09,-0.010266762703702073,1.7761428516141332e-16,1.2202101390589096e-13,-1
8,9,22,2020-02-10,-0.009949970787327364,2.560869741405798e-16,1.7413914241559428e-13,-1
9,10,23,2020-02-11,-0.00963127205607768,3.846515699991192e-16,2.5771655189940986e-13,-1
10,11,24,2020-02-12,-0.009311448864162103,5.83813336848366e-16,3.8473298898307317e-13,-1
11,12,25,2020-02-13,-0.008993477856947714,8.744400666050121e-16,5.683860432932579e-13,-1
12,13,26,2020-02-14,-0.00867984960146332,1.278261488216247e-15,8.257569213876955e-13,-1
13,14,27,2020-02-15,-0.008367881772122037,1.893256156703842e-15,1.2041109156636435e-12,-1
14,15,28,2020-02-16,-0.008049365470386713,3.293884029872478e-15,2.0652652867300437e-12,-1
15,16,29,2020-02-17,-0.007715206274608908,8.189126899206176e-15,5.003556535414974e-12,-1
16,17,30,2020-02-18,-0.0073570758782145924,3.266744775002619e-14,1.8816449904015085e-11,-1
17,18,31,2020-02-19,-0.00696706339589721,2.034140907714783e-13,1.0760605401811201e-10,-1
18,19,32,2020-02-20,-0.006535540327968029,1.8192097379188625e-12,8.568477865597842e-10,-1
19,20,33,2020-02-21,-0.0060510055816047235,2.227441071639659e-11,9.065685161573413e-09,-1
20,21,34,2020-02-22,-0.005501667628634797,3.6215826763234384e-10,1.2530676060079097e-07,-1
21,22,35,2020-02-23,-0.004879460563879648,7.212804338014108e-09,2.0412236276579924e-06,-1
22,23,36,2020-02-24,-0.0041804643874304385,1.6494635542813166e-07,3.6783037260473356e-05,-1
23,24,37,2020-02-25,-0.003407344595454205,4.25870161226861e-06,0.000698427064412052,-1
24,25,38,2020-02-26,-0.002569513289658759,0.00012999963864991046,0.015209957722039523,-1
25,26,39,2020-02-27,-0.0016847696294612184,0.004692195404184634,0.3566068507180322,0
26,27,40,2020-02-28,-0.0007781264163911233,0.14161446256209223,1.0,0
27,28,41,2020-02-29,0.00012328236304590313,0.8048211848377013,1.0,0
28,29,42,2020-03-01,0.0009922265346651085,0.054425336961061985,1.0,0
29,30,43,2020-03-02,0.0018001909300358234,0.0011836990065884206,0.11245140562589996,0
30,31,44,2020-03-03,0.0025158723094786616,1.9398005877111372e-05,0.002754516834549815,1
31,32,45,2020-03-04,0.003108541682425457,2.6176392460049827e-07,5.7064535562908625e-05,1
32,33,46,2020-03-05,0.003552073523439306,2.3498298427169716e-09,7.072987826578084e-07,1
