,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.011361209604867806,5.975613363122962e-12,3.0176847483770958e-09,-1
1,2,15,2020-02-03,-0.010609896790180418,6.532030767046657e-11,2.8283693221312026e-08,-1
2,3,16,2020-02-04,-0.009779887547709,3.3719190941141967e-10,1.3116765276104225e-07,-1
3,4,17,2020-02-05,-0.008909985730928039,9.239426681175612e-10,3.316954178542045e-07,-1
4,5,18,2020-02-06,-0.008036643065971917,1.4242023361843974e-09,4.956224129921703e-07,-1
5,6,19,2020-02-07,-0.007196341192270111,1.2607312087529217e-09,4.425166542722755e-07,-1
6,7,20,2020-02-08,-0.006421599591907459,6.614449937929803e-10,2.4605753769098865e-07,-1
7,8,21,2020-02-09,-0.005736379201171385,2.349364932066423e-10,9.371980013739208e-08,-1
8,9,22,2020-02-10,-0.005146792035106429,8.777524924520014e-11,3.739225617845526e-08,-1
9,10,23,2020-02-11,-0.004634987911678959,7.321383265545003e-11,3.162837570715442e-08,-1
10,11,24,2020-02-12,-0.004163166053975459,2.546445950873115e-10,1.0109390424966267e-07,-1
11,12,25,2020-02-13,-0.0036800106895802467,3.666383848189587e-09,1.1512445283315302e-06,-1
12,13,26,2020-02-14,-0.0031327810665699282,1.5291085300077377e-07,3.348747680716946e-05,-1
13,14,27,2020-02-15,-0.002480074500447059,1.355642832044652e-05,0.0020470206763874245,-1
14,15,28,2020-02-16,-0.0016952736811965434,0.0018968021189384816,0.16881538858552486,0
15,16,29,2020-02-17,-0.000765493789385198,0.16184265622034374,1.0,0
16,17,30,2020-02-18,0.0003053986272687309,0.6208658606361528,1.0,0
17,18,31,2020-02-19,0.0015060182300332967,0.04788952571945247,1.0,0
18,19,32,2020-02-20,0.0028208215456827354,0.0027502805701620538,0.23927440960409868,0
19,20,33,2020-02-21,0.0042290020843305295,0.00018878164128076298,0.022465015312410797,1
20,21,34,2020-02-22,0.005706070081813627,1.5335133621968614e-05,0.002269599776051355,1
21,22,35,2020-02-23,0.007220051728771954,1.3823426137823897e-06,0.0002529686983221773,1
22,23,36,2020-02-24,0.00873095163472979,1.3099634440326666e-07,2.973617017954153e-05,1
23,24,37,2020-02-25,0.010191191886443667,1.2409186613073226e-08,3.4249355052082104e-06,1
24,25,38,2020-02-26,0.011546617709088833,1.092065282348838e-09,3.876831752338375e-07,1
25,26,39,2020-02-27,0.012745509022013324,7.994270543415169e-11,3.437536333668523e-08,1
26,27,40,2020-02-28,0.013747946297425638,4.215964196306085e-12,2.171221561097634e-09,1
27,28,41,2020-02-29,0.014530863042794084,1.3693398018485174e-13,8.243425607128075e-11,1
28,29,42,2020-03-01,0.015091075396371674,2.3603092161736432e-15,1.5790468656201673e-12,1
29,30,43,2020-03-02,0.0154412984340471,2.2370787648969665e-17,1.6084596319609187e-14,1
30,31,44,2020-03-03,0.015598602892873428,5.453555662921125e-19,4.117434525505449e-16,1
31,32,45,2020-03-04,0.01557726497284766,9.606083620024807e-19,7.127714046058407e-16,1
32,33,46,2020-03-05,0.015391236174414078,1.8898740030460753e-17,1.3625991561962203e-14,1
33,34,47,2020-03-06,0.015053946955090639,2.73903137114667e-16,1.8954097088334956e-13,1
34,35,48,2020-03-07,0.0145854235451428,2.0113658697193566e-15,1.3496264985816883e-12,1
35,36,49,2020-03-08,0.014015116878660866,9.21567394741121e-15,5.9994037397646975e-12,1
36,37,50,2020-03-09,0.013379593968816217,3.251486925681163e-14,2.051688250104814e-11,1
37,38,51,2020-03-10,0.012717112223136484,9.863375968899542e-14,6.02652271699762e-11,1
38,39,52,2020-03-11,0.012057620836466415,2.511205476752798e-13,1.4816112312841508e-10,1
39,40,53,2020-03-12,0.01142280955362628,4.679234325273733e-13,2.667163565406028e-10,1
40,41,54,2020-03-13,0.01082876707956013,5.366733491431152e-13,3.0268376891671695e-10,1
41,42,55,2020-03-14,0.010286911114024981,3.2433185463085727e-13,1.881124756858972e-10,1
42,43,56,2020-03-15,0.009806853048064614,8.951368248763036e-14,5.496140104740504e-11,1
43,44,57,2020-03-16,0.009399818563781581,9.26243179589356e-15,6.020580667330814e-12,1
44,45,58,2020-03-17,0.00907858926107981,2.73410326609783e-16,1.8947335634057963e-13,1
45,46,59,2020-03-18,0.008848036705068785,1.4772282486824486e-18,1.0872399910302822e-15,1
46,47,60,2020-03-19,0.008700763207489975,8.87208236874202e-22,7.204130883418521e-19,1
47,48,61,2020-03-20,0.008609957101662355,1.4623989702968877e-25,1.2430391247523545e-22,1
48,49,62,2020-03-21,0.008530671072381651,6.610137763824258e-24,5.5459055838485524e-21,1
49,50,63,2020-03-22,0.008407677508501219,1.4778811207000948e-19,1.1364905818183729e-16,1
50,51,64,2020-03-23,0.008187283074883193,4.427658560491065e-16,3.0418014310573617e-13,1
51,52,65,2020-03-24,0.007828003494713,2.365546018835365e-13,1.3980376971317007e-10,1
52,53,66,2020-03-25,0.007306229874462389,3.73107567700023e-11,1.6677908276191027e-08,1
53,54,67,2020-03-26,0.00662101255263524,2.497587850523964e-09,8.29199166373956e-07,1
54,55,68,2020-03-27,0.005794025130977109,9.024725747667337e-08,2.093736373458822e-05,1
55,56,69,2020-03-28,0.004862392515704406,2.0575500100298614e-06,0.00036624390178531535,1
56,57,70,2020-03-29,0.0038739048523908867,3.235136677144048e-05,0.004464488614458786,1
57,58,71,2020-03-30,0.002883609282671616,0.00037741890584424003,0.040383822925333684,1
58,59,72,2020-03-31,0.0019482678093886271,0.0035743016513536284,0.29666703706235115,0
59,60,73,2020-04-01,0.0011238008319812056,0.029520763015303084,1.0,0
60,61,74,2020-04-02,0.0004628322150180369,0.20932110660898415,1.0,0
61,62,75,2020-04-03,1.315881726820859e-05,0.9570325431119077,1.0,0
62,63,76,2020-04-04,-0.00019145846529939914,0.268924190104477,1.0,0
63,64,77,2020-04-05,-0.00013643087242834722,0.479884703337223,1.0,0
64,65,78,2020-04-06,0.0001764055775555428,0.5334842557453053,1.0,0
65,66,79,2020-04-07,0.0007279562118832761,0.07573748803133012,1.0,0
66,67,80,2020-04-08,0.0014813917577281824,0.007798654284387263,0.6004963798978192,0
67,68,81,2020-04-09,0.0023862359791234824,0.0007895389482941861,0.07816435588112443,0
68,69,82,2020-04-10,0.0033876958511453114,8.324045240890303e-05,0.010504965963480618,1
69,70,83,2020-04-11,0.004436062588172899,8.877164931168696e-06,0.0013848377292623166,1
70,71,84,2020-04-12,0.0054915617216880685,8.911753830670956e-07,0.00016915279789430404,1
71,72,85,2020-04-13,0.006523918406115714,7.711801239571932e-08,1.812273291299404e-05,1
72,73,86,2020-04-14,0.007508128834530159,5.47518116055362e-09,1.6644550728083007e-06,1
73,74,87,2020-04-15,0.008424912043786453,3.252436892388838e-10,1.268450388031647e-07,1
74,75,88,2020-04-16,0.009262049620420007,1.861071652155608e-11,8.672593899045133e-09,1
75,76,89,2020-04-17,0.010022440590202852,1.3685880377513918e-12,7.376689523480002e-10,1
76,77,90,2020-04-18,0.01072441630516348,2.1209197483317751e-13,1.2619472502574063e-10,1
77,78,91,2020-04-19,0.011399652652615035,1.1150142977708654e-13,6.787863201133154e-11,1
78,79,92,2020-04-20,0.01209731114174303,1.9255593893220198e-13,1.1495589554252459e-10,1
79,80,93,2020-04-21,0.012873752941943596,6.620006339522106e-13,3.7204435628114235e-10,1
80,81,94,2020-04-22,0.013770273169736892,2.5286700323993887e-12,1.327551767009679e-09,1
81,82,95,2020-04-23,0.014795184582513582,7.005266562708958e-12,3.509638547917188e-09,1
82,83,96,2020-04-24,0.015915080774649835,1.0887675543183316e-11,5.215196585184809e-09,1
83,84,97,2020-04-25,0.01705864572545606,8.115176053482769e-12,4.000781794367005e-09,1
84,85,98,2020-04-26,0.018128772087286433,2.613049678491824e-12,1.3692380315297159e-09,1
85,86,99,2020-04-27,0.019015950338974675,3.2920557528201986e-13,1.906100280882895e-10,1
86,87,100,2020-04-28,0.019613083819741722,1.8135796903264185e-14,1.1606910018089079e-11,1
87,88,101,2020-04-29,0.01983042376271658,2.452521410752658e-15,1.635831780972023e-12,1
88,89,102,2020-04-30,0.019608713464392837,2.5426640419697526e-14,1.614591666650793e-11,1
89,90,103,2020-05-01,0.018927742844257637,2.3025645816181958e-12,1.2180566636760256e-09,1
90,91,104,2020-05-02,0.01780630174810781,1.2593694762631087e-10,5.276758105542425e-08,1
91,92,105,2020-05-03,0.016298726856665433,2.9546670840497343e-09,9.632214694002133e-07,1
92,93,106,2020-05-04,0.014496562720537176,3.39480770155982e-08,8.538085156931767e-06,1
93,94,107,2020-05-05,0.012522524796058669,2.1945834574453938e-07,4.6964085989331425e-05,1
94,95,108,2020-05-06,0.010508214243436035,8.902778836542317e-07,0.00016915279789430404,1
95,96,109,2020-05-07,0.008574657525735175,2.4616173125946777e-06,0.0004303538501689248,1
96,97,110,2020-05-08,0.0068162353520073785,4.939273350166891e-06,0.0008248586494778708,1
97,98,111,2020-05-09,0.005290846935098824,7.595258661370582e-06,0.0012152413858192931,1
98,99,112,2020-05-10,0.004019514464149882,9.956936557940883e-06,0.0015134543568070143,1
99,100,113,2020-05-11,0.00298595618445443,1.4822591000053432e-05,0.002223388650008015,1
100,101,114,2020-05-12,0.002141138447254727,4.599019297203169e-05,0.00597872508636412,1
101,102,115,2020-05-13,0.0014172927287054943,0.0006201068822638635,0.06325090199091407,0
102,103,116,2020-05-14,0.0007499783845530888,0.03212631962616,1.0,0
103,104,117,2020-05-15,9.221121405103542e-05,0.786458763485349,1.0,0
104,105,118,2020-05-16,-0.0005840259982762438,0.1345084765586002,1.0,0
105,106,119,2020-05-17,-0.0012894432079103477,0.006399974228466921,0.5055979640488868,0
106,107,120,2020-05-18,-0.0020222403634711406,0.00033868953294462873,0.03725584862390916,-1
107,108,121,2020-05-19,-0.002773597385899759,2.2827978804663247e-05,0.003241572990262181,-1
108,109,122,2020-05-20,-0.0035397526624273835,1.9154690013660294e-06,0.00034477104728928757,-1
109,110,123,2020-05-21,-0.00432910483446991,2.0753588352853224e-07,4.462021495863443e-05,-1
110,111,124,2020-05-22,-0.005161398572592652,3.388129030528479e-08,8.538085156931767e-06,-1
111,112,125,2020-05-23,-0.006065634201345495,1.0751982133433003e-08,3.032058961628107e-06,-1
112,113,126,2020-05-24,-0.007068151612898015,7.191897673558253e-09,2.135993609046801e-06,-1
113,114,127,2020-05-25,-0.008187020604874631,7.751999067928001e-09,2.2713357269029045e-06,-1
114,115,128,2020-05-26,-0.009424293802845209,8.772131019453375e-09,2.5176016025831186e-06,-1
115,116,129,2020-05-27,-0.01075618578476972,7.3926640062279545e-09,2.1808358818372467e-06,-1
116,117,130,2020-05-28,-0.012129922682735,3.845680748357117e-09,1.1960067127390634e-06,-1
117,118,131,2020-05-29,-0.013469115877529943,1.1080599233234637e-09,3.9225321285650615e-07,-1
118,119,132,2020-05-30,-0.014684562864506309,1.5907874562070206e-10,6.554044319572925e-08,-1
119,120,133,2020-05-31,-0.015681184439255202,1.0001807369135024e-11,4.8908838035070265e-09,-1
120,121,134,2020-06-01,-0.01637533984590974,2.8049538440898385e-13,1.638716957036776e-10,-1
121,122,135,2020-06-02,-0.016707030924076348,1.229249178111333e-14,7.928657198818099e-12,-1
122,123,136,2020-06-03,-0.016645109732108327,2.5302146303199688e-14,1.6092165048835e-11,-1
123,124,137,2020-06-04,-0.016191912603878218,8.596784771226361e-13,4.762618763259404e-10,-1
124,125,138,2020-06-05,-0.01538182722567319,2.362429487890133e-11,1.0749054169900105e-08,-1
125,126,139,2020-06-06,-0.014281596080213045,2.866923303559789e-10,1.1324347049061166e-07,-1
126,127,140,2020-06-07,-0.012980164594887062,1.6842977739728489e-09,5.709769453767958e-07,-1
127,128,141,2020-06-08,-0.011578761375351354,5.502930560273919e-09,1.6673879597629975e-06,-1
128,129,142,2020-06-09,-0.010175581315399711,1.1212034745647111e-08,3.128157694035544e-06,-1
129,130,143,2020-06-10,-0.00884847272181023,1.5582654968932523e-08,4.207316841611781e-06,-1
130,131,144,2020-06-11,-0.007646552019524663,1.6223890265068388e-08,4.3642264813033965e-06,-1
131,132,145,2020-06-12,-0.006593259791037569,1.4044478034225645e-08,3.820098025309375e-06,-1
132,133,146,2020-06-13,-0.0056912676654609015,1.1496101548515028e-08,3.1959162304871778e-06,-1
133,134,147,2020-06-14,-0.004927283309364368,9.45770762509896e-09,2.6859889655281046e-06,-1
