,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.01115619987959389,4.066518063556309e-09,9.434321907450638e-07,1
1,2,15,2020-02-03,0.012604122151017402,2.4643402855878236e-09,5.988346893978411e-07,1
2,3,16,2020-02-04,0.014129679662634608,1.1701128546360025e-09,3.0422934220536066e-07,1
3,4,17,2020-02-05,0.015700003648672037,4.3913538514818854e-10,1.2383617861178917e-07,1
4,5,18,2020-02-06,0.017282749964110396,1.3068771015695274e-10,4.051319014865535e-08,1
5,6,19,2020-02-07,0.018847320001414494,3.10655249529694e-11,1.0375885334291781e-08,1
6,7,20,2020-02-08,0.020365424081939698,6.0913763055340375e-12,2.255374743921042e-09,1
7,8,21,2020-02-09,0.021812307906451944,1.075886401961884e-12,4.486446296181056e-10,1
8,9,22,2020-02-10,0.023173791178693493,1.9660989085677127e-13,8.926089044897415e-11,1
9,10,23,2020-02-11,0.024450994512494693,4.28916683463108e-14,2.1274267499770156e-11,1
10,11,24,2020-02-12,0.025658228140477402,1.2600468824135173e-14,6.6026456638468304e-12,1
11,12,25,2020-02-13,0.026819668942880983,5.39081882651613e-15,2.900260528665678e-12,1
12,13,26,2020-02-14,0.02795862358246243,3.283720939383208e-15,1.815897679478914e-12,1
13,14,27,2020-02-15,0.029089231759626268,2.4875259199819863e-15,1.3930145151899123e-12,1
14,15,28,2020-02-16,0.03020597867954424,1.853988304665241e-15,1.0567733336591872e-12,1
15,16,29,2020-02-17,0.03127215111004731,9.927314144955426e-16,5.787624146509014e-13,1
16,17,30,2020-02-18,0.03220531376028799,2.519702869579007e-16,1.5470975619215101e-13,1
17,18,31,2020-02-19,0.03287917200264811,2.098497308343675e-17,1.3913037154318567e-14,1
18,19,32,2020-02-20,0.033157779025676765,1.863602529752477e-18,1.3026581682969815e-15,1
19,20,33,2020-02-21,0.03295478546209643,2.036020592046246e-17,1.3519176731187073e-14,1
20,21,34,2020-02-22,0.03225655937969277,3.4682572576903283e-15,1.9110097489873708e-12,1
21,22,35,2020-02-23,0.031102475456813477,2.4805864308515134e-13,1.1137833074523295e-10,1
22,23,36,2020-02-24,0.029564883632316963,5.590470905282037e-12,2.0964265894807637e-09,1
23,24,37,2020-02-25,0.027735594059093625,4.942210834058775e-11,1.625987364405337e-08,1
24,25,38,2020-02-26,0.02572113819378997,1.9686296200273137e-10,5.964947748682761e-08,1
