,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0,1.0,1.0,0
1,2,15,2020-02-03,0.0,1.0,1.0,0
2,3,16,2020-02-04,-0.33870207193318297,0.10886430106296381,1.0,0
3,4,17,2020-02-05,-0.601841254453771,0.02178549469242374,1.0,0
4,5,18,2020-02-06,-0.8079670860788432,0.004655796763502087,0.4616115867912479,0
5,6,19,2020-02-07,-0.9645290986043712,0.0010890528970345648,0.11652865998269843,0
6,7,20,2020-02-08,-1.0765982746049347,0.0003074240729165075,0.03627604060414789,-1
7,8,21,2020-02-09,-1.1496279768709858,0.0001183915738544857,0.014798946731810713,-1
8,9,22,2020-02-10,-1.1953883265341827,6.287332569789683e-05,0.008173532340726588,-1
9,10,23,2020-02-11,-0.853454573958786,0.01847463175086792,1.0,0
10,11,24,2020-02-12,-0.5115208213833888,0.1922601947432902,1.0,0
11,12,25,2020-02-13,-0.16958706880799188,0.6757231618070975,1.0,0
12,13,26,2020-02-14,0.1723466837674051,0.6707149993917354,1.0,0
13,14,27,2020-02-15,0.5142804363428022,0.18968508668953937,1.0,0
14,15,28,2020-02-16,0.8562141889181991,0.01799201873384935,1.0,0
15,16,29,2020-02-17,1.198147941493596,5.7721877885778685e-05,0.007561566003037008,1
16,17,30,2020-02-18,1.149271611069167,0.00011352574250831795,0.014304243556048063,1
17,18,31,2020-02-19,1.075350590746499,0.0002994170059599174,0.035630623709230175,1
18,19,32,2020-02-20,0.9627535975465574,0.00107155510496897,0.11572795133664876,0
19,20,33,2020-02-21,0.8057061529383335,0.004616115867912479,0.4616115867912479,0
20,21,34,2020-02-22,0.599143795134431,0.021716545192881794,1.0,0
21,22,35,2020-02-23,0.33600155527344816,0.10886430106296381,1.0,0
22,23,36,2020-02-24,0.0,1.0,1.0,0
23,24,37,2020-02-25,0.0,1.0,1.0,0
24,25,38,2020-02-26,0.0,1.0,1.0,0
25,26,39,2020-02-27,0.0,1.0,1.0,0
26,27,40,2020-02-28,0.0,1.0,1.0,0
27,28,41,2020-02-29,0.0,1.0,1.0,0
28,29,42,2020-03-01,0.0,1.0,1.0,0
29,30,43,2020-03-02,0.0,1.0,1.0,0
30,31,44,2020-03-03,0.0,1.0,1.0,0
31,32,45,2020-03-04,0.0,1.0,1.0,0
32,33,46,2020-03-05,0.0,1.0,1.0,0
33,34,47,2020-03-06,0.0,1.0,1.0,0
34,35,48,2020-03-07,0.0,1.0,1.0,0
35,36,49,2020-03-08,0.0,1.0,1.0,0
36,37,50,2020-03-09,0.0,1.0,1.0,0
37,38,51,2020-03-10,0.0,1.0,1.0,0
