,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0020747274225935276,0.028310720723132825,1.0,0
1,2,15,2020-02-03,0.0032360736684832895,0.0001292037774581192,0.04974345432137589,1
2,3,16,2020-02-04,0.0038661696835575452,3.478605568592624e-07,0.00014575357332403095,1
3,4,17,2020-02-05,0.003950905575013978,9.895866011500797e-08,4.255222384945343e-05,1
4,5,18,2020-02-06,0.003497013874749397,1.5033317733376481e-05,0.005968227140150463,1
5,6,19,2020-02-07,0.002525818793847997,0.004074467127570949,1.0,0
6,7,20,2020-02-08,0.0010686977198057156,0.273657892390891,1.0,0
7,8,21,2020-02-09,-0.0008364253697790791,0.47759792744788987,1.0,0
8,9,22,2020-02-10,-0.003135502893390204,0.03639021830219669,1.0,0
9,10,23,2020-02-11,-0.005754625520729616,0.0022628734213168042,0.7422224821919118,0
10,11,24,2020-02-12,-0.008605694514809694,0.00017004870922947626,0.06461850950720098,0
11,12,25,2020-02-13,-0.011584226427710422,1.4982069162302931e-05,0.005962863526596566,-1
12,13,26,2020-02-14,-0.014565739410567229,1.3609884387485145e-06,0.0005566442714481424,-1
13,14,27,2020-02-15,-0.017397490834852647,1.078753809237977e-07,4.617066303538541e-05,-1
14,15,28,2020-02-16,-0.019933103141296305,6.282776026958366e-09,2.8021181080234313e-06,-1
15,16,29,2020-02-17,-0.0221125589984418,2.425238966776607e-10,1.1447127923185585e-07,-1
16,17,30,2020-02-18,-0.02393402838770243,5.685233433783661e-12,2.9449509186999366e-09,-1
17,18,31,2020-02-19,-0.025418421685515637,7.35402576874187e-14,4.5447879250824755e-11,-1
18,19,32,2020-02-20,-0.026612552270254407,5.506254632310472e-16,3.942478316734298e-13,-1
19,20,33,2020-02-21,-0.02759039850911947,6.536509263214539e-18,5.098477225307341e-15,-1
20,21,34,2020-02-22,-0.02845749394299665,3.0974529158636208e-18,2.4315005389529422e-15,-1
21,22,35,2020-02-23,-0.02935410992412632,7.401392379181986e-17,5.6028540310407634e-14,-1
22,23,36,2020-02-24,-0.030442978857246606,4.015138427801121e-15,2.694157885054552e-12,-1
23,24,37,2020-02-25,-0.03190082297127402,1.5338243263159838e-13,9.233622444422223e-11,-1
24,25,38,2020-02-26,-0.03392493834328311,3.3454516819784993e-12,1.7775545565424816e-09,-1
25,26,39,2020-02-27,-0.03673092460373387,4.140161709003146e-11,2.0369595608295477e-08,-1
26,27,40,2020-02-28,-0.040552810192368505,3.1661519783797736e-10,1.4849252778601138e-07,-1
27,28,41,2020-02-29,-0.04564657423588373,1.7653019814604509e-09,8.032124015645052e-07,-1
28,29,42,2020-03-01,-0.052358828181380664,8.404703482966372e-09,3.740093049920036e-06,-1
29,30,43,2020-03-02,-0.061298964768001354,3.632689843286629e-08,1.5874854615162567e-05,-1
30,31,44,2020-03-03,-0.07351715799297934,1.508506916577116e-07,6.441324533784285e-05,-1
31,32,45,2020-03-04,-0.09098293744472863,6.79996214444869e-07,0.00028355842142351034,-1
32,33,46,2020-03-05,-0.11840583864464849,4.389080380791337e-06,0.0017819666346012826,-1
33,34,47,2020-03-06,-0.17783301399441667,0.0001265977745193388,0.04886674096446478,-1
34,35,48,2020-03-07,0.17413453638454698,0.4340426846919466,1.0,0
35,36,49,2020-03-08,0.47743117105708555,0.09388799141257541,1.0,0
36,37,50,2020-03-09,0.7317271156835771,0.02109275444383702,1.0,0
37,38,51,2020-03-10,0.9366242092229262,0.004917272927552316,1.0,0
38,39,52,2020-03-11,1.0916326054945529,0.001282101014282106,0.43463224384163396,0
39,40,53,2020-03-12,1.1961440827675376,0.0004333013323999416,0.15548603387391235,0
40,41,54,2020-03-13,1.2493937346995487,0.00023124825729754688,0.08602435171468743,0
41,42,55,2020-03-14,1.250400621934848,0.00022839884954147015,0.08519277087896837,0
42,43,56,2020-03-15,1.1978717264472598,0.0004209829919759502,0.15155387711134208,0
43,44,57,2020-03-16,1.0900344781705738,0.0012492831276453428,0.4247562633994165,0
44,45,58,2020-03-17,0.9243083022696664,0.004911666390739355,1.0,0
45,46,59,2020-03-18,0.6965319714570813,0.022142152508269036,1.0,0
46,47,60,2020-03-19,0.3984841415402661,0.10886430106296381,1.0,0
47,48,61,2020-03-20,0.0,1.0,1.0,0
48,49,62,2020-03-21,0.0,1.0,1.0,0
49,50,63,2020-03-22,0.0,1.0,1.0,0
50,51,64,2020-03-23,0.0,1.0,1.0,0
51,52,65,2020-03-24,0.0,1.0,1.0,0
52,53,66,2020-03-25,0.0,1.0,1.0,0
53,54,67,2020-03-26,0.0,1.0,1.0,0
54,55,68,2020-03-27,0.0,1.0,1.0,0
55,56,69,2020-03-28,0.0,1.0,1.0,0
56,57,70,2020-03-29,0.0,1.0,1.0,0
57,58,71,2020-03-30,0.0,1.0,1.0,0
58,59,72,2020-03-31,0.0,1.0,1.0,0
59,60,73,2020-04-01,0.0,1.0,1.0,0
60,61,74,2020-04-02,0.0,1.0,1.0,0
61,62,75,2020-04-03,0.0,1.0,1.0,0
62,63,76,2020-04-04,0.0,1.0,1.0,0
63,64,77,2020-04-05,0.0,1.0,1.0,0
