,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0,1.0,1.0,0
1,2,15,2020-02-03,0.0,1.0,1.0,0
2,3,16,2020-02-04,0.0,1.0,1.0,0
3,4,17,2020-02-05,0.0,1.0,1.0,0
4,5,18,2020-02-06,0.0,1.0,1.0,0
5,6,19,2020-02-07,0.0,1.0,1.0,0
6,7,20,2020-02-08,0.0,1.0,1.0,0
7,8,21,2020-02-09,-0.24064588001604742,0.10886430106296381,1.0,0
8,9,22,2020-02-10,-0.4119207461571559,0.022682923563376787,1.0,0
9,10,23,2020-02-11,-0.5385790521347523,0.005308776007222121,1.0,0
10,11,24,2020-02-12,-0.6283826921904045,0.0014723319746648528,0.8156719139643285,0
11,12,25,2020-02-13,-0.6855059054419477,0.0005516862576799381,0.3326668133810026,0
12,13,26,2020-02-14,-0.7127004918930069,0.00032524840492431515,0.20360550148262127,0
13,14,27,2020-02-15,-0.7120027615726122,0.00032986375282567057,0.2061648455160441,0
14,15,28,2020-02-16,-0.685035352847158,0.0005536416025340503,0.3332922447254983,0
15,16,29,2020-02-17,-0.633108196027771,0.0013363652393982798,0.7510372645418333,0
16,17,30,2020-02-18,-0.5570067836692195,0.003976449402251592,1.0,0
17,18,31,2020-02-19,-0.45653279171601163,0.013139792735272512,1.0,0
18,19,32,2020-02-20,-0.3310208019840258,0.04577325769940755,1.0,0
19,20,33,2020-02-21,-0.1796832416284017,0.1692753135502902,1.0,0
20,21,34,2020-02-22,-0.011302069320752933,0.7909597570251279,1.0,0
21,22,35,2020-02-23,-0.08601485789348531,0.009339839507291076,1.0,0
22,23,36,2020-02-24,-0.1256803025230668,5.489836602044723e-05,0.03727599052788367,-1
23,24,37,2020-02-25,-0.14798378788079286,5.544493212971817e-07,0.0004030846565830511,-1
24,25,38,2020-02-26,-0.15757927465636112,3.054939768947969e-08,2.3003696460178208e-05,-1
25,26,39,2020-02-27,-0.15694187118172065,3.758875593165205e-08,2.819156694873904e-05,-1
26,27,40,2020-02-28,-0.14797976547513123,3.295074128160949e-07,0.00024119942618138146,-1
27,28,41,2020-02-29,-0.1325413682733139,3.7863884565462345e-06,0.0026883358041478265,-1
28,29,42,2020-03-01,-0.11263924342412353,3.273460744785639e-05,0.02248867531667734,-1
29,30,43,2020-03-02,-0.090521599829161,0.00020121721642360734,0.13038875624249754,0
30,31,44,2020-03-03,0.16419340991757195,0.2619949291405485,1.0,0
31,32,45,2020-03-04,0.38231843579809943,0.04067947594277695,1.0,0
32,33,46,2020-03-05,0.5627416673677079,0.006374533681533211,1.0,0
