,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,6.455225758662445e-05,1.4480310987605343e-09,4.358573607269208e-07,1
1,2,15,2020-02-03,5.75798314322464e-05,3.979544686854879e-09,1.1262111463799306e-06,1
2,3,16,2020-02-04,5.1065988584249455e-05,6.4825032516120705e-09,1.756758381186871e-06,1
3,4,17,2020-02-05,4.533914410270258e-05,5.089406500148027e-09,1.4046761940408555e-06,1
4,5,18,2020-02-06,4.0758932151453544e-05,1.3748649982116273e-09,4.165840944581231e-07,1
5,6,19,2020-02-07,3.763553746385397e-05,8.975543783425897e-11,3.195293586899619e-08,1
6,7,20,2020-02-08,3.619040097888043e-05,3.8612645565853915e-12,1.7182627276804993e-09,1
7,8,21,2020-02-09,3.6524033197346996e-05,1.0325348551600394e-11,4.3263210431205654e-09,1
8,9,22,2020-02-10,3.8588380521346993e-05,3.1346750006461427e-10,1.0187693752099963e-07,1
9,10,23,2020-02-11,4.218284037792269e-05,2.8098110935451984e-09,8.080210060373861e-07,1
10,11,24,2020-02-12,4.6971507359488286e-05,5.99041638978015e-09,1.635383674409981e-06,1
11,12,25,2020-02-13,5.251590360228138e-05,4.3224904659116196e-09,1.2062003057475669e-06,1
12,13,26,2020-02-14,5.8279722093662054e-05,1.2903369280846956e-09,3.935527630658322e-07,1
13,14,27,2020-02-15,6.365703190735038e-05,1.6250362029964597e-10,5.5088727281579983e-08,1
14,15,28,2020-02-16,6.805763838627131e-05,7.939373617131028e-12,3.3980519081320797e-09,1
15,16,29,2020-02-17,7.097761162101247e-05,1.6300085211437015e-13,8.345643628255752e-11,1
16,17,30,2020-02-18,7.197447129026852e-05,1.3836748474784209e-14,7.637885158080884e-12,1
17,18,31,2020-02-19,7.074158040248339e-05,3.1891681428662974e-13,1.5913949032902824e-10,1
18,19,32,2020-02-20,6.718001072035587e-05,5.015722706865766e-11,1.8658488469540648e-08,1
19,20,33,2020-02-21,6.138669379056678e-05,4.178800848749707e-09,1.1742430384986677e-06,1
20,21,34,2020-02-22,5.364883419522941e-05,1.7587055663824042e-07,4.009848691351882e-05,1
21,22,35,2020-02-23,4.4387246440779933e-05,4.8605622374909935e-06,0.0008214350181359779,1
22,23,36,2020-02-24,3.4139053192875444e-05,0.00010830943460287173,0.01451346423678481,1
23,24,37,2020-02-25,2.3504243650254138e-05,0.0022168362653996313,0.21281628147836462,0
24,25,38,2020-02-26,1.3071268528284985e-05,0.042410891448166024,1.0,0
25,26,39,2020-02-27,3.4212340734377104e-06,0.5198194937550844,1.0,0
26,27,40,2020-02-28,-4.936571967411724e-06,0.27804835378484416,1.0,0
27,28,41,2020-02-29,-1.1653662818080998e-05,0.004948230986079525,0.4143656295879481,0
28,29,42,2020-03-01,-1.6491744381629878e-05,1.7780233933883748e-05,0.0027025955579503295,-1
29,30,43,2020-03-02,-1.9295574518181626e-05,3.791792469935278e-08,9.327809476040784e-06,-1
30,31,44,2020-03-03,-2.0077111555931557e-05,2.0272606614025273e-09,5.980418951137456e-07,-1
31,32,45,2020-03-04,-1.8956173908934148e-05,7.923711538963024e-08,1.8937670578121628e-05,-1
32,33,46,2020-03-05,-1.611402436352906e-05,1.2922996277345176e-05,0.0020289104155431924,-1
33,34,47,2020-03-06,-1.1759018759794403e-05,0.0015534676223033486,0.15558171944152965,0
34,35,48,2020-03-07,-6.025138539340295e-06,0.10626861756220843,1.0,0
35,36,49,2020-03-08,1.0423658532365332e-06,0.799138195917659,1.0,0
36,37,50,2020-03-09,9.480665780725837e-06,0.06266684275021511,1.0,0
37,38,51,2020-03-10,1.937663555506719e-05,0.0034308807176005062,0.30996378393919033,0
38,39,52,2020-03-11,3.081872062992433e-05,0.000309466807191296,0.03775495047733811,1
39,40,53,2020-03-12,4.3944588894769366e-05,4.80063429966205e-05,0.0065566049373259215,1
40,41,54,2020-03-13,5.889744615150633e-05,1.0932614100656326e-05,0.001738285642004356,1
41,42,55,2020-03-14,7.580493637466969e-05,3.190591077130282e-06,0.0005615440295749296,1
42,43,56,2020-03-15,9.47276121615313e-05,1.0625712673105552e-06,0.00020720139712555825,1
43,44,57,2020-03-16,0.0001155660350217428,3.5956887461567667e-07,7.55094636692921e-05,1
44,45,58,2020-03-17,0.0001379733005678855,1.1284632250843822e-07,2.6293193144466106e-05,1
45,46,59,2020-03-18,0.00016146796461057186,3.1193236594210695e-08,7.798309148552673e-06,1
46,47,60,2020-03-19,0.00018546594397523037,7.392662901730145e-09,1.988626320565409e-06,1
47,48,61,2020-03-20,0.00020929863266400933,1.485931679782258e-09,4.457795039346774e-07,1
48,49,62,2020-03-21,0.00023228752197151716,2.4876735639847907e-10,8.184446025509962e-08,1
49,50,63,2020-03-22,0.0002537864629057415,3.312251847910462e-11,1.2818414651413486e-08,1
50,51,64,2020-03-23,0.0002732013208215411,3.252133782613669e-12,1.4602080683935374e-09,1
51,52,65,2020-03-24,0.00029000740580456595,2.1343805674290201e-13,1.0778621865516552e-10,1
52,53,66,2020-03-25,0.00030377715237564083,8.286652290625958e-15,4.648811935041162e-12,1
53,54,67,2020-03-26,0.0003143493774005933,1.6244137260807582e-16,1.0055120964439893e-13,1
54,55,68,2020-03-27,0.00032180112861667523,1.382721412557325e-18,9.637568245524556e-16,1
55,56,69,2020-03-28,0.0003264101540377644,4.766336301257427e-21,3.627181925256902e-18,1
56,57,70,2020-03-29,0.0003285703832349903,2.2363230171864163e-23,1.766695183577269e-20,1
57,58,71,2020-03-30,0.00032871144133405923,1.4141021731283593e-23,1.121383023290789e-20,1
58,59,72,2020-03-31,0.00032730260743408536,1.98399923459117e-22,1.551487401450295e-19,1
59,60,73,2020-04-01,0.00032496864507847975,9.034440545709654e-22,6.974588101287853e-19,1
60,61,74,2020-04-02,0.0003224080863884659,6.905656043665442e-22,5.338072121753387e-19,1
61,62,75,2020-04-03,0.000320234526388719,9.675196599074109e-23,7.585354133674102e-20,1
62,63,76,2020-04-04,0.00031886082668443555,4.870860400786073e-24,3.891817460228072e-21,1
63,64,77,2020-04-05,0.00031837186034516975,8.538726260287862e-25,6.993216807175759e-22,1
64,65,78,2020-04-06,0.0003184592642210039,1.1165977329019308e-24,9.100271523150737e-22,1
65,66,79,2020-04-07,0.00031848387198830805,1.1385816009654842e-24,9.268054231859042e-22,1
66,67,80,2020-04-08,0.0003175539102938846,7.383526292023528e-24,5.884670454742752e-21,1
67,68,81,2020-04-09,0.0003147346430595603,7.246624033571631e-21,5.492941017447296e-18,1
68,69,82,2020-04-10,0.00030913743176256463,1.0191829583190915e-17,6.869293139070677e-15,1
69,70,83,2020-04-11,0.00029993498933483,3.962988360965796e-15,2.2589033657505035e-12,1
70,71,84,2020-04-12,0.0002863497082519992,5.376362668918039e-13,2.618288619763085e-10,1
71,72,85,2020-04-13,0.0002677155552951569,3.506084627020555e-11,1.3498425814029137e-08,1
72,73,86,2020-04-14,0.00024359548519388617,1.4176721102756046e-09,4.2813697730323257e-07,1
73,74,87,2020-04-15,0.000213921871222319,4.398883441383148e-08,1.073327559697488e-05,1
74,75,88,2020-04-16,0.00017914785605270528,1.2298116054237036e-06,0.00023735363984677478,1
75,76,89,2020-04-17,0.00014040198088599,3.38773973888747e-05,0.004776713031831332,1
76,77,90,2020-04-18,9.906558162482036e-05,0.001017495808855007,0.11294203478290578,0
77,78,91,2020-04-19,5.636167710427937e-05,0.0327061750576956,1.0,0
78,79,92,2020-04-20,1.3140039303149264e-05,0.5809065175595484,1.0,0
79,80,93,2020-04-21,-3.0304543454088978e-05,0.206453597528868,1.0,0
80,81,94,2020-04-22,-7.426786606897199e-05,0.006020517501850599,0.4876619176498985,0
81,82,95,2020-04-23,-0.00011957389704660334,0.0001825521311888111,0.023366672792167822,-1
82,83,96,2020-04-24,-0.00016752446182652288,1.2718614099637748e-05,0.0020095410277427644,-1
83,84,97,2020-04-25,-0.00021972013838152812,2.269668262296711e-06,0.0004153492920002981,-1
