,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0078238555099168,4.4322913468229505e-09,1.174557206908082e-06,1
1,2,15,2020-02-03,0.008763843825537278,4.066657360139922e-09,1.089864172517499e-06,1
2,3,16,2020-02-04,0.00981674697359796,1.8023491281182009e-09,5.082624541293326e-07,1
3,4,17,2020-02-05,0.010920687015530993,4.761344452001326e-10,1.433164680052399e-07,1
4,5,18,2020-02-06,0.012019474642631296,8.738423141253475e-11,2.918633329178661e-08,1
5,6,19,2020-02-07,0.013067332090102714,1.2519698078585402e-11,4.719926175626696e-09,1
6,7,20,2020-02-08,0.01403744839581873,1.563145252092311e-12,6.596472963829552e-10,1
7,8,21,2020-02-09,0.014931125809655135,2.1188972180900577e-13,1.0083957693814415e-10,1
8,9,22,2020-02-10,0.01577680317528012,4.488540104237977e-14,2.2891554531613683e-11,1
9,10,23,2020-02-11,0.016623864364392393,2.312070534297195e-14,1.2022766778345415e-11,1
10,11,24,2020-02-12,0.017537579998759035,3.739183438695876e-14,1.9182011040509845e-11,1
11,12,25,2020-02-13,0.01859083298408639,1.7133302303733014e-13,8.223985105791847e-11,1
12,13,26,2020-02-14,0.019863268611568414,1.3771686048808788e-12,5.839194884694926e-10,1
13,14,27,2020-02-15,0.021430735834833195,1.1119480910174109e-11,4.236522226776335e-09,1
14,15,28,2020-02-16,0.023349709208240296,6.218377148821257e-11,2.108029853450406e-08,1
15,16,29,2020-02-17,0.025641381311096313,2.041063905006027e-10,6.449761939819046e-08,1
16,17,30,2020-02-18,0.028284202156050424,3.775310462944266e-10,1.1476943807350569e-07,1
17,18,31,2020-02-19,0.031215330118490647,3.9869528581570303e-10,1.2040597631634231e-07,1
18,19,32,2020-02-20,0.034330883916033186,2.45108857090179e-10,7.671907226922603e-08,1
19,20,33,2020-02-21,0.03748566704700598,8.794301125659637e-11,2.928502274844659e-08,1
20,21,34,2020-02-22,0.04050100187137761,1.7819572328665047e-11,6.539783044620072e-09,1
21,22,35,2020-02-23,0.04319938087121716,1.873022824204357e-12,7.866695861658299e-10,1
22,23,36,2020-02-24,0.0454329011589075,8.858716785829483e-14,4.411640959343082e-11,1
23,24,37,2020-02-25,0.0470876396388915,1.5633178008245611e-15,8.879645108683508e-13,1
24,25,38,2020-02-26,0.04808407109676998,1.2664767010829324e-17,8.080121352909108e-15,1
25,26,39,2020-02-27,0.048399609806815846,8.965842667686226e-19,6.10573885669432e-16,1
26,27,40,2020-02-28,0.04807067309204812,1.0521319492177187e-17,6.765208433469931e-15,1
27,28,41,2020-02-29,0.047174757516072585,3.258043285089421e-16,1.935277711343116e-13,1
28,29,42,2020-03-01,0.045807649449370914,4.360178629066957e-15,2.432979675019362e-12,1
29,30,43,2020-03-02,0.044069888210991635,2.6946444645638018e-14,1.3958258326440493e-11,1
30,31,44,2020-03-03,0.042059216338665405,9.834539120731561e-14,4.8680968647621224e-11,1
31,32,45,2020-03-04,0.03986812156485997,2.6226859350068426e-13,1.2274170175832023e-10,1
32,33,46,2020-03-05,0.03758182604211908,6.046225468824503e-13,2.726847686439851e-10,1
33,34,47,2020-03-06,0.03527529132802314,1.3195194895232609e-12,5.621153025369091e-10,1
34,35,48,2020-03-07,0.03300329412442737,2.679106741448421e-12,1.101112870735301e-09,1
35,36,49,2020-03-08,0.03080764667287514,4.614300280096692e-12,1.85494871259887e-09,1
36,37,50,2020-03-09,0.028734943718807596,6.0429244033233435e-12,2.3990409881193673e-09,1
37,38,51,2020-03-10,0.026832794708441368,5.3479002018212425e-12,2.1284642803248545e-09,1
38,39,52,2020-03-11,0.025137125647880624,2.731679425582947e-12,1.1199885644890082e-09,1
39,40,53,2020-03-12,0.023685796009701277,6.61739247820658e-13,2.9579744377583416e-10,1
40,41,54,2020-03-13,0.022515701143496696,6.006049356096953e-14,3.0270488754728644e-11,1
41,42,55,2020-03-14,0.021652468063722743,1.5518804641843066e-15,8.830199841208705e-13,1
42,43,56,2020-03-15,0.021097275696468982,9.178204276144637e-18,5.93829816666558e-15,1
