,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.01338311256663752,1.3001711023887563e-14,7.137939352114272e-12,1
1,2,15,2020-02-03,0.013939123892711682,2.2295584729173786e-15,1.3109803820754186e-12,1
2,3,16,2020-02-04,0.014435352867998713,3.5315386436825807e-16,2.2107431909452957e-13,1
3,4,17,2020-02-05,0.01487405427729221,5.272730628786418e-17,3.4800022149990355e-14,1
4,5,18,2020-02-06,0.015261042558074275,7.411228981707463e-18,5.165626600250101e-15,1
5,6,19,2020-02-07,0.015603245818866773,1.021736264299952e-18,7.479109454675648e-16,1
6,7,20,2020-02-08,0.01590824681320179,1.580846732238362e-19,1.2061860566978702e-16,1
7,8,21,2020-02-09,0.016185508442190442,3.465883727022223e-20,2.6825940047152007e-17,1
8,9,22,2020-02-10,0.016445960511509268,1.5103306348306306e-20,1.1901405402465369e-17,1
9,10,23,2020-02-11,0.016703047603394677,1.668846304494301e-20,1.3133820416370149e-17,1
10,11,24,2020-02-12,0.016972097487810197,4.278529106996542e-20,3.3030244706013305e-17,1
11,12,25,2020-02-13,0.01726682748570492,1.7726899265582496e-19,1.3507897240373861e-16,1
12,13,26,2020-02-14,0.0175959189109323,7.919180310169029e-19,5.86811260983525e-16,1
13,14,27,2020-02-15,0.017960782057062016,2.8216661917702813e-18,2.017491327115751e-15,1
14,15,28,2020-02-16,0.01835453635358538,6.5975974782191906e-18,4.618318234753434e-15,1
15,16,29,2020-02-17,0.018762337438669778,8.88255653200426e-18,6.155611676678953e-15,1
16,17,30,2020-02-18,0.01916289511908313,6.152154683249516e-18,4.3126604329579106e-15,1
17,18,31,2020-02-19,0.01952981459307126,1.9101769769997674e-18,1.3772376004168322e-15,1
18,19,32,2020-02-20,0.01982806664839939,2.1025116788440346e-19,1.5958063642426224e-16,1
19,20,33,2020-02-21,0.020017935888150866,8.480964839490992e-21,6.725405117716357e-18,1
20,21,34,2020-02-22,0.02006195838185952,1.9829996971995117e-21,1.596314756245607e-18,1
21,22,35,2020-02-23,0.01992828978202395,1.3223526271286723e-19,1.0115997597534343e-16,1
22,23,36,2020-02-24,0.01960062894461676,2.546128251522122e-17,1.7186365697774325e-14,1
23,24,37,2020-02-25,0.019087779342984612,1.4252012656321e-15,8.5512075937926e-13,1
24,25,38,2020-02-26,0.018424146527591757,2.3268210000941533e-14,1.247176056050466e-11,1
25,26,39,2020-02-27,0.017654768275484622,1.4249180778505806e-13,7.024846123803362e-11,1
26,27,40,2020-02-28,0.016829894027289315,3.804200845840342e-13,1.8222122051575238e-10,1
27,28,41,2020-02-29,0.015996448091244654,4.800816408376221e-13,2.2755869775703288e-10,1
28,29,42,2020-03-01,0.015184382341718069,3.13784771494021e-13,1.5124425986011811e-10,1
29,30,43,2020-03-02,0.014404937694414735,1.2253058031134008e-13,6.126529015567003e-11,1
30,31,44,2020-03-03,0.013656451522307815,3.93532807405983e-14,2.062111910807351e-11,1
31,32,45,2020-03-04,0.012929651090526302,2.20907622602908e-14,1.1884830096036451e-11,1
32,33,46,2020-03-05,0.012208447829228366,5.149113638648764e-14,2.6672408648200597e-11,1
33,34,47,2020-03-06,0.011477024613234067,4.3906016601713293e-13,2.0987075935618953e-10,1
34,35,48,2020-03-07,0.01072113731862929,5.9002045482719305e-12,2.554788569401746e-09,1
35,36,49,2020-03-08,0.00992718509502585,6.792250954962622e-11,2.6489778724354227e-08,1
36,37,50,2020-03-09,0.009093332456999122,5.014099747708589e-10,1.7248503132117547e-07,1
37,38,51,2020-03-10,0.008242484211898998,1.99279483956787e-09,6.257375796243111e-07,1
38,39,52,2020-03-11,0.007428548254448976,3.50901584667603e-09,1.045686722309457e-06,1
39,40,53,2020-03-12,0.006723760502447062,1.969115074880652e-09,6.202712485874054e-07,1
40,41,54,2020-03-13,0.006211018456128193,2.4109505635581057e-10,8.6553125231736e-08,1
