,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.031564847006152225,9.7993464777465e-13,4.958469317739729e-10,1
1,2,15,2020-02-03,0.029715022188658978,2.215728540710654e-12,1.0812755278667992e-09,1
2,3,16,2020-02-04,0.027907450032330396,2.5357380551112927e-12,1.2247614806187545e-09,1
3,4,17,2020-02-05,0.026262479480196863,1.373436157825684e-12,6.894649512284933e-10,1
4,5,18,2020-02-06,0.024876659232712053,3.0765142953704236e-13,1.612093490774102e-10,1
5,6,19,2020-02-07,0.023809094081467308,2.378445508599411e-14,1.4318241961768454e-11,1
6,7,20,2020-02-08,0.023079873024272952,5.630317225500729e-16,3.721639686055982e-13,1
7,8,21,2020-02-09,0.0226759780722467,7.989646855765767e-18,5.864400792132073e-15,1
8,9,22,2020-02-10,0.02255644906175758,1.2418232414403278e-18,9.487529564604104e-16,1
9,10,23,2020-02-11,0.022662625549419866,4.237232074811524e-18,3.1609751278093968e-15,1
10,11,24,2020-02-12,0.022930495874498136,1.4024536610667715e-17,1.0111690896291422e-14,1
11,12,25,2020-02-13,0.02329387797591066,1.2320915400968896e-17,8.93266366570245e-15,1
12,13,26,2020-02-14,0.023682409567673045,2.2742560833622196e-18,1.7125148307717513e-15,1
13,14,27,2020-02-15,0.02402293963383685,8.470164219195096e-20,6.725310390040907e-17,1
14,15,28,2020-02-16,0.024253019468259054,7.625587367833876e-22,6.352114277405619e-19,1
15,16,29,2020-02-17,0.024332090039410646,3.4786215801779443e-23,2.9568283431512525e-20,1
16,17,30,2020-02-18,0.024242609755245944,8.074120042839732e-22,6.717667875642658e-19,1
17,18,31,2020-02-19,0.023989965724823595,4.86715106446693e-20,3.908322304766945e-17,1
18,19,32,2020-02-20,0.02360199801539409,9.151578970330932e-19,7.019261070243825e-16,1
19,20,33,2020-02-21,0.02311584341884405,7.031721409051493e-18,5.1894103998800024e-15,1
20,21,34,2020-02-22,0.022572575968720428,2.8493753212724985e-17,2.0202071027822015e-14,1
21,22,35,2020-02-23,0.022011878470169766,6.373355993396958e-17,4.448602483391077e-14,1
22,23,36,2020-02-24,0.021463107324338673,7.513470726798521e-17,5.221862155124972e-14,1
23,24,37,2020-02-25,0.02094847218251716,4.477498103502021e-17,3.147681166761921e-14,1
24,25,38,2020-02-26,0.020484290247291554,1.240023247121977e-17,8.977768309163114e-15,1
25,26,39,2020-02-27,0.020087920971760292,1.2773689730692522e-18,9.746325264518395e-16,1
26,27,40,2020-02-28,0.019775215492345406,3.631906301371925e-20,2.934580291508515e-17,1
27,28,41,2020-02-29,0.019558307400972814,2.262988855305438e-22,1.896384660745957e-19,1
28,29,42,2020-03-01,0.01943794997768675,4.725225946876286e-25,4.05896908836673e-22,1
29,30,43,2020-03-02,0.019398654694252608,1.6167716286150885e-26,1.3968906871234366e-23,1
30,31,44,2020-03-03,0.01940996056279299,2.93555152634169e-26,2.5275098641801948e-23,1
