,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.08352290891152357,5.7726114357946536e-05,0.03527065587270534,-1
1,2,15,2020-02-03,-0.11133543097680518,5.877773425076501e-06,0.0036971194843731193,-1
2,3,16,2020-02-04,-0.1398504595958923,8.438598511045242e-07,0.0005434457441113136,-1
3,4,17,2020-02-05,-0.1670320143859513,1.0963124775234534e-07,7.224699226879557e-05,-1
4,5,18,2020-02-06,-0.1881719164336919,7.156678589583245e-09,4.909481512454106e-06,-1
5,6,19,2020-02-07,-0.19711033526272065,5.444351681746772e-10,3.816490528904487e-07,-1
6,7,20,2020-02-08,-0.19010018236878443,9.654323245467043e-09,6.584248453408524e-06,-1
7,8,21,2020-02-09,-0.16737579139900752,4.084530974762331e-06,0.0025773390450750306,-1
8,9,22,2020-02-10,-0.13161140690847492,0.0006706655111545346,0.3816086758469302,0
9,10,23,2020-02-11,-0.08639619847507941,0.02991289204581161,1.0,0
10,11,24,2020-02-12,-0.03554164834321219,0.3740055943435472,1.0,0
11,12,25,2020-02-13,0.01713577944353805,0.6660716225306761,1.0,0
12,13,26,2020-02-14,0.06785088093257192,0.08241326837316355,1.0,0
13,14,27,2020-02-15,0.11284818233327887,0.002771557721282004,1.0,0
14,15,28,2020-02-16,0.1484561184115026,2.653105901573458e-05,0.01644925658975544,1
15,16,29,2020-02-17,0.17128291137815693,1.1895640807125268e-07,7.827331651088426e-05,1
16,17,30,2020-02-18,0.17866014200018085,8.650771436121385e-09,5.908476890870906e-06,1
17,18,31,2020-02-19,0.16986059214946728,8.996022938222702e-08,5.9643632080416515e-05,1
18,19,32,2020-02-20,0.14786092709374282,1.5470315048260785e-06,0.000987006100079038,1
19,20,33,2020-02-21,0.11893974435632029,1.3933074736384074e-05,0.008666372486030895,1
20,21,34,2020-02-22,0.08887640757658057,0.0001012260314524917,0.061039296965852495,0
21,22,35,2020-02-23,0.06068342861229951,0.0009009150192943805,0.5063142408434419,0
22,23,36,2020-02-24,0.03543958901971951,0.012400089859291552,1.0,0
23,24,37,2020-02-25,0.013413055099350472,0.22000666457468201,1.0,0
24,25,38,2020-02-26,-0.005372885750667584,0.5533872206630776,1.0,0
25,26,39,2020-02-27,-0.020919719935991683,0.014876924382069319,1.0,0
26,27,40,2020-02-28,-0.033181290252979674,0.00012225791327808428,0.07298797422701632,0
27,28,41,2020-02-29,-0.04204572804893526,8.351939384996949e-07,0.0005387000903323032,-1
28,29,42,2020-03-01,-0.04732450162787456,5.4795266836985074e-09,3.769914358384573e-06,-1
29,30,43,2020-03-02,-0.04875338135096539,5.142893427059728e-10,3.610311185795929e-07,-1
30,31,44,2020-03-03,-0.04613464566740794,3.213989741422146e-08,2.1694430754599483e-05,-1
31,32,45,2020-03-04,-0.03946591527904003,1.1272488679255939e-05,0.007034032935855706,-1
32,33,46,2020-03-05,-0.028983820978011207,0.0020575722922699345,1.0,0
33,34,47,2020-03-06,-0.015176691072404708,0.11960378283915617,1.0,0
34,35,48,2020-03-07,0.0012067092755946095,0.908008428182763,1.0,0
35,36,49,2020-03-08,0.01917076582806124,0.1007964726656278,1.0,0
36,37,50,2020-03-09,0.037635759539500775,0.00421601837183715,1.0,0
37,38,51,2020-03-10,0.05553409487563956,0.00012174518124832591,0.07280361838649889,0
38,39,52,2020-03-11,0.07188737239663158,2.785413955925689e-06,0.001763167034100961,1
39,40,53,2020-03-12,0.08588505338631025,4.57688483391374e-08,3.07108972355612e-05,1
40,41,54,2020-03-13,0.09695348686611623,4.3820532566619006e-10,3.0981116524599635e-07,1
41,42,55,2020-03-14,0.10480327576932996,1.8210464557593066e-12,1.3858163528328324e-09,1
42,43,56,2020-03-15,0.1094410151237209,3.0002120338779257e-15,2.424171323373364e-12,1
43,44,57,2020-03-16,0.11113763856554074,3.2294615846480025e-17,2.6933709615964342e-14,1
44,45,58,2020-03-17,0.11036051404345573,2.3874367162964916e-16,1.9696352909446057e-13,1
45,46,59,2020-03-18,0.1076863632245465,6.634877165246518e-15,5.321171486527708e-12,1
46,47,60,2020-03-19,0.10370414269765527,6.498779402838112e-14,5.121038169436432e-11,1
47,48,61,2020-03-20,0.09894027448854388,2.5133271740953585e-13,1.962908522968475e-10,1
48,49,62,2020-03-21,0.09381800516807165,4.909100330024969e-13,3.7849163544492515e-10,1
49,50,63,2020-03-22,0.08864321668330741,5.78746205069865e-13,4.4331959308351654e-10,1
50,51,64,2020-03-23,0.08360567712398427,4.810377190557063e-13,3.7184215683006097e-10,1
51,52,65,2020-03-24,0.07879152118843735,3.39602993073828e-13,2.6387152561836436e-10,1
52,53,66,2020-03-25,0.07421169111213383,2.5885026952347886e-13,2.019032102283135e-10,1
53,54,67,2020-03-26,0.06981781048296165,2.8378639580717045e-13,2.210696023337858e-10,1
54,55,68,2020-03-27,0.065513314343201,5.714561598502575e-13,4.3830687460514755e-10,1
55,56,69,2020-03-28,0.061164851455251266,2.273552529324583e-12,1.7256263697573585e-09,1
