,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.7060444534752413,0.0018399343610404225,0.6937492869915217,0
1,2,15,2020-02-03,-0.7081648912041807,0.001780260774987257,0.6747188337201704,0
2,3,16,2020-02-04,-0.6782662993578565,0.002812465819995339,1.0,0
3,4,17,2020-02-05,-0.618121410545009,0.00651331782964597,1.0,0
4,5,18,2020-02-06,-0.52915865727366,0.019060155797218422,1.0,0
5,6,19,2020-02-07,-0.4125586374045508,0.06174640430750362,1.0,0
6,7,20,2020-02-08,-0.269329575525444,0.20052144872456992,1.0,0
7,8,21,2020-02-09,-0.10035056819006184,0.5999746289924831,1.0,0
8,9,22,2020-02-10,0.093600073682121,0.5532416606742798,1.0,0
9,10,23,2020-02-11,0.31182639124126554,0.00026428855355258154,0.10888688406366359,0
10,11,24,2020-02-12,0.19821295781837103,1.523612990976693e-07,7.267633966958825e-05,1
11,12,25,2020-02-13,0.16418917736198982,8.543039401809936e-09,4.3996652919321165e-06,1
12,13,26,2020-02-14,0.14253719782054788,1.1302162187039535e-09,6.08056325662727e-07,1
13,14,27,2020-02-15,0.12680645247614464,2.2676526964063943e-10,1.2630825518983617e-07,1
14,15,28,2020-02-16,0.11460855393708942,5.871842870942406e-11,3.423284393759423e-08,1
15,16,29,2020-02-17,0.10475959850102157,1.835332324518669e-11,1.1195527179563882e-08,1
16,17,30,2020-02-18,0.09657198856413536,6.773732183925995e-12,4.226808882769821e-09,1
17,18,31,2020-02-19,0.08960175313130773,2.9338820011436095e-12,1.8747505987307664e-09,1
18,19,32,2020-02-20,0.08354136143991536,1.4821457036666429e-12,9.693232901979845e-10,1
19,20,33,2020-02-21,0.07817806158314665,8.78481084132572e-13,5.824329587798952e-10,1
20,21,34,2020-02-22,0.07335616229535855,6.123264789722004e-13,4.108710673903465e-10,1
21,22,35,2020-02-23,0.06895873143473466,4.97177272738588e-13,3.355946590985469e-10,1
22,23,36,2020-02-24,0.0648964406544986,4.59246066886318e-13,3.109095872820373e-10,1
23,24,37,2020-02-25,0.06110294815997119,4.668786732906883e-13,3.1560998314450525e-10,1
24,25,38,2020-02-26,0.057530982376280126,5.056541779282459e-13,3.403052617457095e-10,1
25,26,39,2020-02-27,0.054148288991371085,5.695793548657171e-13,3.8275732646976187e-10,1
26,27,40,2020-02-28,0.05093413945042577,6.553481795063253e-13,4.390832802692379e-10,1
27,28,41,2020-02-29,0.047876921973045355,7.587344324582433e-13,5.068346008821065e-10,1
28,29,42,2020-03-01,0.04497093405427524,8.763408330960417e-13,5.818903131757717e-10,1
29,30,43,2020-03-02,0.04221154333577921,1.0059505863385937e-12,6.649333375698105e-10,1
30,31,44,2020-03-03,0.039592967231791024,1.1467563022770902e-12,7.557124032006025e-10,1
31,32,45,2020-03-04,0.03710977126132963,1.302680973631328e-12,8.571640806494138e-10,1
32,33,46,2020-03-05,0.03475751719187335,1.4745750249492008e-12,9.658466413417265e-10,1
33,34,47,2020-03-06,0.03253184890820285,1.6587789275601362e-12,1.0815238607692087e-09,1
34,35,48,2020-03-07,0.03042826386598919,1.8526909124612667e-12,1.2042490930998233e-09,1
35,36,49,2020-03-08,0.02844129535837906,2.067932960645282e-12,1.3379526255374973e-09,1
36,37,50,2020-03-09,0.02656524489217064,2.3224250607750887e-12,1.4979641641999322e-09,1
37,38,51,2020-03-10,0.024794209035070458,2.6511215795525232e-12,1.6993689324931673e-09,1
38,39,52,2020-03-11,0.02312100484168407,3.114984725192683e-12,1.984245269947739e-09,1
39,40,53,2020-03-12,0.02153676394623973,3.79723110517436e-12,2.4074445206805442e-09,1
40,41,54,2020-03-13,0.020032427656810712,4.827733074226526e-12,3.051127302911164e-09,1
41,42,55,2020-03-14,0.018601011963938187,6.44596588606436e-12,4.041620610562354e-09,1
42,43,56,2020-03-15,0.01723652471557669,9.155770963389035e-12,5.676577997301202e-09,1
43,44,57,2020-03-16,0.015934373538800964,1.3877438412029882e-11,8.534624623398378e-09,1
44,45,58,2020-03-17,0.014692135444857733,2.1934093169458023e-11,1.3335928647030479e-08,1
45,46,59,2020-03-18,0.013508888577683136,3.475623698840381e-11,2.078422971906548e-08,1
46,47,60,2020-03-19,0.012385686841280122,5.337853670875994e-11,3.133320104804208e-08,1
47,48,61,2020-03-20,0.011324622629276217,7.765376902430988e-11,4.48062247270268e-08,1
48,49,62,2020-03-21,0.010328324042216855,1.0535666376875844e-10,5.98425850206548e-08,1
