,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.01669346260654946,8.505418187833764e-18,5.749662694975625e-15,-1
1,2,15,2020-02-03,-0.01703122206655694,4.3234888161328977e-17,2.788650286405719e-14,-1
2,3,16,2020-02-04,-0.017409068048871632,6.013110795552652e-17,3.842377798358145e-14,-1
3,4,17,2020-02-05,-0.017775520800420004,2.2906366903978682e-17,1.5049483055913995e-14,-1
4,5,18,2020-02-06,-0.0180706362181936,2.249207699999283e-18,1.5834422207994953e-15,-1
5,6,19,2020-02-07,-0.018235414615543958,1.1204115768573228e-19,8.559944447189946e-17,-1
6,7,20,2020-02-08,-0.01822176930262953,1.6617361194663682e-19,1.2479638257192426e-16,-1
7,8,21,2020-02-09,-0.018000333034253177,1.8757370853125497e-17,1.2379864763062827e-14,-1
8,9,22,2020-02-10,-0.017559616850148615,2.0931058455637636e-15,1.1826048027435264e-12,-1
9,10,23,2020-02-11,-0.01690152510457557,8.712015455398383e-14,4.321159665877598e-11,-1
10,11,24,2020-02-12,-0.016041844375758597,1.6287049004266252e-12,7.264023855902748e-10,-1
11,12,25,2020-02-13,-0.015006097168794159,1.7333142908906126e-11,7.019922878106981e-09,-1
12,13,26,2020-02-14,-0.013830396508178352,1.1948811284419322e-10,4.2059815721156014e-08,-1
13,14,27,2020-02-15,-0.012563563005562746,5.730908695658678e-10,1.8052362391324836e-07,-1
14,15,28,2020-02-16,-0.011260763155086022,1.986017159303614e-09,5.779309933573516e-07,-1
15,16,29,2020-02-17,-0.00998206925681117,4.922378253753538e-09,1.3241197502597018e-06,-1
16,17,30,2020-02-18,-0.008786971636914234,8.192788309998257e-09,2.097353807359554e-06,-1
17,18,31,2020-02-19,-0.007722681419726301,8.489359848311272e-09,2.1566902473453674e-06,-1
18,19,32,2020-02-20,-0.006815982362166498,4.940639449043549e-09,1.3241197502597018e-06,-1
19,20,33,2020-02-21,-0.006078898754047719,1.34657105516166e-09,3.9858503232785136e-07,-1
20,21,34,2020-02-22,-0.005512433115152225,1.3092211214579746e-10,4.542997291459172e-08,-1
21,22,35,2020-02-23,-0.005102112578427297,3.29732838744449e-12,1.4310405201509087e-09,-1
22,23,36,2020-02-24,-0.004816818653180544,1.627138525420884e-14,8.55874864371385e-12,-1
23,24,37,2020-02-25,-0.004613800304623538,2.693828286544077e-17,1.7644575276863705e-14,-1
24,25,38,2020-02-26,-0.004442985150172962,2.7124174502443485e-17,1.773121054288731e-14,-1
25,26,39,2020-02-27,-0.004248778523452096,3.466559040044362e-14,1.7783447875427578e-11,-1
26,27,40,2020-02-28,-0.003971808584561787,3.860143742249455e-11,1.478435053281541e-08,-1
