,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0012288538088456276,0.003912306346490426,0.3442829584911575,0
1,2,15,2020-02-03,-0.0018755502562740826,0.00010351003046322668,0.013663324021145923,-1
2,3,16,2020-02-04,-0.0024925883537990144,3.786587965671195e-06,0.0006853724217864863,-1
3,4,17,2020-02-05,-0.0030661866332323488,1.7252676713506157e-07,4.157895087954984e-05,-1
4,5,18,2020-02-06,-0.003577704016265021,8.620802700681282e-09,2.6121032183064285e-06,-1
5,6,19,2020-02-07,-0.004009755731015252,4.2571887154594725e-10,1.575159824720005e-07,-1
6,7,20,2020-02-08,-0.004349693761353521,1.684497660429525e-11,7.405186104215719e-09,-1
7,8,21,2020-02-09,-0.004586041122201509,3.8940054187377933e-13,2.0677168773497683e-10,-1
8,9,22,2020-02-10,-0.004703224932679559,9.772164332639081e-15,5.96102024290984e-12,-1
9,10,23,2020-02-11,-0.004679817497827953,2.845433723246153e-14,1.6844967641617226e-11,-1
10,11,24,2020-02-12,-0.004494054629223704,8.490303039338043e-12,3.888558792016824e-09,-1
11,12,25,2020-02-13,-0.0041307087789099126,2.2858687804824424e-09,7.474790912177586e-07,-1
12,13,26,2020-02-14,-0.0035868961169629515,3.014135839843766e-07,6.962653790039099e-05,-1
13,14,27,2020-02-15,-0.002871500121926171,2.796761506796655e-05,0.0041951422601949825,-1
14,15,28,2020-02-16,-0.0020021764424591622,0.0022125214320913005,0.20355197175239964,0
15,16,29,2020-02-17,-0.0010069459221908998,0.10754458598942873,1.0,0
16,17,30,2020-02-18,7.81189841663094e-05,0.9018702037303246,1.0,0
17,18,31,2020-02-19,0.0012081112806649867,0.0815505965783594,1.0,0
18,19,32,2020-02-20,0.0023314829569638412,0.0027367955693434675,0.2435748056715686,0
19,20,33,2020-02-21,0.003395528427816316,7.33902789617439e-05,0.010054468217758914,1
20,21,34,2020-02-22,0.004353492193911343,1.810047798975181e-06,0.00035838946419708585,1
21,22,35,2020-02-23,0.005173275551874359,3.710141541208316e-08,1.0044545655155595e-05,1
22,23,36,2020-02-24,0.005837754436763125,5.37402652797089e-10,1.9668937092373455e-07,1
23,24,37,2020-02-25,0.006343169312227,4.319083142090141e-12,2.0429263262086368e-09,1
24,25,38,2020-02-26,0.006691078586473842,1.246114759643595e-14,7.551455443440186e-12,1
25,26,39,2020-02-27,0.006880872642228806,1.1441323780776479e-17,8.249194445939841e-15,1
26,27,40,2020-02-28,0.006917037125469075,9.914291672111075e-19,7.415890170739085e-16,1
27,28,41,2020-02-29,0.006817297396740852,9.956260823968826e-17,6.849907446890552e-14,1
28,29,42,2020-03-01,0.006605487656004085,6.743397829881797e-15,4.174163256696833e-12,1
29,30,43,2020-03-02,0.006304179167901969,1.6861990751064142e-13,9.240370931583149e-11,1
30,31,44,2020-03-03,0.005928919736854677,2.867169842636868e-12,1.3991788832067916e-09,1
31,32,45,2020-03-04,0.005481749689053777,5.0561391453557624e-11,2.0527924930144395e-08,1
32,33,46,2020-03-05,0.004951907541103983,1.1444385698029123e-09,3.925424294423989e-07,1
33,34,47,2020-03-06,0.004323990533985149,3.508215459434901e-08,9.57742820425728e-06,1
34,35,48,2020-03-07,0.003586121900027341,1.4231325954205929e-06,0.0002870285430030047,1
35,36,49,2020-03-08,0.002737511320361249,7.598651500316231e-05,0.010258179525426911,1
36,37,50,2020-03-09,0.001789298651805349,0.004908638593225837,0.4052193564330739,0
