,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.009580610005313045,5.215461624406534e-05,0.00615424471679971,-1
1,2,15,2020-02-03,-0.012433098542416853,2.908175786612436e-06,0.00043041001641864053,-1
2,3,16,2020-02-04,-0.015154743386887118,1.827746335702597e-07,3.2716659409076486e-05,-1
3,4,17,2020-02-05,-0.01767976624632483,1.1591542935938263e-08,2.5501394459064178e-06,-1
4,5,18,2020-02-06,-0.01994691701064702,6.711931927891252e-10,1.7518142331796167e-07,-1
5,6,19,2020-02-07,-0.021906215165767778,3.197045043669897e-11,9.942810085813378e-09,-1
6,7,20,2020-02-08,-0.023522312924752334,1.0996175125050333e-12,4.1785465475191263e-10,-1
7,8,21,2020-02-09,-0.02477203291876735,2.2659567852370346e-14,1.0060848126452433e-11,-1
8,9,22,2020-02-10,-0.025654617803672397,2.1999794666763647e-16,1.0843672103755136e-13,-1
9,10,23,2020-02-11,-0.02619696616401546,9.049357055039098e-19,5.366268733638185e-16,-1
10,11,24,2020-02-12,-0.026432250127136875,7.93634449196491e-21,5.4443323214879284e-18,-1
11,12,25,2020-02-13,-0.026371816753601746,3.395367711751987e-20,2.2171751157740474e-17,-1
12,13,26,2020-02-14,-0.026000135073289573,5.563872187617927e-18,3.03231034225177e-15,-1
13,14,27,2020-02-15,-0.02529933153951468,6.949765617989507e-16,3.328937731016974e-13,-1
14,15,28,2020-02-16,-0.024255877776756363,4.735957896857447e-14,2.0411978535455596e-11,-1
15,16,29,2020-02-17,-0.022853290895726047,2.219835458625387e-12,8.168994487741424e-10,-1
16,17,30,2020-02-18,-0.021083387160409923,8.157966802278997e-11,2.422916140276862e-08,-1
17,18,31,2020-02-19,-0.0189574109613281,2.4650744048877066e-09,5.96548005982825e-07,-1
18,19,32,2020-02-20,-0.016467383660635274,7.298195670873377e-08,1.3939553731368151e-05,-1
19,20,33,2020-02-21,-0.013573000503202289,2.698248654917931e-06,0.0004074208032322365,-1
20,21,34,2020-02-22,-0.010223518819991544,0.0001482542302622493,0.016159711098585175,-1
21,22,35,2020-02-23,-0.006366514248679584,0.0111828516937149,0.7045196567040387,0
22,23,36,2020-02-24,-0.001961932498872347,0.4276526727316824,1.0,0
23,24,37,2020-02-25,0.0029933298190313123,0.28358094547522783,1.0,0
24,25,38,2020-02-26,0.008458192705020632,0.014146693186980622,0.8481931947246171,0
25,26,39,2020-02-27,0.014361462535669563,0.0007739536999457078,0.07275164779489654,0
26,27,40,2020-02-28,0.02061273801579284,6.244747717534421e-05,0.007243907352339928,1
27,28,41,2020-02-29,0.02708050702587331,6.510568813798989e-06,0.0008935043021449659,1
28,29,42,2020-03-01,0.03360261437927909,7.462760649810786e-07,0.00012164299859191581,1
29,30,43,2020-03-02,0.04000486188798603,8.143209949429047e-08,1.547209890391519e-05,1
30,31,44,2020-03-03,0.046098428309537205,7.48583343432451e-09,1.7067700230259881e-06,1
31,32,45,2020-03-04,0.05167276017567175,5.345211279265659e-10,1.411135777726134e-07,1
32,33,46,2020-03-05,0.05653252023686162,2.7068884901656774e-11,8.47256097421857e-09,1
33,34,47,2020-03-06,0.06052656590565986,8.293795310820038e-13,3.1931111946657147e-10,1
34,35,48,2020-03-07,0.06354764317101552,1.2081222597611903e-14,5.424468946327744e-12,1
35,36,49,2020-03-08,0.0655370072409455,6.52621322872249e-17,3.2957376805048575e-14,1
36,37,50,2020-03-09,0.06649280413081649,3.3149413278807287e-19,2.0618935059418132e-16,1
37,38,51,2020-03-10,0.06647165273449562,3.9134180158963276e-19,2.4184923338239305e-16,1
38,39,52,2020-03-11,0.06557759103552395,2.918195919207441e-17,1.5028708983918322e-14,1
39,40,53,2020-03-12,0.06393849057126753,1.2258708949630758e-15,5.810628042124979e-13,1
40,41,54,2020-03-13,0.06168654230663619,1.9826013816509657e-14,8.842402162163307e-12,1
41,42,55,2020-03-14,0.0589389334213462,1.627374720413955e-13,6.672236353697216e-11,1
42,43,56,2020-03-15,0.05580767581735665,8.325320805436411e-13,3.196923189287582e-10,1
43,44,57,2020-03-16,0.05240401702682298,3.0046894265231132e-12,1.0937069512544132e-09,1
44,45,58,2020-03-17,0.04883570185220834,8.34300662207518e-12,2.861651271371787e-09,1
45,46,59,2020-03-18,0.04520135393577583,1.936864378834244e-11,6.178597368481238e-09,1
46,47,60,2020-03-19,0.04158157762398544,4.04125189334582e-11,1.2406643312571667e-08,1
47,48,61,2020-03-20,0.038041144676012696,7.911759201087873e-11,2.3577042419241862e-08,1
48,49,62,2020-03-21,0.034627650638410515,1.4899601577206147e-10,4.231486847926546e-08,1
49,50,63,2020-03-22,0.031368209576069984,2.75071423544519e-10,7.646985574537629e-08,1
50,51,64,2020-03-23,0.02826726068136665,5.0407537722965e-10,1.3357997496585724e-07,1
51,52,65,2020-03-24,0.0253144418607936,9.331371810306712e-10,2.388831183438518e-07,1
52,53,66,2020-03-25,0.02249687689212965,1.8488051149879273e-09,4.5315925481338277e-07,1
53,54,67,2020-03-26,0.019799869201417093,4.33567669068864e-09,1.0318910523838963e-06,1
54,55,68,2020-03-27,0.01720373163998379,1.3528061411821222e-08,2.9491173877770264e-06,1
55,56,69,2020-03-28,0.014680692991408506,6.166596021442003e-08,1.1963196281597486e-05,1
56,57,70,2020-03-29,0.012198398522145997,4.407211980492207e-07,7.536332486641674e-05,1
57,58,71,2020-03-30,0.009725520618788452,5.289729104745471e-06,0.0007511415328738569,1
58,59,72,2020-03-31,0.007230654624609559,0.0001140410402024631,0.012658555462473405,1
59,60,73,2020-04-01,0.004679841891359194,0.004309734623650805,0.3138391992651406,0
60,61,74,2020-04-02,0.002039943157390673,0.16717055234070988,1.0,0
61,62,75,2020-04-03,-0.000712270121222965,0.6313316384753614,1.0,0
62,63,76,2020-04-04,-0.00358770726045682,0.03501899024502292,1.0,0
63,64,77,2020-04-05,-0.006586043013249268,0.0012760303045854507,0.10973860619434876,0
64,65,78,2020-04-06,-0.009700481472743848,7.107496817858902e-05,0.008102546372359149,-1
65,66,79,2020-04-07,-0.012918823422082533,6.386366215372856e-06,0.0008935043021449659,-1
66,67,80,2020-04-08,-0.016225963993355342,8.209975336618767e-07,0.00013161424696596437,-1
67,68,81,2020-04-09,-0.01960659246838748,1.3432847068732697e-07,2.454887161800704e-05,-1
68,69,82,2020-04-10,-0.023039786300703913,2.5577863053336737e-08,5.243461925934031e-06,-1
69,70,83,2020-04-11,-0.02649237618419759,5.2946863136287515e-09,1.238956597389128e-06,-1
70,71,84,2020-04-12,-0.029918173979854752,1.1252790386904303e-09,2.8469559678867885e-07,-1
71,72,85,2020-04-13,-0.03326592847859699,2.354832074744555e-10,6.593529809284754e-08,-1
72,73,86,2020-04-14,-0.03648917065566722,4.736179653571042e-11,1.4492709739927389e-08,-1
73,74,87,2020-04-15,-0.039545246922742215,8.982167505580128e-12,3.0449547843916633e-09,-1
74,75,88,2020-04-16,-0.04239864075188334,1.5820847004731588e-12,5.948638473779077e-10,-1
75,76,89,2020-04-17,-0.04502185357966757,2.529342641148237e-13,1.0092077138181467e-10,-1
76,77,90,2020-04-18,-0.047392816540269105,3.545904885841918e-14,1.5460145302270763e-11,-1
77,78,91,2020-04-19,-0.049495437883495065,4.229077668179267e-15,1.958062960367001e-12,-1
78,79,92,2020-04-20,-0.05132685157606296,4.2402256733766324e-16,2.0565094515876666e-13,-1
79,80,93,2020-04-21,-0.05289340641379961,3.616563313463013e-17,1.8480638531795997e-14,-1
80,81,94,2020-04-22,-0.054200170882583845,2.63449704607137e-18,1.4911253280763955e-15,-1
81,82,95,2020-04-23,-0.055254761248978435,1.5343488244477824e-19,9.666397594021029e-17,-1
82,83,96,2020-04-24,-0.05607238570507298,6.091594936452124e-21,4.191017316279062e-18,-1
83,84,97,2020-04-25,-0.056679891461739525,1.3389886045132125e-22,1.0283432482661472e-19,-1
84,85,98,2020-04-26,-0.057113130923647185,1.3975945881150023e-24,1.1334492109612668e-21,-1
85,86,99,2020-04-27,-0.05742657749535364,8.003721401179387e-27,6.739133419793044e-24,-1
86,87,100,2020-04-28,-0.057690936656719705,1.4639245231324813e-28,1.250191542755139e-25,-1
87,88,101,2020-04-29,-0.05797452175509501,1.9972904693643524e-27,1.693702318020971e-24,-1
88,89,102,2020-04-30,-0.058327382151884495,5.357973440464281e-25,4.4042541680616385e-22,-1
89,90,103,2020-05-01,-0.05876456057585985,3.920242474999073e-23,3.069549857924274e-20,-1
90,91,104,2020-05-02,-0.05926459368307317,5.797005306677202e-22,4.3187689534745156e-19,-1
91,92,105,2020-05-03,-0.05977178393430118,1.961322406056904e-21,1.4063897888238078e-18,-1
92,93,106,2020-05-04,-0.06020557607484145,1.5825871102625594e-21,1.1442104807198305e-18,-1
93,94,107,2020-05-05,-0.06047063230041182,4.360789775627764e-22,3.2705923317208233e-19,-1
94,95,108,2020-05-06,-0.06045680288827249,5.0647540178257985e-22,3.7935007593515233e-19,-1
95,96,109,2020-05-07,-0.06004223182489446,4.575466693745057e-20,2.9603269508530516e-17,-1
