,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-1.74331726066627,0.00021022159023419598,0.12066719279442849,0
1,2,15,2020-02-03,-1.0486436341968444,0.0676472419977843,1.0,0
2,3,16,2020-02-04,-0.353970007727419,0.5628376544136169,1.0,0
3,4,17,2020-02-05,0.34070361874200694,0.5777715457913921,1.0,0
4,5,18,2020-02-06,1.0353772452114325,0.07176713232653238,1.0,0
5,6,19,2020-02-07,1.7300508716808582,0.0002594284055051347,0.14761476273242163,0
6,7,20,2020-02-08,1.815598194297954,0.000132949575334108,0.0781743502964555,0
7,8,21,2020-02-09,1.8497878035967226,9.81194444727306e-05,0.05857730835022017,0
8,9,22,2020-02-10,1.8187552024762934,0.00013006401933097876,0.0766077073859465,0
9,10,23,2020-02-11,1.7176057691141215,0.00030374588079961024,0.17131267677098017,0
10,11,24,2020-02-12,1.5429421430416939,0.0010581816882854096,0.5404112327209744,0
11,12,25,2020-02-13,1.2913016610811854,0.004571022488444817,1.0,0
12,13,26,2020-02-14,0.9580899414959836,0.02164920354515713,1.0,0
13,14,27,2020-02-15,0.5353893905105713,0.10886430106296381,1.0,0
14,15,28,2020-02-16,-0.5069978490411459,0.10886430106296381,1.0,0
15,16,29,2020-02-17,-0.9158767069128113,0.021483139824061772,1.0,0
16,17,30,2020-02-18,-1.239840350125229,0.004476304331103054,1.0,0
17,18,31,2020-02-19,-1.4850672080894054,0.0010166866041269875,0.5235936011253985,0
18,19,32,2020-02-20,-1.6554518943461616,0.00028528477195667666,0.16175646569943566,0
19,20,33,2020-02-21,-1.7539256315357414,0.00011997578053458377,0.0710256620764736,0
20,21,34,2020-02-22,-1.7831043609360506,9.074140164923039e-05,0.05426335818623977,0
21,22,35,2020-02-23,-1.745986580301842,0.0001286138545975158,0.07588217421253432,0
22,23,36,2020-02-24,-1.6475746173305892,0.0002926937636364629,0.165664670218238,0
23,24,37,2020-02-25,-1.5048763666380662,0.000772139218307748,0.4053730896115677,0
24,25,38,2020-02-26,-0.7593990885860736,0.15791654554251802,1.0,0
25,26,39,2020-02-27,-0.013921810534080923,0.9802150292000993,1.0,0
26,27,40,2020-02-28,0.7315554675179118,0.17514897916888852,1.0,0
27,28,41,2020-02-29,1.4770327455699044,0.001117601005749744,0.5641477509374405,0
28,29,42,2020-03-01,1.6375125054974984,0.0003806998010859584,0.20976559039836307,0
29,30,43,2020-03-02,1.7432071987490239,0.0001614915844499924,0.09398810214989559,0
30,31,44,2020-03-03,1.785548456196276,0.00010974440126936184,0.06507842995273157,0
31,32,45,2020-03-04,1.7607245175734751,0.0001383576664061995,0.0810775925140329,0
32,33,46,2020-03-05,1.6660218425147792,0.0003133520730242326,0.17579051296659448,0
33,34,47,2020-03-06,1.4988218564770643,0.0010731896168250812,0.5451803253471412,0
34,35,48,2020-03-07,1.256015956153233,0.00459622463841389,1.0,0
35,36,49,2020-03-08,0.9331734277498247,0.021683033762372832,1.0,0
36,37,50,2020-03-09,0.04919220948469527,0.912234433517635,1.0,0
37,38,51,2020-03-10,-0.850473038336053,0.02157141263555507,1.0,0
38,39,52,2020-03-11,-1.143994972446912,0.00457258090386003,1.0,0
39,40,53,2020-03-12,-1.3596700681808433,0.001089552219596192,0.5524029753352694,0
40,41,54,2020-03-13,-1.5012576763120369,0.00033994426878874605,0.18934895771533156,0
41,42,55,2020-03-14,-1.5714933051953326,0.00017279591433414703,0.10004883439947113,0
42,43,56,2020-03-15,-1.5725178138918243,0.0001709814425717069,0.09916923669159002,0
43,44,57,2020-03-16,-1.5060829694304076,0.00033007835426685194,0.18451380003517023,0
44,45,58,2020-03-17,-1.3736628788116165,0.0010420721854778174,0.5345830311501203,0
45,46,59,2020-03-18,-1.1765197049644067,0.004307498815375971,1.0,0
46,47,60,2020-03-19,-0.9157511726237907,0.019809304678256524,1.0,0
47,48,61,2020-03-20,-0.592325482184224,0.093495516821805,1.0,0
48,49,62,2020-03-21,-0.20710595780346663,0.45205451649296846,1.0,0
49,50,63,2020-03-22,0.2391299705740816,9.491064735283676e-08,6.140718883728538e-05,1
50,51,64,2020-03-23,0.19965705807247186,6.93298502774012e-09,4.617711287217146e-06,1
51,52,65,2020-03-24,0.17376634174515754,1.238711101797413e-09,8.39846127018646e-07,1
52,53,66,2020-03-25,0.15443357686905435,3.271088329764393e-10,2.237424417558845e-07,1
53,54,67,2020-03-26,0.1391220452859972,1.0672881933115172e-10,7.460344471247505e-08,1
54,55,68,2020-03-27,0.12658129142338265,3.964315513907787e-11,2.8146640148745287e-08,1
55,56,69,2020-03-28,0.1160879728045646,1.60533650140619e-11,1.1622636270180815e-08,1
56,57,70,2020-03-29,0.10718064395653513,6.875590149720241e-12,5.019180809295776e-09,1
57,58,71,2020-03-30,0.09954323259774579,3.020871267362406e-12,2.2354447378481805e-09,1
58,59,72,2020-03-31,0.09294834277714346,1.314154471834135e-12,9.81673390460099e-10,1
59,60,73,2020-04-01,0.08722877678523985,5.470543652637788e-13,4.1466720886994437e-10,1
60,61,74,2020-04-02,0.08226090696761233,2.1094281687132235e-13,1.632697402584035e-10,1
61,62,75,2020-04-03,0.07796517106998152,7.131026714894451e-14,5.6192490513368274e-11,1
62,63,76,2020-04-04,0.07430593776494918,1.905897541169489e-14,1.5406553193558853e-11,1
63,64,77,2020-04-05,0.07128651843575977,3.3720690130316837e-15,2.7785848667381076e-12,1
64,65,78,2020-04-06,0.0689326208974484,3.0387626373069174e-16,2.54344432742589e-13,1
65,66,79,2020-04-07,0.0672487832878528,1.081519406954976e-17,9.192914959117297e-15,1
66,67,80,2020-04-08,0.06619499488120763,1.508586989856433e-19,1.2883332893373937e-16,1
67,68,81,2020-04-09,0.0656906479860832,2.9429768388440117e-21,2.528017104567006e-18,1
68,69,82,2020-04-10,0.06561069207098358,1.3608944935503245e-21,1.1730910534403797e-18,1
69,70,83,2020-04-11,0.06580102871448953,4.14930175295049e-21,3.55595160227857e-18,1
