,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.04448823521653082,0.002757711435786389,1.0,0
1,2,15,2020-02-03,-0.06845822504996639,0.0001175052745532086,0.061337753316774886,0
2,3,16,2020-02-04,-0.09305598783566074,9.66958991238961e-06,0.005499135992850661,-1
3,4,17,2020-02-05,-0.11770703791003442,1.1395758138009864e-06,0.0006860246399081938,-1
4,5,18,2020-02-06,-0.14036296171346502,1.160887389301586e-07,7.371634922065071e-05,-1
5,6,19,2020-02-07,-0.15684193491969872,5.970472620655337e-09,3.916630039149901e-06,-1
6,7,20,2020-02-08,-0.16203474568426326,7.916425761837621e-10,5.335670963478557e-07,-1
7,8,21,2020-02-09,-0.152867245894754,5.768790812638862e-08,3.697794910901511e-05,-1
8,9,22,2020-02-10,-0.12971053376685732,3.0653561345103585e-05,0.01682880517846187,-1
9,10,23,2020-02-11,-0.09522889449180069,0.004253738038826379,1.0,0
10,11,24,2020-02-12,-0.05279089982415357,0.12851367652727094,1.0,0
11,12,25,2020-02-13,-0.005921258356265944,0.8684719799297412,1.0,0
12,13,26,2020-02-14,0.04185184385097137,0.25156428345702103,1.0,0
13,14,27,2020-02-15,0.08700744024687823,0.017537310672144795,1.0,0
14,15,28,2020-02-16,0.12605118038632362,0.00041227342680973003,0.20489989312443582,0
15,16,29,2020-02-17,0.15563414710797566,3.4884796951123795e-06,0.002040760621640742,1
16,17,30,2020-02-18,0.17268684874785853,2.7404705949702206e-08,1.775824945540703e-05,1
17,18,31,2020-02-19,0.17495315023553346,1.1938646757180443e-08,7.783997685681648e-06,1
18,19,32,2020-02-20,0.16204789310374973,2.6511780815405954e-07,0.00016569863009628722,1
19,20,33,2020-02-21,0.13674210340727264,6.404893269591665e-06,0.003702028309823982,1
20,21,34,2020-02-22,0.10437543727225343,0.00010815091499701178,0.0568873812884282,0
21,22,35,2020-02-23,0.06997487765159427,0.0020769712057267563,0.9408679561942206,0
22,23,36,2020-02-24,0.03631159891368459,0.053490761732519126,1.0,0
23,24,37,2020-02-25,0.004402688768394422,0.7869023961166229,1.0,0
24,25,38,2020-02-26,-0.02524667554059879,0.11460531339328085,1.0,0
25,26,39,2020-02-27,-0.05209613749157758,0.0023893415008121523,1.0,0
26,27,40,2020-02-28,-0.07519292160079996,4.104420699511868e-05,0.022369092812339682,-1
27,28,41,2020-02-29,-0.09308685860996121,6.400361835578956e-07,0.0003942622890716637,-1
28,29,42,2020-03-01,-0.10412058659346538,8.288749476997697e-09,5.420842157956494e-06,-1
29,30,43,2020-03-02,-0.10675903512139262,1.3300077887698192e-09,8.897752106870091e-07,-1
30,31,44,2020-03-03,-0.10008565198679566,1.1094188308016837e-07,7.055903763898709e-05,-1
31,32,45,2020-03-04,-0.08403751423823,4.109005722392245e-05,0.022369092812339682,-1
32,33,46,2020-03-05,-0.05950216147404322,0.006048294738379847,1.0,0
33,34,47,2020-03-06,-0.02816825251731438,0.21462502051687812,1.0,0
34,35,48,2020-03-07,0.007732284136384095,0.7491162486005584,1.0,0
35,36,49,2020-03-08,0.045690719347544435,0.08104477381960269,1.0,0
