,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.004840711521325247,2.188700451114609e-21,1.7662812640494894e-18,-1
1,2,15,2020-02-03,-0.00485713126575926,4.57753861138867e-22,3.7398490455045435e-19,-1
2,3,16,2020-02-04,-0.004843738532539867,3.5219359465443894e-22,2.8809436042733107e-19,-1
3,4,17,2020-02-05,-0.00482321055880179,3.458627406815848e-23,2.8741193750639696e-20,-1
4,5,18,2020-02-06,-0.004806915003526017,1.6520551531097113e-24,1.3893783837652671e-21,-1
5,6,19,2020-02-07,-0.004792292537261605,2.4081191021435903e-25,2.0372687604134774e-22,-1
6,7,20,2020-02-08,-0.0047700837058163486,3.2132879989874435e-24,2.6927353431514778e-21,-1
7,8,21,2020-02-09,-0.004724521905120126,6.2243460259353415e-21,4.967028128696403e-18,-1
8,9,22,2020-02-10,-0.00463841025215631,1.039260347857495e-17,7.461889297616815e-15,-1
9,10,23,2020-02-11,-0.004498296080067098,4.2147284818640145e-15,2.684782042947377e-12,-1
10,11,24,2020-02-12,-0.004293260257148554,5.493287682338217e-13,2.8455230194511963e-10,-1
11,12,25,2020-02-13,-0.004013453893893495,3.314790564128568e-11,1.3988416180622556e-08,-1
12,13,26,2020-02-14,-0.003654435384744044,1.2171821282092287e-09,3.943670095397901e-07,-1
13,14,27,2020-02-15,-0.0032153551713907545,3.605846550792165e-08,8.906440980456648e-06,-1
14,15,28,2020-02-16,-0.0026928157725518375,1.149209535049907e-06,0.0001953656209584842,-1
15,16,29,2020-02-17,-0.0020777181495685395,5.4244670809433396e-05,0.00607540313065654,-1
16,17,30,2020-02-18,-0.0013585215597548123,0.00438462435759687,0.2762313345286028,0
17,18,31,2020-02-19,-0.0005236100794627583,0.26288868526627895,1.0,0
18,19,32,2020-02-20,0.00043833868630187956,0.41177992787665796,1.0,0
19,20,33,2020-02-21,0.0015388004416741808,0.023995226502541437,1.0,0
20,21,34,2020-02-22,0.0027878696572556007,0.0015504267701035048,0.11628200775776286,0
21,22,35,2020-02-23,0.004196470902260453,0.00016386345813002202,0.01622248235487218,1
22,23,36,2020-02-24,0.005774512911444768,2.5484897649727507e-05,0.0031346424109164835,1
23,24,37,2020-02-25,0.007525182463698159,5.063090871689538e-06,0.000744274358138362,1
24,25,38,2020-02-26,0.009443157097818707,1.161271222493595e-06,0.00019625483660141755,1
25,26,39,2020-02-27,0.011513958011176328,2.868556499921007e-07,5.651056304844383e-05,1
26,27,40,2020-02-28,0.013706008224824172,7.233988896854497e-08,1.6276475017922618e-05,1
27,28,41,2020-02-29,0.01597484911847954,1.791052433707207e-08,4.6030047546275226e-06,1
28,29,42,2020-03-01,0.018271679523743298,4.254469709447089e-09,1.250814094577444e-06,1
29,30,43,2020-03-02,0.020549510590033196,9.443834014184864e-10,3.118406114987665e-07,1
30,31,44,2020-03-03,0.022761553648379555,1.8809645313191276e-10,6.997188056507155e-08,1
31,32,45,2020-03-04,0.02486532714959576,3.220267716693522e-11,1.3677937076022443e-08,1
32,33,46,2020-03-05,0.026822405049506146,4.573511164309692e-12,2.1541237583898646e-09,1
33,34,47,2020-03-06,0.028599804917860062,5.27413534582026e-13,2.737276244480715e-10,1
34,35,48,2020-03-07,0.030174883441660222,4.9059175257158436e-14,2.8405262473894733e-11,1
35,36,49,2020-03-08,0.03154086414930774,3.7692868765700974e-15,2.4085743141282923e-12,1
36,37,50,2020-03-09,0.03271094874653412,2.6219162908699184e-16,1.7855249940824144e-13,1
37,38,51,2020-03-10,0.03371218063529658,2.0177263289024174e-17,1.4305679671918138e-14,1
38,39,52,2020-03-11,0.03458309367922105,2.369236224871904e-18,1.7366501528311057e-15,1
39,40,53,2020-03-12,0.03536778019034774,5.809653686165019e-19,4.3979078404269195e-16,1
40,41,54,2020-03-13,0.0361051443370959,3.4846430520363834e-19,2.651813362599688e-16,1
41,42,55,2020-03-14,0.036827807785151385,4.491413342630267e-19,3.4089827270563725e-16,1
42,43,56,2020-03-15,0.037561552306082845,8.579299073777029e-19,6.434474305332772e-16,1
43,44,57,2020-03-16,0.03831894564679236,1.6131863302466857e-18,1.1937578843825474e-15,1
44,45,58,2020-03-17,0.03909215492274647,2.222525818264033e-18,1.6335564764240642e-15,1
45,46,59,2020-03-18,0.03985578956711101,1.7973443790200557e-18,1.3264401517168012e-15,1
46,47,60,2020-03-19,0.040569303713410505,6.997634481779224e-19,5.290211668225093e-16,1
47,48,61,2020-03-20,0.04117970117576071,1.0519969114954288e-19,8.174016002319482e-17,1
