,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0842041133650224,7.706190415902387e-11,4.7470132961958705e-08,-1
1,2,15,2020-02-03,-0.08007969743617424,5.95680207325595e-09,3.4192043900489156e-06,-1
2,3,16,2020-02-04,-0.0703505921035404,1.9734173763543367e-06,0.0010064428619407117,-1
3,4,17,2020-02-05,-0.05556630813473689,0.0002864687385853899,0.12318155759171766,0
4,5,18,2020-02-06,-0.03683092568068675,0.015918535374841405,1.0,0
5,6,19,2020-02-07,-0.01562762360651814,0.2943097129650953,1.0,0
6,7,20,2020-02-08,0.006310405848785202,0.6642638572828141,1.0,0
7,8,21,2020-02-09,0.02714681654895671,0.05771996018042789,1.0,0
8,9,22,2020-02-10,0.04510586957675968,0.001215568208951602,0.48987398820749567,0
9,10,23,2020-02-11,0.05862374391173169,8.60680576083194e-06,0.004191514405525155,1
10,11,24,2020-02-12,0.06648178909270389,4.477726662614145e-08,2.4851382977508505e-05,1
11,12,25,2020-02-13,0.06796827610690363,1.0136870431426411e-08,5.7273317937559225e-06,1
12,13,26,2020-02-14,0.06304012950171145,4.3275219969058987e-07,0.0002302241702353938,1
13,14,27,2020-02-15,0.05244499791740189,3.751010765924815e-05,0.01747971016920964,1
14,15,28,2020-02-16,0.03764189595837503,0.0021058659750881623,0.8212877302843833,0
15,16,29,2020-02-17,0.0203820678406155,0.07153945028423939,1.0,0
16,17,30,2020-02-18,0.002476299409729585,0.8131801334411435,1.0,0
17,18,31,2020-02-19,-0.014124222832411102,0.15970923443071572,1.0,0
18,19,32,2020-02-20,-0.02742402069200203,0.00448715787144066,1.0,0
19,20,33,2020-02-21,-0.035733665097399815,6.938622822206736e-05,0.031917664982150984,-1
20,21,34,2020-02-22,-0.03817222123202844,8.848512941072749e-06,0.004291528776420283,-1
21,22,35,2020-02-23,-0.034706142274857736,0.00015799245817041624,0.07014865142766481,0
22,23,36,2020-02-24,-0.025919448789305594,0.010977669889620687,1.0,0
23,24,37,2020-02-25,-0.012851841136770556,0.24960034695051725,1.0,0
24,25,38,2020-02-26,0.0031652978956121197,0.7935672001603165,1.0,0
25,26,39,2020-02-27,0.02061499096031367,0.11142118418060537,1.0,0
26,27,40,2020-02-28,0.03780698009130991,0.005189254082067791,1.0,0
27,28,41,2020-02-29,0.05305508163602106,9.57248575439865e-05,0.04374625989760183,1
28,29,42,2020-03-01,0.06494154989285844,6.57503859402615e-07,0.0003458470300457755,1
29,30,43,2020-03-02,0.0722558782546908,2.2388048757352553e-09,1.298506827926448e-06,1
30,31,44,2020-03-03,0.07407949427757352,2.3024754442475767e-10,1.3953001192140315e-07,1
31,32,45,2020-03-04,0.0701223015258156,1.0603986708334272e-08,5.98064850350053e-06,1
32,33,46,2020-03-05,0.06070757542735045,1.3595775076770147e-06,0.0007069803039920476,1
33,34,47,2020-03-06,0.04626856263247636,0.00019174593815761515,0.08417646685119305,0
34,35,48,2020-03-07,0.026436439059980475,0.03416589321425548,1.0,0
35,36,49,2020-03-08,-0.0011916586279037153,0.9373015390620483,1.0,0
36,37,50,2020-03-09,-0.04631981695991751,0.07578360645714241,1.0,0
37,38,51,2020-03-10,0.6264542442664511,0.14146666383869397,1.0,0
38,39,52,2020-03-11,1.1980254840096296,0.028729617639187827,1.0,0
39,40,53,2020-03-12,1.6684700941668213,0.006086110469680463,1.0,0
40,41,54,2020-03-13,2.037703449146632,0.0013554404213329935,0.5394652876905314,0
41,42,55,2020-03-14,2.305500924971822,0.0003522632707993474,0.14900736354812397,0
