,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.07478420284678505,0.0004338001578191071,0.23902388695832802,0
1,2,15,2020-02-03,-0.10827858024667547,5.242233016592528e-05,0.03119128644872554,-1
2,3,16,2020-02-04,-0.1471702039602413,1.2533717329625956e-05,0.007720769875049589,-1
3,4,17,2020-02-05,-0.19371753528699434,5.1555313999216465e-06,0.0032428292505507156,-1
4,5,18,2020-02-06,-0.24761913214863102,2.3774425609708286e-06,0.001512053468777447,-1
5,6,19,2020-02-07,-0.29199434700362603,3.3171988866048323e-07,0.0002195985662932399,-1
6,7,20,2020-02-08,-0.30368419712861444,7.532655786396039e-08,5.1222059347493064e-05,-1
7,8,21,2020-02-09,-0.28341777006893054,1.9544405373413355e-06,0.001246933062823772,-1
8,9,22,2020-02-10,-0.2391379307252983,0.0002083891825599097,0.11899022324170844,0
9,10,23,2020-02-11,-0.1781906969111871,0.008818757774998265,1.0,0
10,11,24,2020-02-12,-0.10667355234342762,0.1261461278315821,1.0,0
11,12,25,2020-02-13,-0.029755331084418295,0.6702811408845601,1.0,0
12,13,26,2020-02-14,0.04782543993582586,0.4867829671726598,1.0,0
13,14,27,2020-02-15,0.12141658020848618,0.06778126202200066,1.0,0
14,15,28,2020-02-16,0.1861708208708829,0.003072726250688698,1.0,0
15,16,29,2020-02-17,0.23677377058233906,4.603076354658838e-05,0.027480365837313264,1
16,17,30,2020-02-18,0.2668986622957562,7.064227795939925e-07,0.00045705553839731316,1
17,18,31,2020-02-19,0.2688780897648435,5.243755675227755e-07,0.0003424172455923724,1
18,19,32,2020-02-20,0.23691321001119628,5.554388028328743e-06,0.0034826012937621215,1
19,20,33,2020-02-21,0.18394132887553175,1.837765974087374e-05,0.011228750101673854,1
20,21,34,2020-02-22,0.135161576604469,4.0341435776737306e-05,0.024164520030265646,1
21,22,35,2020-02-23,0.09607294737374937,0.00011581914292195523,0.0675225603234999,0
22,23,36,2020-02-24,0.06501569600319738,0.000525143358284996,0.28567798690703783,0
23,24,37,2020-02-25,0.039950000410973255,0.004197338568169185,1.0,0
24,25,38,2020-02-26,0.019289500851674826,0.06146239870054557,1.0,0
25,26,39,2020-02-27,0.0019503515844262324,0.8071859122436251,1.0,0
26,27,40,2020-02-28,-0.012886089853055312,0.07759657373590981,1.0,0
27,28,41,2020-02-29,-0.025848165197868825,0.0008702912898659442,0.45987607192203644,0
28,29,42,2020-03-01,-0.03738818554451433,1.4777666732107691e-05,0.009073487373514122,-1
29,30,43,2020-03-02,-0.04777239359207097,6.120439890613094e-07,0.00039660450491172853,-1
30,31,44,2020-03-03,-0.057089556778325376,4.584777120462779e-08,3.135987550396541e-05,-1
31,32,45,2020-03-04,-0.06516883587418063,3.81961395442841e-09,2.6966474518264573e-06,-1
32,33,46,2020-03-05,-0.07165280224444441,2.1929343089081743e-10,1.6074208484296919e-07,-1
33,34,47,2020-03-06,-0.07612860106551743,6.7541693780562164e-12,5.180447912969118e-09,-1
34,35,48,2020-03-07,-0.07810455783638892,3.4764299507153854e-13,2.777667530621593e-10,-1
35,36,49,2020-03-08,-0.0772297102966975,1.8914543486280467e-12,1.4847916636730167e-09,-1
36,37,50,2020-03-09,-0.07354807036068713,1.9650535959870202e-10,1.4423493394544729e-07,-1
37,38,51,2020-03-10,-0.06769051712218181,9.245933793992873e-09,6.490645523382997e-06,-1
38,39,52,2020-03-11,-0.06101211242890159,9.196052945388067e-08,6.207335738136945e-05,-1
39,40,53,2020-03-12,-0.05567434613151826,1.41106502570781e-07,9.454135672242328e-05,-1
