,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.005913007713051142,1.050227511206926e-07,3.11917570828457e-05,-1
1,2,15,2020-02-03,-0.00490551816528659,2.6778129715027087e-07,7.524654449922612e-05,-1
2,3,16,2020-02-04,-0.003976921120495677,1.1125785516356501e-06,0.00028704526632199775,-1
3,4,17,2020-02-05,-0.003103868240465026,8.907262191436967e-06,0.00196850494430757,-1
4,5,18,2020-02-06,-0.002270398982922018,0.00013752100215066272,0.023653612369913986,-1
5,6,19,2020-02-07,-0.0014731599095610204,0.00345595607958468,0.3774517748432352,0
6,7,20,2020-02-08,-0.0007192767508342344,0.09265640657300707,1.0,0
7,8,21,2020-02-09,-1.87759504837497e-05,0.9606823517665788,1.0,0
8,9,22,2020-02-10,0.0006205497560808249,0.0949684768157907,1.0,0
9,10,23,2020-02-11,0.0011938602422396209,0.0019338154427769323,0.23205785313323188,0
10,11,24,2020-02-12,0.001699290472142961,2.4346574766900012e-05,0.005039740976748303,1
11,12,25,2020-02-13,0.0021371748489284613,2.7548661777219107e-07,7.686076635844131e-05,1
12,13,26,2020-02-14,0.00250742795610212,2.7647686587883024e-09,9.925519485050006e-07,1
13,14,27,2020-02-15,0.002806758853989056,2.2855360602300108e-11,9.964937222602848e-09,1
14,15,28,2020-02-16,0.0030323716073738993,1.8020160733378e-13,9.893068242624522e-11,1
15,16,29,2020-02-17,0.003186639182222445,2.094557141825964e-15,1.3509893564777468e-12,1
16,17,30,2020-02-18,0.003277155089140249,4.8384766779166535e-17,3.425641487964991e-14,1
17,18,31,2020-02-19,0.003310601747822196,3.8630179005608664e-18,2.885674371718967e-15,1
18,19,32,2020-02-20,0.0032819299658003206,8.055206802563739e-17,5.6628103822023086e-14,1
19,20,33,2020-02-21,0.0031768345939425695,9.473588304216762e-14,5.29573586205717e-11,1
20,21,34,2020-02-22,0.002981408170844229,5.5695377368787334e-11,2.3336363117521892e-08,1
21,22,35,2020-02-23,0.0026869772343358256,1.1161878682358647e-08,3.7727149946372227e-06,1
22,23,36,2020-02-24,0.0022899458987037055,1.1232127112952672e-06,0.00028866566680288365,1
23,24,37,2020-02-25,0.001793268105863569,7.944501868058018e-05,0.014300103362504432,1
24,25,38,2020-02-26,0.0012086665481422128,0.004694162217729429,0.4928870328615901,0
25,26,39,2020-02-27,0.0005578463262072011,0.16601783538433337,1.0,0
26,27,40,2020-02-28,-0.0001328342983895351,0.7407669116259086,1.0,0
27,28,41,2020-02-29,-0.0008360688687973707,0.05292402821705561,1.0,0
28,29,42,2020-03-01,-0.0015268383063353661,0.001412388722466217,0.17796097903074334,0
29,30,43,2020-03-02,-0.0021831175335866072,3.159461722013966e-05,0.006350518061248071,-1
30,31,44,2020-03-03,-0.002784407835801259,7.701804753712272e-07,0.00020255746502263275,-1
31,32,45,2020-03-04,-0.0033186619163285917,2.2694943030330543e-08,7.398551427887757e-06,-1
32,33,46,2020-03-05,-0.0037857506796211645,8.364307750011091e-10,3.170072637254203e-07,-1
33,34,47,2020-03-06,-0.004188285439847422,3.547749988645646e-11,1.5077937451743996e-08,-1
34,35,48,2020-03-07,-0.004524251408239084,1.488469532568678e-12,7.546594954913215e-10,-1
35,36,49,2020-03-08,-0.00478760324443353,4.943103163789785e-14,2.8669998349980752e-11,-1
36,37,50,2020-03-09,-0.004969276054940566,9.724627762254865e-16,6.466877461899485e-13,-1
37,38,51,2020-03-10,-0.005061982543334606,1.755802869186134e-17,1.2571548543372719e-14,-1
38,39,52,2020-03-11,-0.005065097225481767,1.4113744091040008e-17,1.0190123233730886e-14,-1
39,40,53,2020-03-12,-0.004985955032960182,1.0323541400838004e-15,6.854831490156435e-13,-1
40,41,54,2020-03-13,-0.004838575655696012,6.329394234119576e-14,3.6140841076822776e-11,-1
41,42,55,2020-03-14,-0.00464135490960504,1.0651702229907005e-12,5.464323243942293e-10,-1
42,43,56,2020-03-15,-0.004419043133797399,5.018656434787211e-12,2.3975134312385004e-09,-1
43,44,57,2020-03-16,-0.004199491747336048,7.005251540361068e-12,3.292468223969702e-09,-1
44,45,58,2020-03-17,-0.004008342559886988,2.6797335740922512e-12,1.3184289184533876e-09,-1
45,46,59,2020-03-18,-0.003872762902837659,2.9728480654269215e-13,1.6112836514613916e-10,-1
46,47,60,2020-03-19,-0.003817848241797463,4.8300561796583014e-14,2.8062626403814733e-11,-1
47,48,61,2020-03-20,-0.0038518834448303275,1.6567126614842942e-13,9.145053891393305e-11,-1
48,49,62,2020-03-21,-0.003964046253461101,1.5322567522745513e-12,7.75321916650923e-10,-1
49,50,63,2020-03-22,-0.004127833850777437,4.0319964392982266e-12,1.959550269498938e-09,-1
50,51,64,2020-03-23,-0.004302723702275446,2.104135595436942e-12,1.0457553909321602e-09,-1
51,52,65,2020-03-24,-0.004440723622652648,2.832719550496425e-13,1.5409994354700553e-10,-1
52,53,66,2020-03-25,-0.004490303207033771,6.24386444245325e-14,3.577734325525712e-11,-1
53,54,67,2020-03-26,-0.004405029336648743,1.3302618380906601e-12,6.784335374262367e-10,-1
54,55,68,2020-03-27,-0.004154253248211712,3.4678721271441384e-10,1.352470129586214e-07,-1
55,56,69,2020-03-28,-0.003730263571618675,5.5841566856572304e-08,1.719920259182427e-05,-1
56,57,70,2020-03-29,-0.003150181614626114,4.0710743153321555e-06,0.0009485603154723922,-1
57,58,71,2020-03-30,-0.002451452559626576,0.0001630543681491561,0.026903970744610758,-1
58,59,72,2020-03-31,-0.0016835815689559622,0.004288252339494278,0.4545547479863935,0
59,60,73,2020-04-01,-0.000904734826251298,0.07656221694460448,1.0,0
60,61,74,2020-04-02,-0.00018064406075095506,0.6748073965662054,1.0,0
61,62,75,2020-04-03,0.00042923253836887524,0.23890992784342627,1.0,0
62,63,76,2020-04-04,0.0008755360896583397,0.005381159235400163,0.5542594012462168,0
63,64,77,2020-04-05,0.0011224688191433306,5.042238492199948e-05,0.009479408365335902,1
64,65,78,2020-04-06,0.0011540583364230918,2.0074222292373644e-05,0.004215586681398465,1
65,66,79,2020-04-07,0.0009747222282740167,0.0010259619358090198,0.1344010135909816,0
66,67,80,2020-04-08,0.000610096136041666,0.06069553874563292,1.0,0
67,68,81,2020-04-09,0.00010414786555549214,0.7684133498185868,1.0,0
68,69,82,2020-04-10,-0.0004878618515670312,0.21256829528888121,1.0,0
69,70,83,2020-04-11,-0.001107925445400777,0.010811525130919063,0.9514142115208775,0
70,71,84,2020-04-12,-0.0017018115113182017,0.00030188073872273194,0.045583991547132524,-1
71,72,85,2020-04-13,-0.0022244033243654987,5.602452402518219e-06,0.0012661542429691175,-1
72,73,86,2020-04-14,-0.00263723950859798,5.856828099326853e-08,1.792189398394017e-05,-1
73,74,87,2020-04-15,-0.002908980644887513,3.1353557646223376e-10,1.2384655270258233e-07,-1
74,75,88,2020-04-16,-0.003022217425854637,5.445008734617237e-12,2.5863791489431875e-09,-1
75,76,89,2020-04-17,-0.0029742139165916228,3.6851230690092907e-11,1.5593977789392653e-08,-1
76,77,90,2020-04-18,-0.00277886427811404,3.2342402885912076e-09,1.1481553024498786e-06,-1
77,78,91,2020-04-19,-0.00246621751964556,1.5847075358673474e-07,4.659040155450001e-05,-1
78,79,92,2020-04-20,-0.0020752116022294716,3.721222389641673e-06,0.0008819297063450766,-1
79,80,93,2020-04-21,-0.0016518738669818603,4.670008375802162e-05,0.00891971599778213,-1
80,81,94,2020-04-22,-0.001245992397377231,0.0003150819584079124,0.047262293761186853,-1
81,82,95,2020-04-23,-0.0009027482606360171,0.00108281909458741,0.1407664822963633,0
82,83,96,2020-04-24,-0.0006597908684846717,0.0015554600097183124,0.19287704120507074,0
83,84,97,2020-04-25,-0.0005453485877013581,0.000977021181143029,0.12994381709202285,0
84,85,98,2020-04-26,-0.0005734462226280849,0.0012145247092577533,0.15667368749425017,0
85,86,99,2020-04-27,-0.0007397282975272164,0.0016251229554661393,0.19989012352233512,0
86,87,100,2020-04-28,-0.0010213312053678743,0.0008180422689106385,0.11125374857184683,0
87,88,101,2020-04-29,-0.0013854302697360271,0.00018872127994541633,0.030572847351157447,-1
88,89,102,2020-04-30,-0.001793739782027575,2.3405212833497046e-05,0.004868284269367386,-1
89,90,103,2020-05-01,-0.0022040362882522462,1.5644684409844364e-06,0.0003911171102461091,-1
90,91,104,2020-05-02,-0.0025697985741079984,5.019752193609038e-08,1.5561231800188018e-05,-1
91,92,105,2020-05-03,-0.0028463089182319966,6.535479826763112e-10,2.490017813996746e-07,-1
92,93,106,2020-05-04,-0.0029943754730446456,7.526671694483377e-12,3.5149556813237374e-09,-1
93,94,107,2020-05-05,-0.0029905753241398474,8.887015771521432e-12,4.1235753179859444e-09,-1
94,95,108,2020-05-06,-0.0028292286336422325,1.1954392194362826e-09,4.470942680691697e-07,-1
95,96,109,2020-05-07,-0.002516763224251561,1.7512048017385363e-07,5.0784939250417555e-05,-1
96,97,110,2020-05-08,-0.0020713410144856106,1.3749073066302227e-05,0.0029423016361886764,-1
97,98,111,2020-05-09,-0.0015224366260302021,0.000739770803326028,0.10356791246564392,0
98,99,112,2020-05-10,-0.0009073877868984525,0.02892998745603485,1.0,0
99,100,113,2020-05-11,-0.0002673734972138965,0.486070885286101,1.0,0
100,101,114,2020-05-12,0.0003537969171537669,0.33770954147675236,1.0,0
101,102,115,2020-05-13,0.0009132605787482115,0.012888421202289925,1.0,0
102,103,116,2020-05-14,0.0013741266212425132,0.00015512558534217752,0.026216223922828002,1
103,104,117,2020-05-15,0.001707173445134734,9.245100061441819e-07,0.0002412971116036315,1
104,105,118,2020-05-16,0.0018912052506616023,5.866288888881445e-09,2.0238696666640985e-06,1
105,106,119,2020-05-17,0.0019152549885379725,2.200548485228624e-09,8.009996486232191e-07,1
106,107,120,2020-05-18,0.001778141170361841,1.6266527085487325e-07,4.749825908962299e-05,1
107,108,121,2020-05-19,0.0014797746398014324,3.190382935621589e-05,0.0063807658712431775,1
108,109,122,2020-05-20,0.0010219241974005558,0.0049872778142663644,0.5186768926837019,0
109,110,123,2020-05-21,0.0004110856895512795,0.2818180398845192,1.0,0
110,111,124,2020-05-22,-0.00033963127788907586,0.44209999886054574,1.0,0
111,112,125,2020-05-23,-0.001209841117917802,0.02777029530039541,1.0,0
112,113,126,2020-05-24,-0.0021725371513535157,0.001507620859865143,0.18845260748314288,0
113,114,127,2020-05-25,-0.003200272310641253,0.00011295354003992218,0.019700821528646183,-1
114,115,128,2020-05-26,-0.004274504427642953,1.1119269495612825e-05,0.0024017622110523705,-1
115,116,129,2020-05-27,-0.005382078150292714,1.2806439702467694e-06,0.0003265642124129262,-1
116,117,130,2020-05-28,-0.006506649915532439,1.5967198380651626e-07,4.678389125530926e-05,-1
117,118,131,2020-05-29,-0.007621312081233316,2.0115335589504047e-08,6.5978300733573275e-06,-1
