,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.009561320435770206,0.09084903621103758,1.0,0
1,2,15,2020-02-03,-0.014458249930867561,0.02209340115117538,1.0,0
2,3,16,2020-02-04,-0.019300717897531326,0.0028076210217417054,1.0,0
3,4,17,2020-02-05,-0.022424645100456657,0.0003981303817104069,0.19082669660399237,0
4,5,18,2020-02-06,-0.023392815182556377,0.000177270671553348,0.08916714779133404,0
5,6,19,2020-02-07,-0.022085073206628936,0.000546886087434181,0.2586771193563676,0
6,7,20,2020-02-08,-0.018505092241214795,0.00587436450475653,1.0,0
7,8,21,2020-02-09,-0.012729641028426433,0.0702168690592268,1.0,0
8,9,22,2020-02-10,-0.004819980589998616,0.5008347191237092,1.0,0
9,10,23,2020-02-11,0.005075865883947928,0.46454172472691524,1.0,0
10,11,24,2020-02-12,0.01578759965423228,0.01404660077277721,1.0,0
11,12,25,2020-02-13,0.0246684545998467,5.664675911479102e-05,0.029909488812609658,1
12,13,26,2020-02-14,0.031389223371300935,4.718858482259069e-08,3.095571164361949e-05,1
13,14,27,2020-02-15,0.03569309061763897,1.1727850972708179e-11,8.784160378558426e-09,1
14,15,28,2020-02-16,0.037963274211396246,1.0381799418071922e-15,8.419639328056329e-13,1
15,16,29,2020-02-17,0.03888114602082176,7.599192458434659e-20,6.466912782127895e-17,1
16,17,30,2020-02-18,0.038982664025098805,1.437630468652639e-20,1.2277364202293538e-17,1
17,18,31,2020-02-19,0.038605482593266176,3.5846811943213246e-19,3.0290556092015195e-16,1
18,19,32,2020-02-20,0.037950623035114275,3.323063253251919e-18,2.7814039429718562e-15,1
19,20,33,2020-02-21,0.03713758161609682,1.253554075263726e-17,1.0442105446946837e-14,1
20,21,34,2020-02-22,0.03623852374455819,2.8036995772748323e-17,2.3270706491381108e-14,1
21,22,35,2020-02-23,0.035297941429670486,4.5862423643130575e-17,3.788236192922586e-14,1
22,23,36,2020-02-24,0.034343888518069854,6.132867270316827e-17,5.053482630741066e-14,1
23,24,37,2020-02-25,0.033394488137682775,7.117707562461035e-17,5.850755616342971e-14,1
24,25,38,2020-02-26,0.03246177618574119,7.404169275413373e-17,6.07882297511438e-14,1
25,26,39,2020-02-27,0.03155411150457782,7.016678785373265e-17,5.774726640362198e-14,1
26,27,40,2020-02-28,0.030681203590573886,5.917010416725982e-17,4.881533593798935e-14,1
27,28,41,2020-02-29,0.029867390880659532,3.765412537312363e-17,3.1177615808946364e-14,1
28,29,42,2020-03-01,0.029164281234988,1.2197240176574079e-17,1.0172498307262781e-14,1
29,30,43,2020-03-02,0.028678709512949017,1.0444250875057983e-18,8.814947738548937e-16,1
30,31,44,2020-03-03,0.02848463750075427,8.840199158304501e-20,7.514169284558826e-17,1
31,32,45,2020-03-04,0.028533091375375158,1.9664202627975251e-19,1.6694908031150988e-16,1
32,33,46,2020-03-05,0.028712221419043272,1.244589420632549e-18,1.0491888815932387e-15,1
33,34,47,2020-03-06,0.028919800795299377,2.775805893281575e-18,2.3316769503565227e-15,1
34,35,48,2020-03-07,0.029081631132011267,2.3372626580090493e-18,1.9656378953856103e-15,1
35,36,49,2020-03-08,0.029146317396417376,1.6209320952212052e-18,1.3648248241762548e-15,1
36,37,50,2020-03-09,0.02907755574749235,3.0308324003020143e-18,2.54286838385339e-15,1
37,38,51,2020-03-10,0.028848767538807454,2.454228308289101e-17,2.039463724188243e-14,1
38,39,52,2020-03-11,0.028439966827148794,3.7287291772768537e-16,3.0389142794806357e-13,1
39,40,53,2020-03-12,0.027836207920729786,4.4644052655839815e-15,3.5804530229983533e-12,1
40,41,54,2020-03-13,0.027030994332039173,2.7410671026905344e-14,2.176407279536284e-11,1
41,42,55,2020-03-14,0.026041437360772805,6.584033595679513e-14,5.175050406204097e-11,1
42,43,56,2020-03-15,0.024927245549395207,4.474264969391239e-14,3.534669325819079e-11,1
43,44,57,2020-03-16,0.023831793355829294,7.971106939572552e-15,6.376885551658042e-12,1
44,45,58,2020-03-17,0.022899566503535973,6.235770635818141e-16,5.069681526920148e-13,1
45,46,59,2020-03-18,0.02216663615987507,4.035134004462079e-17,3.337055821690139e-14,1
46,47,60,2020-03-19,0.021594982465107566,3.0594365642653213e-18,2.5638078408543393e-15,1
47,48,61,2020-03-20,0.02113642681404158,3.167190921959298e-19,2.679443519977566e-16,1
48,49,62,2020-03-21,0.02075512210919268,4.9570294497466073e-20,4.2283461206338563e-17,1
49,50,63,2020-03-22,0.02042826966382057,1.2446219936659335e-20,1.064151804584373e-17,1
50,51,64,2020-03-23,0.020143585883869233,4.5992466054062744e-21,3.936955094227771e-18,1
51,52,65,2020-03-24,0.019899324458785766,1.7616390079659875e-21,1.5097246298268512e-18,1
52,53,66,2020-03-25,0.019709461520475705,3.4785597632011806e-22,2.984604276826613e-19,1
53,54,67,2020-03-26,0.019621375858570603,2.880657457318383e-23,2.4744847558364908e-20,1
54,55,68,2020-03-27,0.019793983235754386,7.074754896981021e-20,6.02769117222783e-17,1
55,56,69,2020-03-28,0.02021029621084862,8.799867119578026e-17,7.215891038053981e-14,1
56,57,70,2020-03-29,0.019624552923474477,2.989315254421526e-14,2.37052699675627e-11,1
57,58,71,2020-03-30,0.01857173463736433,1.5253337993994585e-11,1.1363736805525966e-08,1
58,59,72,2020-03-31,0.01713489907544552,1.7078755273314951e-09,1.207467997823367e-06,1
59,60,73,2020-04-01,0.015394424549473443,6.52544044904029e-08,4.241536291876188e-05,1
60,61,74,2020-04-02,0.013428053639678892,1.238237992425628e-06,0.0007404663194705255,1
61,62,75,2020-04-03,0.011312015531959338,1.4645944626381146e-05,0.008084561433762393,1
62,63,76,2020-04-04,0.009122535608476019,0.0001244700302856909,0.06397759556684512,0
63,64,77,2020-04-05,0.006937104535805642,0.0008370280347112009,0.3850328959671524,0
64,65,78,2020-04-06,0.006892885868645516,0.0008244228873134906,0.38005895105151916,0
65,66,79,2020-04-07,0.011899007159077385,0.009080601225843431,1.0,0
66,67,80,2020-04-08,0.017764090656384342,0.004780346285439455,1.0,0
67,68,81,2020-04-09,0.02373014187877065,0.0014967589646167332,0.6630642213252128,0
68,69,82,2020-04-10,0.029760825980720527,0.0002969694157311419,0.1446241054610661,0
69,70,83,2020-04-11,0.035799943432850576,2.977989765581624e-05,0.016021584938829138,1
70,71,84,2020-04-12,0.04041975601771346,3.36169617512385e-06,0.0019632305662723283,1
71,72,85,2020-04-13,0.04386473568214744,4.016203141148406e-07,0.00024860297443708636,1
72,73,86,2020-04-14,0.045998483218438024,7.760346474138627e-08,4.997663129345276e-05,1
73,74,87,2020-04-15,0.046690998981849585,4.3434515398645766e-08,2.8579911132308915e-05,1
74,75,88,2020-04-16,0.045817188187191674,8.224942431752589e-08,5.2804130411851624e-05,1
75,76,89,2020-04-17,0.043256014022184985,2.9890678009325715e-07,0.0001862189239980992,1
76,77,90,2020-04-18,0.03888997410762486,8.851106903266807e-07,0.0005346068569573152,1
77,78,91,2020-04-19,0.03260478266347635,3.202143030935914e-07,0.00019917329652421385,1
78,79,92,2020-04-20,0.02666183077664927,1.7007805684179174e-12,1.297695573702871e-09,1
79,80,93,2020-04-21,0.024888456192709508,2.058219256144836e-15,1.6609829397088826e-12,1
80,81,94,2020-04-22,0.023940716421756873,1.210175856259083e-16,9.911340262761891e-14,1
81,82,95,2020-04-23,0.023229251068462815,3.115803293289512e-17,2.5830009301370053e-14,1
82,83,96,2020-04-24,0.022618466112182444,1.4116607818045115e-17,1.1745017704613536e-14,1
83,84,97,2020-04-25,0.022068798361446092,7.671757728681685e-18,6.405917703449208e-15,1
84,85,98,2020-04-26,0.021581422809891757,3.360413719356103e-18,2.809305869381702e-15,1
85,86,99,2020-04-27,0.02138829386964198,3.0474462553030816e-19,2.5811869782417103e-16,1
86,87,100,2020-04-28,0.024073943902804394,6.269440040248338e-09,4.344721947892099e-06,1
87,88,101,2020-04-29,0.025780287124632383,9.234344551911962e-09,6.288588639852046e-06,1
88,89,102,2020-04-30,0.026592792029934306,5.53108651144679e-09,3.8385740389440725e-06,1
89,90,103,2020-05-01,0.026595718551178333,5.511513849891312e-09,3.830502125674462e-06,1
90,91,104,2020-05-02,0.025871902244405786,1.6188035113835286e-08,1.0829795491155806e-05,1
91,92,105,2020-05-03,0.024502677608293697,1.1237891906863857e-07,7.181012928486004e-05,1
92,93,106,2020-05-04,0.022567847531293407,1.0895151167821162e-06,0.0006547985851860519,1
93,94,107,2020-05-05,0.020145705190322105,1.0472056752222416e-05,0.005874823837996775,1
94,95,108,2020-05-06,0.017313155860488427,8.748723944784495e-05,0.04558085175232722,1
95,96,109,2020-05-07,0.014145982935409026,0.0006197472868456328,0.29190097210429305,0
96,97,110,2020-05-08,0.010719868764035745,0.003788498173405481,1.0,0
97,98,111,2020-05-09,0.007113422681696284,0.020735914881369645,1.0,0
98,99,112,2020-05-10,0.0034224103475647065,0.10854946861036079,1.0,0
99,100,113,2020-05-11,3.6138261208514493e-06,1.821155759570591e-08,1.2128897358740136e-05,1
100,101,114,2020-05-12,2.9301142162315996e-06,1.5571365052078842e-06,0.0009264962205986911,1
101,102,115,2020-05-13,-0.00134720918226517,0.10951530633595612,1.0,0
102,103,116,2020-05-14,-0.00298848102599028,0.02143636568719567,1.0,0
103,104,117,2020-05-15,-0.004603938369036611,0.003934722188480338,1.0,0
104,105,118,2020-05-16,-0.006116103517883191,0.0006412815248385913,0.3001197536244607,0
105,106,119,2020-05-17,-0.007483143424493318,9.013195566981596e-05,0.04684642545121466,-1
106,107,120,2020-05-18,-0.00867084780636167,1.0882105017858132e-05,0.006072214599964838,-1
107,108,121,2020-05-19,-0.009647044509956381,1.1946958048064304e-06,0.0007156227870790518,-1
108,109,122,2020-05-20,-0.01038009491808109,1.456084381775779e-07,9.231574980458439e-05,-1
109,110,123,2020-05-21,-0.010838456267615346,3.035809366367529e-08,2.003634181802569e-05,-1
110,111,124,2020-05-22,-0.010990510486327168,1.7896346981310183e-08,1.1936863436533892e-05,-1
111,112,125,2020-05-23,-0.0108044802780168,2.992122434129847e-08,1.977792928959829e-05,-1
112,113,126,2020-05-24,-0.010248383210845294,7.158301678794692e-08,4.628587430772167e-05,-1
113,114,127,2020-05-25,-0.009289999903952838,7.003686007149199e-08,4.54539221863983e-05,-1
114,115,128,2020-05-26,-0.0078977694406406,1.519733472974838e-14,1.2127473114339208e-11,-1
115,116,129,2020-05-27,-0.007595711959402916,3.512440154545352e-24,3.024210973063548e-21,-1
116,117,130,2020-05-28,-0.007576801193289715,5.502618821056092e-26,4.75976528021352e-23,-1
117,118,131,2020-05-29,-0.007607200669528896,4.396147065024941e-25,3.798271064181549e-22,-1
118,119,132,2020-05-30,-0.007649459385802077,7.665192943632826e-25,6.615061510355129e-22,-1
119,120,133,2020-05-31,-0.007695746229083651,8.210990153030833e-25,7.077873511912578e-22,-1
120,121,134,2020-06-01,-0.007758815351528319,9.316882480479222e-24,8.012518933212132e-21,-1
121,122,135,2020-06-02,-0.00790515711206414,3.0318525837780203e-19,2.571010991043761e-16,-1
122,123,136,2020-06-03,-0.009908766560665316,1.5211097310060287e-06,0.0009065813996795931,-1
123,124,137,2020-06-04,-0.01137611771221971,1.4069514747745153e-06,0.0008399500304403856,-1
124,125,138,2020-06-05,-0.012341442485938136,5.40316257105469e-07,0.0003301332330914415,-1
125,126,139,2020-06-06,-0.012839291170219222,2.3360451503743732e-07,0.00014623642641343576,-1
126,127,140,2020-06-07,-0.012904497145570723,2.021713577311702e-07,0.0001267614412974437,-1
127,128,141,2020-06-08,-0.01257214704437327,4.486084379404417e-07,0.0002763427977713121,-1
128,129,142,2020-06-09,-0.011877545839390198,2.0746832437934786e-06,0.0012282124803257393,-1
129,130,143,2020-06-10,-0.010856173692307965,1.3574643528026593e-05,0.0075339271580547595,-1
130,131,144,2020-06-11,-0.009543651545109175,9.509343144830362e-05,0.049258397490221276,-1
