,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.02567493898589345,1.3367334483428261e-12,6.603463234813561e-10,-1
1,2,15,2020-02-03,-0.027009900825416593,9.542086046577517e-14,5.3893116945256325e-11,-1
2,3,16,2020-02-04,-0.02802735876529538,2.7240959669655694e-15,1.784282858362448e-12,-1
3,4,17,2020-02-05,-0.028650148272553945,3.328173846660943e-17,2.456052619996046e-14,-1
4,5,18,2020-02-06,-0.028813691007868184,3.950679495488963e-18,3.0420232115265014e-15,-1
5,6,19,2020-02-07,-0.028475197012489316,2.0411352223255767e-16,1.4471648726288339e-13,-1
6,7,20,2020-02-08,-0.02762624342506847,2.8402205424809453e-14,1.6984518844036052e-11,-1
7,8,21,2020-02-09,-0.026293970625904328,1.5195491844334218e-12,7.430595511879432e-10,-1
8,9,22,2020-02-10,-0.02452613022836169,3.88736035698611e-11,1.5121831788675968e-08,-1
9,10,23,2020-02-11,-0.02237095351362849,6.647827709329821e-10,2.1406005224042022e-07,-1
10,11,24,2020-02-12,-0.01987516344512625,9.45516835440037e-09,2.4394334354352955e-06,-1
11,12,25,2020-02-13,-0.017086824275595436,1.30695574014944e-07,2.5224245784884193e-05,-1
12,13,26,2020-02-14,-0.014045441466552316,2.087060653005045e-06,0.0002942755520737114,-1
13,14,27,2020-02-15,-0.010783888837722999,4.662059470772372e-05,0.004662059470772372,-1
14,15,28,2020-02-16,-0.007339243214768776,0.0016383191419456545,0.1081290633684132,0
15,16,29,2020-02-17,-0.0037471302490336656,0.07008110437106921,1.0,0
16,17,30,2020-02-18,-4.289926735803318e-05,0.9827847519983655,1.0,0
17,18,31,2020-02-19,0.003733833041934079,0.08616981079764478,1.0,0
18,19,32,2020-02-20,0.007543882252618175,0.0028991550011866194,0.16815099006882392,0
19,20,33,2020-02-21,0.01134893207884448,0.0001131383437167268,0.010069312590788686,1
20,21,34,2020-02-22,0.015103463691715705,6.0959636632965875e-06,0.0007498035305854802,1
21,22,35,2020-02-23,0.018759770179879936,4.265979334153642e-07,6.9108865213289e-05,1
22,23,36,2020-02-24,0.022274702337147182,3.604135383371229e-08,8.145345966418978e-06,1
23,24,37,2020-02-25,0.02561266885443934,3.4258885620646542e-09,9.969335715608144e-07,1
24,25,38,2020-02-26,0.028730618870125103,3.45277444856755e-10,1.173943312512967e-07,1
25,26,39,2020-02-27,0.03157470313781465,3.547733383513242e-11,1.4013546864877306e-08,1
26,27,40,2020-02-28,0.03409983714433303,3.5179655654627078e-12,1.6323360223746964e-09,1
27,28,41,2020-02-29,0.03627554571143161,3.0283613823049266e-13,1.611088255386221e-10,1
28,29,42,2020-03-01,0.038072474434268984,1.946322928367598e-14,1.1853106633758672e-11,1
29,30,43,2020-03-02,0.039462802731009335,7.391960600396273e-16,5.019141247669069e-13,1
30,31,44,2020-03-03,0.040420842292316954,1.2401697569090404e-17,9.350879967094165e-15,1
31,32,45,2020-03-04,0.04091560142614967,1.6033119289466807e-19,1.290666102802078e-16,1
32,33,46,2020-03-05,0.04091890647031425,1.5336921440163498e-19,1.236155868077178e-16,1
33,34,47,2020-03-06,0.04042073557274067,1.545241835387965e-17,1.1542956510348097e-14,1
34,35,48,2020-03-07,0.03943361684876968,1.2587816291277646e-15,8.383485649990912e-13,1
