,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0022714233158242386,1.4899534562686448e-16,9.237711428865598e-14,1
1,2,15,2020-02-03,0.0022850360677051477,2.280074387170175e-17,1.5276498394040173e-14,1
2,3,16,2020-02-04,0.002246056896609493,3.840416299974518e-15,2.154473544285705e-12,1
3,4,17,2020-02-05,0.0021443610944898582,2.679125586484023e-12,1.1279118719097737e-09,1
4,5,18,2020-02-06,0.0019738619460682974,6.802792847769291e-10,2.01362668293971e-07,1
5,6,19,2020-02-07,0.0017342988919092084,7.772114298557103e-08,1.515562288218635e-05,1
6,7,20,2020-02-08,0.001431121395475086,5.645695704781202e-06,0.0007508775287358998,1
7,8,21,2020-02-09,0.0010731457559482677,0.000329485936094805,0.029983220184627256,1
8,9,22,2020-02-10,0.0006702986732708754,0.015721154313622063,0.8017788699947253,0
9,10,23,2020-02-11,0.00023494210692280858,0.36734080490635834,1.0,0
10,11,24,2020-02-12,-0.00021775684452062785,0.4056827078109113,1.0,0
11,12,25,2020-02-13,-0.0006719627177657825,0.01779594669708998,0.872001388157409,0
12,13,26,2020-02-14,-0.0011120664697661718,0.00039643897536186705,0.0336973129057587,-1
13,14,27,2020-02-15,-0.0015248607929450487,9.052599053936149e-06,0.001167785277957763,-1
14,15,28,2020-02-16,-0.0019015737568892162,2.523573854435786e-07,4.4162542452626256e-05,-1
15,16,29,2020-02-17,-0.0022391050931328733,9.249790776400605e-09,2.2106999955597443e-06,-1
16,17,30,2020-02-18,-0.0025405145504513614,4.940472476636881e-10,1.501903632897612e-07,-1
17,18,31,2020-02-19,-0.00281299073578949,4.302600217125674e-11,1.570449079250871e-08,-1
18,19,32,2020-02-20,-0.003063944758080821,6.4376056002724316e-12,2.6007926625100625e-09,-1
19,20,33,2020-02-21,-0.0032982264763131743,1.5494525132105648e-12,6.647151281673323e-10,-1
20,21,34,2020-02-22,-0.0035192931578908473,5.265290895124336e-13,2.364115611910827e-10,-1
21,22,35,2020-02-23,-0.003729152633289398,2.121736731873648e-13,9.802423701256253e-11,-1
22,23,36,2020-02-24,-0.0039284292085851715,8.485501527784817e-14,4.0984972379200664e-11,-1
