,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.02992242212170539,1.2236776641160927e-09,3.499718119372025e-07,-1
1,2,15,2020-02-03,-0.0332196104176603,1.9458748998964482e-10,6.55759841265103e-08,-1
2,3,16,2020-02-04,-0.03637530971259065,2.910598669417348e-11,1.0972956983703402e-08,-1
3,4,17,2020-02-05,-0.03934961565444221,4.308575100410699e-12,1.7923672417708508e-09,-1
4,5,18,2020-02-06,-0.04210630460113964,6.677670360064685e-13,3.031662343469367e-10,-1
5,6,19,2020-02-07,-0.04461611097385853,1.1027805112985846e-13,5.4587635309279936e-11,-1
6,7,20,2020-02-08,-0.04685609888483026,1.8761786500062327e-14,9.831176126032659e-12,-1
7,8,21,2020-02-09,-0.048806880915967604,2.935461235796182e-15,1.6526646757532504e-12,-1
8,9,22,2020-02-10,-0.050445465843560106,3.373545819356961e-16,2.0275010374335336e-13,-1
9,10,23,2020-02-11,-0.051735223702292304,2.0860997759361446e-17,1.3163289586157072e-14,-1
10,11,24,2020-02-12,-0.05262303870730236,5.197078828387576e-19,3.570393155102265e-16,-1
11,12,25,2020-02-13,-0.05306141381854008,1.1938007070545348e-20,8.798311210991922e-18,-1
12,13,26,2020-02-14,-0.053042734386531336,1.4993706600363524e-20,1.1020374351267191e-17,-1
13,14,27,2020-02-15,-0.05262920797423966,4.339630259998563e-19,2.998684509659007e-16,-1
14,15,28,2020-02-16,-0.0519642319891902,4.830799809549977e-18,3.178666274683885e-15,-1
15,16,29,2020-02-17,-0.051190345153347125,1.2036121215262955e-17,7.70311757776829e-15,-1
16,17,30,2020-02-18,-0.05040469785035543,8.604479544042677e-18,5.532680346819441e-15,-1
17,18,31,2020-02-19,-0.049685252238530174,1.9993689503644255e-18,1.3455753035952583e-15,-1
18,19,32,2020-02-20,-0.04914890795334486,1.591153181676655e-19,1.1281276058087484e-16,-1
19,20,33,2020-02-21,-0.0489027454047763,1.677733795724634e-20,1.2281011384704322e-17,-1
20,21,34,2020-02-22,-0.049007320946906595,5.138300509733158e-20,3.7149912685370733e-17,-1
21,22,35,2020-02-23,-0.04946863981017402,1.0145841051579217e-18,6.899171915073868e-16,-1
22,23,36,2020-02-24,-0.05021318903008199,7.093352460321264e-18,4.610679099208822e-15,-1
23,24,37,2020-02-25,-0.05107763806930661,8.128452483548206e-18,5.2347233994050444e-15,-1
24,25,38,2020-02-26,-0.05181478983368577,1.3533739530726558e-18,9.175875401832607e-16,-1
25,26,39,2020-02-27,-0.05213465555572,1.472319678155685e-19,1.046819291168692e-16,-1
26,27,40,2020-02-28,-0.051774619600520426,4.0609736210275994e-18,2.7005474579833537e-15,-1
27,28,41,2020-02-29,-0.050630565777573994,1.5150800319986256e-15,8.711710183992097e-13,-1
28,29,42,2020-03-01,-0.04873087403378982,1.8491432976524162e-13,8.912870694684646e-11,-1
29,30,43,2020-03-02,-0.04613204333954822,7.882177081527299e-12,3.1607530096924466e-09,-1
30,31,44,2020-03-03,-0.042890372627843905,1.5468560253844784e-10,5.290247606814916e-08,-1
31,32,45,2020-03-04,-0.03907315117320735,1.6510146064635737e-09,4.6723713362919134e-07,-1
32,33,46,2020-03-05,-0.03482600116197345,1.095008932350871e-08,2.5623209017010383e-06,-1
33,34,47,2020-03-06,-0.03035525742708457,4.8882568679656295e-08,9.776513735931258e-06,-1
34,35,48,2020-03-07,-0.025886544533713515,1.5253805772586328e-07,2.6846698159751938e-05,-1
35,36,49,2020-03-08,-0.02165211359553557,3.380685972287618e-07,5.5246580055294446e-05,-1
36,37,50,2020-03-09,-0.017884763806984935,5.000259906544687e-07,7.800405454209712e-05,-1
37,38,51,2020-03-10,-0.014803932685206187,3.957904677245825e-07,6.293068436820862e-05,-1
38,39,52,2020-03-11,-0.01259827327043689,1.0715656041222585e-07,1.9395337434612878e-05,-1
39,40,53,2020-03-12,-0.011384279005489209,8.37172757974431e-09,2.00084289155889e-06,-1
40,41,54,2020-03-13,-0.011200876352162856,3.6180252989741065e-09,9.370685524342935e-07,-1
41,42,55,2020-03-14,-0.01211957981414597,9.863512454945166e-08,1.8148862917099107e-05,-1
42,43,56,2020-03-15,-0.014231358115404128,1.5467098980188582e-06,0.0002079980164679706,-1
43,44,57,2020-03-16,-0.017516446430412037,4.708436465510236e-06,0.0005273448841371464,-1
44,45,58,2020-03-17,-0.02175639646669347,4.289763266851776e-06,0.0004929991769241888,-1
45,46,59,2020-03-18,-0.026644057887212514,1.7535604023251871e-06,0.0002314699731069247,-1
46,47,60,2020-03-19,-0.03180858989643679,3.867381215572535e-07,6.187809944916056e-05,-1
47,48,61,2020-03-20,-0.03672656108580659,4.381391762600682e-08,8.850411360453377e-06,-1
48,49,62,2020-03-21,-0.04078588154702423,2.2073549118024737e-09,5.981931810984704e-07,-1
49,50,63,2020-03-22,-0.04339951071296849,6.013134643638747e-11,2.164728471709949e-08,-1
50,51,64,2020-03-23,-0.04409899153690921,1.1212538181280876e-11,4.4401651197872266e-09,-1
51,52,65,2020-03-24,-0.04266583429893064,3.2210720686270946e-10,1.0468484223038057e-07,-1
52,53,66,2020-03-25,-0.03913859148278788,4.0154979660633263e-08,8.151460871108553e-06,-1
53,54,67,2020-03-26,-0.033741477672213506,2.851951721162069e-06,0.0003537806701035694,-1
54,55,68,2020-03-27,-0.02678216057519905,0.00011705781268354245,0.009598740640050481,-1
55,56,69,2020-03-28,-0.018639060660673584,0.003567704690409749,0.19979146266294595,0
56,57,70,2020-03-29,-0.009740441858960912,0.08743839296284962,1.0,0
57,58,71,2020-03-30,-0.0004863685768244135,0.9252963128863008,1.0,0
58,59,72,2020-03-31,0.008776992814157052,0.08920168899142585,1.0,0
59,60,73,2020-04-01,0.017732358561407112,0.0014459022397240759,0.08675413438344455,0
60,61,74,2020-04-02,0.026167947971328022,2.311136512275395e-05,0.002195579686661625,1
61,62,75,2020-04-03,0.034069511578606236,8.501121926346952e-07,0.00012428542748098764,1
62,63,76,2020-04-04,0.041539649714669016,8.242833044969977e-08,1.5578954454993257e-05,1
63,64,77,2020-04-05,0.048657281320434155,1.540937999581809e-08,3.4825198790548885e-06,1
64,65,78,2020-04-06,0.05545803966605364,3.429187988831863e-09,8.950180650851163e-07,1
65,66,79,2020-04-07,0.06185609254201009,6.306525171893698e-10,1.9424097529432588e-07,1
66,67,80,2020-04-08,0.06764257066250975,7.435645908694044e-11,2.6396542975863854e-08,1
67,68,81,2020-04-09,0.07254081891654574,4.683827504711635e-12,1.9437884144553285e-09,1
68,69,82,2020-04-10,0.07628734723378623,1.3307918524916725e-13,6.520880077209195e-11,1
69,70,83,2020-04-11,0.07866547512539768,1.998456466524013e-15,1.1349020530336919e-12,1
70,71,84,2020-04-12,0.07959612050861574,1.09472835469579e-16,6.754473948473024e-14,1
71,72,85,2020-04-13,0.07918485470560364,4.403517755540407e-16,2.5936719580133e-13,1
72,73,86,2020-04-14,0.07757681070714649,1.1229685228946787e-14,5.996651912257584e-12,1
73,74,87,2020-04-15,0.07497288619508857,1.3847145340614924e-13,6.757406926220083e-11,1
74,75,88,2020-04-16,0.07169190541255079,5.550909203792084e-13,2.53121459692919e-10,1
75,76,89,2020-04-17,0.06811159596539564,7.896378203424419e-13,3.5375774351341397e-10,1
76,77,90,2020-04-18,0.06462146920716583,4.2440520216862176e-13,1.973484190084091e-10,1
77,78,91,2020-04-19,0.06151528368135957,8.250400567837015e-14,4.1086994827828334e-11,1
78,79,92,2020-04-20,0.05897396913052833,5.020188017503789e-15,2.7761639736795952e-12,1
79,80,93,2020-04-21,0.05706723498724251,7.660295341543794e-17,4.757043407098696e-14,1
80,81,94,2020-04-22,0.05577139137060276,1.8930456454323298e-19,1.3327041343843603e-16,1
81,82,95,2020-04-23,0.05503214590062439,4.3066781014018784e-23,3.4108890563102874e-20,1
82,83,96,2020-04-24,0.05476003311263082,3.796697276083322e-26,3.162648830977407e-23,1
83,84,97,2020-04-25,0.05479593505009611,7.449624725986184e-26,6.16828927311656e-23,1
84,85,98,2020-04-26,0.05495367683590375,6.35227784832136e-26,5.2660383362584077e-23,1
85,86,99,2020-04-27,0.05508345774373009,5.565956394113952e-27,4.686535283843948e-24,1
86,87,100,2020-04-28,0.055080421300921355,6.281272434152497e-27,5.28255011712225e-24,1
87,88,101,2020-04-29,0.05492250493035301,8.092043719682332e-25,6.603107675260783e-22,1
88,89,102,2020-04-30,0.05465096211538316,3.216533208074017e-23,2.5539273672107695e-20,1
89,90,103,2020-05-01,0.054314761880451,1.6893253575121857e-22,1.3159844535019927e-19,1
90,91,104,2020-05-02,0.05396843799506354,1.9165704873316966e-22,1.4872586981693965e-19,1
91,92,105,2020-05-03,0.053643399584960776,8.354705794548455e-23,6.551630547345793e-20,1
92,93,106,2020-05-04,0.05334025033747022,2.369094366053283e-23,1.8905373041105196e-20,1
93,94,107,2020-05-05,0.05303820007174099,5.219577521334745e-24,4.196540327153135e-21,1
94,95,108,2020-05-06,0.05270028223694832,8.743978291216618e-25,7.126342307341544e-22,1
95,96,109,2020-05-07,0.052313561911121666,3.9629586205402824e-25,3.2377371929814108e-22,1
