,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0024651128407012068,1.8300437534816206e-05,0.0021045503165038637,-1
1,2,15,2020-02-03,-0.003236737394859408,1.9926715292910837e-06,0.00029690805786437147,-1
2,3,16,2020-02-04,-0.004057180459573376,5.129415551328102e-07,8.514829815204649e-05,-1
3,4,17,2020-02-05,-0.0049520837116298665,2.2128992681015609e-07,3.8725737191777315e-05,-1
4,5,18,2020-02-06,-0.005942901046156047,1.1966454735230576e-07,2.225760580752887e-05,-1
5,6,19,2020-02-07,-0.007042368533533297,6.780598431912705e-08,1.3222166942229775e-05,-1
6,7,20,2020-02-08,-0.008252553457090544,3.6463890458558405e-08,7.475097544004473e-06,-1
7,8,21,2020-02-09,-0.009563487179225338,1.745727267147893e-08,3.7533136243679697e-06,-1
8,9,22,2020-02-10,-0.010954056835369094,6.99870705298784e-09,1.5817077939752517e-06,-1
9,10,23,2020-02-11,-0.012391337557860992,2.251007418909626e-09,5.447437953761295e-07,-1
10,11,24,2020-02-12,-0.013833663882520664,5.739538002605773e-10,1.52097757069053e-07,-1
11,12,25,2020-02-13,-0.015240813067563065,1.1696194569890507e-10,3.438681203547809e-08,-1
12,13,26,2020-02-14,-0.01657925530358905,1.9162090766534117e-11,6.4193004067889294e-09,-1
13,14,27,2020-02-15,-0.017818360195931884,2.5140568505202006e-12,9.729400011513177e-10,-1
14,15,28,2020-02-16,-0.018934778568426083,2.6048831364262296e-13,1.146148580027541e-10,-1
15,16,29,2020-02-17,-0.019915060875892225,2.1060731044269727e-14,1.0404001135869245e-11,-1
16,17,30,2020-02-18,-0.020749770510247467,1.3023058373185652e-15,7.253843513864408e-13,-1
17,18,31,2020-02-19,-0.021430944466577742,5.885971235109053e-17,3.6905039644133764e-14,-1
18,19,32,2020-02-20,-0.02195503246347095,1.7569997090424328e-18,1.2176007983664059e-15,-1
19,20,33,2020-02-21,-0.022325408053744344,2.932692124429359e-20,2.164326787828867e-17,-1
20,21,34,2020-02-22,-0.022551911587537332,2.471411934319391e-22,1.9697153116525547e-19,-1
21,22,35,2020-02-23,-0.02264827858264932,4.245685248388047e-24,3.519673070913691e-21,-1
22,23,36,2020-02-24,-0.02262901850359614,1.1735565625425466e-23,9.634899378474308e-21,-1
23,24,37,2020-02-25,-0.022506957009442836,5.76704818987148e-22,4.579036262757955e-19,-1
24,25,38,2020-02-26,-0.02229391728631993,1.518687652938441e-20,1.1299036137862003e-17,-1
25,26,39,2020-02-27,-0.022004933411243623,1.4527628951301514e-19,1.0532530989693597e-16,-1
26,27,40,2020-02-28,-0.021657855849992972,6.213910516163442e-19,4.4056625559598807e-16,-1
27,28,41,2020-02-29,-0.02126459947002558,1.5023727896646218e-18,1.048656207185906e-15,-1
28,29,42,2020-03-01,-0.020831252070015616,2.6233982434113686e-18,1.786534203763142e-15,-1
29,30,43,2020-03-02,-0.02036233590697783,4.611973955696193e-18,3.108470446139234e-15,-1
