,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.8411428493090207,0.10886430106296381,1.0,0
1,2,15,2020-02-03,-1.4833934337122114,0.021942246029332594,1.0,0
2,3,16,2020-02-04,-1.9920106928196717,0.004696072041949687,1.0,0
3,4,17,2020-02-05,-2.3781162716931528,0.0011009798903090587,0.601135020108746,0
4,5,18,2020-02-06,-2.64774613373078,0.00031872968824979187,0.19761240671487096,0
5,6,19,2020-02-07,-2.8059262891039505,0.0001361301364238243,0.08984589003972403,0
6,7,20,2020-02-08,-2.8595888425409615,9.966406009556137e-05,0.06662438112873573,0
7,8,21,2020-02-09,-2.834580469258929,0.00011465553048121292,0.07613127223952537,0
8,9,22,2020-02-10,-1.8819169616583136,0.03532680787671812,1.0,0
9,10,23,2020-02-11,-0.929253454057698,0.3342281485285361,1.0,0
10,11,24,2020-02-12,0.023410053542917954,0.9809809962979805,1.0,0
11,12,25,2020-02-13,0.9760735611435335,0.3093953259419902,1.0,0
12,13,26,2020-02-14,1.9287370687441492,0.03007428362167667,1.0,0
13,14,27,2020-02-15,2.8814005763447645,6.538975465663355e-05,0.04433425365719755,1
14,15,28,2020-02-16,2.863514642434972,7.240265578107662e-05,0.048944195308007796,1
15,16,29,2020-02-17,2.7963978925212243,0.00010842137727098156,0.07231705863974469,0
16,17,30,2020-02-18,2.6277763884229275,0.00027502707887891995,0.17326705969371958,0
17,18,31,2020-02-19,2.349760319855163,0.0010103377530529685,0.5597271151913445,0
18,19,32,2020-02-20,1.9574031314761762,0.00449388894436754,1.0,0
19,20,33,2020-02-21,1.4452339803227565,0.02156739846871817,1.0,0
20,21,34,2020-02-22,0.8039677830761052,0.10886430106296392,1.0,0
21,22,35,2020-02-23,0.0,1.0,1.0,0
22,23,36,2020-02-24,0.0,1.0,1.0,0
23,24,37,2020-02-25,0.0,1.0,1.0,0
24,25,38,2020-02-26,0.0,1.0,1.0,0
25,26,39,2020-02-27,-0.7861907589381744,0.10886430106296381,1.0,0
26,27,40,2020-02-28,-1.4274016128075595,0.021401523771959512,1.0,0
27,28,41,2020-02-29,-1.9439610986761076,0.004391725139649015,1.0,0
28,29,42,2020-03-01,-2.344391215632577,0.0009582975444270802,0.5366466248791649,0
29,30,43,2020-03-02,-2.6362276672729257,0.0002451914695550964,0.1554513916979311,0
30,31,44,2020-03-03,-2.836479776800295,8.211391416609389e-05,0.055426892062113375,0
31,32,45,2020-03-04,-2.1275372621822566,0.012834689096957569,1.0,0
32,33,46,2020-03-05,-1.4185947475642178,0.12510905510528342,1.0,0
33,34,47,2020-03-06,-0.7096522329461786,0.46044526805277664,1.0,0
34,35,48,2020-03-07,-0.0007097183281399245,0.9994179650408542,1.0,0
35,36,49,2020-03-08,0.7082327962898989,0.4613645109778747,1.0,0
36,37,50,2020-03-09,1.4171753109079377,0.1255288820890258,1.0,0
37,38,51,2020-03-10,2.1261178255259767,0.012914342603248388,1.0,0
38,39,52,2020-03-11,2.8350603401440146,8.354984016929047e-05,0.05631259227410178,0
39,40,53,2020-03-12,2.636859671371853,0.0002468453763177063,0.15625312320910809,0
40,41,54,2020-03-13,2.345430594243928,0.0009620565954987422,0.5368275802882981,0
41,42,55,2020-03-14,1.9452788731761461,0.004401058492327786,1.0,0
42,43,56,2020-03-15,1.429022005229321,0.021419321041356673,1.0,0
43,44,57,2020-03-16,0.7879686742593541,0.10886430106296381,1.0,0
44,45,58,2020-03-17,-0.7328720627018348,0.10886430106296381,1.0,0
45,46,59,2020-03-18,-1.3170384826908443,0.021572658835310714,1.0,0
46,47,60,2020-03-19,-1.7749712895835406,0.004550664776702325,1.0,0
47,48,61,2020-03-20,-2.1147742083278733,0.001068372295685374,0.5854680180355849,0
48,49,62,2020-03-21,-2.3411958051313215,0.0003235153598374235,0.20025600773936514,0
49,50,63,2020-03-22,-2.4575847594333977,0.00015720799194399767,0.10297123472331847,0
50,51,64,2020-03-23,-2.4665443859249194,0.00014808908951119626,0.09729453180885594,0
51,52,65,2020-03-24,-2.370219598830448,0.0002755052673027516,0.17329281313343076,0
52,53,66,2020-03-25,-2.170443297617454,0.000855203715440933,0.4823348955086862,0
53,54,67,2020-03-26,-1.8688181177529883,0.0035348952448634808,1.0,0
54,55,68,2020-03-27,-1.4667682933466848,0.016426484015526835,1.0,0
55,56,69,2020-03-28,-0.9655881050483077,0.07886250335549773,1.0,0
56,57,70,2020-03-29,-0.36647024019361607,0.3919562107453064,1.0,0
57,58,71,2020-03-30,0.32947734684078794,7.755120164950756e-08,5.785319643053264e-05,1
58,59,72,2020-03-31,0.27559438511701506,9.502498742904933e-10,7.640008989295566e-07,1
59,60,73,2020-04-01,0.2452612659075991,7.639020080294711e-11,6.187606265038716e-08,1
60,61,74,2020-04-02,0.22353725896012314,1.2620831866225393e-11,1.0285977970973694e-08,1
61,62,75,2020-04-03,0.20649513103537043,3.2094084426150794e-12,2.6509713736000556e-09,1
62,63,76,2020-04-04,0.1924119207927522,1.120922937589142e-12,9.32607884074166e-10,1
63,64,77,2020-04-05,0.18036013797271724,5.067134215098033e-13,4.241191338037054e-10,1
64,65,78,2020-04-06,0.16977657256002893,2.8369732182450226e-13,2.383057503325819e-10,1
65,66,79,2020-04-07,0.16028726841147525,1.887642208659969e-13,1.591282381900354e-10,1
66,67,80,2020-04-08,0.1516301381635425,1.4324188102048624e-13,1.2103938946231086e-10,1
67,68,81,2020-04-09,0.14362215198302047,1.194583606811982e-13,1.0118123149697488e-10,1
68,69,82,2020-04-10,0.1361430354510023,1.0690893611030011e-13,9.08725956937551e-11,1
69,70,83,2020-04-11,0.1291053256139771,1.0148427203261179e-13,8.646459977178525e-11,1
70,71,84,2020-04-12,0.1224434558907799,1.0168856118219434e-13,8.653696556604738e-11,1
71,72,85,2020-04-13,0.11611499084202762,1.0691472543698308e-13,9.08725956937551e-11,1
72,73,86,2020-04-14,0.11008888441340957,1.1726475153096804e-13,9.94405092982609e-11,1
73,74,87,2020-04-15,0.10433709891042876,1.3360198794989729e-13,1.130272818056131e-10,1
74,75,88,2020-04-16,0.09883169451832798,1.5777432460213859e-13,1.3316152996420497e-10,1
75,76,89,2020-04-17,0.09354221351954317,1.9239503531160557e-13,1.619966197323719e-10,1
76,77,90,2020-04-18,0.08844036403542205,2.4209035184249527e-13,2.0359798589953851e-10,1
77,78,91,2020-04-19,0.08350455735240726,3.17239623363185e-13,2.6616404400171223e-10,1
78,79,92,2020-04-20,0.07871878587030512,4.4025204463112854e-13,3.689312134008857e-10,1
79,80,93,2020-04-21,0.07406791093101583,6.557225349788441e-13,5.481840392423137e-10,1
80,81,94,2020-04-22,0.069536195740912,1.0526550612665835e-12,8.76861666035064e-10,1
81,82,95,2020-04-23,0.06511364416603055,1.803243162384931e-12,1.4966918247794928e-09,1
82,83,96,2020-04-24,0.06080738105370745,3.186517956727125e-12,2.6352503502133324e-09,1
83,84,97,2020-04-25,0.056655732953794675,5.267707054678457e-12,4.33532290600037e-09,1
84,85,98,2020-04-26,0.05270486388494827,7.346770576473619e-12,6.0170051021318944e-09,1
85,86,99,2020-04-27,0.0489891828119986,8.247751718672798e-12,6.738413154155676e-09,1
86,87,100,2020-04-28,0.04551260981737935,7.67182494900125e-12,6.275552808283023e-09,1
87,88,101,2020-04-29,0.04225354884467468,6.4784874332135286e-12,5.3123596952350934e-09,1
88,89,102,2020-04-30,0.03920855889902155,5.278571308263082e-12,4.338985615392253e-09,1
89,90,103,2020-05-01,0.03640465117822926,4.065986892599094e-12,3.3503731995016535e-09,1
90,91,104,2020-05-02,0.033852309652704096,3.004098778587458e-12,2.4873937886704153e-09,1
91,92,105,2020-05-03,0.03151890640928218,2.454192624754281e-12,2.034525685921299e-09,1
92,93,106,2020-05-04,0.029303018086630432,3.250554185288379e-12,2.6817072028629124e-09,1
93,94,107,2020-05-05,0.027024652890456174,1.2964474011182001e-11,1.0553081845102149e-08,1
94,95,108,2020-05-06,0.024446649539787146,2.4003997396847643e-10,1.93472219018592e-07,1
95,96,109,2020-05-07,0.021348800787644756,1.4765119340052923e-08,1.1339611653160644e-05,1
96,97,110,2020-05-08,0.01758985981495884,1.5499613792993048e-06,0.001103572502061105,1
97,98,111,2020-05-09,0.01316071219611451,0.00017827069630544265,0.11623249399114861,0
98,99,112,2020-05-10,0.00817948167584676,0.014730461804105305,1.0,0
99,100,113,2020-05-11,0.002866543056751448,0.38279683741810133,1.0,0
100,101,114,2020-05-12,-0.002485759569326122,0.4615913314764978,1.0,0
101,102,115,2020-05-13,-0.007531125873045781,0.03312764678536825,1.0,0
102,103,116,2020-05-14,-0.011854176557483827,0.0009686154175169466,0.5385501721394224,0
103,104,117,2020-05-15,-0.014988162236990158,1.581622702635449e-05,0.010960645329263663,-1
104,105,118,2020-05-16,-0.016501728478611085,4.942243747301763e-07,0.0003563357741804571,-1
105,106,119,2020-05-17,-0.016074166219420184,1.7047767540623204e-06,0.0012103914953842474,-1
106,107,120,2020-05-18,-0.013568518315840062,0.00022591041908659617,0.14480857863450813,0
107,108,121,2020-05-19,-0.009081568386703306,0.023118783206935993,1.0,0
108,109,122,2020-05-20,-0.002947935382267298,0.4971885226199989,1.0,0
109,110,123,2020-05-21,0.004326498947231764,0.37008566732019565,1.0,0
110,111,124,2020-05-22,0.012134466059718138,0.024920726761672618,1.0,0
111,112,125,2020-05-23,0.01983268123679915,0.0008208208431676954,0.46376377638974786,0
112,113,126,2020-05-24,0.026813688178111916,1.7463563451478148e-05,0.0120673223449714,1
113,114,127,2020-05-25,0.032608015117606984,2.2687847759188993e-07,0.00016562128864207966,1
114,115,128,2020-05-26,0.03687252147611429,1.4796119352287205e-09,1.1851691601182052e-06,1
115,116,129,2020-05-27,0.03936548505034994,6.176995821052431e-12,5.0713135690840455e-09,1
116,117,130,2020-05-28,0.03992366039123677,8.042944579836261e-13,6.707815779583442e-10,1
117,118,131,2020-05-29,0.0384477086480847,6.210735336864064e-11,5.0369063581967555e-08,1
118,119,132,2020-05-30,0.03496639871546057,1.23542732781975e-08,9.53749897076847e-06,1
119,120,133,2020-05-31,0.02964689133004064,1.46692482039585e-06,0.001045917396942241,1
