,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.002225762867299222,0.032880849598011935,1.0,0
1,2,15,2020-02-03,0.003994578875453394,0.0004830789147728753,0.057486390857972164,0
2,3,16,2020-02-04,0.005651726291871803,1.0183257770275752e-05,0.0017006040476360506,1
3,4,17,2020-02-05,0.007193592299188956,4.822045482055006e-07,0.00010560279605700463,1
4,5,18,2020-02-06,0.008636564011935374,4.706244747591541e-08,1.1906799211406598e-05,1
5,6,19,2020-02-07,0.010004114349305954,7.276475345278008e-09,2.1756661282381244e-06,1
6,7,20,2020-02-08,0.011312538453214609,1.3859059728251203e-09,4.7675165465184135e-07,1
7,8,21,2020-02-09,0.012563169532084816,2.6157212769270276e-10,1.0253627405553949e-07,1
8,9,22,2020-02-10,0.013741853424434538,4.17648601905546e-11,1.8042419602319588e-08,1
9,10,23,2020-02-11,0.014828342851922308,5.053023492459076e-12,2.455769417335111e-09,1
10,11,24,2020-02-12,0.015795016601791955,4.32365920102467e-13,2.373688901362544e-10,1
11,12,25,2020-02-13,0.016612603681950864,2.435243074391479e-14,1.4806277892300194e-11,1
12,13,26,2020-02-14,0.0172593754052631,7.692793796856676e-16,5.192635812878256e-13,1
13,14,27,2020-02-15,0.01771469700685298,1.0571745288711539e-17,7.83366325893525e-15,1
14,15,28,2020-02-16,0.017962101844361995,8.173417705263061e-20,6.506040493389397e-17,1
15,16,29,2020-02-17,0.017995160868077516,2.6289360502104553e-20,2.1110356483189955e-17,1
16,17,30,2020-02-18,0.01781229266860029,3.152482711317676e-18,2.3769719643335274e-15,1
17,18,31,2020-02-19,0.017418899244369356,4.0588739355314627e-16,2.780328645839052e-13,1
18,19,32,2020-02-20,0.01682758979758467,1.7584758840804835e-14,1.0867380963617387e-11,1
19,20,33,2020-02-21,0.01605278310203144,3.5211131122319003e-13,1.9506966641764727e-10,1
20,21,34,2020-02-22,0.015116914324023508,4.190146125754958e-12,2.069932186122949e-09,1
21,22,35,2020-02-23,0.014049205914502719,3.3119543882281555e-11,1.4539479764321602e-08,1
22,23,36,2020-02-24,0.012884135080834429,1.8285975398676863e-10,7.241246257876038e-08,1
23,24,37,2020-02-25,0.011665948222437059,7.240102648002995e-10,2.606436953281078e-07,1
24,25,38,2020-02-26,0.010445276019374046,2.0507906508390104e-09,6.788117054277124e-07,1
25,26,39,2020-02-27,0.009269319807311372,4.127605606528586e-09,1.3084509772695617e-06,1
26,27,40,2020-02-28,0.008174106769768283,6.097120313505413e-09,1.8657188159326563e-06,1
27,28,41,2020-02-29,0.007171001284573287,7.308105256182573e-09,2.177815366342407e-06,1
28,29,42,2020-03-01,0.006247539936185851,8.69876120608128e-09,2.548737033381815e-06,1
29,30,43,2020-03-02,0.005380611784774842,1.4189426041984383e-08,3.9872287177976115e-06,1
30,31,44,2020-03-03,0.004544254345859051,4.8141397659557555e-08,1.2131632210208504e-05,1
31,32,45,2020-03-04,0.0037174665069297824,4.837726598369837e-07,0.00010560279605700463,1
32,33,46,2020-03-05,0.0028863822599468447,1.357724526252933e-05,0.0021995137325297514,1
33,34,47,2020-03-06,0.0020393275017448727,0.0006800938873573588,0.0775307031587389,0
34,35,48,2020-03-07,0.0011753598487640844,0.03214952259455667,1.0,0
35,36,49,2020-03-08,0.0003127981708042562,0.5456198016948995,1.0,0
36,37,50,2020-03-09,-0.0005100580724527693,0.3187228603974033,1.0,0
37,38,51,2020-03-10,-0.001235470736345097,0.015750451748369216,1.0,0
38,39,52,2020-03-11,-0.0017924009750219948,0.0002918718756536129,0.03765147195931606,-1
39,40,53,2020-03-12,-0.0021101151034981667,4.954849826959314e-06,0.0008720535695448392,-1
40,41,54,2020-03-13,-0.002130681925233675,3.342314502457708e-06,0.0006116435539497606,-1
41,42,55,2020-03-14,-0.0018252882497561413,0.0003154520601774149,0.039746959582354274,-1
42,43,56,2020-03-15,-0.001200640442877037,0.0361612778093195,1.0,0
43,44,57,2020-03-16,-0.0002910533226823306,0.6587699664510724,1.0,0
44,45,58,2020-03-17,0.0008445941217893652,0.2771302941411119,1.0,0
45,46,59,2020-03-18,0.0021243111674221324,0.01991768575197337,1.0,0
46,47,60,2020-03-19,0.003454452230928843,0.0008706763807186132,0.09582480776281524,0
47,48,61,2020-03-20,0.00473569582915662,2.798288200398823e-05,0.004337346710618176,1
48,49,62,2020-03-21,0.005875469264802569,6.224537622067448e-07,0.00013320510511224338,1
49,50,63,2020-03-22,0.00680133918213419,8.08734147440538e-09,2.385765734949587e-06,1
50,51,64,2020-03-23,0.007460548073754038,4.9714450728794825e-11,2.122807046119539e-08,1
51,52,65,2020-03-24,0.007828669902224845,2.152048948205434e-13,1.209451508891454e-10,1
52,53,66,2020-03-25,0.007913520520985122,2.9120911021469834e-14,1.761815116798925e-11,1
53,54,67,2020-03-26,0.007750330919779079,5.736154464503024e-13,3.0975234108316326e-10,1
54,55,68,2020-03-27,0.007388665975445468,1.570685850236074e-11,7.178034335578858e-09,1
55,56,69,2020-03-28,0.006883684737144845,1.7411750619201215e-10,6.929876746442084e-08,1
56,57,70,2020-03-29,0.0062966940468989424,7.956887717998217e-10,2.85652269076136e-07,1
57,58,71,2020-03-30,0.005696793426222736,1.4993003820133905e-09,5.112614302665662e-07,1
58,59,72,2020-03-31,0.005149769124462567,1.048082407402971e-09,3.6787692499844283e-07,1
59,60,73,2020-04-01,0.004708350609103667,2.116812675483384e-10,8.340241941404533e-08,1
60,61,74,2020-04-02,0.00441002692824157,1.0183846156992569e-11,4.725304616844552e-09,1
61,62,75,2020-04-03,0.004269827879030458,3.799559057022836e-13,2.0973565994766053e-10,1
62,63,76,2020-04-04,0.004285315791861913,6.123699413400926e-13,3.294550284409698e-10,1
63,64,77,2020-04-05,0.004445379348638737,1.039026563944514e-11,4.8106929910631e-09,1
64,65,78,2020-04-06,0.004722188965609382,6.415565865415022e-11,2.6688754000126495e-08,1
65,66,79,2020-04-07,0.0050723821385120485,1.0077958544292154e-10,4.1017291275269064e-08,1
66,67,80,2020-04-08,0.005447035681899631,4.8918676275508474e-11,2.0937193445917626e-08,1
67,68,81,2020-04-09,0.005799173793099619,7.47159121289379e-12,3.556477417337444e-09,1
68,69,82,2020-04-10,0.0060790306872866825,3.2924234200939905e-13,1.8272949981521648e-10,1
69,70,83,2020-04-11,0.006235159331153213,8.695219768413335e-15,5.512769333174055e-12,1
