,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.007842980687534917,1.4581559443245747e-06,0.0002668425378113972,1
1,2,15,2020-02-03,0.006100373432363503,2.2068434137755973e-05,0.0030013070427348126,1
2,3,16,2020-02-04,0.004319741998267471,0.0005517084095627204,0.054067424137146596,0
3,4,17,2020-02-05,0.002490040478753078,0.02235973454764977,1.0,0
4,5,18,2020-02-06,0.0005958339236299626,0.5559743131568258,1.0,0
5,6,19,2020-02-07,-0.0013763303027076056,0.20471449067878505,1.0,0
6,7,20,2020-02-08,-0.00343574522024816,0.00765492561860991,0.5281898676840838,0
7,8,21,2020-02-09,-0.005581635885002364,0.0003304893644011483,0.03407551922096998,-1
8,9,22,2020-02-10,-0.007800982160658375,2.387159906329683e-05,0.003222665873545072,-1
9,10,23,2020-02-11,-0.010072194240661055,2.5796335663333247e-06,0.0004488562405419985,-1
10,11,24,2020-02-12,-0.012376805951082311,3.5708749188402243e-07,7.855924821448494e-05,-1
11,12,25,2020-02-13,-0.014709182674518715,5.771686476685572e-08,1.51218185689162e-05,-1
12,13,26,2020-02-14,-0.017067909811401494,1.0497298594440225e-08,3.128194981143187e-06,-1
13,14,27,2020-02-15,-0.019455956299697798,2.1485726934913436e-09,7.20800113678103e-07,-1
14,15,28,2020-02-16,-0.02187680118480798,5.271811469209446e-10,1.9558420550767046e-07,-1
15,16,29,2020-02-17,-0.02433775930399422,1.700662287458807e-10,6.734622658336876e-08,-1
16,17,30,2020-02-18,-0.02685974829452756,7.631044112355112e-11,3.1821453948520815e-08,-1
17,18,31,2020-02-19,-0.029471169699432195,4.589842391474091e-11,1.9782220707253332e-08,-1
18,19,32,2020-02-20,-0.03220095309881828,3.379603001200278e-11,1.4870253205281224e-08,-1
19,20,33,2020-02-21,-0.035080041128193885,2.8070252301645873e-11,1.2435121769629122e-08,-1
20,21,34,2020-02-22,-0.03814862649925241,2.491328111654711e-11,1.1186063221329653e-08,-1
21,22,35,2020-02-23,-0.041449217620725835,2.2406784423751814e-11,1.0105459775112069e-08,-1
22,23,36,2020-02-24,-0.04500265677019991,1.943268094312315e-11,8.803004467234786e-09,-1
23,24,37,2020-02-25,-0.04877794417684507,1.525798561854457e-11,7.064447341386136e-09,-1
24,25,38,2020-02-26,-0.05269165554645665,9.989380484643533e-12,4.66504068632853e-09,-1
25,26,39,2020-02-27,-0.05663649774926949,5.036606062829694e-12,2.417570910158253e-09,-1
26,27,40,2020-02-28,-0.060487825889932186,1.830708842119564e-12,9.116930033755428e-10,-1
27,28,41,2020-02-29,-0.06412317714936894,4.569345104662277e-13,2.4034755250523575e-10,-1
28,29,42,2020-03-01,-0.06744460554369507,7.513816753497715e-14,4.142311794041083e-11,-1
29,30,43,2020-03-02,-0.07037659331753647,7.652108706876346e-15,4.499439919643291e-12,-1
30,31,44,2020-03-03,-0.07285754636384024,4.2208251764887406e-16,2.621132434599508e-13,-1
31,32,45,2020-03-04,-0.07479401405569507,9.290547291089955e-18,6.2339572323213594e-15,-1
32,33,46,2020-03-05,-0.07602966934157292,5.282206678429478e-20,3.8824219086456664e-17,-1
33,34,47,2020-03-06,-0.07635455877458398,2.4748207071048845e-21,1.950158717198649e-18,-1
34,35,48,2020-03-07,-0.07555438065545085,1.7745122342465258e-18,1.2190899049273631e-15,-1
35,36,49,2020-03-08,-0.07342622360513097,2.3881162847550624e-15,1.4400341197073027e-12,-1
36,37,50,2020-03-09,-0.06978430038997453,8.646897416352446e-13,4.479092861670567e-10,-1
37,38,51,2020-03-10,-0.06448530137148449,1.34351231926372e-10,5.387484400247517e-08,-1
38,39,52,2020-03-11,-0.05749193788890362,1.1673020538926014e-08,3.4552140795221e-06,-1
39,40,53,2020-03-12,-0.048895279574084335,6.776538036907642e-07,0.0001382413759529159,-1
40,41,54,2020-03-13,-0.038887868554647965,3.0781463080312034e-05,0.004063153126601189,-1
41,42,55,2020-03-14,-0.027740255472189102,0.0012360673874138753,0.10877393009242102,0
42,43,56,2020-03-15,-0.01581796852658555,0.04104014764707751,1.0,0
43,44,57,2020-03-16,-0.003567120350370473,0.6142715085372432,1.0,0
44,45,58,2020-03-17,0.00851107707083712,0.21929714250405466,1.0,0
45,46,59,2020-03-18,0.019924767407212506,0.005969507219504997,0.4357740270238648,0
46,47,60,2020-03-19,0.03028376461499562,8.325076244321173e-05,0.010239843780515043,1
47,48,61,2020-03-20,0.039344921112616386,1.0646878547740633e-06,0.00020654944382616827,1
48,49,62,2020-03-21,0.04701027741514267,1.4370893640379117e-08,4.181930049350323e-06,1
49,50,63,2020-03-22,0.0533337269754854,2.2935637687238965e-10,8.990769973397674e-08,1
50,51,64,2020-03-23,0.0585101077226847,5.332683214995397e-12,2.5490225767678e-09,1
51,52,65,2020-03-24,0.06279810817020226,2.2508720772523907e-13,1.2087183054845337e-10,1
52,53,66,2020-03-25,0.06641360487900058,1.9749543441789068e-14,1.1355987479028715e-11,1
53,54,67,2020-03-26,0.06947907563476448,3.2323696013831964e-15,1.9361893912285345e-12,1
54,55,68,2020-03-27,0.07203710065925906,6.794338188765602e-16,4.198901000657142e-13,1
55,56,69,2020-03-28,0.07409252237088318,1.1291483484041772e-16,7.1362175619144e-14,1
56,57,70,2020-03-29,0.07561091790275326,1.0092139187962815e-17,6.7415489775591605e-15,1
