,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0,1.0,1.0,0
1,2,15,2020-02-03,-1.0997239690993041,0.10886430106296381,1.0,0
2,3,16,2020-02-04,-2.000594720195141,0.02137086254675899,1.0,0
3,4,17,2020-02-05,-2.7261884361891187,0.0043777007848330865,1.0,0
4,5,18,2020-02-06,-3.284334009421159,0.0009591523289394565,0.5879603776398868,0
5,6,19,2020-02-07,-3.6796445781723834,0.0002533848206848547,0.17407537181049518,0
6,7,20,2020-02-08,-3.9161941967767167,9.824300262272444e-05,0.07309279395130698,0
7,8,21,2020-02-09,-3.9994759294835456,6.807474993767195e-05,0.05166873520269301,0
8,9,22,2020-02-10,-3.9442235923464164,8.653776679852192e-05,0.06516293839928701,0
9,10,23,2020-02-11,-2.6277980472840365,0.03270975418102838,1.0,0
10,11,24,2020-02-12,-1.3113725022216578,0.32285529209305386,1.0,0
11,12,25,2020-02-13,0.005053042840720974,0.9970244115912504,1.0,0
12,13,26,2020-02-14,1.3214785879031001,0.3189755594085974,1.0,0
13,14,27,2020-02-15,2.6379041329654798,0.03189435253070488,1.0,0
14,15,28,2020-02-16,3.9543296780278587,7.919757902884757e-05,0.059873369745808765,0
15,16,29,2020-02-17,4.001842951052578,6.436521630373385e-05,0.04891756439083773,1
16,17,30,2020-02-18,3.914396669290997,9.478139823356147e-05,0.07080170448047042,0
17,18,31,2020-02-19,3.6746173391208248,0.0002483497239272637,0.1711129597858847,0
18,19,32,2020-02-20,3.2770014673334202,0.0009497862275435568,0.5831687437117439,0
19,20,33,2020-02-21,2.7177049099343695,0.00435932859986805,1.0,0
20,21,34,2020-02-22,1.9922044225182456,0.0213418190006059,1.0,0
21,22,35,2020-02-23,1.0930167802018835,0.10886430106296369,1.0,0
22,23,36,2020-02-24,0.0,1.0,1.0,0
23,24,37,2020-02-25,0.0,1.0,1.0,0
24,25,38,2020-02-26,0.0,1.0,1.0,0
25,26,39,2020-02-27,0.0,1.0,1.0,0
26,27,40,2020-02-28,0.0,1.0,1.0,0
27,28,41,2020-02-29,0.0,1.0,1.0,0
28,29,42,2020-03-01,0.0,1.0,1.0,0
29,30,43,2020-03-02,0.0,1.0,1.0,0
30,31,44,2020-03-03,0.0,1.0,1.0,0
31,32,45,2020-03-04,0.0,1.0,1.0,0
32,33,46,2020-03-05,0.0,1.0,1.0,0
33,34,47,2020-03-06,0.0,1.0,1.0,0
34,35,48,2020-03-07,0.0,1.0,1.0,0
35,36,49,2020-03-08,0.0,1.0,1.0,0
36,37,50,2020-03-09,0.0,1.0,1.0,0
37,38,51,2020-03-10,0.0,1.0,1.0,0
38,39,52,2020-03-11,0.0,1.0,1.0,0
39,40,53,2020-03-12,0.0,1.0,1.0,0
40,41,54,2020-03-13,0.0,1.0,1.0,0
41,42,55,2020-03-14,0.0,1.0,1.0,0
42,43,56,2020-03-15,0.0,1.0,1.0,0
43,44,57,2020-03-16,0.0,1.0,1.0,0
44,45,58,2020-03-17,0.0,1.0,1.0,0
45,46,59,2020-03-18,0.0,1.0,1.0,0
46,47,60,2020-03-19,0.0,1.0,1.0,0
47,48,61,2020-03-20,0.0,1.0,1.0,0
48,49,62,2020-03-21,0.0,1.0,1.0,0
49,50,63,2020-03-22,-1.049231581275761,0.10886430106296381,1.0,0
50,51,64,2020-03-23,-1.8915564328093926,0.021517473618873448,1.0,0
51,52,65,2020-03-24,-2.559615939076731,0.004489993377415574,1.0,0
52,53,66,2020-03-25,-3.0627354735696013,0.0010261971775357035,0.6164173379522675,0
53,54,67,2020-03-26,-3.406047988162819,0.00029493843289362374,0.19849356533740878,0
54,55,68,2020-03-27,-3.5930396522529415,0.0001321847856489699,0.09596615438115215,0
55,56,69,2020-03-28,-3.626335610440574,0.0001131833050347553,0.08364246242068417,0
56,57,70,2020-03-29,-3.5080335367173268,0.000193868806036268,0.13551429541935134,0
57,58,71,2020-03-30,-3.2398739125384655,0.0005710238816827126,0.3631711887502052,0
58,59,72,2020-03-31,-2.8233383098506346,0.002303822680268512,1.0,0
59,60,73,2020-04-01,-2.259711310103894,0.010644541108755423,1.0,0
60,61,74,2020-04-02,-1.5501215430756259,0.051391847283332084,1.0,0
61,62,75,2020-04-03,-0.6955690256674909,0.26102377709475044,1.0,0
62,63,76,2020-04-04,0.30305516387517445,2.5118516367216716e-06,0.0019642679799163473,1
63,64,77,2020-04-05,0.23430428906250392,3.2797115495382884e-08,2.6992026052700113e-05,1
64,65,78,2020-04-06,0.19917783928211272,4.205125816983907e-09,3.570151818619337e-06,1
65,66,79,2020-04-07,0.17443131592542452,1.048168598333147e-09,8.91991477181508e-07,1
66,67,80,2020-04-08,0.15527565332375148,3.610011627881523e-10,3.0793399185829394e-07,1
67,68,81,2020-04-09,0.13968973366028833,1.5293142817294e-10,1.307563710878637e-07,1
68,69,82,2020-04-10,0.12649715348204288,8.131773621467354e-11,6.960798219976056e-08,1
69,70,83,2020-04-11,0.11489132115887424,6.096445594817888e-11,5.230750320353748e-08,1
70,71,84,2020-04-12,0.10428308653632165,7.492458182065139e-11,6.421036662029824e-08,1
71,72,85,2020-04-13,0.09421417376700081,1.6969430108065425e-10,1.4491893312287872e-07,1
72,73,86,2020-04-14,0.08425737463724833,7.646080956800908e-10,6.514460975194374e-07,1
73,74,87,2020-04-15,0.07401462273965805,6.832150396423242e-09,5.793663536166909e-06,1
74,75,88,2020-04-16,0.06312431921948412,1.1376256529723616e-07,9.192015276016682e-05,1
75,76,89,2020-04-17,0.05125221808821778,3.36772535390149e-06,0.002613354874627556,1
76,77,90,2020-04-18,0.0380629776092023,0.00017701770981198357,0.12449413730392624,0
77,78,91,2020-04-19,0.023167149213143102,0.014120101911019199,1.0,0
78,79,92,2020-04-20,0.006011487798717192,0.5282638276577133,1.0,0
79,80,93,2020-04-21,-0.0143358006195579,0.21242594180244193,1.0,0
80,81,94,2020-04-22,-0.03967222228028318,0.01219837510166673,1.0,0
81,82,95,2020-04-23,-0.07440956604313573,0.0016092454267820665,0.9076144207050856,0
82,83,96,2020-04-24,-0.1387774560518463,0.0014631085510046962,0.8325087655216721,0
83,84,97,2020-04-25,0.7781661920756682,0.17665758499416703,1.0,0
84,85,98,2020-04-26,1.5590758835746206,0.03529358657960034,1.0,0
85,86,99,2020-04-27,2.203719837733295,0.007407324126836465,1.0,0
86,87,100,2020-04-28,2.711722878874887,0.0016332435965653253,0.9178829012697128,0
87,88,101,2020-04-29,3.0825674009384145,0.00041779779812134806,0.2703151753845122,0
88,89,102,2020-04-30,3.3155960639419018,0.0001493359591212283,0.10707388268992069,0
89,90,103,2020-05-01,3.409990526211223,9.350821744895885e-05,0.06994414665182122,0
90,91,104,2020-05-02,3.364719794806229,0.00011749695734240298,0.08612526973198138,0
91,92,105,2020-05-03,3.1784429310458195,0.0002776090772910441,0.18819172089690786,0
92,93,106,2020-05-04,2.849331322797317,0.0009998840063318646,0.6049307019871475,0
93,94,107,2020-05-05,2.3747275788791895,0.004449604394237666,1.0,0
94,95,108,2020-05-06,1.7504058933619207,0.021470524988150216,1.0,0
95,96,109,2020-05-07,0.9682291769164278,0.10886430106296381,1.0,0
96,97,110,2020-05-08,0.0,1.0,1.0,0
97,98,111,2020-05-09,0.0,1.0,1.0,0
98,99,112,2020-05-10,0.0,1.0,1.0,0
99,100,113,2020-05-11,0.0,1.0,1.0,0
100,101,114,2020-05-12,-0.9066636091065702,0.10886430106296381,1.0,0
101,102,115,2020-05-13,-1.6524867910275853,0.021342345657979253,1.0,0
102,103,116,2020-05-14,-2.2519120347520194,0.004369707741724062,1.0,0
103,104,117,2020-05-15,-2.7111155021838105,0.0009600683115575912,0.5879603776398868,0
104,105,118,2020-05-16,-3.033555818213218,0.000256564814746341,0.17600346291598992,0
105,106,119,2020-05-17,-3.2213276948199483,0.00010273029629467283,0.07632861014694191,0
106,107,120,2020-05-18,-3.2757006919052194,7.67432075722728e-05,0.05809460813221051,0
107,108,121,2020-05-19,-3.197391353733308,0.00011630351917452493,0.08571569363162487,0
108,109,122,2020-05-20,-2.9867206394825936,0.00031600593164931326,0.21077595641009195,0
109,110,123,2020-05-21,-2.64371552993075,0.0012258372434475247,0.717114787416802,0
110,111,124,2020-05-22,-2.16818467941751,0.005591345038814129,1.0,0
111,112,125,2020-05-23,-1.5597796866213924,0.026941406417346055,1.0,0
112,113,126,2020-05-24,-0.8180524539208541,0.13586021285320504,1.0,0
113,114,127,2020-05-25,0.05748321881627022,0.02217326716853379,1.0,0
114,115,128,2020-05-26,0.02113131892767771,0.08830001527197104,1.0,0
115,116,129,2020-05-27,0.004539345519051656,0.46983619865554505,1.0,0
116,117,130,2020-05-28,-0.0017236273859081094,0.6406957068205382,1.0,0
117,118,131,2020-05-29,-0.0015005997490699376,0.6907234757817262,1.0,0
