,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0385410098883401,0.0006719808251788801,0.36152568394623746,0
1,2,15,2020-02-03,-0.045673374689826636,0.00010864413442793151,0.06465567764248181,0
2,3,16,2020-02-04,-0.051574437143219194,1.7259884470088835e-05,0.010614828949104633,-1
3,4,17,2020-02-05,-0.056124271888005645,3.0950757346348e-06,0.0019282321826774803,-1
4,5,18,2020-02-06,-0.059200021285968525,8.062792028625354e-07,0.0005111810146148474,-1
5,6,19,2020-02-07,-0.06067579799397364,4.101591372199951e-07,0.00026250184782079686,-1
6,7,20,2020-02-08,-0.06042259287905939,4.552112099583329e-07,0.0002899695407434581,-1
7,8,21,2020-02-09,-0.058308192324323715,8.706067904465613e-07,0.0005510940983526734,-1
8,9,22,2020-02-10,-0.054197110621421,1.7439626835290854e-06,0.0010969525279397947,-1
9,10,23,2020-02-11,-0.04795054547704847,1.4055196975322447e-06,0.0008854774094453142,-1
10,11,24,2020-02-12,-0.03942636799315092,3.571745246334236e-15,2.8466809613283858e-12,-1
11,12,25,2020-02-13,-0.08272654483879856,0.005637911797488261,1.0,0
12,13,26,2020-02-14,-0.1181537713352341,0.0016278664282929072,0.8269561455727968,0
13,14,27,2020-02-15,-0.14588030312269695,0.0003750721173254899,0.20816502511564688,0
14,15,28,2020-02-16,-0.16608517240194673,8.97784826436479e-05,0.05395686806883239,0
15,16,29,2020-02-17,-0.17895472808583876,2.8063509437484272e-05,0.01709067724742792,-1
16,17,30,2020-02-18,-0.18468324179272877,1.5159514013971977e-05,0.00935342014662071,-1
17,18,31,2020-02-19,-0.1834735906437384,1.7419433767058788e-05,0.010695532332974095,-1
18,19,32,2020-02-20,-0.1755380301719612,4.130587010254199e-05,0.025031357282140447,-1
19,20,33,2020-02-21,-0.16109907361941422,0.00015964442543868246,0.09387092215794529,0
20,21,34,2020-02-22,-0.14039049768583386,0.0007784378310735991,0.41568580179330195,0
21,22,35,2020-02-23,-0.11365849967668312,0.004053514218685961,1.0,0
22,23,36,2020-02-24,-0.08116303735938381,0.020966269633920478,1.0,0
23,24,37,2020-02-25,-0.0431793912201115,0.10886430106296369,1.0,0
24,25,38,2020-02-26,0.0,1.0,1.0,0
25,26,39,2020-02-27,0.0,1.0,1.0,0
26,27,40,2020-02-28,0.0,1.0,1.0,0
27,28,41,2020-02-29,0.0,1.0,1.0,0
28,29,42,2020-03-01,0.0,1.0,1.0,0
29,30,43,2020-03-02,0.0,1.0,1.0,0
30,31,44,2020-03-03,0.0,1.0,1.0,0
31,32,45,2020-03-04,0.0,1.0,1.0,0
32,33,46,2020-03-05,0.0,1.0,1.0,0
33,34,47,2020-03-06,0.0,1.0,1.0,0
34,35,48,2020-03-07,0.0,1.0,1.0,0
35,36,49,2020-03-08,0.0,1.0,1.0,0
36,37,50,2020-03-09,-0.011719694606469285,0.10886430106296381,1.0,0
37,38,51,2020-03-10,-0.02285263588568169,0.02072698190937089,1.0,0
38,39,52,2020-03-11,-0.03324606509247152,0.0038290077864016176,1.0,0
39,40,53,2020-03-12,-0.042795842982781725,0.0006473156703214487,0.3495504619735823,0
40,41,54,2020-03-13,-0.05139191637518582,9.810477808784426e-05,0.05876476207461871,0
41,42,55,2020-03-14,-0.05890914253123166,1.3471165552725043e-05,0.008325180311584076,-1
42,43,56,2020-03-15,-0.06519150909967011,1.7969269886978744e-06,0.0011284701489022652,-1
43,44,57,2020-03-16,-0.07003151281498728,2.808992662753903e-07,0.00018061822821507594,-1
44,45,58,2020-03-17,-0.07322321139641084,7.175766675232858e-08,4.6785998722518233e-05,-1
45,46,59,2020-03-18,-0.07455578765440335,4.148271157967098e-08,2.7295624219423505e-05,-1
46,47,60,2020-03-19,-0.07387609173007224,5.124734500874968e-08,3.351576363572229e-05,-1
47,48,61,2020-03-20,-0.07123401914212417,7.389979077397642e-08,4.810876379385865e-05,-1
48,49,62,2020-03-21,-0.06713779867592438,3.902454764700432e-08,2.571717689937585e-05,-1
49,50,63,2020-03-22,-0.06315110094990888,2.8888338244900086e-10,2.013517175669536e-07,-1
50,51,64,2020-03-23,-0.07776756513795631,4.082522413762725e-07,0.0002616896867221907,-1
51,52,65,2020-03-24,-0.12991811736934708,0.0007258352837593695,0.3897735473787814,0
52,53,66,2020-03-25,-0.011595752865722458,0.8870169340627625,1.0,0
53,54,67,2020-03-26,0.09221528410119488,0.36005413284727983,1.0,0
54,55,68,2020-03-27,0.1811983175250731,0.10371379165037925,1.0,0
55,56,69,2020-03-28,0.2550222943000091,0.02931394586309348,1.0,0
56,57,70,2020-03-29,0.313360101586027,0.00878698082782639,1.0,0
57,58,71,2020-03-30,0.3559177159844215,0.0031054946815467373,1.0,0
58,59,72,2020-03-31,0.38238600217052526,0.0014851637467755878,0.7559483471087742,0
59,60,73,2020-04-01,0.3924455738614928,0.0010987123598210024,0.5746265641863842,0
60,61,74,2020-04-02,0.38569380260937997,0.0013441389764237092,0.6908874338817865,0
61,62,75,2020-04-03,0.3614553955168506,0.002618835132103924,1.0,0
62,63,76,2020-04-04,0.31841464616103277,0.007270349946081335,1.0,0
63,64,77,2020-04-05,0.25375742520270556,0.025619144420202355,1.0,0
64,65,78,2020-04-06,0.16006466022125915,0.10886430106296381,1.0,0
65,66,79,2020-04-07,0.0,1.0,1.0,0
66,67,80,2020-04-08,0.0,1.0,1.0,0
67,68,81,2020-04-09,0.0,1.0,1.0,0
68,69,82,2020-04-10,0.0,1.0,1.0,0
69,70,83,2020-04-11,0.0,1.0,1.0,0
70,71,84,2020-04-12,0.0,1.0,1.0,0
71,72,85,2020-04-13,0.0,1.0,1.0,0
72,73,86,2020-04-14,0.0,1.0,1.0,0
73,74,87,2020-04-15,0.0,1.0,1.0,0
74,75,88,2020-04-16,0.0,1.0,1.0,0
75,76,89,2020-04-17,0.0,1.0,1.0,0
76,77,90,2020-04-18,0.0,1.0,1.0,0
77,78,91,2020-04-19,0.0,1.0,1.0,0
78,79,92,2020-04-20,0.0,1.0,1.0,0
79,80,93,2020-04-21,0.0,1.0,1.0,0
80,81,94,2020-04-22,0.0,1.0,1.0,0
81,82,95,2020-04-23,0.0,1.0,1.0,0
82,83,96,2020-04-24,0.0,1.0,1.0,0
83,84,97,2020-04-25,0.0,1.0,1.0,0
