,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-1.13784708255653,0.10886430106296381,1.0,0
1,2,15,2020-02-03,-2.0707889648948328,0.021364640302232927,1.0,0
2,3,16,2020-02-04,-2.8230565478854808,0.004371804499884203,1.0,0
3,4,17,2020-02-05,-3.4035315314014434,0.0009540307707649927,0.517084677754626,0
4,5,18,2020-02-06,-3.8185033622763127,0.00024862528107172464,0.1603633062912624,0
5,6,19,2020-02-07,-4.075676149593443,9.248931043410094e-05,0.06504848166930229,0
6,7,20,2020-02-08,-4.204601792852225,5.400465231961731e-05,0.039045363627083315,-1
7,8,21,2020-02-09,-3.00513942157507,0.017708403492604025,1.0,0
8,9,22,2020-02-10,-1.8056770502979158,0.1885933297495415,1.0,0
9,10,23,2020-02-11,-0.6062146790207619,0.6694350419359318,1.0,0
10,11,24,2020-02-12,0.593247692256393,0.6761513127755907,1.0,0
11,12,25,2020-02-13,1.7927100635335473,0.1920398516570023,1.0,0
12,13,26,2020-02-14,2.992172434810702,0.018350239250639937,1.0,0
13,14,27,2020-02-15,4.191634806087856,6.063260601438295e-05,0.04359484372434134,1
14,15,28,2020-02-16,4.078196697492091,9.731766487861606e-05,0.06812236541503125,0
15,16,29,2020-02-17,3.8241495795435965,0.0002570350840684866,0.16477095420731336,0
16,17,30,2020-02-18,3.411426442140249,0.000973721194757423,0.5258094451690084,0
17,18,31,2020-02-19,2.833163520796746,0.004419786997258888,1.0,0
18,19,32,2020-02-20,2.083065733095025,0.021456677155162796,1.0,0
19,20,33,2020-02-21,1.1512696125978124,0.10886430106296369,1.0,0
20,21,34,2020-02-22,0.0,1.0,1.0,0
21,22,35,2020-02-23,0.0,1.0,1.0,0
22,23,36,2020-02-24,0.0,1.0,1.0,0
23,24,37,2020-02-25,0.0,1.0,1.0,0
24,25,38,2020-02-26,0.0,1.0,1.0,0
25,26,39,2020-02-27,0.0,1.0,1.0,0
26,27,40,2020-02-28,0.0,1.0,1.0,0
27,28,41,2020-02-29,0.0,1.0,1.0,0
28,29,42,2020-03-01,0.0,1.0,1.0,0
29,30,43,2020-03-02,0.0,1.0,1.0,0
30,31,44,2020-03-03,0.0,1.0,1.0,0
31,32,45,2020-03-04,0.0,1.0,1.0,0
32,33,46,2020-03-05,0.0,1.0,1.0,0
33,34,47,2020-03-06,0.0,1.0,1.0,0
34,35,48,2020-03-07,0.0,1.0,1.0,0
35,36,49,2020-03-08,0.0,1.0,1.0,0
36,37,50,2020-03-09,0.0,1.0,1.0,0
37,38,51,2020-03-10,0.0,1.0,1.0,0
38,39,52,2020-03-11,0.0,1.0,1.0,0
39,40,53,2020-03-12,0.0,1.0,1.0,0
40,41,54,2020-03-13,0.0,1.0,1.0,0
41,42,55,2020-03-14,0.0,1.0,1.0,0
42,43,56,2020-03-15,0.0,1.0,1.0,0
43,44,57,2020-03-16,0.0,1.0,1.0,0
44,45,58,2020-03-17,0.0,1.0,1.0,0
45,46,59,2020-03-18,0.0,1.0,1.0,0
46,47,60,2020-03-19,0.0,1.0,1.0,0
47,48,61,2020-03-20,0.0,1.0,1.0,0
48,49,62,2020-03-21,0.0,1.0,1.0,0
49,50,63,2020-03-22,0.0,1.0,1.0,0
50,51,64,2020-03-23,0.0,1.0,1.0,0
51,52,65,2020-03-24,0.0,1.0,1.0,0
52,53,66,2020-03-25,0.0,1.0,1.0,0
53,54,67,2020-03-26,0.0,1.0,1.0,0
54,55,68,2020-03-27,0.0,1.0,1.0,0
55,56,69,2020-03-28,0.0,1.0,1.0,0
56,57,70,2020-03-29,0.0,1.0,1.0,0
57,58,71,2020-03-30,0.0,1.0,1.0,0
58,59,72,2020-03-31,0.0,1.0,1.0,0
59,60,73,2020-04-01,0.0,1.0,1.0,0
60,61,74,2020-04-02,0.0,1.0,1.0,0
61,62,75,2020-04-03,0.0,1.0,1.0,0
62,63,76,2020-04-04,0.0,1.0,1.0,0
63,64,77,2020-04-05,0.0,1.0,1.0,0
64,65,78,2020-04-06,0.0,1.0,1.0,0
65,66,79,2020-04-07,0.0,1.0,1.0,0
66,67,80,2020-04-08,-1.0644515778362338,0.10886430106296381,1.0,0
67,68,81,2020-04-09,-1.9348046870730309,0.02138379987084141,1.0,0
68,69,82,2020-04-10,-2.6295818780715225,0.00440770475061703,1.0,0
69,70,83,2020-04-11,-3.1556332349581977,0.00098679103994001,0.5299067884477854,0
70,71,84,2020-04-12,-3.5166626492278272,0.000275474904819586,0.17465108965561754,0
71,72,85,2020-04-13,-3.7149838133743986,0.00011977906361521355,0.08228821670365172,0
72,73,86,2020-04-14,-3.7526026145699354,0.00010080383850423846,0.07032336448071379,0
73,74,87,2020-04-15,-3.6315469075612694,0.00017352564338093406,0.11574160413508303,0
74,75,88,2020-04-16,-3.3538528365061717,0.0005226882096467184,0.30054572054686307,0
75,76,89,2020-04-17,-2.9214794211322372,0.002169849296171374,1.0,0
76,77,90,2020-04-18,-2.336241216722486,0.010297710476315933,1.0,0
77,78,91,2020-04-19,-1.599775034385688,0.05083117814635781,1.0,0
78,79,92,2020-04-20,-0.7135332193839833,0.2627148788588838,1.0,0
79,80,93,2020-04-21,0.32120714088182845,9.206079264598152e-09,7.410893808001513e-06,1
80,81,94,2020-04-22,0.275113085338438,2.5655673198720914e-10,2.1165930388944753e-07,1
81,82,95,2020-04-23,0.24666023493486094,1.332808855495652e-10,1.1035657323503998e-07,1
82,83,96,2020-04-24,0.22366929285718035,1.8401539513948986e-10,1.5218073178035812e-07,1
83,84,97,2020-04-25,0.20294072826655904,2.9186015542421253e-10,2.4049276806955113e-07,1
84,85,98,2020-04-26,0.1835627555245286,3.6860026265269194e-10,3.0225221537520736e-07,1
85,86,99,2020-04-27,0.1656938300724241,3.3980148120415534e-10,2.793168175498157e-07,1
86,87,100,2020-04-28,0.1496683524723259,2.3048611238782583e-10,1.9038152883234412e-07,1
87,88,101,2020-04-29,0.13567084095140922,1.178398593923578e-10,9.768924343626461e-08,1
88,89,102,2020-04-30,0.12370594475730318,4.6242576375586205e-11,3.852006612086331e-08,1
89,90,103,2020-05-01,0.1136525894918019,1.4053395685962144e-11,1.173458539777839e-08,1
90,91,104,2020-05-02,0.10532078684205608,3.3219911237318214e-12,2.7904725439347298e-09,1
91,92,105,2020-05-03,0.09848994490747386,6.164978833669946e-13,5.197077156783765e-10,1
92,93,106,2020-05-04,0.09292986630661298,9.253131201059663e-14,7.809642733694355e-11,1
93,94,107,2020-05-05,0.0884110169728757,1.2093906270075937e-14,1.0231444704484242e-11,1
94,95,108,2020-05-06,0.08471079530930964,1.5888447731658912e-15,1.3457515228715099e-12,1
95,96,109,2020-05-07,0.08162422326907671,2.644610461826102e-16,2.258497334399491e-13,1
96,97,110,2020-05-08,0.07896677512042384,7.489761940712095e-17,6.426819083841742e-14,1
97,98,111,2020-05-09,0.07658983324643687,4.34514289819049e-17,3.7455131782402026e-14,1
98,99,112,2020-05-10,0.07438659139693804,4.71562948750135e-17,4.060156988738662e-14,1
99,100,113,2020-05-11,0.07227592415733468,7.481745149990387e-17,6.426819083841742e-14,1
100,101,114,2020-05-12,0.0701954741509025,1.3845556287960815e-16,1.1865641738782417e-13,1
101,102,115,2020-05-13,0.06810581204441452,2.561345844803083e-16,2.189950697306636e-13,1
102,103,116,2020-05-14,0.06598933731778282,4.316557647123811e-16,3.677707115349487e-13,1
103,104,117,2020-05-15,0.06385004378838499,6.287064440467563e-16,5.344004774397429e-13,1
104,105,118,2020-05-16,0.06171257656085696,7.676305545673663e-16,6.51718340827694e-13,1
105,106,119,2020-05-17,0.059618005452979114,7.703694025464714e-16,6.532732533594078e-13,1
106,107,120,2020-05-18,0.05761529047657208,6.252178445286123e-16,5.320603856938491e-13,1
107,108,121,2020-05-19,0.055749011288967476,4.028514925436246e-16,3.436323231397118e-13,1
108,109,122,2020-05-20,0.05405609487496129,1.955918260745154e-16,1.674266031197852e-13,1
