,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0036466433352781383,1.0480387059249354e-22,7.053300490874816e-20,-1
1,2,15,2020-02-03,-0.003675764658255884,5.040551387151085e-24,3.603994241813025e-21,-1
2,3,16,2020-02-04,-0.003697338706797123,1.1305840441242095e-25,8.63766209710896e-23,-1
3,4,17,2020-02-05,-0.0037118234207071873,1.0456053056751625e-27,8.42757876374181e-25,-1
4,5,18,2020-02-06,-0.003719855992987347,5.232355741294292e-30,4.348087621015557e-27,-1
5,6,19,2020-02-07,-0.0037218186767447514,5.324667630304668e-31,4.446097471304398e-28,-1
6,7,20,2020-02-08,-0.0037177666629018935,2.7043030876004125e-29,2.2283457441827398e-26,-1
7,8,21,2020-02-09,-0.003707903819498421,2.6871466701974267e-27,2.1497173361579413e-24,-1
8,9,22,2020-02-10,-0.0036926085380584264,9.25554784249508e-26,7.108260743036222e-23,-1
9,10,23,2020-02-11,-0.0036726922756096397,1.1481751471886598e-24,8.530941343611742e-22,-1
10,11,24,2020-02-12,-0.003650633964005426,3.96417053306628e-24,2.850238613274655e-21,-1
11,12,25,2020-02-13,-0.003630225573392866,2.9120703015873252e-24,2.1170751092539855e-21,-1
12,13,26,2020-02-14,-0.0036145881759453917,5.472031955897496e-25,4.109495998879019e-22,-1
13,14,27,2020-02-15,-0.0036056639642562814,6.134793042416681e-26,4.754464607872928e-23,-1
14,15,28,2020-02-16,-0.0036040175882497854,3.225381494851601e-26,2.5254737104688035e-23,-1
15,16,29,2020-02-17,-0.003609251695416324,2.315278963801281e-25,1.7572967335251722e-22,-1
16,17,30,2020-02-18,-0.0036202810126453157,2.9148090833013602e-24,2.1170751092539855e-21,-1
17,18,31,2020-02-19,-0.0036331196533564104,9.011360010480769e-24,6.380042887420385e-21,-1
18,19,32,2020-02-20,-0.00364091220713865,5.595934234635085e-24,3.989901109294815e-21,-1
19,20,33,2020-02-21,-0.0036347540894510304,2.4342212714236406e-23,1.6990864474537012e-20,-1
20,21,34,2020-02-22,-0.0036048471053190456,1.7475086296717122e-20,1.0345251087656536e-17,-1
21,22,35,2020-02-23,-0.0035419084185841568,1.5579212198668852e-17,8.054452706711797e-15,-1
22,23,36,2020-02-24,-0.003438203295828728,3.684739641062085e-15,1.4591568978605858e-12,-1
23,24,37,2020-02-25,-0.003288642402510486,2.8417630663841133e-13,8.837883136454593e-11,-1
24,25,38,2020-02-26,-0.0030929815849082658,9.51862820640186e-12,2.389175679806867e-09,-1
25,26,39,2020-02-27,-0.002855549053880235,1.752719648235946e-10,3.9260920120485193e-08,-1
26,27,40,2020-02-28,-0.0025830252567241602,2.0772883698663805e-09,4.216895390828752e-07,-1
27,28,41,2020-02-29,-0.002283157060925465,1.7887149101453955e-08,3.398558329276251e-06,-1
28,29,42,2020-03-01,-0.001964070377217688,1.2640768928395981e-07,2.2121345624692966e-05,-1
29,30,43,2020-03-02,-0.0016350698999717925,8.34121357847367e-07,0.0001284546891084945,-1
30,31,44,2020-03-03,-0.0013060533978625371,6.022969192736177e-06,0.0008131008410193839,-1
31,32,45,2020-03-04,-0.000984933184062871,5.6972841312195395e-05,0.005925175496468321,-1
32,33,46,2020-03-05,-0.000676941776268055,0.0008463812189753503,0.07278878483188013,0
33,34,47,2020-03-06,-0.0003844971940846455,0.020890356728969616,1.0,0
34,35,48,2020-03-07,-0.00010781566045638884,0.4473195116226092,1.0,0
35,36,49,2020-03-08,0.0001544085112118681,0.2620321966434076,1.0,0
36,37,50,2020-03-09,0.00040417579816696546,0.007584393551566654,0.5081543679549658,0
37,38,51,2020-03-10,0.0006424640077002306,0.0001885892261007304,0.018178839606625467,1
38,39,52,2020-03-11,0.0008683519766610275,7.013314298997422e-06,0.0009327708017666572,1
39,40,53,2020-03-12,0.0010796961269357122,3.6014668124983944e-07,5.834376236247399e-05,1
40,41,54,2020-03-13,0.0012738218001764007,2.2040374913329744e-08,4.165630858619321e-06,1
41,42,55,2020-03-14,0.0014483983517740275,1.4420088173608637e-09,2.970538163763379e-07,1
42,43,56,2020-03-15,0.0016023575621500967,9.023795199304579e-11,2.0484015102421392e-08,1
43,44,57,2020-03-16,0.0017357664732319984,4.935237382530636e-12,1.2782264820754347e-09,1
44,45,58,2020-03-17,0.0018506763149225575,2.3571219195352953e-13,7.424246278921523e-11,1
45,46,59,2020-03-18,0.0019506288698979315,1.1642694051430903e-14,4.319439493080865e-12,1
