,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.09580427687992349,7.1291397287519935e-06,0.003250887716310909,-1
1,2,15,2020-02-03,-0.11810020820932551,5.558644727265701e-07,0.0002645914890178474,-1
2,3,16,2020-02-04,-0.1351980815871282,2.7394505387872774e-08,1.402598675859086e-05,-1
3,4,17,2020-02-05,-0.14344026203391194,1.4970571689096173e-09,8.054167568733741e-07,-1
4,5,18,2020-02-06,-0.1400118974447763,9.17389564788238e-09,4.761251841250955e-06,-1
5,6,19,2020-02-07,-0.12422282944389806,3.3901133984545726e-06,0.0015696225034844671,-1
6,7,20,2020-02-08,-0.09732911208963893,0.0007404788128068966,0.2850843429306552,0
7,8,21,2020-02-09,-0.06177343838036645,0.04112952818307081,1.0,0
8,9,22,2020-02-10,-0.020475765668180438,0.5126857651434785,1.0,0
9,10,23,2020-02-11,0.02353405361449025,0.4656524991160683,1.0,0
10,11,24,2020-02-12,0.06706570689079346,0.04217388775153995,1.0,0
11,12,25,2020-02-13,0.10683427153616032,0.0012011561792438447,0.4516347233956856,0
12,13,26,2020-02-14,0.13943919187804074,1.1196600306398528e-05,0.005038470137879338,1
13,14,27,2020-02-15,0.1616418472459212,3.764426203784629e-08,1.9160929377263763e-05,1
14,15,28,2020-02-16,0.17103005685092923,5.483327296317817e-10,2.982930049196892e-07,1
15,16,29,2020-02-17,0.1670250408819784,3.166156503570133e-09,1.6780629468921704e-06,1
16,17,30,2020-02-18,0.15118984628030058,1.252721133937187e-07,6.175915190310331e-05,1
17,18,31,2020-02-19,0.1267713374490604,3.181663789780523e-06,0.0014762919984581625,1
18,19,32,2020-02-20,0.09748256685317154,6.864302476718713e-05,0.029379214600356092,1
19,20,33,2020-02-21,0.06607275054431279,0.001888224147743684,0.6967547105174194,0
20,21,34,2020-02-22,0.03413752250497602,0.06293154285870646,1.0,0
21,22,35,2020-02-23,0.002521737827320428,0.8805228246697631,1.0,0
22,23,36,2020-02-24,-0.027974661729796756,0.1033694053251858,1.0,0
23,24,37,2020-02-25,-0.05594573252107319,0.0025722379344820818,0.9285778943480315,0
24,25,38,2020-02-26,-0.07912844489314824,4.6439538290790916e-05,0.020061880541621675,-1
25,26,39,2020-02-27,-0.09453412548109254,7.057068490842937e-07,0.0003345050464659552,-1
26,27,40,2020-02-28,-0.09948798773923459,6.28177470579249e-08,3.159732677013623e-05,-1
27,28,41,2020-02-29,-0.09274544029387252,2.3023631581560617e-06,0.0010752035948588807,-1
28,29,42,2020-03-01,-0.0747785683212587,0.0006173326001502858,0.241994379258912,0
29,30,43,2020-03-02,-0.047349811844023405,0.047760964394820395,1.0,0
30,31,44,2020-03-03,-0.012991589099410412,0.6168512105844619,1.0,0
31,32,45,2020-03-04,0.025372618541121255,0.36706961425571527,1.0,0
32,33,46,2020-03-05,0.06469978759235391,0.031465572415505454,1.0,0
33,34,47,2020-03-06,0.1020572950475637,0.0010946547976169773,0.41377951349921743,0
34,35,48,2020-03-07,0.13481541542738104,1.6292262664664598e-05,0.007282641411105076,1
35,36,49,2020-03-08,0.16061425634903567,8.612587151743167e-08,4.314906163023327e-05,1
36,37,50,2020-03-09,0.1775848757741726,1.538196245309747e-10,8.598517011281486e-08,1
37,38,51,2020-03-10,0.18483477575021243,1.3220882292798764e-12,8.382039373634417e-10,1
38,39,52,2020-03-11,0.18299400155077725,3.8709014263381e-12,2.3883461800506076e-09,1
39,40,53,2020-03-12,0.17437681153937357,3.182481066955999e-11,1.8522039809683914e-08,1
40,41,54,2020-03-13,0.16220016998360054,7.224496169262252e-11,4.1179628164794835e-08,1
41,42,55,2020-03-14,0.1493393156339892,5.0167680534361375e-11,2.889658398779215e-08,1
42,43,56,2020-03-15,0.13761906398989396,1.3746066538581258e-11,8.19265565699443e-09,1
43,44,57,2020-03-16,0.12783610206695742,1.782347457981286e-12,1.1210965510702287e-09,1
44,45,58,2020-03-17,0.1201183065872832,1.28028452847663e-13,8.590709186078186e-11,1
45,46,59,2020-03-18,0.1142523933423785,6.253084817379537e-15,4.608523510408719e-12,1
46,47,60,2020-03-19,0.10985236102593694,2.550616096774368e-16,1.9792780910969095e-13,1
47,48,61,2020-03-20,0.1064988346523161,1.0202148465298264e-17,8.233133811495698e-15,1
48,49,62,2020-03-21,0.10386526534814233,6.610737268661389e-19,5.467079721182969e-16,1
49,50,63,2020-03-22,0.10167580582736961,1.5952282698863551e-19,1.3511583445937427e-16,1
50,51,64,2020-03-23,0.09968908482521556,2.1262444980422984e-19,1.7966766008457422e-16,1
51,52,65,2020-03-24,0.09771216970167312,8.989625058018291e-19,7.371492547574999e-16,1
52,53,66,2020-03-25,0.09559758162798916,5.341035578508036e-18,4.326238818591509e-15,1
