,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.11408841187988751,0.004408597578114086,1.0,0
1,2,15,2020-02-03,0.3682660839281508,0.23396607756652926,1.0,0
2,3,16,2020-02-04,0.7821552453898254,0.04927365681686619,1.0,0
3,4,17,2020-02-05,1.1268546285547174,0.010900393489489261,1.0,0
4,5,18,2020-02-06,1.4017045509724795,0.002514113391201522,1.0,0
5,6,19,2020-02-07,1.6060089961003217,0.0006585483457038608,0.36417723517423506,0
6,7,20,2020-02-08,1.7389565646915253,0.0002313632971684924,0.1369670719237475,0
7,8,21,2020-02-09,1.7995334456848522,0.0001349916787491595,0.08180495732199065,0
8,9,22,2020-02-10,1.786428792617517,0.0001522152226201549,0.0917857792399534,0
9,10,23,2020-02-11,1.1729771789436485,0.04453272370663171,1.0,0
10,11,24,2020-02-12,0.5905346538937397,0.3472839049693196,1.0,0
11,12,25,2020-02-13,0.018795850951148406,0.9765999470058677,1.0,0
12,13,26,2020-02-14,-0.5536943628582159,0.3770337878625962,1.0,0
13,14,27,2020-02-15,-1.1386080035664687,0.0498516205177093,1.0,0
14,15,28,2020-02-16,-1.7576267619207635,0.00015484779717276,0.09321837389800151,0
15,16,29,2020-02-17,-1.7699020268410504,0.00013815940554499185,0.08358644035472007,0
16,17,30,2020-02-18,-1.7099758803347802,0.000237036704383965,0.1396146188821554,0
17,18,31,2020-02-19,-1.5793810706363978,0.0006707201995409906,0.3702375501466268,0
18,19,32,2020-02-20,-1.3794416484656837,0.0025281326157802395,1.0,0
19,20,33,2020-02-21,-1.111304552497373,0.010759234848478112,1.0,0
20,21,34,2020-02-22,-0.7759988784148055,0.047489819010189754,1.0,0
21,22,35,2020-02-23,-0.37451730608813544,0.21883407640023292,1.0,0
22,23,36,2020-02-24,0.09206561863245531,0.027636264055222282,1.0,0
23,24,37,2020-02-25,0.01660907806811816,0.5828579845625769,1.0,0
24,25,38,2020-02-26,-0.04592124293031764,0.13333120145390764,1.0,0
25,26,39,2020-02-27,-0.10985159949082424,0.004179459803444864,1.0,0
26,27,40,2020-02-28,-0.18412797976169365,0.0003820878202720462,0.21779005755506634,0
27,28,41,2020-02-29,-0.2607904296692929,5.2076454037197854e-05,0.03202701923287668,-1
28,29,42,2020-03-01,-0.2898303711762266,5.9671013191392855e-06,0.0038070106416108643,-1
29,30,43,2020-03-02,-0.27388501673606674,3.496503790089497e-05,0.021713288536455776,-1
30,31,44,2020-03-03,-0.22663623806297614,0.001718564389228781,0.8970906111774237,0
31,32,45,2020-03-04,-0.157777631916742,0.04463964474444348,1.0,0
32,33,46,2020-03-05,-0.07457955971870875,0.3741734373931527,1.0,0
33,34,47,2020-03-06,0.016920525672669353,0.8477527135371793,1.0,0
34,35,48,2020-03-07,0.11142020423539013,0.2205675864497656,1.0,0
35,36,49,2020-03-08,0.2039024187747592,0.02654847718694619,1.0,0
36,37,50,2020-03-09,0.2892086913107685,0.0014042944808252441,0.7414674858757289,0
37,38,51,2020-03-10,0.3615580210269528,2.9719396754267116e-05,0.018515184177908414,1
38,39,52,2020-03-11,0.4138414366899443,3.151998406703259e-07,0.00020992309388643705,1
39,40,53,2020-03-12,0.43637189979089225,2.1571743903739974e-08,1.4949218525291802e-05,1
40,41,54,2020-03-13,0.41547745708588124,9.609533402828045e-08,6.496044580311758e-05,1
41,42,55,2020-03-14,0.3525364628809522,5.1090645136456776e-08,3.494600127333644e-05,1
42,43,56,2020-03-15,0.29882122331436045,6.724974671313244e-09,4.821806839331596e-06,1
43,44,57,2020-03-16,0.2605556752843041,9.901516937635215e-10,7.287516466099518e-07,1
44,45,58,2020-03-17,0.23213513930982074,1.754065225602271e-10,1.3208111148785102e-07,1
45,46,59,2020-03-18,0.21016494889909004,3.826102962032493e-11,2.9116643541067273e-08,1
46,47,60,2020-03-19,0.1926365607717781,1.0840139908558847e-11,8.411948569041665e-09,1
47,48,61,2020-03-20,0.17818443369028014,3.9245971041314105e-12,3.0768841296390256e-09,1
48,49,62,2020-03-21,0.16590717017550222,1.7374958902512197e-12,1.3726217532984637e-09,1
49,50,63,2020-03-22,0.15521163562537707,9.050225097249916e-13,7.185878727216433e-10,1
50,51,64,2020-03-23,0.14569731420372395,5.429503140977826e-13,4.354461519064216e-10,1
51,52,65,2020-03-24,0.13708380046339,3.7418584734185654e-13,3.019679788048782e-10,1
52,53,66,2020-03-25,0.12916645353100356,2.995664937490055e-13,2.4294842643044347e-10,1
53,54,67,2020-03-26,0.12178933623461706,2.8316443774549206e-13,2.2992952344933954e-10,1
54,55,68,2020-03-27,0.11482926489487576,3.1944030703330806e-13,2.584272083899462e-10,1
55,56,69,2020-03-28,0.10818713554148784,4.2828244323675515e-13,3.4433908436235116e-10,1
56,57,70,2020-03-29,0.10178102773592389,6.678239945139013e-13,5.349270196056349e-10,1
57,58,71,2020-03-30,0.09554284519264626,1.166102315137448e-12,9.235530335888588e-10,1
58,59,72,2020-03-31,0.08942319266525804,2.1803764939534083e-12,1.7181366772352858e-09,1
59,60,73,2020-04-01,0.08340841986457334,4.17670112173381e-12,3.2703569783175734e-09,1
60,61,74,2020-04-02,0.0775077895710676,7.981550245550406e-12,6.209646091038216e-09,1
61,62,75,2020-04-03,0.07173637262109119,1.5109487705428274e-11,1.1664524508590628e-08,1
62,63,76,2020-04-04,0.06610874292871315,2.8480931077088434e-11,2.1844874136126828e-08,1
63,64,77,2020-04-05,0.06064216014322304,5.368875681036927e-11,4.080345517588064e-08,1
64,65,78,2020-04-06,0.0553524724744536,1.0192168993280186e-10,7.695087589926541e-08,1
65,66,79,2020-04-07,0.05025369820255185,1.9660675235380753e-10,1.4765167101770945e-07,1
66,67,80,2020-04-08,0.04536382810758173,3.854960842351284e-10,2.868090866709355e-07,1
67,68,81,2020-04-09,0.04070125454168705,7.657588067592229e-10,5.651299993883066e-07,1
68,69,82,2020-04-10,0.0362814955538763,1.5382532665446859e-09,1.1290778976437993e-06,1
69,70,83,2020-04-11,0.032116711496140024,3.130935320492064e-09,2.273059042677238e-06,1
70,71,84,2020-04-12,0.028214589801332332,6.464147029041284e-09,4.641257566851642e-06,1
71,72,85,2020-04-13,0.02457898413365602,1.3445544093112455e-08,9.465663041551168e-06,1
72,73,86,2020-04-14,0.021212394672516843,2.761707159881918e-08,1.9028162331586417e-05,1
73,74,87,2020-04-15,0.018134060782419983,5.43359576498341e-08,3.711145907483669e-05,1
74,75,88,2020-04-16,0.015406637448957192,8.811635432197811e-08,5.9742888230301164e-05,1
75,76,89,2020-04-17,0.01314925211541325,7.975774883262209e-08,5.423526920618302e-05,1
76,77,90,2020-04-18,0.011529957049801157,2.10845448730403e-08,1.4653758686763008e-05,1
77,78,91,2020-04-19,0.01073154885404954,1.8063775226223375e-09,1.3240747240821734e-06,1
78,79,92,2020-04-20,0.010911055827694622,4.752831227405197e-09,3.431544146186552e-06,1
79,80,93,2020-04-21,0.012171760417704756,2.452847852339355e-07,0.00016360495175103497,1
80,81,94,2020-04-22,0.014550332249185359,2.6307576730311403e-06,0.0016968386991050854,1
81,82,95,2020-04-23,0.01800237157531942,5.796537201052407e-06,0.003703987271472488,1
82,83,96,2020-04-24,0.022401208403615282,4.732213123475829e-06,0.0030286163990245305,1
83,84,97,2020-04-25,0.027543671718576752,1.9955169788775805e-06,0.0012930950023126722,1
84,85,98,2020-04-26,0.03316491341623844,5.020652277757984e-07,0.00033136305033202695,1
85,86,99,2020-04-27,0.038963414674097516,7.863582541184391e-08,5.3550997105465707e-05,1
86,87,100,2020-04-28,0.04461711299571884,7.558980029489964e-09,5.404670721085324e-06,1
87,88,101,2020-04-29,0.04980439619983284,4.300785679275947e-10,3.195483759702029e-07,1
88,89,102,2020-04-30,0.05424375325311068,1.3486742238112854e-11,1.0425251750061237e-08,1
89,90,103,2020-05-01,0.05771690248643327,1.9920410683912624e-13,1.62550551180727e-10,1
90,91,104,2020-05-02,0.06010773184632726,1.0613427802001874e-15,8.957733064889581e-13,1
91,92,105,2020-05-03,0.0613973681680228,2.6533388081403136e-18,2.28452471380881e-15,1
92,93,106,2020-05-04,0.06164647500185631,3.6086449175628475e-19,3.1106519189391745e-16,1
93,94,107,2020-05-05,0.06097743634699113,1.799595353037023e-17,1.5422532175527285e-14,1
94,95,108,2020-05-06,0.05954809313774438,8.434837468178294e-16,7.127437660610659e-13,1
95,96,109,2020-05-07,0.05751420805076445,1.4323632191751328e-14,1.1945909247920607e-11,1
