,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.018323302152185205,5.4238839108439405e-09,1.4210575846411124e-06,1
1,2,15,2020-02-03,0.02051372112654951,5.930732953852093e-10,1.844457948648001e-07,1
2,3,16,2020-02-04,0.022520139148663625,4.749604205617424e-11,1.904591286452587e-08,1
3,4,17,2020-02-05,0.02428784224503796,2.7461511640479137e-12,1.2824525936103756e-09,1
4,5,18,2020-02-06,0.025786862804494933,1.1446991667459677e-13,6.238610458765524e-11,1
5,6,19,2020-02-07,0.027014587099993354,3.5604090386839725e-15,2.203893194945379e-12,1
6,7,20,2020-02-08,0.027995215538213124,8.93277348321451e-17,6.118949836001939e-14,1
7,8,21,2020-02-09,0.028769073183306303,2.177697466119667e-18,1.6049630325301946e-15,1
8,9,22,2020-02-10,0.029380807946742703,7.499964848446558e-20,5.699973284819385e-17,1
9,10,23,2020-02-11,0.029872095876326794,6.0091059240327024e-21,4.699120832593574e-18,1
10,11,24,2020-02-12,0.03027254024121238,1.2049198877300596e-21,9.579113107453974e-19,1
11,12,25,2020-02-13,0.03059131565183165,3.128805933497216e-22,2.50617355273127e-19,1
12,13,26,2020-02-14,0.03081832980580631,4.31360969535832e-23,3.494023853240239e-20,1
13,14,27,2020-02-15,0.030927679493748274,3.846736186072515e-24,3.1697106173237525e-21,1
14,15,28,2020-02-16,0.030884159460580263,1.903122757958703e-23,1.549141924978384e-20,1
15,16,29,2020-02-17,0.030650334462058136,7.982865803323576e-21,6.234618192395713e-18,1
16,17,30,2020-02-18,0.03019225500858371,2.368975314534264e-18,1.7340899302390812e-15,1
17,18,31,2020-02-19,0.029482882150863098,2.249885653628536e-16,1.5186728161992617e-13,1
18,19,32,2020-02-20,0.02850768880749001,8.507766737749195e-15,5.104660042649517e-12,1
19,20,33,2020-02-21,0.02726857197262432,1.5982238909683197e-13,8.566480055590193e-11,1
20,21,34,2020-02-22,0.025783271207059873,1.7660409559019722e-12,8.512317407447506e-10,1
21,22,35,2020-02-23,0.02408420917528633,1.3019820530100043e-11,5.650602110063419e-09,1
22,23,36,2020-02-24,0.022214058985604333,7.094705098345727e-11,2.731461462863105e-08,1
23,24,37,2020-02-25,0.020224414832386975,3.138906051315868e-10,1.0546724332421317e-07,1
24,25,38,2020-02-26,0.01816702545375567,1.2365115528421719e-09,3.6600741964128286e-07,1
25,26,39,2020-02-27,0.016084256088283438,4.7485667609612284e-09,1.2631187584156868e-06,1
26,27,40,2020-02-28,0.014004199463910138,1.9458405656201776e-08,4.241932433051987e-06,1
27,28,41,2020-02-29,0.011941487301455507,9.356114813139654e-08,1.730881240430836e-05,1
28,29,42,2020-03-01,0.009902458982262777,5.906060950208215e-07,9.31375015201265e-05,1
29,30,43,2020-03-02,0.007887093100211682,5.51111512783402e-06,0.0006778671607235845,1
30,31,44,2020-03-03,0.0058903657310508525,8.544002623392665e-05,0.007860482413521252,1
31,32,45,2020-03-04,0.0039042468177119564,0.0023344416066430774,0.15173870443180004,0
32,33,46,2020-03-05,0.0019231166412111492,0.08347282652969712,1.0,0
33,34,47,2020-03-06,-5.173565118965422e-05,0.9604722170889156,1.0,0
34,35,48,2020-03-07,-0.002011727756229573,0.07238141392367695,1.0,0
35,36,49,2020-03-08,-0.003940728845188581,0.0021031666953454584,0.14024732978772086,0
36,37,50,2020-03-09,-0.005818130259837211,7.084647233955968e-05,0.00680126134459773,-1
37,38,51,2020-03-10,-0.007620974527689253,3.279297694855651e-06,0.00042630870033123465,-1
38,39,52,2020-03-11,-0.009326671926493182,1.907115767131772e-07,3.318381434809283e-05,-1
39,40,53,2020-03-12,-0.010914481491798847,1.2616867849911336e-08,2.901879605479607e-06,-1
40,41,54,2020-03-13,-0.012368926249848342,8.886408877045897e-10,2.719241116376045e-07,-1
41,42,55,2020-03-14,-0.013688495079593972,6.656278606131433e-11,2.5759798205728645e-08,-1
42,43,56,2020-03-15,-0.014888411349304909,5.831178059393032e-12,2.6356924828456505e-09,-1
43,44,57,2020-03-16,-0.01599796385481906,7.540894575221998e-13,3.800610865911887e-10,-1
44,45,58,2020-03-17,-0.017057350238541033,1.997324405699339e-13,1.0585819350206496e-10,-1
45,46,59,2020-03-18,-0.018112324292581868,1.3115144965118704e-13,7.121523716059457e-11,-1
46,47,60,2020-03-19,-0.01920858935424612,1.8339063721509566e-13,9.793060027286108e-11,-1
47,48,61,2020-03-20,-0.020381835279184544,3.6610265754352725e-13,1.9037338192263417e-10,-1
48,49,62,2020-03-21,-0.021648842064916327,7.092960797273897e-13,3.581945202623318e-10,-1
49,50,63,2020-03-22,-0.02300429603729513,1.045663856069754e-12,5.18649272610598e-10,-1
50,51,64,2020-03-23,-0.024419136828731213,1.0183536886053578e-12,5.061217832368628e-10,-1
51,52,65,2020-03-24,-0.02584592464288743,5.996841154435259e-13,3.052392147607547e-10,-1
52,53,66,2020-03-25,-0.027225208749794918,1.97372090871023e-13,1.048045802525132e-10,-1
53,54,67,2020-03-26,-0.028490276255670455,3.31457207050828e-14,1.8893060801897195e-11,-1
54,55,68,2020-03-27,-0.02957312838003319,2.532698874787787e-15,1.593067592241518e-12,-1
55,56,69,2020-03-28,-0.030417667760730023,7.443625633826211e-17,5.128658061706259e-14,-1
56,57,70,2020-03-29,-0.03098547415577429,7.538197424072514e-19,5.585804291237733e-16,-1
57,58,71,2020-03-30,-0.03125846620604683,9.105546777355399e-21,7.102326486337211e-18,-1
58,59,72,2020-03-31,-0.03124107867417106,1.3068983644653454e-20,1.0154600291895734e-17,-1
59,60,73,2020-04-01,-0.03095549335742889,4.722984409159579e-19,3.5280693536422055e-16,-1
60,61,74,2020-04-02,-0.03043796570219743,1.0101371629438524e-17,7.244136164190984e-15,-1
61,62,75,2020-04-03,-0.02973431172134521,8.544737751231469e-17,5.861690097344788e-14,-1
62,63,76,2020-04-04,-0.02889429941804192,3.5863321735271763e-16,2.3992562240896807e-13,-1
63,64,77,2020-04-05,-0.027968094860233682,9.228748173481615e-16,6.026372557283495e-13,-1
64,65,78,2020-04-06,-0.027000713284435304,1.6594882612587556e-15,1.058753510683086e-12,-1
65,66,79,2020-04-07,-0.02602954285943782,2.233428563053733e-15,1.413760280413013e-12,-1
66,67,80,2020-04-08,-0.025081687414988854,2.338309657892478e-15,1.4731350844722612e-12,-1
67,68,81,2020-04-09,-0.024172429309133298,1.9805084395724715e-15,1.259603367568092e-12,-1
68,69,82,2020-04-10,-0.023307633576561317,1.4181067664464136e-15,9.128744719852664e-13,-1
69,70,83,2020-04-11,-0.02248973242936827,9.045724765157006e-16,5.915903996412682e-13,-1
70,71,84,2020-04-12,-0.021715386190582272,5.627907769352012e-16,3.714419127772328e-13,-1
71,72,85,2020-04-13,-0.020974530367878864,3.965963399992082e-16,2.637365660994735e-13,-1
72,73,86,2020-04-14,-0.020255748046637656,3.866499435815772e-16,2.575088624253304e-13,-1
73,74,87,2020-04-15,-0.019547699044800394,5.968229778726633e-16,3.933063424180851e-13,-1
74,75,88,2020-04-16,-0.01884175372566863,1.3421195872150365e-15,8.656671337536986e-13,-1
75,76,89,2020-04-17,-0.018133883937621015,3.482980119306631e-15,2.159447673970111e-12,-1
76,77,90,2020-04-18,-0.01742679338630924,8.094508033121904e-15,4.872893835939386e-12,-1
77,78,91,2020-04-19,-0.016724579441446494,1.4486583300946415e-14,8.503624397655545e-12,-1
78,79,92,2020-04-20,-0.016032599462219518,1.882077849821656e-14,1.0934872307463821e-11,-1
