,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-1.0782776927622966,7.492839680661659e-05,0.03551606008633626,-1
1,2,15,2020-02-03,-1.1347911070393533,4.259232496490295e-05,0.020316539008258708,-1
2,3,16,2020-02-04,-0.7132119025317072,0.04171880725540539,1.0,0
3,4,17,2020-02-05,-0.29163269802406105,0.4397797588047937,1.0,0
4,5,18,2020-02-06,0.1299465064835851,0.7333601717901396,1.0,0
5,6,19,2020-02-07,0.5515257109912312,0.12973566491672925,1.0,0
6,7,20,2020-02-08,0.9731049154988772,0.0020062572258555166,0.7744152891802294,0
7,8,21,2020-02-09,1.0407140418472336,0.001038255493834773,0.4215317304969179,0
8,9,22,2020-02-10,1.0813012985027737,0.0006619945760379567,0.2767137327838659,0
9,10,23,2020-02-11,1.0860077624496975,0.0006263775635706759,0.2630785766996839,0
10,11,24,2020-02-12,0.7309060524816889,0.05289833355400636,1.0,0
11,12,25,2020-02-13,0.41293621436452715,0.30301317183634785,1.0,0
12,13,26,2020-02-14,0.10706252685627794,0.7928282128122464,1.0,0
13,14,27,2020-02-15,-0.2006091390030209,0.6166989291604137,1.0,0
14,15,28,2020-02-16,-0.5267161980878715,0.16176894908239825,1.0,0
15,16,29,2020-02-17,-0.9747963189735845,0.00029956105631978705,0.13270554794966566,0
16,17,30,2020-02-18,-0.9667876757114254,0.0003383156530518236,0.1488588873428024,0
17,18,31,2020-02-19,-0.919537683515166,0.000665965234443128,0.2777075027627844,0
18,19,32,2020-02-20,-0.8354064993614567,0.0019081506070513998,0.7384542849288918,0
19,20,33,2020-02-21,-0.7168167722593888,0.006576772076394544,1.0,0
20,21,34,2020-02-22,-0.5666692149749752,0.023786779838840057,1.0,0
21,22,35,2020-02-23,-0.38978572088035635,0.08312564871575928,1.0,0
22,23,36,2020-02-24,-0.20217114039439038,0.2557152828604131,1.0,0
23,24,37,2020-02-25,0.3262439142095372,0.05353361846385401,1.0,0
24,25,38,2020-02-26,0.48583810712736897,0.021289568485136367,1.0,0
25,26,39,2020-02-27,0.632939273625243,0.006783058555704637,1.0,0
26,27,40,2020-02-28,0.7541224579443265,0.002099247825397568,0.8082104127780636,0
27,28,41,2020-02-29,0.8456903557650524,0.0007091274223195197,0.29286962541796163,0
28,29,42,2020-03-01,0.9058405225510278,0.000303686289333666,0.1342293398854804,0
29,30,43,2020-03-02,0.9332493181413595,0.00019654087978399624,0.08908554999007232,0
30,31,44,2020-03-03,0.9265541545608047,0.00021947744269603932,0.09810641688512957,0
31,32,45,2020-03-04,0.884044920531547,0.0004260002320626184,0.18318009978692593,0
32,33,46,2020-03-05,0.8035256316167425,0.001272867900186428,0.5066014242741983,0
33,34,47,2020-03-06,0.6820272523554255,0.0049613589281296035,1.0,0
34,35,48,2020-03-07,0.5151996453409415,0.022191636526041492,1.0,0
35,36,49,2020-03-08,0.29536041090223325,0.10886430106296377,1.0,0
36,37,50,2020-03-09,0.0,1.0,1.0,0
37,38,51,2020-03-10,0.0,1.0,1.0,0
38,39,52,2020-03-11,0.0,1.0,1.0,0
39,40,53,2020-03-12,0.0,1.0,1.0,0
40,41,54,2020-03-13,0.0,1.0,1.0,0
41,42,55,2020-03-14,0.0,1.0,1.0,0
42,43,56,2020-03-15,0.0,1.0,1.0,0
43,44,57,2020-03-16,0.0,1.0,1.0,0
44,45,58,2020-03-17,0.0,1.0,1.0,0
45,46,59,2020-03-18,0.0,1.0,1.0,0
46,47,60,2020-03-19,0.0,1.0,1.0,0
47,48,61,2020-03-20,0.0,1.0,1.0,0
48,49,62,2020-03-21,0.0,1.0,1.0,0
49,50,63,2020-03-22,0.0,1.0,1.0,0
50,51,64,2020-03-23,0.0,1.0,1.0,0
