,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.00175071806734551,0.9982953305808355,1.0,0
1,2,15,2020-02-03,-1.650537209957202,0.021524877413949182,1.0,0
2,3,16,2020-02-04,-2.2349093698735367,0.00448501754524742,1.0,0
3,4,17,2020-02-05,-2.677948493076115,0.0010172992611083105,0.6144487537094195,0
4,5,18,2020-02-06,-2.984453544315352,0.00028613915410235347,0.19629145971421447,0
5,6,19,2020-02-07,-3.1576371254218314,0.0001226226042762503,0.09172170799863522,0
6,7,20,2020-02-08,-3.199928080298857,9.786498295234152e-05,0.0744752520267319,0
7,8,21,2020-02-09,-3.113346755473367,0.00015397871173934642,0.11101865116406877,0
8,9,22,2020-02-10,-2.8997617039547503,0.0004165819237290026,0.2711948323475807,0
9,10,23,2020-02-11,-2.561184751879976,0.0015509033855948498,0.8637742912845727,0
10,11,24,2020-02-12,-2.100359593818474,0.0065938483304575435,1.0,0
11,12,25,2020-02-13,-1.5227204809609058,0.028601099378024925,1.0,0
12,13,26,2020-02-14,-0.8528649397723765,0.11546151033397727,1.0,0
13,14,27,2020-02-15,0.8710581001134745,0.10701564093974544,1.0,0
14,15,28,2020-02-16,1.5381319788756158,0.02658825163003068,1.0,0
15,16,29,2020-02-17,2.110932768278518,0.006162815151590005,1.0,0
16,17,30,2020-02-18,2.566963528020312,0.0014593100236300234,0.8242384882387654,0
17,18,31,2020-02-19,2.9011071085763795,0.0003957240310608944,0.2615735845312512,0
18,19,32,2020-02-20,3.1108179133159393,0.00014815964704435655,0.10800838269533593,0
19,20,33,2020-02-21,3.194250831841677,9.55564589697619e-05,0.0730051346528981,0
20,21,34,2020-02-22,3.1496869802526937,0.0001212759292956495,0.09083567104244147,0
21,22,35,2020-02-23,2.9752407058047874,0.00028530602177101466,0.19600523695668706,0
22,23,36,2020-02-24,2.668600579155372,0.001017904565851667,0.6144487537094195,0
23,24,37,2020-02-25,2.226646781606653,0.004490746427125101,1.0,0
24,25,38,2020-02-26,1.6446255470641902,0.021541322431500722,1.0,0
25,26,39,2020-02-27,0.9135251655376785,0.10886430106296392,1.0,0
26,27,40,2020-02-28,-0.9469968959264747,0.10886430106296381,1.0,0
27,28,41,2020-02-29,-1.672811331017705,0.02190718968513455,1.0,0
28,29,42,2020-03-01,-2.2459490066009806,0.004688626853158382,1.0,0
29,30,43,2020-03-02,-2.67726091686474,0.0011075709795593774,0.6523593069604733,0
30,31,44,2020-03-03,-2.972049368109703,0.00032983586006679264,0.2200012355613133,0
31,32,45,2020-03-04,-3.1336696993711786,0.00015142317799472896,0.10963038086818376,0
32,33,46,2020-03-05,-3.164529290465731,0.00012896251172291934,0.09530329616323739,0
33,34,47,2020-03-06,-3.06649026488177,0.00021209503235272768,0.1501632829057312,0
34,35,48,2020-03-07,-2.841070237469601,0.0005861335845457184,0.36878551110658714,0
35,36,49,2020-03-08,-2.4895591829661576,0.0022037498265674634,1.0,0
36,37,50,2020-03-09,-2.0130968019685653,0.009507350720420821,1.0,0
37,38,51,2020-03-10,-1.4127272486751372,0.04299282769284189,1.0,0
38,39,52,2020-03-11,-0.6894281972798844,0.20444873774018,1.0,0
39,40,53,2020-03-12,0.15592853053416514,0.0285023672719737,1.0,0
40,41,54,2020-03-13,0.03016730798077383,0.3508020542616691,1.0,0
41,42,55,2020-03-14,-0.03165700905131568,0.259063199290415,1.0,0
42,43,56,2020-03-15,-0.07860468092255596,0.006143078625228267,1.0,0
43,44,57,2020-03-16,-0.10707764755622695,0.00011961476362743338,0.08983068748420246,0
44,45,58,2020-03-17,-0.11195293026694163,3.6348058335872386e-05,0.02806070103529348,-1
45,46,59,2020-03-18,-0.09407706087176686,0.0020845030220921247,1.0,0
46,47,60,2020-03-19,-0.0576294949317661,0.11329657282426865,1.0,0
47,48,61,2020-03-20,-0.007454857959076981,0.8627689901993962,1.0,0
48,49,62,2020-03-21,0.051766721481184615,0.29943501227320896,1.0,0
49,50,63,2020-03-22,0.1156149661633404,0.037871269136920904,1.0,0
50,51,64,2020-03-23,0.1798272334711095,0.0025910749052518237,1.0,0
51,52,65,2020-03-24,0.24015767098377433,9.054728260296917e-05,0.06935921847387438,0
52,53,66,2020-03-25,0.29224846693784,1.2717177103325353e-06,0.000995754967190375,1
53,54,67,2020-03-26,0.3315764002762909,5.132617187808982e-09,4.177950390876512e-06,1
54,55,68,2020-03-27,0.35369232155540153,1.5525380902770832e-11,1.3010269196521957e-08,1
55,56,69,2020-03-28,0.35545087475219916,9.152209191470525e-12,7.697007930026711e-09,1
56,57,70,2020-03-29,0.3383582067015571,8.302207629482318e-11,6.865925709581877e-08,1
57,58,71,2020-03-30,0.3109845412930178,1.7147130418111177e-10,1.412923546452361e-07,1
58,59,72,2020-03-31,0.2824605704959726,1.3046990756728064e-10,1.0763767374300653e-07,1
59,60,73,2020-04-01,0.2566900223563956,7.09223826270204e-11,5.8794655197799905e-08,1
60,61,74,2020-04-02,0.23428954388050147,3.64197239358015e-11,3.033763003852265e-08,1
61,62,75,2020-04-03,0.21488552475381964,1.95436540349719e-11,1.6318951119201537e-08,1
62,63,76,2020-04-04,0.19794772037110975,1.1349366434867966e-11,9.53346780528909e-09,1
63,64,77,2020-04-05,0.1830028394691541,7.2136938318775576e-12,6.081143900272781e-09,1
64,65,78,2020-04-06,0.16966809176447123,5.034583509667843e-12,4.259257649178995e-09,1
65,66,79,2020-04-07,0.15764081107510394,3.862302785315235e-12,3.2752327619473196e-09,1
66,67,80,2020-04-08,0.146681075651863,3.2612706790385032e-12,2.7720800771827276e-09,1
67,68,81,2020-04-09,0.13659605448899048,3.0397266569417083e-12,2.5898471117143354e-09,1
68,69,82,2020-04-10,0.12722719167704086,3.14497964072163e-12,2.676377674254107e-09,1
69,70,83,2020-04-11,0.11844059188253571,3.644845143516688e-12,3.094473526845668e-09,1
70,71,84,2020-04-12,0.11011947935891937,4.7951706687505516e-12,4.0615095564317174e-09,1
71,72,85,2020-04-13,0.10215905217378607,7.286460741591173e-12,6.135199944419768e-09,1
72,73,86,2020-04-14,0.0944638380458156,1.3038229108774887e-11,1.093907422226213e-08,1
73,74,87,2020-04-15,0.08694579127865754,2.8013612604262824e-11,2.3363352911955196e-08,1
74,75,88,2020-04-16,0.07952264411853191,7.36374249792855e-11,6.097178788284839e-08,1
75,76,89,2020-04-17,0.07211523676151607,2.4163953626428456e-10,1.9862769880924192e-07,1
76,77,90,2020-04-18,0.06464182301547654,1.0194632575343818e-09,8.329014814055899e-07,1
77,78,91,2020-04-19,0.05701455508912584,5.778506785943271e-09,4.697926016971879e-06,1
78,79,92,2020-04-20,0.0491338405363592,4.703333670994851e-08,3.753260269453891e-05,1
79,80,93,2020-04-21,0.04088471178254126,6.037402663576414e-07,0.00047393610909074853,1
80,81,94,2020-04-22,0.03213130645541865,1.3786538537576465e-05,0.010698353905159337,1
81,82,95,2020-04-23,0.022706905018164667,0.0006169288885462754,0.3837297686757833,0
82,83,96,2020-04-24,0.012396596403448451,0.04150034355382987,1.0,0
83,84,97,2020-04-25,0.0009081157779119644,0.8837718755762166,1.0,0
84,85,98,2020-04-26,-0.012180832331273183,0.10560906989323395,1.0,0
85,86,99,2020-04-27,-0.027524746763135103,0.005667531835080829,1.0,0
86,87,100,2020-04-28,-0.046236000586034595,0.0005921671004908605,0.3701044378067878,0
87,88,101,2020-04-29,-0.07049484772695197,0.0001527252939379954,0.11042038751717068,0
88,89,102,2020-04-30,-0.10587652087734721,0.00011430958290791994,0.08596080634675579,0
89,90,103,2020-05-01,-0.18761829596019364,0.0009778614586335363,0.5955176283078236,0
90,91,104,2020-05-02,0.5354549614221893,0.2394844040015877,1.0,0
91,92,105,2020-05-03,1.1534457820796729,0.04865525850266658,1.0,0
92,93,106,2020-05-04,1.666014508362603,0.010447551596607924,1.0,0
93,94,107,2020-05-05,2.0727245696256347,0.00235609700830766,1.0,0
94,95,108,2020-05-06,2.3730236883656115,0.0006101599760245591,0.3801296650633003,0
