,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.014285325864073092,1.5498055214836117e-13,8.240523315030898e-11,-1
1,2,15,2020-02-03,-0.014111476550652192,5.189269617867624e-13,2.516795764665797e-10,-1
2,3,16,2020-02-04,-0.012514406609041259,7.31846360673334e-08,1.683246629548668e-05,-1
3,4,17,2020-02-05,-0.009467147297787267,0.0004582510876206969,0.049491117463035264,-1
4,5,18,2020-02-06,-0.005028498876104778,0.11249891233966333,1.0,0
5,6,19,2020-02-07,0.00039801461652534236,0.9164568291573711,1.0,0
6,7,20,2020-02-08,0.0064119690156600765,0.15500276039415,1.0,0
7,8,21,2020-02-09,0.012676442502398303,0.014380420339434107,0.9203469017237829,0
8,9,22,2020-02-10,0.018883919847574728,0.0009378897385208415,0.09378897385208415,0
9,10,23,2020-02-11,0.024743681002488218,4.136121217232346e-05,0.005666486067608314,1
10,11,24,2020-02-12,0.029984183843501495,9.784047902575385e-07,0.00018394010056841723,1
11,12,25,2020-02-13,0.034350122702089765,7.232428252414029e-09,1.9305982985682614e-06,1
12,13,26,2020-02-14,0.037607604305943294,2.7759351525249434e-12,1.2047558561958254e-09,1
13,14,27,2020-02-15,0.03879629968472578,2.1772321556102147e-14,1.278035275343196e-11,1
14,15,28,2020-02-16,0.0387910839337436,2.2242237923274176e-14,1.2989466947192119e-11,1
15,16,29,2020-02-17,0.03745619055048583,6.5264872092394e-14,3.674412298801782e-11,1
16,17,30,2020-02-18,0.035848171745496996,3.808135588940029e-14,2.1744454212847566e-11,1
17,18,31,2020-02-19,0.03428737543687509,4.127407258569841e-15,2.6085213874161396e-12,1
18,19,32,2020-02-20,0.033089314125587174,2.5747246985932443e-16,1.761111693837779e-13,1
19,20,33,2020-02-21,0.032251165053571534,8.513025410585578e-18,6.1974824989063006e-15,1
20,21,34,2020-02-22,0.031748639372282034,9.949319218117831e-20,7.949506055276147e-17,1
21,22,35,2020-02-23,0.03159657071218774,5.756790491132575e-21,4.789649688622302e-18,1
22,23,36,2020-02-24,0.0318122116132687,2.9698620643446314e-19,2.2986732378027447e-16,1
23,24,37,2020-02-25,0.03238307212310855,3.7879744639086135e-17,2.6667340225916637e-14,1
24,25,38,2020-02-26,0.03323849821157447,8.052101419080019e-16,5.322439038011892e-13,1
25,26,39,2020-02-27,0.034218487367215326,2.6420449359568367e-15,1.6935508039483324e-12,1
26,27,40,2020-02-28,0.03507519903356689,1.425897226815819e-15,9.311108891107298e-13,1
27,28,41,2020-02-29,0.03551978747914445,2.822508829012029e-16,1.9193060037281798e-13,1
28,29,42,2020-03-01,0.03529844730712895,1.2556442614232108e-15,8.237026354936263e-13,1
29,30,43,2020-03-02,0.034256086043938073,3.151002803197652e-13,1.584954410008419e-10,1
30,31,44,2020-03-03,0.032361119825272386,6.359267817859188e-11,2.206665932797138e-08,1
31,32,45,2020-03-04,0.029685637847037934,4.1452197353183025e-09,1.1440806469478515e-06,1
32,33,46,2020-03-05,0.02634186444141055,1.1457183770164999e-07,2.49766606189597e-05,1
33,34,47,2020-03-06,0.0224727936413651,1.767231211822546e-06,0.0003198688493398808,1
34,35,48,2020-03-07,0.018256912076340143,1.8449128800016736e-05,0.0026935728048024434,1
35,36,49,2020-03-08,0.013903705118806465,0.00015299916622641747,0.018359899947170095,1
36,37,50,2020-03-09,0.009643159735341859,0.0012020366769297727,0.1179739970528378,0
37,38,51,2020-03-10,0.005702327400701973,0.011348374862616256,0.799278993015276,0
38,39,52,2020-03-11,0.0022616483935615677,0.15819232808656958,1.0,0
39,40,53,2020-03-12,-0.0005953844292249813,0.6158300344027149,1.0,0
40,41,54,2020-03-13,-0.0029099650620944594,0.008828642023572668,0.6533195097443774,0
41,42,55,2020-03-14,-0.004827164541837441,9.127412022469035e-05,0.011500539148310984,-1
42,43,56,2020-03-15,-0.006531406975905619,4.5300770017965506e-06,0.0007474627052964308,-1
43,44,57,2020-03-16,-0.008176729666578465,5.923649810126833e-07,0.00011728826624051129,-1
44,45,58,2020-03-17,-0.009843714531012817,1.1075844188624146e-07,2.425609877308688e-05,-1
45,46,59,2020-03-18,-0.011539707190547456,2.4161253876564888e-08,5.943668453634962e-06,-1
46,47,60,2020-03-19,-0.013254552683609807,5.588100717073347e-09,1.5087871936098037e-06,-1
47,48,61,2020-03-20,-0.014973551475012465,1.2922151448177288e-09,3.799112525764123e-07,-1
48,49,62,2020-03-21,-0.016677300671678615,2.941385204832575e-10,9.235949543174285e-08,-1
49,50,63,2020-03-22,-0.01834738298408751,6.637252432892077e-11,2.2832148369148744e-08,-1
50,51,64,2020-03-23,-0.019969695094084736,1.5143227901032445e-11,5.830142741897491e-09,-1
51,52,65,2020-03-24,-0.021534832348723394,3.6232471644497902e-12,1.5471265392200604e-09,-1
52,53,66,2020-03-25,-0.023039856593961225,9.506705793114196e-13,4.3825913706256443e-10,-1
53,54,67,2020-03-26,-0.024488969172708933,2.854086710345728e-13,1.44987604885563e-10,-1
54,55,68,2020-03-27,-0.025892387754960278,1.016917860672445e-13,5.633724948125345e-11,-1
55,56,69,2020-03-28,-0.027265265717579975,4.4183227516450234e-14,2.514025645686018e-11,-1
56,57,70,2020-03-29,-0.028626675348117515,2.3875668327340135e-14,1.3871763298184618e-11,-1
57,58,71,2020-03-30,-0.02999809846711351,1.6187044773774244e-14,9.6151045956219e-12,-1
58,59,72,2020-03-31,-0.03140140764805889,1.3620229609906346e-14,8.158517536333902e-12,-1
59,60,73,2020-04-01,-0.03285738539896804,1.3765129242884445e-14,8.231547287244898e-12,-1
