,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.004077256536629289,2.3439722032608618e-09,7.12567549791302e-07,1
1,2,15,2020-02-03,0.0036468666460403834,8.979128741035538e-10,2.9720916132827633e-07,1
2,3,16,2020-02-04,0.003302345088318642,1.1358885150231081e-10,4.3504530125385044e-08,1
3,4,17,2020-02-05,0.0030478136890794726,3.938813939532442e-12,1.8307738417993666e-09,1
4,5,18,2020-02-06,0.002874514801971504,3.631878357302251e-14,2.022956245017354e-11,1
5,6,19,2020-02-07,0.0027710502642790246,9.346604560096022e-17,6.299611473504719e-14,1
6,7,20,2020-02-08,0.002729614934348724,4.17439630260781e-19,3.097402056534995e-16,1
7,8,21,2020-02-09,0.0027468161980820803,6.171361771962818e-18,4.4001809434094894e-15,1
8,9,22,2020-02-10,0.0028229800540851588,1.8340159819697885e-15,1.1334218768573294e-12,1
9,10,23,2020-02-11,0.0029630343887387745,1.9812123070189535e-13,1.0341928242638938e-10,1
10,11,24,2020-02-12,0.003178923273250516,7.705683162094761e-12,3.4752631061047373e-09,1
11,12,25,2020-02-13,0.003480451256229295,1.15321920860805e-10,4.3937651847966706e-08,1
12,13,26,2020-02-14,0.003871614460188179,7.854507669959195e-10,2.6391145771062896e-07,1
13,14,27,2020-02-15,0.004349571372409052,2.7141222941085922e-09,8.115225659384691e-07,1
14,15,28,2020-02-16,0.004905384562916467,4.878394065061216e-09,1.3708287322822016e-06,1
15,16,29,2020-02-17,0.005521222856295969,4.417915613872532e-09,1.270655150425494e-06,1
16,17,30,2020-02-18,0.006163671277631556,1.8923990980156205e-09,5.923209176788892e-07,1
17,18,31,2020-02-19,0.006781572686327781,3.685329330894801e-10,1.3193479004603386e-07,1
18,19,32,2020-02-20,0.007317383575071589,3.1774397781275535e-11,1.3154600681448072e-08,1
19,20,33,2020-02-21,0.007722676690589481,1.1770510612798453e-12,5.826402753335234e-10,1
20,21,34,2020-02-22,0.007964930701168384,2.8584787977903204e-14,1.6121820419537407e-11,1
21,22,35,2020-02-23,0.008026844546077612,6.2683001598888705e-15,3.723370294973989e-12,1
22,23,36,2020-02-24,0.00790312003988079,9.257095928618008e-14,4.989574705525106e-11,1
23,24,37,2020-02-25,0.007602819027388682,3.594610097592542e-12,1.6858721357709021e-09,1
24,25,38,2020-02-26,0.007148687127227824,7.159410802650442e-11,2.822395036233939e-08,1
25,26,39,2020-02-27,0.006575974743916867,6.450638234715626e-10,2.1932169998033127e-07,1
26,27,40,2020-02-28,0.005929699334448255,2.9328025206892467e-09,8.710423486447063e-07,1
27,28,41,2020-02-29,0.005258063279348911,7.471853564231144e-09,2.0472878765993333e-06,1
28,29,42,2020-03-01,0.004603705908450983,1.1908706327025503e-08,3.167715882988784e-06,1
29,30,43,2020-03-02,0.003997815103570016,1.3609316386706926e-08,3.5928595260906286e-06,1
30,31,44,2020-03-03,0.0034522567008277174,1.3763286640566932e-08,3.619744386469103e-06,1
31,32,45,2020-03-04,0.0029600107795143037,1.7429877910864234e-08,4.462048745181244e-06,1
32,33,46,2020-03-05,0.0025049649249066944,4.3205546665327324e-08,1.0239714559682576e-05,1
33,34,47,2020-03-06,0.0020687283177997936,2.9015834598641643e-07,5.7424307226055344e-05,1
34,35,48,2020-03-07,0.0016320917613994682,5.640877406668069e-06,0.0008630542432202146,1
35,36,49,2020-03-08,0.0011756254348999286,0.0002891611610834032,0.030361921913757337,1
36,37,50,2020-03-09,0.0006839358128149712,0.023032434611839587,1.0,0
37,38,51,2020-03-10,0.00014702647632041513,0.628250148913365,1.0,0
38,39,52,2020-03-11,-0.0004442221891831923,0.2020733017689229,1.0,0
39,40,53,2020-03-12,-0.0010937314194173226,0.010305692871488345,0.6801757295182308,0
40,41,54,2020-03-13,-0.0017995036470346965,0.0005563393071958366,0.056190270026779496,0
41,42,55,2020-03-14,-0.0025492669538517924,4.126284998175547e-05,0.005446696197591722,-1
42,43,56,2020-03-15,-0.0033264396501242917,3.937989036954947e-06,0.0006182642788019267,-1
43,44,57,2020-03-16,-0.004106909972626668,4.3408773544040195e-07,8.334484520455717e-05,-1
44,45,58,2020-03-17,-0.004859029840492362,4.782536983217852e-08,1.1238961910561952e-05,-1
45,46,59,2020-03-18,-0.005552765621278018,4.415202563304866e-09,1.270655150425494e-06,-1
46,47,60,2020-03-19,-0.006160118315113654,2.8212259185453403e-10,1.0353899121061399e-07,-1
47,48,61,2020-03-20,-0.006647765636305811,9.920574042649418e-12,4.404734874936342e-09,-1
48,49,62,2020-03-21,-0.006987943923327247,1.667528734583277e-13,8.771201143908037e-11,-1
49,50,63,2020-03-22,-0.0071671705062481645,2.671314027618864e-15,1.629501556847507e-12,-1
50,51,64,2020-03-23,-0.007175880264900487,1.9895950737037457e-15,1.2255905654015074e-12,-1
51,52,65,2020-03-24,-0.00700313381945352,1.3963023223682033e-13,7.372476262104113e-11,-1
52,53,66,2020-03-25,-0.006637818685803072,1.5607506381847676e-11,6.742442756958196e-09,-1
53,54,67,2020-03-26,-0.006074143903065304,1.1149029257123868e-09,3.668030625593753e-07,-1
54,55,68,2020-03-27,-0.00531571902564898,6.15268505726067e-08,1.4089648781126936e-05,-1
55,56,69,2020-03-28,-0.004368684873348626,3.4310308205207934e-06,0.0005489649312833269,-1
56,57,70,2020-03-29,-0.00324700462890292,0.0002317590383655942,0.02479821710511858,-1
57,58,71,2020-03-30,-0.001971404362788914,0.01668168620420609,1.0,0
58,59,72,2020-03-31,-0.0005607335868789208,0.4875539845119956,1.0,0
59,60,73,2020-04-01,0.0009625394771146829,0.27625246925499886,1.0,0
60,61,74,2020-04-02,0.0025671859789281894,0.013509445685450367,0.8510950781833732,0
61,62,75,2020-04-03,0.004218871704446273,0.0005589865168995566,0.056190270026779496,0
62,63,76,2020-04-04,0.0058761046104444815,2.724683783916923e-05,0.0036783231082878464,1
63,64,77,2020-04-05,0.007491311048857107,1.5138043278854708e-06,0.00026188814872418645,1
64,65,78,2020-04-06,0.009020889990303886,8.926686743856077e-08,1.972797770392193e-05,1
65,66,79,2020-04-07,0.010426705966530633,5.284020168205386e-09,1.4742416269293027e-06,1
66,67,80,2020-04-08,0.011682178622261284,2.946707668275871e-10,1.0755482989206929e-07,1
67,68,81,2020-04-09,0.012772248232921425,1.4464945026967058e-11,6.306716031757637e-09,1
68,69,82,2020-04-10,0.013692452611958495,6.051609037014699e-13,3.050010954655408e-10,1
69,70,83,2020-04-11,0.014448204630971118,2.097724379381546e-14,1.1957028962474812e-11,1
70,71,84,2020-04-12,0.015054393541525149,6.042075766736062e-16,3.885054718011288e-13,1
71,72,85,2020-04-13,0.015533522328753662,1.7101277125000262e-17,1.1885387601875182e-14,1
72,73,86,2020-04-14,0.015917387688597014,7.050010923485436e-19,5.153557985067854e-16,1
73,74,87,2020-04-15,0.016237448908043354,6.751253846963911e-20,5.1647091929273924e-17,1
74,75,88,2020-04-16,0.016514726539560588,1.655081223305008e-20,1.2859981105079911e-17,1
75,76,89,2020-04-17,0.016755002757046555,6.3247030181131155e-21,5.0154894933637004e-18,1
76,77,90,2020-04-18,0.016946551144313593,1.6744096899577136e-21,1.356271848865748e-18,1
77,78,91,2020-04-19,0.017064471690773953,1.8462020842999192e-22,1.532347729968933e-19,1
78,79,92,2020-04-20,0.017083022298550597,8.26624623094765e-23,6.902315602841288e-20,1
79,80,93,2020-04-21,0.016977596801760468,1.0435466775205786e-20,8.17097048498613e-18,1
80,81,94,2020-04-22,0.016720372638403595,5.705908915701373e-18,4.079724874726482e-15,1
81,82,95,2020-04-23,0.016279496491729068,1.254885219024016e-15,7.85558147109034e-13,1
82,83,96,2020-04-24,0.015623416503454106,1.18260826175538e-13,6.303302035156175e-11,1
83,84,97,2020-04-25,0.014725503504915737,6.013502664870082e-12,2.7481707178456275e-09,1
84,85,98,2020-04-26,0.01357201873733012,1.9508582482312168e-10,7.335227013349375e-08,1
85,86,99,2020-04-27,0.012167763243918155,4.6512294037686184e-09,1.316297921266519e-06,1
86,87,100,2020-04-28,0.010537176709151571,9.451348780577097e-08,2.0792967317269613e-05,1
87,88,101,2020-04-29,0.008720264250272983,1.8773562973008904e-06,0.0003135185016492487,1
88,89,102,2020-04-30,0.00676703835447917,4.1354736989524086e-05,0.005446696197591722,1
89,90,103,2020-05-01,0.00473082668259681,0.0011228127966562884,0.10329877729237853,0
90,91,104,2020-05-02,0.0026562080508843186,0.03534649694996937,1.0,0
91,92,105,2020-05-03,0.0005705774874907852,0.6155089064786965,1.0,0
92,93,106,2020-05-04,-0.0015108619715660315,0.18648595915425217,1.0,0
93,94,107,2020-05-05,-0.003579265524713252,0.005072631212829839,0.37537470974940806,0
94,95,108,2020-05-06,-0.005633425264332889,0.00013500659834767982,0.01512073901494014,-1
95,96,109,2020-05-07,-0.007680273864544408,6.7989066409131724e-06,0.0010130370894960627,-1
96,97,110,2020-05-08,-0.009738177831947298,6.811250590757406e-07,0.0001273703860471635,-1
97,98,111,2020-05-09,-0.011829678290197638,1.1973945285113397e-07,2.586372181584494e-05,-1
98,99,112,2020-05-10,-0.013977822321671496,3.145344655487832e-08,7.6117340662805534e-06,-1
99,100,113,2020-05-11,-0.01620003660644333,1.0560934429281927e-08,2.8197694926182747e-06,-1
100,101,114,2020-05-12,-0.01850841074010319,3.971443618845154e-09,1.1517186494650947e-06,-1
101,102,115,2020-05-13,-0.02090756826279505,1.531564285886621e-09,4.870374429119455e-07,-1
102,103,116,2020-05-14,-0.023387158352117313,5.750605405081604e-10,1.978208259348072e-07,-1
103,104,117,2020-05-15,-0.025922865657207538,2.0614674105068157e-10,7.70988811529549e-08,-1
104,105,118,2020-05-16,-0.028478952529864147,6.98835869509484e-11,2.7743784019526516e-08,-1
105,106,119,2020-05-17,-0.031008913278986985,2.186199416306705e-11,9.247623530977363e-09,-1
106,107,120,2020-05-18,-0.03346053164905974,6.054088368780595e-12,2.7606642961639515e-09,-1
107,108,121,2020-05-19,-0.0357835898954523,1.4086550858429302e-12,6.8742368189135e-10,-1
108,109,122,2020-05-20,-0.03793084466757283,2.589418692584449e-13,1.3387294640661602e-10,-1
109,110,123,2020-05-21,-0.039863039786616566,3.573769771623997e-14,1.9977373023378144e-11,-1
110,111,124,2020-05-22,-0.04155766035265923,3.540278294197513e-15,2.1383280896952977e-12,-1
111,112,125,2020-05-23,-0.04301213346596708,2.4827841080427565e-16,1.631189158984091e-13,-1
112,113,126,2020-05-24,-0.04424534649342701,1.2782670259001314e-17,8.94786918130092e-15,-1
113,114,127,2020-05-25,-0.045284925538037986,5.667802554702307e-19,4.1601670751514934e-16,-1
114,115,128,2020-05-26,-0.046155706037077554,3.0544645471829593e-20,2.3519377013308788e-17,-1
115,116,129,2020-05-27,-0.046877679399260345,2.9522610294464694e-21,2.370665606645515e-18,-1
116,117,130,2020-05-28,-0.04746042005875856,5.360330801613591e-22,4.406191918926372e-19,-1
117,118,131,2020-05-29,-0.04790479838558096,1.0867954902835664e-22,9.063874388964943e-20,-1
118,119,132,2020-05-30,-0.04821126713049093,1.4274249003164308e-23,1.2076014656677005e-20,-1
119,120,133,2020-05-31,-0.048376506445926726,1.4549983411424477e-24,1.2411135849945078e-21,-1
120,121,134,2020-06-01,-0.04838714397020952,1.1330584148756818e-24,9.676318863038322e-22,-1
121,122,135,2020-06-02,-0.04821514431662696,5.1121180179515764e-23,4.2992912530972757e-20,-1
122,123,136,2020-06-03,-0.04782250972207564,7.403107267355952e-21,5.8410516339438465e-18,-1
123,124,137,2020-06-04,-0.04717804819823796,5.186698226669847e-19,3.8225965930556775e-16,-1
124,125,138,2020-06-05,-0.04626305099227039,1.4765535407766603e-17,1.0321109250028854e-14,-1
125,126,139,2020-06-06,-0.04507450215577807,2.047302454190516e-16,1.3573615271283122e-13,-1
126,127,140,2020-06-07,-0.04362766435509189,1.710856662282576e-15,1.0624419872774797e-12,-1
127,128,141,2020-06-08,-0.04195274390888535,1.0297915010907025e-14,6.02428028138061e-12,-1
128,129,142,2020-06-09,-0.04007209875491673,5.3503810882873096e-14,2.9480599796463074e-11,-1
129,130,143,2020-06-10,-0.03799424590159667,2.7957933906934684e-13,1.4370378028164426e-10,-1
130,131,144,2020-06-11,-0.03571518937689075,1.6073695177146677e-12,7.80867381961737e-10,-1
131,132,145,2020-06-12,-0.033229248938158984,1.0141129090267134e-11,4.49252018698834e-09,-1
132,133,146,2020-06-13,-0.03055268418918667,6.57243188672684e-11,2.622400322804009e-08,-1
133,134,147,2020-06-14,-0.027735399068991393,3.9934734103488955e-10,1.4057026404428113e-07,-1
134,135,148,2020-06-15,-0.024851682183021095,2.0957321134271456e-09,6.47581223048988e-07,-1
135,136,149,2020-06-16,-0.021991584843078,8.583184993901134e-09,2.3432095033350097e-06,-1
136,137,150,2020-06-17,-0.01924715040730159,2.4817239180687358e-08,6.154675316810464e-06,-1
137,138,151,2020-06-18,-0.0167048247452861,4.651984933096392e-08,1.0978684442107485e-05,-1
138,139,152,2020-06-19,-0.014447688980447503,4.974760036630075e-08,1.1640938485714375e-05,-1
139,140,153,2020-06-20,-0.012538702452760496,2.507141964214834e-08,6.1926406516106404e-06,-1
140,141,154,2020-06-21,-0.011007057756366944,4.530487259753014e-09,1.286658381769856e-06,-1
141,142,155,2020-06-22,-0.00986339631031375,1.998278465430528e-10,7.493544245364479e-08,-1
142,143,156,2020-06-23,-0.009088264802807352,1.3029324891122576e-12,6.410427846432308e-10,-1
143,144,157,2020-06-24,-0.008634688814054745,8.420251607226851e-16,5.32159901576737e-13,-1
144,145,158,2020-06-25,-0.008428290313903346,5.575592090096129e-19,4.0980601862206547e-16,-1
145,146,159,2020-06-26,-0.008389075940514577,1.8940535132496543e-19,1.4205401349372407e-16,-1
146,147,160,2020-06-27,-0.008451234023371014,1.381439271235184e-19,1.0416052105113287e-16,-1
