,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.20034373261732427,0.00018478143500277704,0.11604274118174399,0
1,2,15,2020-02-03,0.9623800659173474,0.18612794363088203,1.0,0
2,3,16,2020-02-04,1.9538912827854649,0.03688292457090298,1.0,0
3,4,17,2020-02-05,2.7733489282216333,0.007671923188452888,1.0,0
4,5,18,2020-02-06,3.4198860305319965,0.00167329197849035,0.7713876020840514,0
5,6,19,2020-02-07,3.892552271476612,0.00042259784682715357,0.23707739207003314,0
6,7,20,2020-02-08,4.190280872673713,0.00014907101524399056,0.09585266280188592,0
7,8,21,2020-02-09,3.0804164394391402,0.019743214386886098,1.0,0
8,9,22,2020-02-10,2.0391838439804335,0.15197919343888516,1.0,0
9,10,23,2020-02-11,1.0192201675379216,0.48964042996668933,1.0,0
10,11,24,2020-02-12,0.007457249205576496,0.9960089850820317,1.0,0
11,12,25,2020-02-13,-1.0050962415471187,0.49519375180110603,1.0,0
12,13,26,2020-02-14,-2.027202966929619,0.15344175163179313,1.0,0
13,14,27,2020-02-15,-3.070766731163321,0.019676100873463703,1.0,0
14,15,28,2020-02-16,-4.168690183386437,0.00016122651332153365,0.1025400624724954,0
15,16,29,2020-02-17,-3.8740334464446784,0.0004476954804978087,0.24891868715678164,0
16,17,30,2020-02-18,-3.407659947235236,0.0017216084036730927,0.7902182572859495,0
17,18,31,2020-02-19,-2.7708298504558377,0.0076440730806282605,1.0,0
18,19,32,2020-02-20,-1.9647347210036785,0.03554805609793444,1.0,0
19,20,33,2020-02-21,-0.9906049912858391,0.1729112499372472,1.0,0
20,21,34,2020-02-22,0.150115759834673,0.020233909506921954,1.0,0
21,22,35,2020-02-23,0.03456763949412522,0.35611123250137555,1.0,0
22,23,36,2020-02-24,-0.04347936952172721,0.22731192624161067,1.0,0
23,24,37,2020-02-25,-0.12435880552633663,0.007387959270939687,1.0,0
24,25,38,2020-02-26,-0.23535941638363247,0.00115567796811405,0.5651265264077705,0
