,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.014565624112871267,6.361567041389552e-19,5.362801015891393e-16,-1
1,2,15,2020-02-03,-0.014758502801152935,1.577276690697204e-17,1.3028305465158904e-14,-1
2,3,16,2020-02-04,-0.015060828179260055,1.217063209081895e-16,9.736505672655161e-14,-1
3,4,17,2020-02-05,-0.015419533980571175,2.0391792361813642e-16,1.6211474927641845e-13,-1
4,5,18,2020-02-06,-0.01575992675028287,7.244768852402179e-17,5.846528463888559e-14,-1
5,6,19,2020-02-07,-0.015997019133282383,6.5218897315806656e-18,5.4196903669435334e-15,-1
6,7,20,2020-02-08,-0.01601941355859228,3.940120358709053e-18,3.2900004995220597e-15,-1
7,8,21,2020-02-09,-0.01566144537849257,5.595462933800259e-15,4.258147292621997e-12,-1
8,9,22,2020-02-10,-0.014687092529371781,4.087220085397786e-11,2.7425246773019144e-08,-1
9,10,23,2020-02-11,-0.012781183194889648,1.5528090417815358e-07,8.819955357319123e-05,-1
10,11,24,2020-02-12,-0.009604623092859902,0.00030042327537907254,0.1511129075156735,0
11,12,25,2020-02-13,-0.004939446705700999,0.10309919706608006,1.0,0
12,13,26,2020-02-14,0.001159115209711088,0.7593390014030483,1.0,0
13,14,27,2020-02-15,0.00821961329339625,0.08556488510953904,1.0,0
14,15,28,2020-02-16,0.015445635529247374,0.006249240293526642,1.0,0
15,16,29,2020-02-17,0.022025656876351832,0.0003595908260096949,0.17799745887479898,0
16,17,30,2020-02-18,0.027447904495310562,1.5104113744685191e-05,0.008156221422130003,1
17,18,31,2020-02-19,0.03150424255220297,4.6500480224900423e-07,0.0002608676940616914,1
18,19,32,2020-02-20,0.034120354224209684,1.5704880359965933e-08,9.312994053459799e-06,1
19,20,33,2020-02-21,0.03527240173836804,2.168081884331848e-09,1.343486560509432e-06,1
20,21,34,2020-02-22,0.034986772657298965,3.421304972847628e-09,2.107523863274139e-06,1
21,22,35,2020-02-23,0.03337985767385243,1.7521345038644438e-08,1.0355114917838862e-05,1
22,23,36,2020-02-24,0.03070280166061951,6.667520622802638e-08,3.847159399357122e-05,1
23,24,37,2020-02-25,0.027388009164079845,9.313714238720814e-08,5.346071973025747e-05,1
24,25,38,2020-02-26,0.024030585816694258,2.6406770086639846e-08,1.550077404085759e-05,1
25,26,39,2020-02-27,0.02125391167409632,5.383655336345284e-10,3.4509230705973274e-07,1
26,27,40,2020-02-28,0.019522651921121584,2.1063289922056467e-13,1.5249821903568881e-10,1
27,28,41,2020-02-29,0.01890760680102367,3.437874925321413e-16,2.7090454411532735e-13,1
28,29,42,2020-03-01,0.019034597243296255,5.093550445559582e-16,3.9933435493187125e-13,1
29,30,43,2020-03-02,0.019256769455668968,5.988555971597711e-17,4.850730336994146e-14,1
30,31,44,2020-03-03,0.018935140957647423,1.1212700617889114e-14,8.431950864652613e-12,1
31,32,45,2020-03-04,0.017566340375074548,4.0161567309481096e-10,2.594437248192479e-07,1
32,33,46,2020-03-05,0.014868371634719778,1.703942917912507e-06,0.0009388725477697913,1
33,34,47,2020-03-06,0.01095781880140447,0.0008774067011128711,0.415013369626388,0
34,35,48,2020-03-07,0.0063991458838014185,0.05685338882624243,1.0,0
35,36,49,2020-03-08,0.0020567857129764984,0.5296484083438496,1.0,0
36,37,50,2020-03-09,-0.0012323341319314949,0.6830049130734179,1.0,0
37,38,51,2020-03-10,-0.0029459034134959212,0.2830687501429028,1.0,0
38,39,52,2020-03-11,-0.0030217249877315037,0.2677915227881514,1.0,0
39,40,53,2020-03-12,-0.0018169332476945966,0.5463126489957948,1.0,0
40,41,54,2020-03-13,0.00013543231632347745,0.9678948615254203,1.0,0
41,42,55,2020-03-14,0.002388993346881297,0.5065520210086698,1.0,0
42,43,56,2020-03-15,0.004539554711554656,0.21054650957076118,1.0,0
43,44,57,2020-03-16,0.006158531231545352,0.07742952496089975,1.0,0
44,45,58,2020-03-17,0.006713900551017716,0.04750143062929706,1.0,0
45,46,59,2020-03-18,0.0055530095284417645,0.12849259305092342,1.0,0
46,47,60,2020-03-19,0.00212701239723426,0.6259941319780078,1.0,0
47,48,61,2020-03-20,-0.00372694822103585,0.48130369958508457,1.0,0
48,49,62,2020-03-21,-0.011685155412359018,0.06030540455280394,1.0,0
49,50,63,2020-03-22,-0.020979829517907722,0.0028870987561694715,1.0,0
50,51,64,2020-03-23,-0.030659366835982194,7.08116211173152e-05,0.03745934757105974,-1
51,52,65,2020-03-24,-0.03989546289844131,1.3206409592511081e-06,0.0007289938095066117,-1
52,53,66,2020-03-25,-0.048219736408524644,2.8754022445570923e-08,1.684985715310456e-05,-1
53,54,67,2020-03-26,-0.05560533055436409,1.0607230058038453e-09,6.703769396680303e-07,-1
54,55,68,2020-03-27,-0.06232243451424688,8.810318554082755e-11,5.850051519910949e-08,-1
55,56,69,2020-03-28,-0.06870804929230417,2.2315731211888112e-11,1.5197012955295806e-08,-1
56,57,70,2020-03-29,-0.0751799102488073,1.750413969289032e-11,1.197283154993698e-08,-1
